start_time,bank_supply_ratio,date,close,change
2022-02-05,0.00615318,2022-02-05,41374.69,-0.0042192539109505
2022-02-06,0.00615287,2022-02-06,42361.35,0.0238469460435835
2022-02-07,0.00615259,2022-02-07,43829.99,0.0346693389138921
2022-02-08,0.00615228,2022-02-08,44021.57,0.0043709797789139
2022-02-09,0.00615199,2022-02-09,44358.08,0.0076442071466329
2022-02-10,0.0061517,2022-02-10,43471.29,-0.0199916227212719
2022-02-11,0.00615141,2022-02-11,42366.0,-0.025425746509938
2022-02-12,0.00615103,2022-02-12,42199.87,-0.0039213048199027
2022-02-13,0.00615071,2022-02-13,42041.13,-0.0037616229623457
2022-02-14,0.0061504,2022-02-14,42525.14,0.0115127733245989
2022-02-15,0.00615004,2022-02-15,44529.6,0.0471358824450665
2022-02-16,0.00614973,2022-02-16,43860.7,-0.0150214688656534
2022-02-17,0.00614941,2022-02-17,40491.7,-0.0768113595998239
2022-02-18,0.00614914,2022-02-18,39966.8,-0.0129631504728128
2022-02-19,0.00614883,2022-02-19,40052.6,0.0021467818289178
2022-02-20,0.00614854,2022-02-20,38368.1,-0.0420571947888526
2022-02-21,0.00614829,2022-02-21,36986.4,-0.0360116867918921
2022-02-22,0.00614799,2022-02-22,38212.0,0.0331365042285811
2022-02-23,0.00614768,2022-02-23,37227.8,-0.0257563069192923
2022-02-24,0.00614741,2022-02-24,38315.1,0.0292066681351033
2022-02-25,0.00614714,2022-02-25,39205.4,0.0232362697735357
2022-02-26,0.00614689,2022-02-26,39099.3,-0.0027062598519591
2022-02-27,0.00614661,2022-02-27,37672.0,-0.036504489850202
2022-02-28,0.0061463,2022-02-28,43155.0,0.1455457634317265
2022-03-01,0.00614597,2022-03-01,44394.1,0.0287127795156991
2022-03-02,0.0061457,2022-03-02,43885.7,-0.0114519722215339
2022-03-03,0.0061454,2022-03-03,42449.5,-0.0327259221113026
2022-03-04,0.00614512,2022-03-04,39127.7,-0.0782529829562186
2022-03-05,0.00614487,2022-03-05,39375.1,0.0063228863439457
2022-03-06,0.0061446,2022-03-06,38401.1,-0.0247364451137901
2022-03-07,0.0061443,2022-03-07,37963.8,-0.011387694623331
2022-03-08,0.00614401,2022-03-08,38709.9,0.0196529325304632
2022-03-09,0.00614373,2022-03-09,41937.5,0.08337918723634
2022-03-10,0.00614343,2022-03-10,39407.2,-0.0603350223546945
2022-03-11,0.00614315,2022-03-11,38713.0,-0.0176160701597677
2022-03-12,0.00614284,2022-03-12,38792.6,0.0020561568465373
2022-03-13,0.00614253,2022-03-13,37743.7,-0.0270386620128582
2022-03-14,0.00614222,2022-03-14,39653.8,0.0506071211884369
2022-03-15,0.00614194,2022-03-15,39271.0,-0.0096535514881298
2022-03-16,0.00614163,2022-03-16,41105.8,0.0467214993252018
2022-03-17,0.00614131,2022-03-17,40898.1,-0.0050528149312263
2022-03-18,0.00614102,2022-03-18,41751.5,0.020866495020551
