start_time,date,price_usd_adj_close,price_usd_close,close,change
2024-10-09,2024-10-09,2.269999981,2.269999981,,
2024-10-10,2024-10-10,2.230000019,2.230000019,,
2024-10-11,2024-10-11,2.319999933,2.319999933,,
2024-10-14,2024-10-14,2.470000029,2.470000029,,
2024-10-15,2024-10-15,2.450000048,2.450000048,,
2024-10-16,2024-10-16,2.470000029,2.470000029,,
2024-10-17,2024-10-17,2.440000057,2.440000057,,
2024-10-18,2024-10-18,2.5,2.5,,
2024-10-21,2024-10-21,2.519999981,2.519999981,,
2024-10-22,2024-10-22,2.480000019,2.480000019,,
2024-10-23,2024-10-23,2.359999895,2.359999895,,
2024-10-24,2024-10-24,2.400000095,2.400000095,,
2024-10-25,2024-10-25,2.319999933,2.319999933,,
2024-10-28,2024-10-28,2.359999895,2.359999895,,
2024-10-29,2024-10-29,2.470000029,2.470000029,,
2024-10-30,2024-10-30,2.5,2.5,,
2024-10-31,2024-10-31,2.359999895,2.359999895,,
2024-11-01,2024-11-01,2.369999886,2.369999886,,
2024-11-04,2024-11-04,2.279999971,2.279999971,,
2024-11-05,2024-11-05,2.279999971,2.279999971,,
2024-11-06,2024-11-06,2.549999952,2.549999952,,
2024-11-07,2024-11-07,2.74000001,2.74000001,,
2024-11-08,2024-11-08,2.769999981,2.769999981,,
2024-11-11,2024-11-11,3.170000076,3.170000076,,
2024-11-12,2024-11-12,3.109999895,3.109999895,,
2024-11-13,2024-11-13,2.99000001,2.99000001,,
2024-11-14,2024-11-14,2.920000076,2.920000076,,
2024-11-15,2024-11-15,2.910000086,2.910000086,,
2024-11-18,2024-11-18,2.980000019,2.980000019,,
2024-11-19,2024-11-19,2.920000076,2.920000076,,
2024-11-20,2024-11-20,28.930000305,28.930000305,,
2024-11-21,2024-11-21,31.63999939,31.63999939,,
2024-11-22,2024-11-22,31.049999237,31.049999237,,
2024-11-25,2024-11-25,33.069999695,33.069999695,,
2024-11-26,2024-11-26,31.290000916,31.290000916,,
2024-11-27,2024-11-27,34.279998779,34.279998779,,
2024-11-29,2024-11-29,33.840000153,33.840000153,,
2024-12-02,2024-12-02,34.119998932,34.119998932,,
2024-12-03,2024-12-03,34.060001373,34.060001373,,
2024-12-04,2024-12-04,36.700000763,36.700000763,,
2024-12-05,2024-12-05,36.099998474,36.099998474,,
2024-12-06,2024-12-06,38.259998322,38.259998322,,
2024-12-09,2024-12-09,35.299999237,35.299999237,,
2024-12-10,2024-12-10,34.430000305,34.430000305,,
2024-12-11,2024-12-11,36.189998627,36.189998627,,
2024-12-12,2024-12-12,36.669998169,36.669998169,,
2024-12-13,2024-12-13,36.979999542,36.979999542,,
2024-12-16,2024-12-16,38.169998169,38.169998169,,
2024-12-17,2024-12-17,37.090000153,37.090000153,,
2024-12-18,2024-12-18,34.790000916,34.790000916,,
2024-12-19,2024-12-19,31.829999924,31.829999924,,
2024-12-20,2024-12-20,32.419998169,32.419998169,,
2024-12-23,2024-12-23,32.049999237,32.049999237,,
2024-12-24,2024-12-24,33.040000916,33.040000916,,
2024-12-26,2024-12-26,31.370000839,31.370000839,,
2024-12-27,2024-12-27,31.420000076,31.420000076,,
