start_time,date,loss_amount,loss_percent,profit_amount,profit_percent,close,change
2024-02-01,2024-02-01,2852107.65427959,14.54018526,16763238.39069152,85.45981474,43072.6,0.0120322834553165
2024-02-02,2024-02-02,2795256.61325385,14.24950228,16821264.43171726,85.75049772,43182.0,0.0025398977540247
2024-02-03,2024-02-03,3018706.32153221,15.38785135,16598758.47343892,84.61214865,42992.4,-0.00439071835487
2024-02-04,2024-02-04,3681022.06668209,18.7630784,15937411.47828901,81.2369216,42570.3,-0.0098180143467216
2024-02-05,2024-02-05,3521900.52719691,17.95110448,16097508.01777426,82.04889552,42692.9,0.0028799421192708
2024-02-06,2024-02-06,2889643.03258518,14.72769449,16730828.01238592,85.27230551,43079.1,0.0090460006230543
2024-02-07,2024-02-07,2105618.16513268,10.73119421,17515852.87983819,89.26880579,44326.2,0.0289490727522161
2024-02-08,2024-02-08,2001526.22455277,10.20024565,17620807.32041803,89.79975435,45269.1,0.021271843740271
2024-02-09,2024-02-09,1786225.69624001,9.10254254,17837145.34873076,90.89745746,47116.1,0.0408004577073544
2024-02-10,2024-02-10,1529702.66052458,7.79493292,18094618.38444629,92.20506708,47732.6,0.0130846992853823
2024-02-11,2024-02-11,1463629.72021089,7.45791846,18161547.57475989,92.54208154,48303.4,0.0119582842753172
2024-02-12,2024-02-12,1247448.76683412,6.35600708,18378847.27813669,93.64399292,49943.6,0.0339562018408641
2024-02-13,2024-02-13,1391206.05605886,7.0881752,18235933.73891197,92.9118248,49696.4,-0.0049495831297703
2024-02-14,2024-02-14,1165567.91067117,5.9382892,18462440.63429971,94.0617108,51823.2,0.0427958564403054
2024-02-15,2024-02-15,1208001.8941875,6.15417251,18415596.10225885,93.81835894,51898.5,0.0014530171814941
2024-02-16,2024-02-16,1117752.40245453,5.69415301,18512074.89251637,94.30584699,52148.6,0.0048190217443664
2024-02-17,2024-02-17,1473986.47402197,7.50855348,18156778.32094888,92.49144652,51679.4,-0.0089973652216933
2024-02-18,2024-02-18,1131897.9946596,5.76571725,18499623.0503112,94.23428275,52175.9,0.0096073096823878
2024-02-19,2024-02-19,1540328.95798797,7.84586311,18092042.08698282,92.15413689,51813.8,-0.0069399857022111
2024-02-20,2024-02-20,1126568.07510133,5.73806142,18506684.21986946,94.26193858,52297.4,0.0093334208261119
2024-02-21,2024-02-21,1532205.47238339,7.80379196,18101909.32258735,92.19620804,51877.8,-0.0080233434166898
2024-02-22,2024-02-22,1784821.79293705,9.09002068,17850136.75203376,90.90997932,51316.9,-0.0108119465358978
2024-02-23,2024-02-23,1939862.98849117,9.87913883,17696089.30647961,90.12086117,50771.9,-0.0106202829866963
2024-02-24,2024-02-24,1530326.84909335,7.7931546,18106481.69587743,92.2068454,51602.1,0.0163515645465306
2024-02-25,2024-02-25,1384740.32395196,7.05139047,18253093.22101883,92.94860953,51764.9,0.0031549103621753
2024-02-26,2024-02-26,985319.41798447,5.01724241,18653345.3769863,94.98275759,54511.6,0.0530610510210585
2024-02-27,2024-02-27,630576.46460414,3.21076094,19008894.58036666,96.78923906,57074.5,0.0470156810660482
2024-02-28,2024-02-28,116380.19236448,0.59255503,19524022.10260627,99.40744497,62487.9,0.0948479618743922
