start_time,date,nvm,close,change
2022-03-06,2022-03-06,1.21383334,38401.1,-0.0247364451137901
2022-03-07,2022-03-07,0.857664,37963.8,-0.011387694623331
2022-03-08,2022-03-08,0.80634118,38709.9,0.0196529325304632
2022-03-09,2022-03-09,0.86048668,41937.5,0.08337918723634
2022-03-10,2022-03-10,0.75348941,39407.2,-0.0603350223546945
2022-03-11,2022-03-11,0.89828478,38713.0,-0.0176160701597677
2022-03-12,2022-03-12,1.12798802,38792.6,0.0020561568465373
2022-03-13,2022-03-13,1.25364022,37743.7,-0.0270386620128582
2022-03-14,2022-03-14,0.87843455,39653.8,0.0506071211884369
2022-03-15,2022-03-15,0.85718025,39271.0,-0.0096535514881298
2022-03-16,2022-03-16,0.7647991,41105.8,0.0467214993252018
2022-03-17,2022-03-17,0.73606527,40898.1,-0.0050528149312263
2022-03-18,2022-03-18,0.81938555,41751.5,0.020866495020551
2022-03-19,2022-03-19,1.03750651,42188.2,0.0104595044489419
2022-03-20,2022-03-20,1.28665435,41261.0,-0.0219777094068956
2022-03-21,2022-03-21,0.88430926,40982.0,-0.0067618332081141
2022-03-22,2022-03-22,0.92545447,42349.8,0.0333756283246304
2022-03-23,2022-03-23,0.8749292,42867.9,0.0122338240086139
2022-03-24,2022-03-24,0.92135561,43973.4,0.0257885270797029
2022-03-25,2022-03-25,0.7292218,44290.6,0.0072134517685691
2022-03-26,2022-03-26,1.23147563,44489.2,0.0044840214402153
2022-03-27,2022-03-27,1.35606018,46820.8,0.0524082249175081
2022-03-28,2022-03-28,0.82274363,47121.9,0.0064309025048696
2022-03-29,2022-03-29,0.97874859,47418.5,0.0062943132598642
2022-03-30,2022-03-30,1.00462015,47053.2,-0.0077037443192004
2022-03-31,2022-03-31,0.90727452,45506.0,-0.0328819293905621
2022-04-01,2022-04-01,0.77603446,46266.2,0.016705489386015
2022-04-02,2022-04-02,0.98215373,45794.6,-0.0101931863866061
2022-04-03,2022-04-03,1.37387639,46392.4,0.0130539408576557
2022-04-04,2022-04-04,0.91938465,46580.9,0.0040631655184901
2022-04-05,2022-04-05,0.96635379,45477.4,-0.0236899673471315
2022-04-06,2022-04-06,0.9732498,43159.7,-0.0509637754137221
2022-04-07,2022-04-07,0.94371466,43417.1,0.0059638968760209
2022-04-08,2022-04-08,0.94116876,42229.2,-0.027360187575863
2022-04-09,2022-04-09,1.26223458,42727.7,0.0118046280772545
2022-04-10,2022-04-10,1.44296269,42140.4,-0.0137451816971191
2022-04-11,2022-04-11,0.79146392,39505.6,-0.0625243234520792
2022-04-12,2022-04-12,0.77848906,40060.7,0.0140511724920011
2022-04-13,2022-04-13,0.88559312,41129.8,0.0266870024737462
2022-04-14,2022-04-14,0.91457254,39915.9,-0.0295138804467807
2022-04-15,2022-04-15,0.97420671,40529.5,0.0153723203034379
2022-04-16,2022-04-16,1.21714829,40361.0,-0.0041574655497846
2022-04-17,2022-04-17,1.34908805,39649.1,-0.0176383142142166
2022-04-18,2022-04-18,0.90520833,40785.6,0.0286639545412128
2022-04-19,2022-04-19,0.88625534,41472.9,0.0168515358361776
2022-04-20,2022-04-20,0.84123163,41327.7,-0.0035010814290779
2022-04-21,2022-04-21,0.79534638,40449.8,-0.0212424112641157
2022-04-22,2022-04-22,0.8447664,39674.2,-0.0191743840513427
2022-04-23,2022-04-23,1.024071,39415.1,-0.0065306924903337
2022-04-24,2022-04-24,1.15158725,39433.4,0.0004642890668804
2022-04-25,2022-04-25,0.76732949,40411.0,0.0247911668788387
2022-04-26,2022-04-26,0.78457409,38093.7,-0.0573432976169855
2022-04-27,2022-04-27,0.80250019,39209.0,0.0292778070914614
2022-04-28,2022-04-28,0.74309786,39732.5,0.0133515264352572
2022-04-29,2022-04-29,0.65643251,38572.2,-0.0292027936827534
2022-04-30,2022-04-30,0.7745367,37614.5,-0.0248287626840054
2022-05-01,2022-05-01,1.05832303,38440.5,0.0219596166372011
2022-05-02,2022-05-02,0.77264317,38525.6,0.0022138109545921
2022-05-03,2022-05-03,0.80452011,37712.9,-0.0210950640612994
2022-05-04,2022-05-04,1.00248006,39684.0,0.0522659355286916
2022-05-05,2022-05-05,0.50711504,36534.7,-0.0793594395726238
2022-05-06,2022-05-06,0.57484644,35995.3,-0.0147640462354965
2022-05-07,2022-05-07,0.97021843,35466.7,-0.0146852505743807
2022-05-08,2022-05-08,0.91470384,34032.0,-0.040452029650348
2022-05-09,2022-05-09,0.53221841,30056.6,-0.1168135872120357
2022-05-10,2022-05-10,0.61780573,31002.1,0.0314573171948922
2022-05-11,2022-05-11,0.55129579,29074.7,-0.0621699820334751
2022-05-12,2022-05-12,0.50882339,29020.7,-0.0018572848559056
2022-05-13,2022-05-13,0.52132823,29274.3,0.0087385900409018
2022-05-14,2022-05-14,0.47826904,30079.8,0.0275156024226028
2022-05-15,2022-05-15,0.57535954,31324.4,0.0413766048976389
2022-05-16,2022-05-16,0.47660749,29866.7,-0.0465356080244154
2022-05-17,2022-05-17,0.54561907,30437.0,0.0190948447602179
2022-05-18,2022-05-18,0.67804448,28700.6,-0.0570489864309886
2022-05-19,2022-05-19,0.71687782,30319.9,0.0564204232664127
2022-05-20,2022-05-20,0.6241388,29188.9,-0.0373022338464177
2022-05-21,2022-05-21,0.91816515,29427.4,0.0081709142859101
2022-05-22,2022-05-22,1.0352017,30284.0,0.0291089256951004
2022-05-23,2022-05-23,0.63646104,29097.7,-0.0391725003302073
2022-05-24,2022-05-24,0.79324852,29643.1,0.0187437495059745
2022-05-25,2022-05-25,0.53340343,29536.7,-0.0035893681834895
2022-05-26,2022-05-26,0.68028061,29194.0,-0.0116025148374734
2022-05-27,2022-05-27,0.62980159,28623.2,-0.0195519627320681
2022-05-28,2022-05-28,0.89129006,29018.8,0.0138209564269542
2022-05-29,2022-05-29,0.99270648,29452.8,0.0149558217431458
2022-05-30,2022-05-30,0.69107774,31726.5,0.0771980932203391
2022-05-31,2022-05-31,0.61219463,31797.8,0.002247332671426
2022-06-01,2022-06-01,0.61075459,29796.9,-0.0629257370006729
2022-06-02,2022-06-02,0.64162889,30437.1,0.0214854565407809
2022-06-03,2022-06-03,0.63923618,29682.8,-0.0247822558653747
2022-06-04,2022-06-04,0.94644223,29848.4,0.0055789885051276
2022-06-05,2022-06-05,1.04866566,29909.9,0.0020604119483791
2022-06-06,2022-06-06,0.65867771,31361.2,0.0485223955947695
2022-06-07,2022-06-07,0.67085472,31118.1,-0.0077516166473222
2022-06-08,2022-06-08,0.72861838,30192.5,-0.0297447466265613
2022-06-09,2022-06-09,0.68949664,30093.3,-0.0032855841682537
2022-06-10,2022-06-10,0.67833783,29077.7,-0.0337483758843329
2022-06-11,2022-06-11,0.75857419,28416.7,-0.0227321968381267
2022-06-12,2022-06-12,0.88648034,26564.7,-0.0651729440786579
2022-06-13,2022-06-13,0.42631912,22471.5,-0.1540841793809078
2022-06-14,2022-06-14,0.35353951,22122.7,-0.0155218832743697
2022-06-15,2022-06-15,0.37941882,22567.5,0.0201060449221839
2022-06-16,2022-06-16,0.49097056,20387.4,-0.0966035227650381
2022-06-17,2022-06-17,0.50663088,20457.3,0.003428588245681
2022-06-18,2022-06-18,0.41697298,18959.7,-0.0732061415729348
2022-06-19,2022-06-19,0.70286175,20564.2,0.0846268664588574
2022-06-20,2022-06-20,0.56819505,20570.1,0.0002869063712664
2022-06-21,2022-06-21,0.47445183,20713.1,0.0069518378617507
2022-06-22,2022-06-22,0.49465404,19977.4,-0.0355185848569261
2022-06-23,2022-06-23,0.54818416,21096.6,0.0560233063361597
2022-06-24,2022-06-24,0.52142836,21231.2,0.0063801750045031
2022-06-25,2022-06-25,0.7248347,21481.9,0.0118080937488225
