start_time,coinbase_premium_gap,coinbase_premium_index,mean,std,z-score,close,change
2021-02-01 01:30:00,1.53,0.11765972,1.5129666666666648,0.5563661953844696,0.0306153275929436,,
2021-02-01 01:31:00,1.4,0.10773457,1.5116333333333265,0.5561552791596759,-0.2007233186781922,,
2021-02-01 01:32:00,1.59,0.12288715,1.5096999999999874,0.5548655958259435,0.1447197314161862,,
2021-02-01 01:33:00,1.17,0.09034958,1.507933333333325,0.555101360675769,-0.6087777066911377,,
2021-02-01 01:34:00,0.62,0.04780041,1.5031333333333412,0.5565356730765115,-1.586840477720697,,
2021-02-01 01:35:00,0.27,0.0207547,1.499366666666659,0.5610417319344565,-2.1912214309403266,,
2021-02-01 01:36:00,1.49,0.1142638,1.497633333333312,0.5602615838725121,-0.0136245881442569,,
2021-02-01 01:37:00,0.97,0.07425042,1.4951999999999923,0.5609645539327792,-0.9362445386574773,,
2021-02-01 01:38:00,0.88,0.06745621,1.4936333333333216,0.5620267304209381,-1.0918223282257982,,
2021-02-01 01:39:00,1.61,0.1235705,1.4929666666666648,0.561768765634169,0.2083300825762693,,
2021-02-01 01:40:00,1.36,0.10434009,1.490666666666657,0.5608923452545481,-0.2329621143382815,,
2021-02-01 01:41:00,1.46,0.11145038,1.4902666666666482,0.5608712127391816,-0.0539636657742371,,
2021-02-01 01:42:00,0.75,0.05706416,1.484466666666655,0.5594933645467566,-1.3127352587311625,,
2021-02-01 01:43:00,0.29,0.02197885,1.478899999999994,0.5630427875407755,-2.1115624359434566,,
2021-02-01 01:44:00,0.44,0.03336974,1.4744666666666792,0.5659715495247324,-1.827771497587396,,
2021-02-01 01:45:00,0.45,0.03409943,1.4704000000000088,0.5689371420214614,-1.7935197487273866,,
2021-02-01 01:46:00,0.59,0.0448874,1.466899999999999,0.5711158385152559,-1.5354153060781817,,
2021-02-01 01:47:00,0.79,0.06017718,1.464399999999999,0.5724347810841575,-1.1781254778452237,,
2021-02-01 01:48:00,0.81,0.06182309,1.4617666666666629,0.5736247583858366,-1.1362247830806942,,
