start_time,date,sopr_ratio,close,change
2021-08-27,2021-08-27,2.231319503211603,,
2021-08-28,2021-08-28,3.1037428014250965,,
2021-08-29,2021-08-29,2.8121758740475933,,
2021-08-30,2021-08-30,1.8327275843824269,,
2021-08-31,2021-08-31,2.5291378349112943,,
2021-09-01,2021-09-01,1.4747076662472058,,
2021-09-02,2021-09-02,1.4557556168281636,,
2021-09-03,2021-09-03,2.560178544400728,,
2021-09-04,2021-09-04,2.063408307342581,,
2021-09-05,2021-09-05,2.574495033034152,,
2021-09-06,2021-09-06,1.738920022602603,,
2021-09-07,2021-09-07,1.2524122235690829,,
2021-09-08,2021-09-08,1.5052890978668014,,
2021-09-09,2021-09-09,3.063881312299766,,
2021-09-10,2021-09-10,3.1601181080291925,,
2021-09-11,2021-09-11,1.5058867048099671,,
2021-09-12,2021-09-12,2.3988832669334124,,
2021-09-13,2021-09-13,2.1878921683767607,,
2021-09-14,2021-09-14,1.5907391861331006,,
2021-09-15,2021-09-15,2.6723357586863816,,
2021-09-16,2021-09-16,2.0917310890330927,,
2021-09-17,2021-09-17,1.5447536837586646,,
2021-09-18,2021-09-18,1.6386631375304983,,
2021-09-19,2021-09-19,2.072296327168953,,
2021-09-20,2021-09-20,2.1660017506527174,,
2021-09-21,2021-09-21,1.286278317677658,,
2021-09-22,2021-09-22,1.7180720802319047,,
2021-09-23,2021-09-23,1.817191362138315,,
2021-09-24,2021-09-24,1.5967556187793746,,
2021-09-25,2021-09-25,1.805675848170452,,
2021-09-26,2021-09-26,2.4568443804056104,,
2021-09-27,2021-09-27,2.042534986028071,,
2021-09-28,2021-09-28,0.9906863572946516,,
2021-09-29,2021-09-29,2.0551179773077317,,
2021-09-30,2021-09-30,1.7229407575227844,,
2021-10-01,2021-10-01,2.3239100097712857,,
2021-10-02,2021-10-02,2.1361785096311663,,
2021-10-03,2021-10-03,2.1242084658542577,,
2021-10-04,2021-10-04,1.1229874704460043,,
2021-10-05,2021-10-05,1.801176526038636,,
2021-10-06,2021-10-06,1.5757426144735982,,
2021-10-07,2021-10-07,1.6550340498691205,,
2021-10-08,2021-10-08,1.7423199042067836,,
2021-10-09,2021-10-09,1.8689542097229783,,
2021-10-10,2021-10-10,3.324202830726743,,
2021-10-11,2021-10-11,1.8242839664412296,,
2021-10-12,2021-10-12,2.336191874264766,,
2021-10-13,2021-10-13,1.5855296933603242,,
2021-10-14,2021-10-14,1.9986230434334016,,
2021-10-15,2021-10-15,1.590347563305543,,
2021-10-16,2021-10-16,1.7295231894939205,,
2021-10-17,2021-10-17,2.0235096448545438,,
2021-10-18,2021-10-18,2.475006173135199,,
2021-10-19,2021-10-19,3.8196649715596345,,
2021-10-20,2021-10-20,1.7923718632492212,,
2021-10-21,2021-10-21,2.437192958485403,,
