start_time,date,market_premium,close,change
2023-02-06,2023-02-06,-42.4566802692656,22757.7,-0.0074795457320796
2023-02-07,2023-02-07,-42.60296053520221,23234.1,0.0209335741309533
2023-02-08,2023-02-08,-43.79939726357743,22955.9,-0.0119737799183096
2023-02-09,2023-02-09,-46.44285372709136,21793.4,-0.0506405760610562
2023-02-10,2023-02-10,-45.829023460069415,21618.6,-0.0080207769324659
2023-02-13,2023-02-13,-47.5799997525169,21766.2,-0.0002250690135086
2023-02-14,2023-02-14,-46.333055400796816,22187.4,0.0193511040052927
2023-02-15,2023-02-15,-45.06312801179676,24332.6,0.0966855061881968
2023-02-16,2023-02-16,-44.50354348289758,23526.6,-0.0331242859373843
2023-02-17,2023-02-17,-45.47696332170216,24581.5,0.0448386082136815
2023-02-21,2023-02-21,-46.62638718306115,24443.4,-0.016358214721186
2023-02-22,2023-02-22,-47.3841082307265,24171.3,-0.0111318392694961
2023-02-23,2023-02-23,-45.42643030554922,23928.8,-0.0100325592748424
2023-02-24,2023-02-24,-45.67745967520527,23175.6,-0.0314767142522818
2023-02-27,2023-02-27,-46.2477507213702,23480.0,-0.0027733772769936
2023-02-28,2023-02-28,-45.182762321877824,23129.6,-0.0149233390119251
2023-03-01,2023-03-01,-46.44914685511864,23619.8,0.0211936220254564
2023-03-02,2023-03-02,-46.08619604851019,23457.1,-0.0068882886391925
2023-03-03,2023-03-03,-44.70726853986275,22342.8,-0.0475037408716336
2023-03-06,2023-03-06,-42.2664431659249,22397.1,-0.0009946742553326
2023-03-07,2023-03-07,-36.109026572527526,22187.1,-0.0093762138848333
2023-03-08,2023-03-08,-32.9291549627301,21695.4,-0.0221615262923048
2023-03-09,2023-03-09,-36.25955339914972,20348.3,-0.0620915032679739
2023-03-10,2023-03-10,-38.55197674079635,20140.3,-0.0102219841460957
2023-03-13,2023-03-13,-42.20967681703753,24119.5,0.0970290454921722
2023-03-14,2023-03-14,-39.71935937186368,24682.5,0.0233421090818632
2023-03-15,2023-03-15,-39.71127303413618,24288.0,-0.0159829838954724
2023-03-16,2023-03-16,-38.07924568859345,24990.4,0.0289196310935442
2023-03-17,2023-03-17,-37.94193659335661,27384.0,0.0957807798194505
2023-03-20,2023-03-20,-36.35542395401542,27704.1,-0.0089999534978556
2023-03-21,2023-03-21,-37.27959635586336,28091.1,0.013969051512231
2023-03-22,2023-03-22,-39.16107679234838,27233.8,-0.0305185628188287
2023-03-23,2023-03-23,-37.30350365594298,28284.1,0.0385660466038524
2023-03-24,2023-03-24,-35.758300063660506,27438.9,-0.0298825134969823
2023-03-27,2023-03-27,-38.17902400914451,27112.0,-0.0301313214782699
2023-03-28,2023-03-28,-36.94912902172259,27249.7,0.0050789318383004
2023-03-29,2023-03-29,-38.4895368038915,28338.5,0.0399564031897599
2023-03-30,2023-03-30,-37.86184210796033,28015.0,-0.0114155653968982
2023-03-31,2023-03-31,-36.72778137376636,28454.9,0.0157023023380331
2023-04-03,2023-04-03,-36.422382665343655,27786.1,-0.0133197448972345
2023-04-04,2023-04-04,-37.63045109540707,28155.2,0.01328362022738
2023-04-05,2023-04-05,-36.69464976614568,28154.0,-4.262090129003582e-05
