start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-01-11,2021-01-11,85262.35394073,0.00041334,7639537666.342835,37.03515938,475460441.8871113,2.30495012,696258784.5583711,3.37534235,4489581.11502685,0.02176471,93623685.05553035,0.45387146,37417573.39856524,0.18139393,1945447734.3163948,9.43119467,151440249.7141595,0.73415618,3093913753.0860224,14.99875961,1698782226.9747465,8.23540288,391276432.481259,1.89684058,4400064070.033484,21.33075079,35408.46,-0.0736024878033848
2021-01-12,2021-01-12,110215.24072296,0.00053423,7648624938.807552,37.07373102,473545848.37777513,2.2953291,697571930.5491642,3.3812083,4416786.91211218,0.02140865,96519778.33789334,0.46784204,35832538.7781285,0.17368428,1940344693.712788,9.40506533,150985727.0063048,0.73184452,3096287120.0725446,15.00804612,1698634759.299338,8.23347055,392402183.8647413,1.90201679,4395571057.15704,21.30581907,34056.9,-0.038170538905109
2021-01-13,2021-01-13,105500.65539414,0.00051129,7651867292.407744,37.0837497,473418349.4943349,2.29435861,690971151.4931583,3.34869912,4396522.60238049,0.02130716,96791516.856228,0.46908712,37945737.34159354,0.18389893,1944407903.714746,9.42331241,150592378.82535547,0.72982579,3099519490.6725106,15.02140596,1699334903.6931963,8.23559895,391820757.2188043,1.89890681,4392845697.553985,21.28933816,37421.07,0.0987808637897165
2021-01-14,2021-01-14,120564.50184805,0.00058421,7656493339.928083,37.10040076,459996537.7339843,2.22896503,652177679.3411356,3.16020039,3596824.13830029,0.01742882,97395209.54241616,0.47193946,39992445.57523781,0.1937879,1992634712.700363,9.65553591,152036996.62359568,0.73671239,3104057542.9810147,15.04106041,1690226790.8248105,8.19018427,387707756.9734097,1.8786816,4400789028.564282,21.32451886,39163.31,0.0465577280393103
2021-01-15,2021-01-15,98263.27898589,0.00047615,7660391100.376779,37.11988359,454239803.5595003,2.20110545,645158515.0358149,3.12623842,2988850.54823539,0.01448304,99030292.8025927,0.47987014,42206944.81883374,0.20452179,1993337929.4131773,9.65909846,151833417.55679762,0.73573773,3111181333.6106863,15.07582151,1688598583.9824405,8.18242594,386245956.6543208,1.87162832,4401583201.685517,21.32870945,36755.24,-0.0614879079424083
2021-01-16,2021-01-16,58171.3174317,0.00028177,7663971369.246481,37.12248675,455078445.9049504,2.20429367,642587654.3167472,3.11254447,2803590.25755801,0.01357994,103254740.45678802,0.50014184,42174586.86004941,0.20428385,1973096170.607712,9.55721687,152217054.19195452,0.73730385,3131981269.874357,15.17058553,1690439403.298701,8.18809353,385077992.3384762,1.86522783,4402351084.932324,21.32396012,36025.66,-0.0198496867385438
2021-01-17,2021-01-17,56858.85158803,0.00027529,7669087663.617212,37.13082092,459935731.8375338,2.2268348,642418880.3121302,3.11034916,3011211.95649062,0.01457915,104883281.92283031,0.50780517,40924514.45058396,0.19814102,1968704550.6044407,9.53172259,155608287.35231686,0.75339645,3137865931.779281,15.19235965,1685351495.397561,8.1598343,380242469.33241695,1.84099017,4406145880.031391,21.33289132,35869.83,-0.0043255279708963
2021-01-18,2021-01-18,73328.5508476,0.00035494,7673395092.885987,37.14275538,460146703.1964955,2.22732131,642043050.9381009,3.10778315,2834167.62465598,0.01371867,105847873.05711444,0.5123523,42741604.9067504,0.20688899,1958843298.898656,9.48170094,155069778.2059738,0.75060892,3147556592.6275043,15.23561907,1684061366.913243,8.15163023,379475200.9631626,1.8368342,4407109176.14299,21.33243188,36686.86,0.0227776379202242
2021-01-19,2021-01-19,102825.78365283,0.0004976,7677632469.871749,37.15430069,447142062.5487173,2.16385073,654914382.269399,3.16932153,2383212.8207624,0.01153306,105335058.92151044,0.50974704,43614451.92581095,0.21106304,1953232061.5905,9.45225909,157343135.79838392,0.76142928,3152587382.654692,15.25628897,1683252465.0495052,8.14574916,379981552.5177132,1.83884145,4406661352.720039,21.32511833,35891.03,-0.0216925078897458
2021-01-20,2021-01-20,89021.84665341,0.00043064,7682382311.022323,37.16285199,446782002.7329259,2.16126883,651621972.9561244,3.15216426,2212728.68602544,0.01070388,105595920.95728606,0.51081102,44501437.80704904,0.21527181,1954613920.272889,9.45527375,159404606.24686804,0.77110583,3155929186.374628,15.2665312,1681311857.94349,8.13319895,380601073.81775606,1.84112438,4407162629.57919,21.31926346,35500.0,-0.0108949227703969
