start_time,date,price_usd_adj_close,price_usd_close,close,change
2023-05-19,2023-05-19,14.39,14.39,26870.1,0.0022678697317721
2023-05-22,2023-05-22,14.19,14.19,26840.2,0.0040175365094565
2023-05-23,2023-05-23,14.33,14.33,27209.9,0.0137741149469825
2023-05-24,2023-05-24,13.695,13.695,26313.8,-0.0329328663464402
2023-05-25,2023-05-25,13.76,13.76,26461.8,0.0056244252065456
2023-05-26,2023-05-26,13.83,13.83,26689.9,0.0086199729421279
2023-05-30,2023-05-30,14.35,14.35,27680.1,-0.0015114349614026
2023-05-31,2023-05-31,13.89,13.89,27201.1,-0.0173048507772731
2023-06-01,2023-06-01,13.89,13.89,26805.3,-0.0145508821334431
2023-06-02,2023-06-02,14.38,14.38,27227.8,0.0157618082991051
2023-06-05,2023-06-05,13.6805,13.6805,25714.7,-0.0512021075624299
2023-06-06,2023-06-06,14.47,14.47,27221.5,0.0585968337176789
2023-06-07,2023-06-07,13.83,13.83,26325.9,-0.0329004647062064
2023-06-08,2023-06-08,13.85,13.85,26485.9,0.0060776649611218
2023-06-09,2023-06-09,13.54,13.54,26468.1,-0.0006720556975599
2023-06-12,2023-06-12,13.12,13.12,25894.8,-0.0005827888181738
2023-06-13,2023-06-13,13.11,13.11,25918.0,0.0008959327741477
2023-06-14,2023-06-14,13.26,13.26,25115.9,-0.0309476039817886
2023-06-15,2023-06-15,13.4,13.4,25586.1,0.0187212084774981
2023-06-16,2023-06-16,15.12,15.12,26336.0,0.029308882557326
2023-06-20,2023-06-20,16.85,16.85,28290.6,0.0544980151704344
2023-06-21,2023-06-21,17.72,17.72,29988.5,0.0600164012074682
2023-06-22,2023-06-22,18.0,18.0,29875.0,-0.0037847841672641
2023-06-23,2023-06-23,19.19,19.19,30673.4,0.0267246861924685
2023-06-26,2023-06-26,18.18,18.18,30260.1,-0.0064974719285574
2023-06-27,2023-06-27,19.47,19.47,30683.2,0.0139821084530455
2023-06-28,2023-06-28,18.61,18.61,30066.3,-0.020105464879804
2023-06-29,2023-06-29,19.55,19.55,30439.9,0.0124258721558689
2023-06-30,2023-06-30,19.19,19.19,30460.2,0.0006668878675686
2023-07-03,2023-07-03,20.45,20.45,31149.0,0.0175188728860897
2023-07-05,2023-07-05,20.14,20.14,30488.4,-0.0087039644168147
2023-07-06,2023-07-06,20.08,20.08,29874.4,-0.0201388068904895
2023-07-07,2023-07-07,19.81,19.81,30327.9,0.0151802211927267
2023-07-10,2023-07-10,19.99,19.99,30396.9,0.0082626261286065
2023-07-11,2023-07-11,19.93,19.93,30608.4,0.006957946369531
2023-07-12,2023-07-12,19.7,19.7,30368.9,-0.0078246494426366
2023-07-13,2023-07-13,21.38,21.38,31441.7,0.03532561271564
2023-07-14,2023-07-14,19.75,19.75,30293.3,-0.0365247426188788
2023-07-17,2023-07-17,19.92,19.92,30126.1,-0.0030016414709698
2023-07-18,2023-07-18,19.71,19.71,29845.6,-0.0093108633377702
2023-07-19,2023-07-19,20.08,20.08,29895.5,0.001671938242153
2023-07-20,2023-07-20,19.59,19.59,29791.0,-0.0034955093575955
2023-07-21,2023-07-21,19.875,19.875,29891.4,0.0033701453459098
2023-07-24,2023-07-24,19.2,19.2,29163.8,-0.0301621506577809
2023-07-25,2023-07-25,19.17,19.17,29216.3,0.0018001769316755
2023-07-26,2023-07-26,19.26,19.26,29336.0,0.0040970280288743
2023-07-27,2023-07-27,18.39,18.39,29209.7,-0.0043052904281428
2023-07-28,2023-07-28,18.725,18.725,29299.9,0.0030880152825945
2023-07-31,2023-07-31,19.13,19.13,29220.8,-0.001718418508358
2023-08-01,2023-08-01,19.04,19.04,29701.2,0.0164403438646443
2023-08-02,2023-08-02,19.16,19.16,29170.1,-0.0178814324000378
2023-08-03,2023-08-03,19.3,19.3,29180.2,0.000346244956308
2023-08-04,2023-08-04,19.22,19.22,29101.1,-0.002710742215612
2023-08-07,2023-08-07,19.16,19.16,29202.7,0.0043610000034393
2023-08-08,2023-08-08,20.09,20.09,29759.0,0.019049608426618
2023-08-09,2023-08-09,19.67,19.67,29572.8,-0.006256930676434
2023-08-10,2023-08-10,19.8,19.8,29443.7,-0.0043654980252123
2023-08-11,2023-08-11,19.82,19.82,29415.5,-0.0009577600641224
2023-08-14,2023-08-14,20.12,20.12,29419.5,0.0043081523761405
2023-08-15,2023-08-15,19.66,19.66,29188.8,-0.0078417376230052
2023-08-16,2023-08-16,19.46,19.46,28714.4,-0.0162528092967164
2023-08-17,2023-08-17,18.5333,18.5333,26609.7,-0.0732977182180369
2023-08-18,2023-08-18,17.4,17.4,26042.1,-0.0213305674246609
2023-08-21,2023-08-21,17.21,17.21,26115.4,-0.0023112863359043
2023-08-22,2023-08-22,17.0,17.0,26044.4,-0.0027187023748439
2023-08-23,2023-08-23,18.19,18.19,26419.2,0.0143908095406306
2023-08-24,2023-08-24,17.68,17.68,26164.6,-0.0096369307170542
2023-08-25,2023-08-25,17.35,17.35,26051.7,-0.0043149904833247
2023-08-28,2023-08-28,17.58,17.58,26106.5,0.000720646128252
2023-08-29,2023-08-29,20.56,20.56,27700.1,0.0610422691666825
2023-08-30,2023-08-30,19.71,19.71,27290.4,-0.0147905603228868
2023-08-31,2023-08-31,18.71,18.71,25928.0,-0.0499223170052472
2023-09-01,2023-09-01,18.48,18.48,25795.6,-0.005106448626967
2023-09-05,2023-09-05,18.55,18.55,25779.7,-0.0013287363446191
2023-09-06,2023-09-06,18.6,18.6,25747.4,-0.0012529238121467
2023-09-07,2023-09-07,19.3,19.3,26240.7,0.0191592160761862
2023-09-08,2023-09-08,19.3,19.3,25899.8,-0.0129912692877858
2023-09-11,2023-09-11,18.65,18.65,25150.4,-0.02625017422682
2023-09-12,2023-09-12,19.26,19.26,25825.8,0.0268544436668998
2023-09-13,2023-09-13,19.21,19.21,26209.9,0.0148727241750499
2023-09-14,2023-09-14,19.46,19.46,26510.3,0.0114613180515759
2023-09-15,2023-09-15,19.26,19.26,26591.1,0.0030478719592006
2023-09-18,2023-09-18,19.23,19.23,26749.9,0.0088895761516469
2023-09-19,2023-09-19,19.84,19.84,27196.0,0.0166766978568144
2023-09-20,2023-09-20,19.42,19.42,27107.7,-0.003246801000147
2023-09-21,2023-09-21,19.0,19.0,26552.6,-0.020477576481959
2023-09-22,2023-09-22,18.9,18.9,26566.7,0.0005310214442277
2023-09-25,2023-09-25,18.45,18.45,26290.5,0.0022148183162806
2023-09-26,2023-09-26,18.17,18.17,26208.8,-0.0031075863905213
2023-09-27,2023-09-27,18.13,18.13,26359.6,0.0057537926192727
2023-09-28,2023-09-28,19.0,19.0,27011.8,0.024742408837767
2023-09-29,2023-09-29,19.19,19.19,26890.9,-0.0044758216779332
2023-10-02,2023-10-02,19.45,19.45,27477.6,-0.0180048174859014
2023-10-03,2023-10-03,19.64,19.64,27412.0,-0.0023873991906133
2023-10-04,2023-10-04,20.14,20.14,27759.8,0.0126878739238289
2023-10-05,2023-10-05,20.15,20.15,27398.4,-0.0130188257840473
2023-10-06,2023-10-06,20.73,20.73,27916.3,0.0189025636533519
2023-10-09,2023-10-09,20.5,20.5,27578.3,-0.0115729789399739
2023-10-10,2023-10-10,20.58,20.58,27381.2,-0.0071469234869443
2023-10-11,2023-10-11,20.07,20.07,26864.5,-0.0188706119527267
2023-10-12,2023-10-12,20.02,20.02,26744.0,-0.0044854733942563
2023-10-13,2023-10-13,20.24,20.24,26849.8,0.0039560275201913
2023-10-16,2023-10-16,21.8,21.8,28486.3,0.0496134827817449
2023-10-17,2023-10-17,22.16,22.16,28381.9,-0.0036649196280316
2023-10-18,2023-10-18,22.207,22.207,28307.1,-0.0026354824729846
2023-10-19,2023-10-19,22.207,22.207,28696.9,0.0137703968262381
2023-10-20,2023-10-20,23.64,23.64,29653.0,0.0333171875707829
2023-10-23,2023-10-23,24.705,24.705,33074.0,0.1031469406133782
2023-10-24,2023-10-24,26.16,26.16,33917.0,0.025488298965955
2023-10-25,2023-10-25,26.79,26.79,34487.7,0.0168263702568032
2023-10-26,2023-10-26,25.77,25.77,34154.0,-0.0096759134416037
2023-10-27,2023-10-27,25.07,25.07,33893.1,-0.0076389295543713
2023-10-30,2023-10-30,26.48,26.48,34483.8,-0.0012974751365533
2023-10-31,2023-10-31,26.76,26.76,34651.4,0.0048602532203527
2023-11-01,2023-11-01,26.89,26.89,35437.4,0.0226830661964596
2023-11-02,2023-11-02,27.1675,27.1675,34940.1,-0.0140331965663396
2023-11-03,2023-11-03,27.05,27.05,34700.4,-0.0068603123631585
2023-11-06,2023-11-06,26.95,26.95,35057.4,0.0009107650140611
2023-11-07,2023-11-07,28.1,28.1,35406.5,0.009957954668629
