start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,mean,std,z-score,close,change
2021-01-16 21:33:00,11.73,-4.04732385,0.03234104,-0.01116382,25.437233333332696,10.957856026968996,-1.2509046751113586,,
2021-01-16 21:34:00,4.73,-27.8681,0.0130663,-0.07705303,25.35043333333257,11.01843982601075,-1.8714476512958589,,
2021-01-16 21:35:00,12.39,-18.48092346,0.03420172,-0.05105876,25.28099999999938,11.034302747505448,-1.1682659335148005,,
2021-01-16 21:36:00,12.99,-12.73694368,0.0358709,-0.03519709,25.254233333332618,11.0543946865055,-1.109444133409133,,
2021-01-16 21:37:00,14.49,-5.49724699,0.04013101,-0.01523342,25.27379999999927,11.03002122029981,-0.9776771761918832,,
2021-01-16 21:38:00,-3.45,-18.17294949,-0.00958003,-0.05048366,25.15873333333293,11.14877165551643,-2.566088374334699,,
2021-01-16 21:39:00,-36.28,-48.04879039,-0.10055864,-0.13322209,24.992266666666065,11.681163045508953,-5.2453909279370405,,
2021-01-16 21:40:00,-8.04,-19.90171138,-0.02230405,-0.05522822,24.867499999999225,11.832942795456823,-2.781007275099296,,
2021-01-16 21:41:00,-6.16,-16.96594327,-0.01711025,-0.0471394,24.801199999999177,11.950690939845847,-2.59074560256334,,
2021-01-16 21:42:00,-21.31,-27.53512,-0.05919444,-0.07649967,24.63603333333236,12.24186557848096,-3.7531888451787423,,
2021-01-16 21:43:00,6.38,7.32515037,0.01771265,0.02033612,24.51313333333237,12.239443646863604,-1.4815324827267815,,
2021-01-16 21:44:00,-12.71,-17.74601104,-0.03545214,-0.04950609,24.40093333333265,12.425090504388846,-2.9867736834773284,,
2021-01-16 21:45:00,15.43,13.40097199,0.04283686,0.03720596,24.42343333333265,12.40261831290159,-0.7251237687430404,,
2021-01-16 21:46:00,28.26,20.12987185,0.07852541,0.05594705,24.49879999999927,12.356768793254563,0.3043837804955881,,
