start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_sell_ratio,close,change
2022-11-27 20:00:00,2022-11-27 20:00:00,0.49592439,0.98382938,0.50407561,16547.5,0.0002115570599612
2022-11-27 21:00:00,2022-11-27 21:00:00,0.72414147,2.62504655,0.27585853,16567.5,0.0012086417887897
2022-11-27 22:00:00,2022-11-27 22:00:00,0.51130908,1.04628318,0.48869092,16565.5,-0.0001207182737287
2022-11-27 23:00:00,2022-11-27 23:00:00,0.43521306,0.77057917,0.56478694,16426.0,-0.0084211161751833
2022-11-28 00:00:00,2022-11-28 00:00:00,0.50968752,1.0395157,0.49031248,16437.0,0.0006696700353099
2022-11-28 01:00:00,2022-11-28 01:00:00,0.50427292,1.017239,0.49572708,16148.5,-0.017551864695504
2022-11-28 02:00:00,2022-11-28 02:00:00,0.5489988,1.21728902,0.4510012,16116.0,-0.0020125708270117
2022-11-28 03:00:00,2022-11-28 03:00:00,0.62144198,1.64160299,0.37855802,16173.0,0.003536857781087
2022-11-28 04:00:00,2022-11-28 04:00:00,0.5700616,1.32591462,0.4299384,16200.0,0.0016694490818029
2022-11-28 05:00:00,2022-11-28 05:00:00,0.53414356,1.14658406,0.46585644,16149.5,-0.0031172839506172
2022-11-28 06:00:00,2022-11-28 06:00:00,0.65983097,1.93971501,0.34016903,16207.5,0.0035914424595189
2022-11-28 07:00:00,2022-11-28 07:00:00,0.55501665,1.24727511,0.44498335,16228.0,0.001264846521672
2022-11-28 08:00:00,2022-11-28 08:00:00,0.50181599,1.00729042,0.49818401,16222.5,-0.0003389203845205
2022-11-28 09:00:00,2022-11-28 09:00:00,0.3182263,0.46676236,0.6817737,16213.5,-0.0005547850208044
2022-11-28 10:00:00,2022-11-28 10:00:00,0.47905622,0.91959292,0.52094378,16190.0,-0.0014494094427482
2022-11-28 11:00:00,2022-11-28 11:00:00,0.30322662,0.43518686,0.69677338,16201.5,0.0007103150092648
2022-11-28 12:00:00,2022-11-28 12:00:00,0.37599005,0.60253856,0.62400995,16172.0,-0.0018208190599635
2022-11-28 13:00:00,2022-11-28 13:00:00,0.30288601,0.43448563,0.69711399,16164.5,-0.0004637645312886
2022-11-28 14:00:00,2022-11-28 14:00:00,0.5035367,1.01424757,0.4964633,16200.0,0.0021961706208049
2022-11-28 15:00:00,2022-11-28 15:00:00,0.71591323,2.52005132,0.28408677,16136.0,-0.0039506172839506
2022-11-28 16:00:00,2022-11-28 16:00:00,0.48622683,0.94638423,0.51377317,16295.0,0.009853743182945
2022-11-28 17:00:00,2022-11-28 17:00:00,0.28221783,0.39318033,0.71778217,16200.5,-0.0057993249463025
2022-11-28 18:00:00,2022-11-28 18:00:00,0.6241556,1.66067552,0.3758444,16159.5,-0.0025307860868492
2022-11-28 19:00:00,2022-11-28 19:00:00,0.73356177,2.75321519,0.26643823,16216.5,0.0035273368606703
2022-11-28 20:00:00,2022-11-28 20:00:00,0.63731701,1.75722887,0.36268299,16254.5,0.0023432923257176
