start_time,average_sa_cdd,binary_cdd,cdd,date,sa_cdd,close,change
2023-04-18,0.52345383,0,5851901.23684728,2023-04-18,0.30242097,30365.8,0.0321481985044187
2023-04-19,0.5236231,1,27228242.68083131,2023-04-19,1.40706781,28795.1,-0.0517259548571089
2023-04-20,0.5235738,0,5152158.20826179,2023-04-20,0.26623549,28229.9,-0.0196283395438806
2023-04-21,0.52354045,0,6762747.21215685,2023-04-21,0.3494456,27252.5,-0.0346228644097216
2023-04-22,0.52346361,0,2365454.19959944,2023-04-22,0.12222219,27807.2,0.0203540959544996
2023-04-23,0.52339507,0,3201933.42018839,2023-04-23,0.16543493,27576.0,-0.0083143933945165
2023-04-24,0.52334802,0,5372177.45283838,2023-04-24,0.27755272,27497.5,-0.0028466782709603
2023-04-25,0.52329829,0,5099102.89467567,2023-04-25,0.26343373,28286.7,0.0287007909809982
2023-04-26,0.52325585,0,5835508.3578984,2023-04-26,0.30146581,28395.9,0.0038604715290224
2023-04-27,0.5232067,0,5154843.38521076,2023-04-27,0.26629108,29459.0,0.0374385034459199
2023-04-28,0.52316342,0,5748031.40742612,2023-04-28,0.29692015,29300.0,-0.0053973318849926
2023-04-29,0.52316438,1,10225754.74156828,2023-04-29,0.52819793,29212.7,-0.0029795221843003
2023-04-30,0.52308659,0,2251079.83241156,2023-04-30,0.11627102,29223.0,0.0003525863751039
2023-05-01,0.52303199,0,4596523.19858831,2023-05-01,0.23740208,28054.4,-0.03998904972111
2023-05-02,0.52298173,0,5034773.51585925,2023-05-02,0.26002608,28656.5,0.021461874073229
2023-05-03,0.52302726,1,14740981.06596647,2023-05-03,0.76127856,29018.4,0.0126288974578194
2023-05-04,0.52297965,0,5301264.17484468,2023-05-04,0.27376391,28826.0,-0.0066302759628373
2023-05-05,0.5229269,0,4779134.42064971,2023-05-05,0.246791,29491.5,0.0230867966419205
2023-05-06,0.52284437,0,1756802.35263932,2023-05-06,0.09071562,28837.8,-0.022165708763542
2023-05-07,0.5230058,1,26501993.30530495,2023-05-07,1.3684163,28419.4,-0.0145087350630075
2023-05-08,0.52299228,0,8757839.43025341,2023-05-08,0.45218638,27659.8,-0.0267282208632132
2023-05-09,0.52292418,0,3217696.79453984,2023-05-09,0.16612862,27610.2,-0.0017932161476221
2023-05-10,0.52290337,0,8016003.11161108,2023-05-10,0.41384088,27582.9,-0.0009887650216223
2023-05-11,0.52288556,0,8320927.66396761,2023-05-11,0.42956224,26956.4,-0.022713347762563
2023-05-12,0.52286775,0,8320119.59069196,2023-05-12,0.42950099,26785.1,-0.0063547061180276
2023-05-13,0.52279224,0,2458428.35728533,2023-05-13,0.12690298,26762.7,-0.0008362858454886
2023-05-14,0.52276996,0,7864220.2970186,2023-05-14,0.40592479,26901.9,0.0052012689302649
2023-05-15,0.5229862,1,32107030.04549924,2023-05-15,1.65717907,27152.5,0.0093153271701997
2023-05-16,0.52298312,0,9820116.38490933,2023-05-16,0.50683256,27024.8,-0.0047030660160206
2023-05-17,0.5229264,0,4365751.80966591,2023-05-17,0.22531209,27395.8,0.0137281311980106
2023-05-18,0.52287086,0,4483820.8999299,2023-05-18,0.231395,26809.3,-0.0214083910672439
2023-05-19,0.52281674,0,4626164.21648526,2023-05-19,0.23872938,26870.1,0.0022678697317721
2023-05-20,0.52274892,0,3230723.31220358,2023-05-20,0.16671171,27089.5,0.0081652096568305
2023-05-21,0.5226827,0,3390963.37470339,2023-05-21,0.17497189,26732.8,-0.0131674634083316
2023-05-22,0.52277133,1,19153757.56421463,2023-05-22,0.98827774,26840.2,0.0040175365094565
2023-05-23,0.52273036,0,5960396.45931917,2023-05-23,0.30752371,27209.9,0.0137741149469825
2023-05-24,0.52269246,0,6272004.97427203,2023-05-24,0.32358629,26313.8,-0.0329328663464402
2023-05-25,0.5229495,1,36318713.21423472,2023-05-25,1.87366965,26461.8,0.0056244252065456
2023-05-26,0.52293563,0,8723617.09998042,2023-05-26,0.45002614,26689.9,0.0086199729421279
2023-05-27,0.52286021,0,2449957.20537231,2023-05-27,0.12638029,26841.6,0.0056837979910002
2023-05-28,0.52280969,0,4986096.40457917,2023-05-28,0.25719298,28055.7,0.0452320278969957
2023-05-29,0.52277888,0,6994526.51850503,2023-05-29,0.36077304,27722.0,-0.0118941961882969
2023-05-30,0.52278232,1,10486607.99198848,2023-05-30,0.54086544,27680.1,-0.0015114349614026
2023-05-31,0.52278453,1,10362278.99146615,2023-05-31,0.53442866,27201.1,-0.0173048507772731
2023-06-01,0.52279694,1,11403007.24481776,2023-06-01,0.58807861,26805.3,-0.0145508821334431
2023-06-02,0.52275578,0,5936746.21266332,2023-06-02,0.30615511,27227.8,0.0157618082991051
2023-06-03,0.52268633,0,3046897.6671418,2023-06-03,0.15712049,27054.9,-0.0063501274432747
2023-06-04,0.52261598,0,2952457.46573705,2023-06-04,0.15224315,27102.4,0.0017556893575656
2023-06-05,0.52260441,0,8954194.21008366,2023-06-05,0.46170152,25714.7,-0.0512021075624299
2023-06-06,0.52256564,0,6174507.22378578,2023-06-06,0.31835815,27221.5,0.0585968337176789
2023-06-07,0.52251411,0,4868975.75922218,2023-06-07,0.25103391,26325.9,-0.0329004647062064
2023-06-08,0.52251094,0,9810786.15879407,2023-06-08,0.50579791,26485.9,0.0060776649611218
2023-06-09,0.52246099,0,5027918.39418703,2023-06-09,0.25920167,26468.1,-0.0006720556975599
2023-06-10,0.52242173,0,6120383.80706082,2023-06-10,0.31550531,25826.6,-0.0242367226963778
2023-06-11,0.52235801,0,3616696.82563111,2023-06-11,0.18643065,25909.9,0.0032253568026763
2023-06-12,0.52233856,0,8143550.12357562,2023-06-12,0.41975611,25894.8,-0.0005827888181738
2023-06-13,0.52232758,0,9010645.95042224,2023-06-13,0.46442823,25918.0,0.0008959327741477
2023-06-14,0.52231864,0,9219634.44962864,2023-06-14,0.47518143,25115.9,-0.0309476039817886
2023-06-15,0.522314,0,9659474.37662383,2023-06-15,0.49782711,25586.1,0.0187212084774981
2023-06-16,0.52227674,0,6319160.07956676,2023-06-16,0.32565894,26336.0,0.029308882557326
2023-06-17,0.5222053,0,2816852.60340229,2023-06-17,0.14516041,26508.9,0.0065651579586878
2023-06-18,0.52223188,1,12857261.49309016,2023-06-18,0.66253896,26329.7,-0.0067599938133985
2023-06-19,0.52223762,1,10723161.60688843,2023-06-19,0.55254281,26828.5,0.0189443859975617
2023-06-20,0.52230897,1,17450045.60151273,2023-06-20,0.89912614,28290.6,0.0544980151704344
2023-06-21,0.52242102,1,21626346.34780004,2023-06-21,1.11426998,29988.5,0.0600164012074682
2023-06-22,0.52239211,0,7174441.58397986,2023-06-22,0.36963755,29875.0,-0.0037847841672641
2023-06-23,0.52248825,1,20001614.81813316,2023-06-23,1.03047049,30673.4,0.0267246861924685
2023-06-24,0.5224432,0,5520082.75916994,2023-06-24,0.28437779,30524.2,-0.0048641493932853
2023-06-25,0.52240196,0,5909183.30761367,2023-06-25,0.30440806,30458.0,-0.0021687710079215
2023-06-26,0.52235662,0,5487046.73130127,2023-06-26,0.28264866,30260.1,-0.0064974719285574
2023-06-27,0.52235621,0,10099220.16401036,2023-06-27,0.52020742,30683.2,0.0139821084530455
2023-06-28,0.52232964,0,7412412.09201813,2023-06-28,0.38179757,30066.3,-0.020105464879804
2023-06-29,0.52240675,1,18062415.81381276,2023-06-29,0.93031286,30439.9,0.0124258721558689
2023-06-30,0.52237482,0,6862440.39949658,2023-06-30,0.35343511,30460.2,0.0006668878675686
2023-07-01,0.5225872,1,31970741.82022769,2023-07-01,1.64651321,30573.6,0.003722890854295
2023-07-02,0.52252893,0,4157311.19054501,2023-07-02,0.21409234,30612.7,0.0012788811262005
2023-07-03,0.52249671,0,6834278.78589032,2023-07-03,0.35193474,31149.0,0.0175188728860897
2023-07-04,0.52244085,0,4401440.58489205,2023-07-04,0.22664419,30756.1,-0.0126135670487014
2023-07-05,0.52239298,0,5221709.37812689,2023-07-05,0.26886894,30488.4,-0.0087039644168147
2023-07-06,0.52250839,1,22020907.89642754,2023-07-06,1.13381901,29874.4,-0.0201388068904895
2023-07-07,0.52245253,0,4399692.14305725,2023-07-07,0.22651989,30327.9,0.0151802211927267
2023-07-08,0.52237374,0,2037228.1273046,2023-07-08,0.10488149,30269.3,-0.00193221423178
2023-07-09,0.52231181,0,3769703.63639141,2023-07-09,0.19406302,30147.8,-0.0040139679477225
2023-07-10,0.52228383,0,7264289.51561757,2023-07-10,0.37394454,30396.9,0.0082626261286065
2023-07-11,0.52230626,1,12457410.04119958,2023-07-11,0.64124346,30608.4,0.006957946369531
2023-07-12,0.52227507,0,6933229.17116589,2023-07-12,0.35687048,30368.9,-0.0078246494426366
2023-07-13,0.52228122,1,10780490.45713545,2023-07-13,0.55487713,31441.7,0.03532561271564
2023-07-14,0.52226383,0,8354594.96333267,2023-07-14,0.42999601,30293.3,-0.0365247426188788
2023-07-15,0.52218872,0,2402943.39136326,2023-07-15,0.12366969,30276.4,-0.0005578791349901
2023-07-16,0.52211611,0,2657759.56096116,2023-07-16,0.13677727,30216.8,-0.001968529944115
2023-07-17,0.52211759,1,10298116.06590379,2023-07-17,0.52995242,30126.1,-0.0030016414709698
2023-07-18,0.52213027,1,11454871.00123586,2023-07-18,0.58944959,29845.6,-0.0093108633377702
2023-07-19,0.52212471,0,9573357.72373938,2023-07-19,0.49260644,29895.5,0.001671938242153
2023-07-20,0.52209807,0,7397391.99959254,2023-07-20,0.38062433,29791.0,-0.0034955093575955
2023-07-21,0.52209185,0,9505470.39982137,2023-07-21,0.48907548,29891.4,0.0033701453459098
2023-07-22,0.52206155,0,7017966.20699307,2023-07-22,0.36107285,29783.5,-0.003609733903397
2023-07-23,0.52199898,0,3683459.5396205,2023-07-23,0.18950424,30070.8,0.009646280658754
2023-07-24,0.52197023,0,7176065.06935992,2023-07-24,0.36917186,29163.8,-0.0301621506577809
2023-07-25,0.52191691,0,4635967.8783778,2023-07-25,0.23848619,29216.3,0.0018001769316755
2023-07-26,0.52185512,0,3757690.18630712,2023-07-26,0.19329636,29336.0,0.0040970280288743
2023-07-27,0.52198049,1,23108957.00105357,2023-07-27,1.1886768,29209.7,-0.0043052904281428
2023-07-28,0.52247543,1,61339501.55226909,2023-07-28,3.15503469,29299.9,0.0030880152825945
2023-07-29,0.52240729,0,3108868.26145863,2023-07-29,0.15989975,29339.1,0.0013378885252166
2023-07-30,0.52233918,0,3109051.36944159,2023-07-30,0.15990053,29271.1,-0.0023177261742861
2023-07-31,0.52231507,0,7661468.81928036,2023-07-31,0.39401646,29220.8,-0.001718418508358
2023-08-01,0.5222535,0,3782507.7579829,2023-08-01,0.19451933,29701.2,0.0164403438646443
2023-08-02,0.52225721,1,10539843.24746924,2023-08-02,0.54199538,29170.1,-0.0178814324000378
2023-08-03,0.5221914,0,3340026.03014922,2023-08-03,0.17174741,29180.2,0.000346244956308
2023-08-04,0.52214882,0,5744832.2867672,2023-08-04,0.29539342,29101.1,-0.002710742215612
2023-08-05,0.52206799,0,1778838.79920005,2023-08-05,0.09146158,29057.7,-0.0014913525605561
2023-08-06,0.52199972,0,3078167.47183079,2023-08-06,0.15826006,29075.9,0.0006263400062633
2023-08-07,0.52194325,0,4298541.07413545,2023-08-07,0.22099365,29202.7,0.0043610000034393
2023-08-08,0.52192649,0,8414640.76760898,2023-08-08,0.43259037,29759.0,0.019049608426618
2023-08-09,0.52188303,0,5645119.97170788,2023-08-09,0.29019628,29572.8,-0.006256930676434
2023-08-10,0.521846,0,6310953.94351144,2023-08-10,0.32441129,29443.7,-0.0043654980252123
2023-08-11,0.52178424,0,3743052.1970105,2023-08-11,0.19240031,29415.5,-0.0009577600641224
2023-08-12,0.52173539,0,5080702.38732202,2023-08-12,0.26114417,29420.7,0.0001767775492511
2023-08-13,0.52167418,0,3796523.92972802,2023-08-13,0.19512993,29293.3,-0.0043302844595812
2023-08-14,0.52168862,1,11649581.19702294,2023-08-14,0.5987206,29419.5,0.0043081523761405
2023-08-15,0.52165614,0,6777704.73850493,2023-08-15,0.34831551,29188.8,-0.0078417376230052
2023-08-16,0.52163029,0,7465327.13602343,2023-08-16,0.38363316,28714.4,-0.0162528092967164
2023-08-17,0.52163129,1,10255165.58763787,2023-08-17,0.52697282,26609.7,-0.0732977182180369
2023-08-18,0.52164445,1,11519408.45123591,2023-08-18,0.59191088,26042.1,-0.0213305674246609
2023-08-19,0.52156776,0,2178962.00296663,2023-08-19,0.1119583,26088.3,0.0017740504798
2023-08-20,0.52149705,0,2797773.62001038,2023-08-20,0.14374628,26175.9,0.0033578270719059
2023-08-21,0.52146304,0,6612625.11075429,2023-08-21,0.3397308,26115.4,-0.0023112863359043
2023-08-22,0.52143733,0,7475683.7045127,2023-08-22,0.38405374,26044.4,-0.0027187023748439
2023-08-23,0.52138684,0,4895604.90303528,2023-08-23,0.25149401,26419.2,0.0143908095406306
2023-08-24,0.52133509,0,4763349.2835591,2023-08-24,0.24468901,26164.6,-0.0096369307170542
2023-08-25,0.52128414,0,4844663.26473429,2023-08-25,0.24885517,26051.7,-0.0043149904833247
2023-08-26,0.52120683,0,2097879.03798316,2023-08-26,0.10775677,26004.3,-0.0018194589988369
2023-08-27,0.52117291,0,6614389.61758511,2023-08-27,0.33973287,26087.7,0.0032071618924562
2023-08-28,0.52113448,0,6143844.98951479,2023-08-28,0.31555248,26106.5,0.000720646128252
2023-08-29,0.52117142,1,13996635.0976648,2023-08-29,0.7188412,27700.1,0.0610422691666825
2023-08-30,0.52112714,0,5532276.87656707,2023-08-30,0.28411598,27290.4,-0.0147905603228868
2023-08-31,0.5210916,0,6442776.65596767,2023-08-31,0.33086038,25928.0,-0.0499223170052472
2023-09-01,0.52105502,0,6333374.49880704,2023-09-01,0.32522641,25795.6,-0.005106448626967
2023-09-02,0.52097714,0,2024249.76784191,2023-09-02,0.10394259,25855.8,0.0023337313340259
2023-09-03,0.52091412,0,3571933.64314639,2023-09-03,0.18340485,25962.1,0.0041112632368751
2023-09-04,0.52086606,0,5130142.37937276,2023-09-04,0.26340019,25814.0,-0.0057044692070363
2023-09-05,0.52082778,0,6148947.33705892,2023-09-05,0.31569678,25779.7,-0.0013287363446191
2023-09-06,0.52079522,0,6745113.42588059,2023-09-06,0.3462899,25747.4,-0.0012529238121467
2023-09-07,0.52073731,0,4096803.33710773,2023-09-07,0.21031747,26240.7,0.0191592160761862
2023-09-08,0.5206788,0,4032695.95265849,2023-09-08,0.20701755,25899.8,-0.0129912692877858
2023-09-09,0.52060846,0,2793946.1454525,2023-09-09,0.14341966,25892.6,-0.0002779944246673
2023-09-10,0.52053104,0,2052257.50457676,2023-09-10,0.10534211,25828.4,-0.0024794728995928
2023-09-11,0.52048603,0,5436460.14748033,2023-09-11,0.27903856,25150.4,-0.02625017422682
2023-09-12,0.52044142,0,5476859.26070101,2023-09-12,0.28109942,25825.8,0.0268544436668998
2023-09-13,0.52037771,0,3477765.51877279,2023-09-13,0.17848766,26209.9,0.0148727241750499
