start_time,date,nul,nup,nupl,close,change
2021-05-13,2021-05-13,0.02623415,0.61688954,0.59423555,49707.9,0.0022610803826779
2021-05-14,2021-05-14,0.02312365,0.62330657,0.59569231,49873.27,0.0033268353722446
2021-05-15,2021-05-15,0.03930514,0.60896024,0.56898197,46793.41,-0.0617537209811988
2021-05-16,2021-05-16,0.04072043,0.60658223,0.5660906,46429.28,-0.0077816513051731
2021-05-17,2021-05-17,0.05722169,0.59875851,0.53811371,43566.18,-0.0616658281153617
2021-05-18,2021-05-18,0.0626814,0.59045843,0.5312535,42882.53,-0.0156922181380144
2021-05-19,2021-05-19,0.09830423,0.59976001,0.4567533,36689.14,-0.1444268796640496
2021-05-20,2021-05-20,0.07293149,0.5811264,0.51027683,40500.3,0.1038770600782685
2021-05-21,2021-05-21,0.10126545,0.56359401,0.46839537,37211.02,-0.0812161885220604
2021-05-22,2021-05-22,0.09571624,0.57038517,0.47210665,37432.58,0.0059541501415443
2021-05-23,2021-05-23,0.12632578,0.55334249,0.43054345,34651.6,-0.0742930356390075
2021-05-24,2021-05-24,0.08420172,0.56946443,0.48971698,38779.66,0.1191304297637052
2021-05-25,2021-05-25,0.08710671,0.56642779,0.48421214,38326.84,-0.0116767398166979
2021-05-26,2021-05-26,0.07807723,0.5729094,0.49566347,39224.2,0.023413357323484
2021-05-27,2021-05-27,0.08285598,0.57041427,0.48683322,38527.38,-0.0177650532069487
2021-05-28,2021-05-28,0.11110867,0.55648608,0.44625504,35670.99,-0.074139222547705
2021-05-29,2021-05-29,0.12301117,0.55120629,0.42971555,34611.94,-0.0296893918559589
2021-05-30,2021-05-30,0.11062011,0.55533875,0.4457743,35651.81,0.030043678568725
2021-05-31,2021-05-31,0.09291231,0.5640125,0.4701705,37243.38,0.0446420532365678
2021-06-01,2021-06-01,0.09814603,0.55916102,0.46136032,36693.41,-0.0147669196512237
2021-06-02,2021-06-02,0.08852584,0.5649763,0.47405531,37569.99,0.023889303283614
2021-06-03,2021-06-03,0.07476925,0.57019505,0.49602936,39247.4,0.0446476030470064
2021-06-04,2021-06-04,0.09460075,0.55917237,0.46408868,36828.03,-0.0616440834297304
2021-06-05,2021-06-05,0.10835067,0.55272387,0.44450596,35498.62,-0.0360977766119989
2021-06-06,2021-06-06,0.1050169,0.55323949,0.44903634,35801.71,0.0085380783816384
2021-06-07,2021-06-07,0.13152817,0.54224791,0.41289075,33550.96,-0.06286710886156
2021-06-08,2021-06-08,0.13018175,0.544181,0.41218753,33372.58,-0.005316688404743
2021-06-09,2021-06-09,0.08656601,0.56206621,0.47417235,37368.45,0.1197351238651609
2021-06-10,2021-06-10,0.09144774,0.56023801,0.46387824,36669.66,-0.0186999995985917
2021-06-11,2021-06-11,0.08644389,0.55874083,0.472797,37300.42,0.017201141215926
2021-06-12,2021-06-12,0.103892,0.55043159,0.4467572,35537.05,-0.0472748028038289
2021-06-13,2021-06-13,0.07199316,0.5699081,0.49570688,38993.65,0.0972674996939813
2021-06-14,2021-06-14,0.06259555,0.57327107,0.51349501,40489.1,0.0383511161432694
2021-06-15,2021-06-15,0.0638295,0.57392592,0.50851993,40132.86,-0.0087984173518304
2021-06-16,2021-06-16,0.07759183,0.5620748,0.48517966,38344.97,-0.0445492795679151
2021-06-17,2021-06-17,0.07920547,0.55977391,0.48232167,38060.71,-0.0074132278627419
2021-06-18,2021-06-18,0.10252975,0.5437952,0.45004362,35811.41,-0.0590976889290818
2021-06-19,2021-06-19,0.10296384,0.54962851,0.4448636,35483.0,-0.0091705408974402
2021-06-20,2021-06-20,0.10164278,0.54951094,0.44688573,35588.64,0.002977200349463
2021-06-21,2021-06-21,0.149287,0.53669756,0.37881871,31606.0,-0.1119076199596275
2021-06-22,2021-06-22,0.13995682,0.53034064,0.3970009,32496.0,0.0281592102765297
2021-06-23,2021-06-23,0.12137912,0.54049604,0.41780845,33649.0,0.0354812900049237
2021-06-24,2021-06-24,0.11030007,0.54183861,0.43424016,34644.64,0.0295889922434544
2021-06-25,2021-06-25,0.14390172,0.52961325,0.38492925,31568.07,-0.0888036360025678
2021-06-26,2021-06-26,0.13458705,0.52967277,0.39912664,32255.56,0.0217780181050029
2021-06-27,2021-06-27,0.10763864,0.53424202,0.44102391,34687.71,0.0754025042504298
2021-06-28,2021-06-28,0.1058706,0.54226804,0.43738748,34487.22,-0.0057798569003257
2021-06-29,2021-06-29,0.0911414,0.5496536,0.4593105,35911.26,0.0412918176646306
2021-06-30,2021-06-30,0.10043528,0.54120242,0.44644548,35031.39,-0.0245012288624794
2021-07-01,2021-07-01,0.11565676,0.53693746,0.42162701,33489.96,-0.0440013941781928
2021-07-02,2021-07-02,0.11058497,0.53783451,0.42808918,33760.94,0.0080913802226101
2021-07-03,2021-07-03,0.10052871,0.54298336,0.44252249,34652.94,0.0264210652902436
2021-07-04,2021-07-04,0.09309113,0.5495179,0.45194772,35280.16,0.0181000515396385
2021-07-05,2021-07-05,0.1102505,0.53963856,0.42615543,33672.72,-0.0455621516455708
2021-07-06,2021-07-06,0.10528687,0.53843834,0.43526974,34206.01,0.0158374494249351
2021-07-07,2021-07-07,0.10897851,0.53678828,0.42916218,33845.64,-0.0105352831271464
2021-07-08,2021-07-08,0.12054823,0.53189485,0.41248489,32852.04,-0.0293568093261051
2021-07-09,2021-07-09,0.10824005,0.53866601,0.42840916,33805.01,0.0290079398417877
2021-07-10,2021-07-10,0.11193311,0.53567749,0.42357694,33497.98,-0.0090823815759852
2021-07-11,2021-07-11,0.10342689,0.53939339,0.43606923,34253.81,0.0225634500946025
2021-07-12,2021-07-12,0.11622458,0.53408924,0.41582173,33070.87,-0.0345345525067136
2021-07-13,2021-07-13,0.12189776,0.5286861,0.4098919,32709.09,-0.0109395368189588
