start_time,datetime,range_0d_1d,range_10y_inf,range_12m_18m,range_18m_2y,range_1d_1w,range_1m_3m,range_1w_1m,range_2y_3y,range_3m_6m,range_3y_5y,range_5y_7y,range_6m_12m,range_7y_10y,close,change
2022-05-08 01:00:00,2022-05-08 01:00:00,35439.74243104,1.36887222,42839.16269437,11169.21479552,37738.68201331,42457.1825708,40087.03675699,8678.62272521,49154.71384222,6507.42974436,632.59166122,46037.66593561,352.96326385,34816.5,-0.008062792917278
2022-05-08 02:00:00,2022-05-08 02:00:00,34998.09205179,1.36888039,42841.3333018,11170.82626343,37746.45109415,42457.54175859,40081.54739428,8679.33719398,49148.89508926,6507.43755738,632.6116243,46041.56365213,352.96494376,34564.0,-0.0072523085318743
2022-05-08 03:00:00,2022-05-08 03:00:00,34910.2681649,1.36888277,42843.89035491,11172.17432166,37744.20749066,42457.69234171,40079.47401829,8679.47865227,49128.27936188,6507.50190618,632.68311072,46058.28985563,352.9642906,34473.5,-0.0026183312116653
2022-05-08 04:00:00,2022-05-08 04:00:00,34962.84341074,1.36890278,42847.16832093,11174.01871928,37731.99639045,42457.90293692,40074.44950309,8679.82788025,49115.4642021,6507.52814637,632.71198853,46067.13980958,352.96425179,34389.5,-0.0024366542416638
2022-05-08 05:00:00,2022-05-08 05:00:00,34916.09568019,1.36890373,42848.82697563,11174.53666996,37725.72362751,42458.02085104,40071.28743236,8679.89169761,49111.86918226,6507.37998902,632.74631304,46069.83514419,352.96418622,34449.5,0.0017447185914305
2022-05-08 06:00:00,2022-05-08 06:00:00,34924.04933833,1.36890397,42849.70469303,11175.73284342,37719.97359178,42458.22092028,40069.28876904,8680.63144711,49110.46369183,6507.41791093,632.79742962,46070.23032376,352.96417685,34782.0,0.0096518091699444
2022-05-08 07:00:00,2022-05-08 07:00:00,34998.77762347,1.36890986,42852.93783299,11176.97612594,37713.89861229,42459.06250423,40061.82679138,8686.54385015,49103.29122764,6507.05445675,632.85021301,46073.86966905,352.96517241,34588.0,-0.0055775976079581
2022-05-08 08:00:00,2022-05-08 08:00:00,34942.06748832,1.36892176,42854.58764289,11178.49475163,37711.35793937,42459.40353572,40054.4550054,8687.4401991,49094.61846044,6506.91270145,632.87141626,46079.43250919,352.96739473,34666.0,0.0022551173817508
2022-05-08 09:00:00,2022-05-08 09:00:00,34873.81352102,1.36892227,42858.12874174,11179.30566316,37707.99145733,42459.68788326,40050.66433251,8687.56686398,49081.38433322,6506.97235618,632.93582608,46090.86682236,352.96718482,34575.0,-0.0026250504817399
2022-05-08 10:00:00,2022-05-08 10:00:00,34874.22051107,1.36892559,42861.12254785,11179.89765417,37699.99274181,42461.0279711,40045.33808181,8687.7907393,49072.43346546,6506.9458969,632.95739671,46096.67886621,352.96770554,34735.0,0.0046276211135214
2022-05-08 11:00:00,2022-05-08 11:00:00,34913.14568494,1.36894356,42863.29028983,11180.47238093,37689.4722869,42461.1125895,40036.3874069,8687.90213314,49037.68360367,6506.96829485,632.99773087,46120.23937757,352.97027181,34776.5,0.0011947603281992
2022-05-08 12:00:00,2022-05-08 12:00:00,34877.97441054,1.36894738,42864.57279173,11181.29678337,37681.64568026,42461.57443544,40026.33507222,8688.40469722,49033.88194088,6507.49941348,633.56015065,46121.74680668,352.97071092,34621.5,-0.0044570327663795
2022-05-08 13:00:00,2022-05-08 13:00:00,34803.00904343,1.36894935,42866.86310019,11182.08445656,37672.13724035,42461.73558886,40024.86215122,8688.65784117,49027.24543217,6507.70775433,633.76662221,46125.47144108,352.97087686,34358.0,-0.0076108776338402
2022-05-08 14:00:00,2022-05-08 14:00:00,34668.95525067,1.36895173,42871.11823364,11184.72417153,37647.37986648,42461.18947235,40018.23337672,8689.37221719,49014.03472571,6507.88254789,633.9925741,46136.99965028,352.97119822,34448.5,0.0026340299202514
2022-05-08 15:00:00,2022-05-08 15:00:00,34641.81849626,1.36895364,42873.57263928,11185.61574553,37644.66783069,42461.51528189,40009.53360709,8689.42320695,49001.90939496,6507.90276817,634.02352778,46144.00835531,352.97094717,34366.5,-0.0023803648925206
2022-05-08 16:00:00,2022-05-08 16:00:00,34643.39608505,1.36895721,42877.30225084,11189.13796443,37649.88698354,42462.21282056,40000.31280901,8690.88926851,48993.7322775,6507.98696051,634.06057487,46148.93792153,352.96278419,34382.0,0.0004510206160068
2022-05-08 17:00:00,2022-05-08 17:00:00,34299.95340936,1.36895898,42879.46885481,11190.74907623,37645.50839893,42461.42748249,39996.33716151,8691.70207278,48983.85179813,6507.96168267,634.08054199,46154.34495362,352.96230334,34074.0,-0.0089581757896574
2022-05-08 18:00:00,2022-05-08 18:00:00,34598.2954753,1.3689609,42883.27053618,11192.30171605,37656.63288016,42460.48320627,39993.39763801,8692.14260591,48977.74934871,6508.09208655,634.22943421,46154.51306169,352.96087908,34509.5,0.0127810060456652
2022-05-08 19:00:00,2022-05-08 19:00:00,34621.05489429,1.36896272,42903.60677641,11203.3067929,37653.72504896,42460.65875637,39986.95957586,8692.91713164,48976.19693239,6508.1408301,634.29294379,46153.46682818,352.96101239,34581.0,0.0020718932467871
2022-05-08 20:00:00,2022-05-08 20:00:00,34487.01006969,1.36896585,42907.40969598,11209.24492862,37645.8787049,42458.79963119,39979.71026721,8696.06465308,48962.81804285,6508.13737101,634.3034736,46160.02738267,352.96078509,34221.5,-0.0103958821318065
2022-05-08 21:00:00,2022-05-08 21:00:00,34459.36547212,1.36896786,42911.04273187,11209.91299957,37631.35143834,42457.70023249,39975.39835945,8696.29389899,48957.61391532,6508.26960388,634.44910071,46159.82783015,352.96068554,34464.5,0.0071007992051779
2022-05-08 22:00:00,2022-05-08 22:00:00,34417.61816479,1.36896974,42911.42298554,11210.16377251,37623.63783695,42457.20740875,39973.56380527,8696.469452,48956.99168682,6508.35718346,634.49412991,46159.42578842,352.96062302,34278.0,-0.0054113653179358
2022-05-08 23:00:00,2022-05-08 23:00:00,34363.02874536,1.36897436,42914.74809235,11211.48957452,37613.93816151,42456.51520894,39969.42065564,8697.83177419,48945.27326522,6507.74567622,634.52318149,46167.23697062,352.9608802,34032.5,-0.0071620281229943
2022-05-09 00:00:00,2022-05-09 00:00:00,34334.00886363,1.36897557,42917.11861357,11212.85801403,37575.43223773,42455.93865842,39967.32824155,8698.15896554,48942.23662826,6507.79936018,634.58257599,46168.11905901,352.96079671,34149.5,0.0034378902519649
2022-05-09 01:00:00,2022-05-09 01:00:00,34314.75071449,1.36897557,42918.9156989,11213.53690986,37562.10921399,42455.57122252,39963.94643425,8698.27509532,48938.79702383,6507.81401376,634.59802658,46169.61881101,352.95994268,34042.5,-0.0031332816000234
2022-05-09 02:00:00,2022-05-09 02:00:00,33863.56382953,1.36898708,42925.39636123,11214.19415642,37498.37884843,42454.77982319,39971.58823225,8698.36729716,48933.72048885,6507.85437338,634.63029788,46174.81765904,352.96145835,33505.5,-0.0157743996474994
2022-05-09 03:00:00,2022-05-09 03:00:00,33939.981159,1.36898796,42930.58232025,11214.74031007,37479.55002989,42448.17355426,39992.46688145,8698.81164782,48906.440413,6507.85472884,634.6681247,46177.28591053,352.96115848,33559.5,0.001611675695035
2022-05-09 04:00:00,2022-05-09 04:00:00,33965.50410717,1.36898855,42932.79276851,11215.47710662,37447.63353293,42450.15818728,39991.53392573,8698.93131501,48898.85888173,6507.85045915,634.67503388,46177.93229674,352.96088277,33643.5,0.0025030170294551
