start_time,date,sca,scda,close,change
2022-03-17,2022-03-17,23717959774.71126,128647861372310.6,40898.1,-0.0050528149312263
2022-03-18,2022-03-18,23733421730.40202,129004830092610.36,41751.5,0.020866495020551
2022-03-19,2022-03-19,23747129304.01766,129367809424754.05,42188.2,0.0104595044489419
2022-03-20,2022-03-20,23763335736.35155,129746699698795.16,41261.0,-0.0219777094068956
2022-03-21,2022-03-21,23776306502.01604,130002746932172.34,40982.0,-0.0067618332081141
2022-03-22,2022-03-22,23790197953.010483,130311408443287.52,42349.8,0.0333756283246304
2022-03-23,2022-03-23,23803595175.79073,130614252766733.77,42867.9,0.0122338240086139
2022-03-24,2022-03-24,23816865641.844147,130878769393718.48,43973.4,0.0257885270797029
2022-03-25,2022-03-25,23778102909.048355,130803761233624.86,44290.6,0.0072134517685691
2022-03-26,2022-03-26,23791316706.685665,131146017532048.31,44489.2,0.0044840214402153
2022-03-27,2022-03-27,23807339686.936867,131533890013279.4,46820.8,0.0524082249175081
2022-03-28,2022-03-28,23816398494.45298,131669913131445.14,47121.9,0.0064309025048696
2022-03-29,2022-03-29,23798282989.819992,131923018442123.84,47418.5,0.0062943132598642
2022-03-30,2022-03-30,23812322761.952797,132227146393235.69,47053.2,-0.0077037443192004
2022-03-31,2022-03-31,23822982394.98911,132417895975937.44,45506.0,-0.0328819293905621
2022-04-01,2022-04-01,23834470014.894325,132677761638396.44,46266.2,0.016705489386015
2022-04-02,2022-04-02,23850004453.82206,133043144640150.9,45794.6,-0.0101931863866061
2022-04-03,2022-04-03,23864152908.134293,133406040870271.8,46392.4,0.0130539408576557
2022-04-04,2022-04-04,23871027445.73772,133436249876169.72,46580.9,0.0040631655184901
2022-04-05,2022-04-05,23882093536.729763,133689975297246.22,45477.4,-0.0236899673471315
2022-04-06,2022-04-06,23894493135.185387,133927281770085.36,43159.7,-0.0509637754137221
2022-04-07,2022-04-07,23908762980.96157,134274556217048.52,43417.1,0.0059638968760209
2022-04-08,2022-04-08,23922007471.64864,134597598141008.58,42229.2,-0.027360187575863
2022-04-09,2022-04-09,23938181405.52593,135000186962004.02,42727.7,0.0118046280772545
