start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-12-14,2021-12-14,7127.90084256,67.85928481,0.0,0.0,25.97714214,0.24730847,6.50503494,0.06192946,2439.42343892,23.22388226,201.4159575,1.91752707,489.91963877,4.66414966,3.28696104,0.03129264,86.25064816,0.82112636,4.28273229,0.04077261,0.24295593,0.002313,118.7373878,1.13040773,0.00062212,5.92e-06,48324.04,0.0352209182832965
2021-12-15,2021-12-15,6357.9100362,69.27709038,0.0,0.0,22.20163174,0.24191353,9.47609313,0.10325345,943.85613937,10.28444987,205.66133942,2.24092809,890.97711755,9.70826922,48.91711534,0.53301091,295.10121379,3.21548329,9.44518971,0.10291672,0.04970802,0.00054163,385.91172881,4.20497326,8.00000001,0.08716964,48870.48,0.0113078293950588
2021-12-16,2021-12-16,5042.03983509,70.0050214,0.0,0.0,21.58535184,0.29969676,4.39002319,0.06095225,1664.14033251,23.10536676,111.63534666,1.54997483,263.60054525,3.65990004,3.31378445,0.04600946,30.84541974,0.42826601,3.64620953,0.05062494,0.56008671,0.00777639,56.63723109,0.78636637,0.00322525,4.478e-05,47624.5,-0.0254955547807184
2021-12-17,2021-12-17,7550.49428851,69.10375701,0.0,0.0,37.72956215,0.34530911,10.98755657,0.10056049,2334.47536036,21.36562348,136.48950749,1.2491815,692.43745415,6.33733737,6.58222244,0.06024192,79.26627622,0.72546211,7.29951931,0.06680678,0.09507882,0.00087018,70.45834804,0.64485004,0.0,0.0,46125.33,-0.0314789656584321
2021-12-18,2021-12-18,15603.62181283,89.82729269,0.0,0.0,31.96492693,0.18401643,6.76124783,0.03892331,640.89746799,3.68953344,248.01652346,1.42778729,271.81990597,1.56481915,3.53076006,0.02032596,189.34818202,1.09004401,302.96072653,1.74409135,0.07967886,0.0004587,71.68816231,0.41269608,0.00201173,1.158e-05,46815.99,0.0149735514087379
2021-12-19,2021-12-19,2773.21986779,66.02095308,0.0,0.0,3.87909571,0.0923481,4.02789594,0.09589053,865.54766545,20.60575235,196.50341831,4.67807948,173.12199947,4.12144725,8.80665165,0.20965649,89.01344855,2.11910811,7.85305464,0.18695458,0.01308957,0.00031162,78.52825689,1.86949128,0.00029911,7.12e-06,46668.63,-0.0031476425041957
2021-12-20,2021-12-20,4270.10657162,75.64004147,0.0,0.0,16.01426713,0.28367438,36.97444292,0.65495986,736.54090469,13.04697755,207.77722737,3.68053533,222.18175701,3.93569505,19.97787917,0.35388522,54.64127547,0.96790754,13.10805835,0.23219422,0.02430841,0.0004306,67.95239639,1.20369878,0.0,0.0,46898.14,0.0049178645269853
2021-12-21,2021-12-21,4884.36905535,60.8535529,0.0,0.0,19.91970684,0.24817636,6.15517938,0.07668637,1320.60775097,16.45323536,315.00846123,3.92463875,711.66178055,8.86647739,28.29676946,0.35254481,652.47089022,8.1290278,11.34097886,0.1412954,0.00848051,0.00010566,76.59254408,0.95425394,0.00042236,5.26e-06,48875.15,0.0421554031780364
2021-12-22,2021-12-22,4140.5639591,70.48755597,0.0,0.0,18.96118145,0.32278872,16.13754577,0.2747201,732.11985662,12.46336003,306.78236449,5.22255888,319.7014752,5.44248944,42.96320711,0.73139106,124.31597841,2.11631304,7.54724332,0.12848171,0.02566643,0.00043694,165.05225557,2.8097936,0.00649151,0.00011051,48569.69,-0.0062498017908896
2021-12-23,2021-12-23,4643.46109296,64.00352004,0.0,0.0,13.7307567,0.18925899,2.84308275,0.03918786,832.06626278,11.46885236,511.35547379,7.04830937,1135.07530153,15.64540186,8.29769116,0.11437189,52.43697416,0.72276926,3.57577603,0.049287,0.0306523,0.0004225,52.13488256,0.71860535,0.00098132,1.353e-05,50817.92,0.0462887451000819
