start_time,datetime,reserve,reserve_usd,close,change
2024-06-14 12:00:00,2024-06-14 12:00:00,58589.00262576,3927918472.906581,67062.3,0.0009238750813429
2024-06-14 13:00:00,2024-06-14 13:00:00,58529.49936849,3932776415.9506574,67050.0,-0.0001834115441909
2024-06-14 14:00:00,2024-06-14 14:00:00,58488.31641375,3908134322.567882,66948.9,-0.0015078299776287
2024-06-14 15:00:00,2024-06-14 15:00:00,58418.229271,3887639278.8227262,66362.6,-0.0087574254394021
2024-06-14 16:00:00,2024-06-14 16:00:00,58438.61190482,3815692112.410151,65260.1,-0.0166132731387861
2024-06-14 17:00:00,2024-06-14 17:00:00,58432.24866636,3827898416.84727,65378.6,0.0018158108859778
2024-06-14 18:00:00,2024-06-14 18:00:00,58551.66469325,3827030990.805148,65493.0,0.0017498080411633
2024-06-14 19:00:00,2024-06-14 19:00:00,58765.33919351,3843935490.8584576,65490.1,-4.4279541325020766e-05
2024-06-14 20:00:00,2024-06-14 20:00:00,58840.37755008,3871347816.7793736,65743.2,0.003864706268581
2024-06-14 21:00:00,2024-06-14 21:00:00,58866.88872239,3893886551.898976,66141.5,0.0060584212511711
2024-06-14 22:00:00,2024-06-14 22:00:00,58792.50236825,3878928807.0946527,65972.6,-0.0025536161109136
2024-06-14 23:00:00,2024-06-14 23:00:00,58762.32816847,3878937119.744177,66021.2,0.0007366694658084
2024-06-15 00:00:00,2024-06-15 00:00:00,58738.92520914,3888812901.2104554,66150.0,0.001950888502481
2024-06-15 01:00:00,2024-06-15 01:00:00,58707.79649223,3880607523.7531166,66037.4,-0.0017021919879063
2024-06-15 02:00:00,2024-06-15 02:00:00,58701.10797644,3884299531.0841966,66180.1,0.0021608967039892
2024-06-15 03:00:00,2024-06-15 03:00:00,58678.19340469,3884452917.607442,66235.0,0.0008295545035439
2024-06-15 04:00:00,2024-06-15 04:00:00,58699.20441894,3890056447.458769,66221.2,-0.0002083490601646
2024-06-15 05:00:00,2024-06-15 05:00:00,58673.27896916,3885876655.318859,66202.0,-0.0002899373614491
2024-06-15 06:00:00,2024-06-15 06:00:00,58675.07066949,3881386860.9249854,66144.1,-0.0008745959336574
2024-06-15 07:00:00,2024-06-15 07:00:00,58658.89420083,3872774758.1383486,66051.9,-0.001393926291234
2024-06-15 08:00:00,2024-06-15 08:00:00,58647.5334907,3881171075.442518,66188.7,0.0020710986360725
2024-06-15 09:00:00,2024-06-15 09:00:00,58655.00655991,3884085978.7164617,66199.8,0.0001677023419406
2024-06-15 10:00:00,2024-06-15 10:00:00,58649.26789598,3885474590.184096,66263.4,0.0009607279780299
2024-06-15 11:00:00,2024-06-15 11:00:00,58645.6385298,3886900665.5755134,66289.9,0.0003999191107006
2024-06-15 12:00:00,2024-06-15 12:00:00,58642.18962111,3884017594.592125,66322.1,0.0004857451889355
2024-06-15 13:00:00,2024-06-15 13:00:00,58626.64971795,3883258686.064441,66274.2,-0.0007222328605398
2024-06-15 14:00:00,2024-06-15 14:00:00,58626.64971795,3883258686.064441,66188.4,-0.0012946214363961
2024-06-15 15:00:00,2024-06-15 15:00:00,58613.37426176,3884297508.812264,66284.6,0.0014534268844692
2024-06-15 16:00:00,2024-06-15 16:00:00,58638.21510352,3880871197.023711,66153.4,-0.0019793436182765
2024-06-15 17:00:00,2024-06-15 17:00:00,58648.95143179,3886024159.910013,66213.8,0.0009130294134542
2024-06-15 18:00:00,2024-06-15 18:00:00,58662.9728245,3879161904.629149,66114.0,-0.0015072386723009
2024-06-15 19:00:00,2024-06-15 19:00:00,58667.90099298,3882850996.749887,66118.4,6.655171370661961e-05
