start_time,date,realized_price,close,change
2021-09-08,2021-09-08,20839.50638509,46062.29,-0.0171153406669755
2021-09-09,2021-09-09,20876.17925016,46413.88,0.0076329248936601
2021-09-10,2021-09-10,20876.58198502,44860.83,-0.0334608957492886
2021-09-11,2021-09-11,20881.61334453,45193.78,0.0074218421727818
2021-09-12,2021-09-12,20891.38117953,46046.73,0.0188731723701802
2021-09-13,2021-09-13,20884.47121384,44975.96,-0.0232539856793306
2021-09-14,2021-09-14,20913.04479895,47087.18,0.0469410769664504
2021-09-15,2021-09-15,20954.02129746,48106.12,0.021639435617083
2021-09-16,2021-09-16,20981.94710283,47745.55,-0.007495304131782
2021-09-17,2021-09-17,20995.74039932,47303.11,-0.0092666227533246
2021-09-18,2021-09-18,21012.13375069,48285.15,0.0207605800126038
2021-09-19,2021-09-19,21019.88141793,47256.91,-0.0212951601061609
2021-09-20,2021-09-20,20986.53266108,43026.6,-0.0895172790603533
2021-09-21,2021-09-21,20952.88679574,40726.1,-0.0534669251114426
2021-09-22,2021-09-22,20968.07552118,43520.0,0.0686021985900933
2021-09-23,2021-09-23,20978.09212483,44828.29,0.0300618106617647
2021-09-24,2021-09-24,20958.03201529,42798.49,-0.0452794429588994
2021-09-25,2021-09-25,20958.73782244,42651.58,-0.0034325977388454
2021-09-26,2021-09-26,21100.67559928,43150.0,0.011685850793804
2021-09-27,2021-09-27,21111.81015252,42122.69,-0.0238078794901506
2021-09-28,2021-09-28,21094.07954046,41006.32,-0.0265028183147848
2021-09-29,2021-09-29,21096.6487536,41499.71,0.0120320477428845
2021-09-30,2021-09-30,21125.26563266,43796.57,0.0553464108544372
2021-10-01,2021-10-01,21182.94399041,48123.94,0.098806139384888
2021-10-02,2021-10-02,21218.84666197,47626.61,-0.0103343574944196
2021-10-03,2021-10-03,21235.03898417,48187.3,0.0117726203901558
2021-10-04,2021-10-04,21264.72094952,49198.22,0.020978971637755
2021-10-05,2021-10-05,21321.90088703,51455.12,0.0458736108745398
2021-10-06,2021-10-06,21472.07142653,55321.6,0.0751427651903249
2021-10-07,2021-10-07,21565.94015112,53814.99,-0.0272336664160111
2021-10-08,2021-10-08,21607.45968323,53975.0,0.0029733351246559
2021-10-09,2021-10-09,21635.21156789,54960.77,0.0182634553033811
2021-10-10,2021-10-10,21671.64593572,54700.0,-0.0047446569616836
2021-10-11,2021-10-11,21731.32555601,57500.01,0.0511884826325412
2021-10-12,2021-10-12,21790.81580162,56011.84,-0.0258812128902239
2021-10-13,2021-10-13,21842.08458228,57393.65,0.0246699626364712
2021-10-14,2021-10-14,21910.53654561,57378.19,-0.0002693677784911
2021-10-15,2021-10-15,22020.16468317,61702.33,0.0753620844435838
2021-10-16,2021-10-16,22072.12304108,60925.56,-0.0125889897512785
2021-10-17,2021-10-17,22098.1053975,61571.45,0.0106012977147851
2021-10-18,2021-10-18,22184.85541469,62037.92,0.0075760762496255
2021-10-19,2021-10-19,22349.98724385,64316.7,0.0367320503330865
2021-10-20,2021-10-20,22500.10660087,66064.24,0.0271708592014205
2021-10-21,2021-10-21,22605.67475963,62260.33,-0.0575789564823572
2021-10-22,2021-10-22,22620.91833285,60734.27,-0.0245109526403088
2021-10-23,2021-10-23,22641.35635401,61325.11,0.0097282802608806
2021-10-24,2021-10-24,22688.94690699,60902.82,-0.0068860863029842
2021-10-25,2021-10-25,22784.26663055,63127.04,0.0365208047837521
2021-10-26,2021-10-26,22836.55351047,60358.75,-0.0438526818301634
2021-10-27,2021-10-27,22826.43114667,58449.36,-0.031634021579307
2021-10-28,2021-10-28,22878.89255077,60622.03,0.0371718355855392
2021-10-29,2021-10-29,22935.39694701,62308.22,0.0278148059377094
2021-10-30,2021-10-30,22957.27903427,61895.19,-0.0066288204028296
2021-10-31,2021-10-31,23002.68446748,61348.61,-0.0088307346661348
2021-11-01,2021-11-01,23112.61468197,60942.87,-0.0066136787777261
2021-11-02,2021-11-02,23252.87726809,63266.69,0.0381311218195008
2021-11-03,2021-11-03,23345.2600618,62946.45,-0.0050617473428751
2021-11-04,2021-11-04,23359.13335994,61431.86,-0.024061563440035
2021-11-05,2021-11-05,23419.86201685,61006.0,-0.0069322335348466
2021-11-06,2021-11-06,23447.16257964,61511.3,0.0082827918565386
2021-11-07,2021-11-07,23469.20089938,63316.4,0.0293458275146192
2021-11-08,2021-11-08,23608.13373984,67606.96,0.0677638021113014
2021-11-09,2021-11-09,23705.11488049,67009.98,-0.0088301559484409
2021-11-10,2021-11-10,23782.01392984,64920.13,-0.0311871455565275
2021-11-11,2021-11-11,23829.23823003,64831.3,-0.0013682967055055
2021-11-12,2021-11-12,24141.85143346,64156.08,-0.0104150310112554
2021-11-13,2021-11-13,24164.04971115,64427.0,0.0042228265816739
2021-11-14,2021-11-14,24181.19171769,65568.39,0.0177160196811896
2021-11-15,2021-11-15,24248.64515587,63654.49,-0.0291893700607869
