start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,close,change
2024-01-09 17:00:00,2024-01-09 17:00:00,0.98533405,45748.2716,0.0,0.0,46725.9,-0.0037971175166297
2024-01-09 18:00:00,2024-01-09 18:00:00,2.91863089,135234.4891,0.0,0.0,46649.8,-0.0016286470672581
2024-01-09 19:00:00,2024-01-09 19:00:00,0.0,0.0,1.09938299,51708.5971,46882.1,0.0049796569331486
2024-01-09 20:00:00,2024-01-09 20:00:00,0.007,324.6874,0.07855274,3703.0707,46647.8,-0.0049976430236698
2024-01-09 21:00:00,2024-01-09 21:00:00,32.35779139,1486221.3045,288.4982423,13306057.9206,45455.6,-0.025557475379332
2024-01-09 22:00:00,2024-01-09 22:00:00,2.728,123489.9048,6.29022232,290406.8827,46259.6,0.0176875896479202
2024-01-09 23:00:00,2024-01-09 23:00:00,4.34921475,199185.5343,0.0,0.0,46128.0,-0.0028448149140934
2024-01-10 00:00:00,2024-01-10 00:00:00,0.52176662,23808.4913,0.042,1950.8391,45872.5,-0.00553893513701
2024-01-10 01:00:00,2024-01-10 01:00:00,1.32788254,60386.6158,0.06267707,2891.9308,45949.9,0.0016872854106491
2024-01-10 02:00:00,2024-01-10 02:00:00,0.0,0.0,0.072,3330.1739,45995.9,0.0010010903179331
2024-01-10 03:00:00,2024-01-10 03:00:00,0.0,0.0,2.02151666,93757.0677,46129.1,0.002895910287656
2024-01-10 04:00:00,2024-01-10 04:00:00,0.055,2515.5054,0.0,0.0,45973.3,-0.0033774775575503
2024-01-10 05:00:00,2024-01-10 05:00:00,0.532,24302.2975,0.0,0.0,45997.5,0.0005263924930338
2024-01-10 06:00:00,2024-01-10 06:00:00,0.014,639.2813,0.0,0.0,46025.7,0.0006130767976519
2024-01-10 07:00:00,2024-01-10 07:00:00,4.44133177,202553.8024,0.0,0.0,45773.6,-0.0054773745972358
2024-01-10 08:00:00,2024-01-10 08:00:00,7.1302991,323830.0418,0.0,0.0,45340.8,-0.0094552318366918
2024-01-10 09:00:00,2024-01-10 09:00:00,0.016,721.6816,1.57910093,72373.4841,45680.1,0.0074833262756721
2024-01-10 10:00:00,2024-01-10 10:00:00,0.0,0.0,0.157,7213.4441,45544.4,-0.0029706589959302
