start_time,datetime,transactions_count_mean,transactions_count_total
2023-08-02 02:00:00,2023-08-02 02:00:00,41.1442953,12261
2023-08-02 03:00:00,2023-08-02 03:00:00,36.81605351,11008
2023-08-02 04:00:00,2023-08-02 04:00:00,38.91582492,11558
2023-08-02 05:00:00,2023-08-02 05:00:00,40.0,11960
2023-08-02 06:00:00,2023-08-02 06:00:00,87.05666667,26117
2023-08-02 07:00:00,2023-08-02 07:00:00,41.26599327,12256
2023-08-02 08:00:00,2023-08-02 08:00:00,40.78595318,12195
2023-08-02 09:00:00,2023-08-02 09:00:00,42.15436242,12562
2023-08-02 10:00:00,2023-08-02 10:00:00,45.23745819,13526
2023-08-02 11:00:00,2023-08-02 11:00:00,45.36824324,13429
2023-08-02 12:00:00,2023-08-02 12:00:00,48.9966443,14601
2023-08-02 13:00:00,2023-08-02 13:00:00,44.40802676,13278
2023-08-02 14:00:00,2023-08-02 14:00:00,45.0,13230
2023-08-02 15:00:00,2023-08-02 15:00:00,42.37,12711
2023-08-02 16:00:00,2023-08-02 16:00:00,44.50666667,13352
2023-08-02 17:00:00,2023-08-02 17:00:00,45.40268456,13530
2023-08-02 18:00:00,2023-08-02 18:00:00,41.28428094,12344
2023-08-02 19:00:00,2023-08-02 19:00:00,42.63210702,12747
2023-08-02 20:00:00,2023-08-02 20:00:00,38.90666667,11672
2023-08-02 21:00:00,2023-08-02 21:00:00,38.66,11598
2023-08-02 22:00:00,2023-08-02 22:00:00,39.27516779,11704
2023-08-02 23:00:00,2023-08-02 23:00:00,40.25752508,12037
2023-08-03 00:00:00,2023-08-03 00:00:00,40.94966443,12203
2023-08-03 01:00:00,2023-08-03 01:00:00,52.60606061,15624
2023-08-03 02:00:00,2023-08-03 02:00:00,86.36700337,25651
2023-08-03 03:00:00,2023-08-03 03:00:00,37.03333333,11110
2023-08-03 04:00:00,2023-08-03 04:00:00,40.75420875,12104
2023-08-03 05:00:00,2023-08-03 05:00:00,40.52333333,12157
2023-08-03 06:00:00,2023-08-03 06:00:00,51.62876254,15437
2023-08-03 07:00:00,2023-08-03 07:00:00,46.44147157,13886
2023-08-03 08:00:00,2023-08-03 08:00:00,45.05423729,13291
2023-08-03 09:00:00,2023-08-03 09:00:00,45.39189189,13436
2023-08-03 10:00:00,2023-08-03 10:00:00,43.22558923,12838
2023-08-03 11:00:00,2023-08-03 11:00:00,42.54666667,12764
2023-08-03 12:00:00,2023-08-03 12:00:00,43.23569024,12841
2023-08-03 13:00:00,2023-08-03 13:00:00,46.12457912,13699
2023-08-03 14:00:00,2023-08-03 14:00:00,42.68243243,12634
2023-08-03 15:00:00,2023-08-03 15:00:00,48.51,14553
2023-08-03 16:00:00,2023-08-03 16:00:00,44.80201342,13351
2023-08-03 17:00:00,2023-08-03 17:00:00,44.85521886,13322
2023-08-03 18:00:00,2023-08-03 18:00:00,40.81818182,12123
2023-08-03 19:00:00,2023-08-03 19:00:00,41.21404682,12323
2023-08-03 20:00:00,2023-08-03 20:00:00,40.54391892,12001
2023-08-03 21:00:00,2023-08-03 21:00:00,40.12457912,11917
2023-08-03 22:00:00,2023-08-03 22:00:00,43.70805369,13025
2023-08-03 23:00:00,2023-08-03 23:00:00,49.82550336,14848
2023-08-04 00:00:00,2023-08-04 00:00:00,53.66666667,16100
2023-08-04 01:00:00,2023-08-04 01:00:00,41.23,12369
2023-08-04 02:00:00,2023-08-04 02:00:00,105.59333333,31678
2023-08-04 03:00:00,2023-08-04 03:00:00,42.97666667,12893
2023-08-04 04:00:00,2023-08-04 04:00:00,79.84615385,23874
2023-08-04 05:00:00,2023-08-04 05:00:00,81.25675676,24052
2023-08-04 06:00:00,2023-08-04 06:00:00,75.56902357,22444
2023-08-04 07:00:00,2023-08-04 07:00:00,46.17567568,13668
2023-08-04 08:00:00,2023-08-04 08:00:00,44.92905405,13299
2023-08-04 09:00:00,2023-08-04 09:00:00,49.88963211,14917
2023-08-04 10:00:00,2023-08-04 10:00:00,55.13804714,16376
2023-08-04 11:00:00,2023-08-04 11:00:00,42.7090301,12770
2023-08-04 12:00:00,2023-08-04 12:00:00,45.7993311,13694
2023-08-04 13:00:00,2023-08-04 13:00:00,45.82711864,13519
2023-08-04 14:00:00,2023-08-04 14:00:00,45.62080537,13595
2023-08-04 15:00:00,2023-08-04 15:00:00,47.18581081,13967
2023-08-04 16:00:00,2023-08-04 16:00:00,43.69230769,13064
2023-08-04 17:00:00,2023-08-04 17:00:00,40.55033557,12084
2023-08-04 18:00:00,2023-08-04 18:00:00,41.08417508,12202
2023-08-04 19:00:00,2023-08-04 19:00:00,44.75084175,13291
2023-08-04 20:00:00,2023-08-04 20:00:00,41.003367,12178
2023-08-04 21:00:00,2023-08-04 21:00:00,41.98,12594
2023-08-04 22:00:00,2023-08-04 22:00:00,39.68227425,11865
2023-08-04 23:00:00,2023-08-04 23:00:00,49.09395973,14630
2023-08-05 00:00:00,2023-08-05 00:00:00,86.19127517,25685
2023-08-05 01:00:00,2023-08-05 01:00:00,81.32333333,24397
2023-08-05 02:00:00,2023-08-05 02:00:00,61.75420875,18341
2023-08-05 03:00:00,2023-08-05 03:00:00,92.07407407,27346
2023-08-05 04:00:00,2023-08-05 04:00:00,123.09060403,36681
2023-08-05 05:00:00,2023-08-05 05:00:00,63.80536913,19014
2023-08-05 06:00:00,2023-08-05 06:00:00,66.11333333,19834
2023-08-05 07:00:00,2023-08-05 07:00:00,81.06734007,24077
2023-08-05 08:00:00,2023-08-05 08:00:00,72.53198653,21542
2023-08-05 09:00:00,2023-08-05 09:00:00,46.74247492,13976
2023-08-05 10:00:00,2023-08-05 10:00:00,47.02364865,13919
2023-08-05 11:00:00,2023-08-05 11:00:00,42.29391892,12519
2023-08-05 12:00:00,2023-08-05 12:00:00,44.48160535,13300
2023-08-05 13:00:00,2023-08-05 13:00:00,43.22742475,12925
2023-08-05 14:00:00,2023-08-05 14:00:00,44.47491639,13298
2023-08-05 15:00:00,2023-08-05 15:00:00,42.46308725,12654
2023-08-05 16:00:00,2023-08-05 16:00:00,43.45819398,12994
2023-08-05 17:00:00,2023-08-05 17:00:00,43.55892256,12937
2023-08-05 18:00:00,2023-08-05 18:00:00,123.94314381,37059
2023-08-05 19:00:00,2023-08-05 19:00:00,44.22333333,13267
2023-08-05 20:00:00,2023-08-05 20:00:00,39.46822742,11801
2023-08-05 21:00:00,2023-08-05 21:00:00,36.38590604,10843
2023-08-05 22:00:00,2023-08-05 22:00:00,41.27946128,12260
2023-08-05 23:00:00,2023-08-05 23:00:00,39.38255034,11736
2023-08-06 00:00:00,2023-08-06 00:00:00,34.05369128,10148
2023-08-06 01:00:00,2023-08-06 01:00:00,39.4006734,11702
2023-08-06 02:00:00,2023-08-06 02:00:00,39.02040816,11472
2023-08-06 03:00:00,2023-08-06 03:00:00,42.60606061,12654
2023-08-06 04:00:00,2023-08-06 04:00:00,106.95317726,31979
2023-08-06 05:00:00,2023-08-06 05:00:00,52.50841751,15595
2023-08-06 06:00:00,2023-08-06 06:00:00,54.98657718,16386
2023-08-06 07:00:00,2023-08-06 07:00:00,53.23076923,15916
2023-08-06 08:00:00,2023-08-06 08:00:00,45.61744966,13594
2023-08-06 09:00:00,2023-08-06 09:00:00,51.36949153,15154
2023-08-06 10:00:00,2023-08-06 10:00:00,47.37583893,14118
2023-08-06 11:00:00,2023-08-06 11:00:00,46.56187291,13922
2023-08-06 12:00:00,2023-08-06 12:00:00,45.31103679,13548
2023-08-06 13:00:00,2023-08-06 13:00:00,43.49324324,12874
2023-08-06 14:00:00,2023-08-06 14:00:00,42.68,12804
2023-08-06 15:00:00,2023-08-06 15:00:00,42.09797297,12461
2023-08-06 16:00:00,2023-08-06 16:00:00,39.61824324,11727
2023-08-06 17:00:00,2023-08-06 17:00:00,42.94630872,12798
2023-08-06 18:00:00,2023-08-06 18:00:00,43.30639731,12862
2023-08-06 19:00:00,2023-08-06 19:00:00,44.77516779,13343
2023-08-06 20:00:00,2023-08-06 20:00:00,40.52684564,12077
2023-08-06 21:00:00,2023-08-06 21:00:00,42.10067114,12546
2023-08-06 22:00:00,2023-08-06 22:00:00,45.10402685,13441
