shortLiquidationUsd,t,longLiquidationUsd,low,high,open,close,volume
0,1607385600.0,0,18133.33,19319.38,19172.87,18319.32,280714.132
0,1607472000.0,0,17650.0,18639.7,18319.33,18537.98,353123.689
0,1607558400.0,0,17916.0,18550.0,18537.97,18253.51,233960.241
0,1607644800.0,0,17555.0,18290.44,18254.0,18031.47,317866.07
0,1607731200.0,0,18012.21,18950.0,18031.71,18800.0,196962.282
0,1607817600.0,0,18705.46,19432.0,18800.0,19175.07,239760.089
0,1607904000.0,0,19004.72,19355.35,19175.06,19270.7,181555.823
0,1607990400.0,0,19039.64,19598.0,19270.71,19424.91,248744.054
0,1608076800.0,0,19274.55,21600.0,19424.9,21346.8,459302.012
0,1608163200.0,0,21231.5,23888.04,21346.81,22816.99,823435.821
0,1608249600.0,0,22363.94,23330.0,22816.99,23124.35,305997.222
0,1608336000.0,0,22735.81,24281.61,23124.35,23847.28,337535.438
0,1608422400.0,0,23076.25,24376.0,23847.28,23472.96,322289.774
0,1608508800.0,0,21920.0,24145.0,23472.96,22730.1,476456.589
0,1608595200.0,0,22387.0,23850.0,22736.05,23826.99,326124.313
28509538.20254,1608681600.0,23251310.60383,22572.52,24235.42,23826.74,23238.27,394754.939
7818523.40664,1608768000.0,18303023.92715,22700.0,23819.81,23237.73,23737.44,237754.257
22673567.96303,1608854400.0,42981798.07798,23450.0,24827.64,23738.75,24730.0,284523.431
23590568.39401,1608940800.0,102510561.44298,24507.24,26926.0,24729.99,26508.83,367265.555
126102912.92037,1609027200.0,85911485.16456,25850.0,28459.84,26508.84,26305.64,540264.148
31281974.148,1609113600.0,18876906.47661,26117.1,27538.82,26301.76,27102.66,267563.468
28670299.26474,1609200000.0,15617625.99746,25913.01,27441.73,27101.45,27402.83,260759.449
36756186.05137,1609286400.0,43881921.83794,27401.0,29063.72,27402.83,28906.99,374737.655
55964513.16036,1609372800.0,21940064.81036,27848.0,29376.7,28906.99,28951.68,313648.835
22943027.24342,1609459200.0,15278571.21235,28627.12,29668.86,28948.19,29337.16,210716.398
90141934.96233,1609545600.0,194408589.00357,28958.24,33480.0,29337.15,32199.91,545541.08
92589526.65052,1609632000.0,74771706.37884,32000.02,34832.25,32198.41,33054.53,487486.989
217331987.09426,1609718400.0,34963282.50255,27800.0,33653.56,33053.93,32031.07,506128.023
49277016.33606,1609804800.0,63741572.85285,29900.0,34500.0,32029.55,33999.52,433720.833
58575400.67147,1609891200.0,72749570.8576,33356.46,37037.51,33999.51,36823.68,444019.83
118819266.57904,1609977600.0,98822929.6444,36337.36,40565.62,36825.77,39498.92,520147.908
113064969.36678,1610064000.0,83348478.4221,36539.77,42125.51,39498.32,40637.23,518080.826
44750870.65111,1610150400.0,24053486.40596,38733.28,41539.88,40638.91,40136.04,260882.805
221510575.57428,1610236800.0,41378332.19402,35268.0,41412.12,40136.05,38221.67,436759.048
308626307.96246,1610323200.0,128326980.73767,30448.0,38322.18,38200.01,35408.46,906275.651
94508780.32332,1610409600.0,63484513.84938,32600.0,36693.44,35406.92,34056.9,449065.693
50037449.50589,1610496000.0,81568011.66188,32420.0,37880.0,34065.53,37421.07,398188.088
53475888.24775,1610582400.0,61425405.92579,36764.33,40189.39,37416.34,39163.31,353142.386
170786539.95679,1610668800.0,50827262.72413,34478.0,39790.0,39163.31,36755.24,437610.113
65449137.3394,1610755200.0,33633086.8979,35366.0,38000.0,36755.25,36025.66,301102.477
64782382.6872,1610841600.0,40226102.56467,33863.5,36898.0,36025.65,35869.83,287686.129
45771936.4989,1610928000.0,32983619.45514,34808.47,37547.94,35875.72,36686.86,253386.703
43456068.7316,1611014400.0,18425393.02277,35850.0,37961.0,36690.0,35891.03,257889.419
109655651.35649,1611100800.0,29695799.15838,33403.0,36461.44,35891.74,35500.0,329192.419
182327538.74049,1611187200.0,54274234.73427,30069.9,35636.17,35499.23,30879.97,550562.277
63082006.63511,1611273600.0,77037855.9711,28880.0,33831.52,30875.77,32986.34,453568.538
39091314.36006,1611360000.0,22486715.5982,31405.0,33495.0,32990.08,32086.48,256776.411
45211827.76208,1611446400.0,25838886.54636,30914.2,33125.75,32086.48,32275.63,212107.044
60886288.15167,1611532800.0,49649839.37165,31921.47,34880.0,32274.88,32253.68,316687.524
54501993.71864,1611619200.0,36485641.34182,30810.0,32950.0,32253.68,32474.14,346861.707
93504957.10886,1611705600.0,42993515.53402,29240.0,32562.2,32474.81,30381.04,431022.839
16292609.97941,1611792000.0,60971346.47992,29843.33,33778.95,30382.96,33399.75,311528.373
172229485.00722,1611878400.0,172162507.37081,31960.0,38641.1,33399.99,34269.35,713579.785
36462702.40677,1611964800.0,21386652.04316,32849.06,34988.88,34267.04,34289.85,267861.872
49168634.47185,1612051200.0,9561886.6634,32193.04,34393.22,34284.76,33126.21,211293.891
24909002.8305,1612137600.0,24004615.28764,32322.47,34720.0,33125.11,33546.09,240632.325
13402279.66844,1612224000.0,35727305.19144,33450.0,36041.0,33546.08,35504.06,239856.23
20529149.68309,1612310400.0,32967299.83636,35410.0,37700.0,35504.07,37652.51,240308.078
68551254.59889,1612396800.0,35698147.68097,36233.0,38833.0,37651.92,36976.93,306715.022
21047828.69268,1612483200.0,20054194.90713,36586.68,38411.82,36975.19,38362.65,196277.444
61540723.29051,1612569600.0,60054640.49678,38269.0,40992.4,38357.17,39249.54,310826.315
107057175.40815,1612656000.0,26324655.86932,37403.27,39757.87,39249.53,38849.25,296721.925
66371424.10368,1612742400.0,286730738.25531,38037.0,47146.0,38849.24,46451.32,440167.093
89371697.03483,1612828800.0,78146260.81881,45057.65,48266.36,46451.32,46492.54,381477.426
134357720.58269,1612915200.0,27634076.01873,43770.0,47475.0,46492.53,44850.0,334979.017
58692810.15196,1613001600.0,78327939.70518,44038.97,48810.0,44850.0,48060.21,330540.045
58831606.06831,1613088000.0,26727804.71348,46121.0,49278.98,48060.21,47361.03,259186.288
41396631.25351,1613174400.0,10728829.29114,46252.1,48290.0,47364.0,47221.62,199965.397
41395497.15602,1613260800.0,58871890.15027,47093.16,49875.16,47221.63,48655.21,241935.666
152700479.83442,1613347200.0,32777856.37312,45349.21,49100.0,48655.21,47981.58,248960.404
93496982.60823,1613433600.0,74287928.51101,47101.02,50953.44,47981.6,49197.94,343592.011
