longShortRatio,shortAccount,time,longAccount,high,volume,open,low,close
3.1,24.38,1616630400,75.62,53255.2,416848.091,52307.89,50452.08,51325.21
2.53,28.3,1616716800,71.7,55123.0,271957.842,51325.21,51260.0,55030.0
2.56,28.12,1616803200,71.88,56658.76,234435.346,55030.0,54001.0,55828.0
2.1,32.26,1616889600,67.74,56588.31,200603.768,55828.0,54694.91,55805.08
2.22,31.1,1616976000,68.9,58490.11,277215.268,55804.16,54931.15,57677.64
2.1,32.29,1617062400,67.71,59560.0,232824.065,57676.14,57110.0,58794.16
2.24,30.85,1617148800,69.15,59920.0,337038.349,58794.17,56812.0,58807.24
2.28,30.5,1617235200,69.5,59592.22,196332.114,58810.99,58002.0,58794.01
2.23,30.98,1617321600,69.02,60397.85,189391.958,58797.56,58490.03,59031.36
2.71,26.95,1617408000,73.05,59925.0,198636.171,59028.99,56900.0,57134.65
2.32,30.14,1617494400,69.86,58553.0,152454.122,57134.65,56517.23,58234.61
2.48,28.71,1617580800,71.29,59385.0,174338.646,58234.61,56808.94,59243.39
2.48,28.78,1617667200,71.22,59626.18,165562.029,59243.4,57500.0,58059.99
3.08,24.54,1617753600,75.46,58720.0,265271.707,58060.0,55536.07,56018.18
3.18,23.93,1617840000,76.07,58200.0,161389.858,56018.17,55759.13,58122.26
2.53,28.35,1617926400,71.65,58950.0,141690.144,58122.93,57700.0,58176.03
2.56,28.06,1618012800,71.94,61800.0,240907.592,58176.04,57943.95,59832.43
2.99,25.08,1618099200,74.92,60816.88,148499.824,59832.43,59304.02,60090.2
2.97,25.19,1618185600,74.81,61449.91,196147.561,60093.26,59500.0,59911.18
3.3,23.28,1618272000,76.72,63850.0,279389.492,59911.19,59873.01,63649.71
2.22,31.08,1618358400,68.92,64986.11,323454.88,63645.05,61404.0,63019.1
3.16,24.06,1618444800,75.94,63905.83,178604.198,63018.34,62157.89,63232.55
3.08,24.52,1618531200,75.48,63600.0,255765.893,63232.56,60100.0,61424.67
3.79,20.87,1618617600,79.13,62610.0,194112.299,61424.67,59620.0,60090.14
4.55,18.01,1618704000,81.99,60450.0,522006.276,60090.14,50050.0,56140.05
2.9,25.67,1618790400,74.33,57532.7,285041.716,56140.05,54200.0,55634.39
2.55,28.2,1618876800,71.8,57060.0,324494.085,55634.38,53330.82,56410.56
2.67,27.24,1618963200,72.76,56756.78,252601.972,56411.25,53610.0,53800.0
2.51,28.48,1619049600,71.52,55470.51,453489.185,53794.72,50534.34,51714.61
2.49,28.64,1619136000,71.36,52152.0,554666.026,51714.62,47546.16,51122.62
2.1,32.25,1619222400,67.75,51183.51,299663.131,51122.63,48690.0,50092.4
1.54,39.33,1619308800,60.67,50577.9,310306.501,50094.27,46930.43,49063.94
1.59,38.65,1619395200,61.35,54364.89,390494.148,49063.94,48763.0,53984.33
1.59,38.6,1619481600,61.4,55500.0,225440.361,53984.34,53225.14,55006.25
1.79,35.9,1619568000,64.1,56574.13,263170.559,55006.25,53852.0,54861.77
2.13,31.94,1619654400,68.06,55222.02,257045.19,54861.76,52350.0,53558.8
2.38,29.62,1619740800,70.38,57935.0,294683.751,53558.57,53043.62,57684.16
2.13,31.97,1619827200,68.03,58488.17,207854.398,57688.29,57051.23,57836.34
2.22,31.07,1619913600,68.93,57959.97,203712.515,57836.35,56100.0,56630.33
2.79,26.39,1620000000,73.61,59056.59,271733.972,56630.34,56500.65,57214.83
3.06,24.64,1620086400,75.36,57253.76,388988.754,57214.84,53094.59,53263.32
2.73,26.79,1620172800,73.21,57940.0,317811.705,53263.32,52880.38,57497.77
2.38,29.58,1620259200,70.42,58450.0,275471.204,57497.76,55297.91,56435.35
3.22,23.71,1620345600,76.29,58800.0,256159.504,56435.35,55300.0,57350.88
2.67,27.27,1620432000,72.73,59590.96,264906.729,57350.89,56961.25,58924.98
2.34,29.96,1620518400,70.04,59335.19,245954.014,58926.36,56316.0,58292.53
2.88,25.76,1620604800,74.24,59654.0,396237.133,58292.53,53250.0,55869.67
3.29,23.31,1620691200,76.69,56908.66,267226.104,55869.41,54541.33,56710.43
2.43,29.16,1620777600,70.84,58049.99,472329.152,56712.7,48503.74,49595.76
2.43,29.16,1620864000,70.84,51358.0,652476.689,49596.75,45596.32,49707.9
2.86,25.91,1620950400,74.09,51533.0,319069.002,49706.27,48870.41,49873.27
3.25,23.52,1621036800,76.48,50709.43,442023.496,49873.26,46584.32,46793.41
2.78,26.43,1621123200,73.57,49829.39,604537.63,46794.62,43866.0,46429.28
3.11,24.35,1621209600,75.65,46655.0,809129.365,46429.28,42151.0,43566.18
3.03,24.81,1621296000,75.19,45846.61,590358.592,43565.11,42268.0,42882.53
3.94,20.24,1621382400,79.76,43615.93,1373851.849,42882.54,28688.0,36689.14
1.71,36.93,1621468800,63.07,42460.0,775185.113,36689.14,34882.0,40500.3
1.59,38.56,1621555200,61.44,42270.42,930671.747,40500.0,33400.0,37211.02
1.26,44.24,1621641600,55.76,38851.34,588166.784,37210.01,35201.11,37432.58
1.37,42.14,1621728000,57.86,38261.71,996815.017,37436.0,31096.7,34651.6
1.64,37.86,1621814400,62.14,39917.09,707903.071,34656.53,34366.0,38779.66
1.75,36.33,1621900800,63.67,39790.05,598836.411,38783.58,36439.32,38326.84
1.61,38.28,1621987200,61.72,40900.0,577032.81,38326.84,37804.76,39224.2
2.26,30.66,1622073600,69.34,40438.82,543338.566,39224.21,37133.22,38527.38
1.59,38.68,1622160000,61.32,38888.35,832363.425,38527.38,34689.57,35670.99
1.69,37.15,1622246400,62.85,37375.0,733902.825,35670.99,33650.0,34611.94
1.87,34.91,1622332800,65.09,36501.0,511834.746,34611.95,33356.0,35651.81
1.45,40.85,1622419200,59.15,37500.0,635082.121,35651.8,34150.0,37243.38
1.41,41.5,1622505600,58.5,37893.76,590822.54,37244.36,35500.0,36693.41
2.01,33.18,1622592000,66.82,38232.99,441719.806,36694.37,35905.0,37569.99
1.24,44.6,1622678400,55.4,39470.0,507429.005,37570.0,37150.15,39247.4
