start_time,datetime,transactions_count_inflow,transactions_count_outflow
2023-01-03 08:00:00,2023-01-03 08:00:00,71,10
2023-01-03 09:00:00,2023-01-03 09:00:00,54,8
2023-01-03 10:00:00,2023-01-03 10:00:00,78,13
2023-01-03 11:00:00,2023-01-03 11:00:00,72,11
2023-01-03 12:00:00,2023-01-03 12:00:00,81,9
2023-01-03 13:00:00,2023-01-03 13:00:00,92,12
2023-01-03 14:00:00,2023-01-03 14:00:00,78,11
2023-01-03 15:00:00,2023-01-03 15:00:00,79,9
2023-01-03 16:00:00,2023-01-03 16:00:00,108,13
2023-01-03 17:00:00,2023-01-03 17:00:00,60,9
2023-01-03 18:00:00,2023-01-03 18:00:00,77,10
2023-01-03 19:00:00,2023-01-03 19:00:00,116,12
2023-01-03 20:00:00,2023-01-03 20:00:00,53,8
2023-01-03 21:00:00,2023-01-03 21:00:00,108,11
2023-01-03 22:00:00,2023-01-03 22:00:00,56,6
2023-01-03 23:00:00,2023-01-03 23:00:00,88,12
2023-01-04 00:00:00,2023-01-04 00:00:00,64,10
2023-01-04 01:00:00,2023-01-04 01:00:00,59,9
2023-01-04 02:00:00,2023-01-04 02:00:00,79,9
2023-01-04 03:00:00,2023-01-04 03:00:00,75,12
2023-01-04 04:00:00,2023-01-04 04:00:00,72,10
2023-01-04 05:00:00,2023-01-04 05:00:00,44,9
2023-01-04 06:00:00,2023-01-04 06:00:00,62,11
2023-01-04 07:00:00,2023-01-04 07:00:00,64,8
2023-01-04 08:00:00,2023-01-04 08:00:00,93,13
2023-01-04 09:00:00,2023-01-04 09:00:00,83,9
2023-01-04 10:00:00,2023-01-04 10:00:00,75,10
2023-01-04 11:00:00,2023-01-04 11:00:00,95,11
2023-01-04 12:00:00,2023-01-04 12:00:00,85,10
2023-01-04 13:00:00,2023-01-04 13:00:00,45,10
2023-01-04 14:00:00,2023-01-04 14:00:00,86,12
2023-01-04 15:00:00,2023-01-04 15:00:00,110,9
2023-01-04 16:00:00,2023-01-04 16:00:00,125,14
2023-01-04 17:00:00,2023-01-04 17:00:00,141,12
2023-01-04 18:00:00,2023-01-04 18:00:00,82,11
2023-01-04 19:00:00,2023-01-04 19:00:00,121,11
2023-01-04 20:00:00,2023-01-04 20:00:00,127,13
2023-01-04 21:00:00,2023-01-04 21:00:00,75,10
2023-01-04 22:00:00,2023-01-04 22:00:00,40,8
2023-01-04 23:00:00,2023-01-04 23:00:00,60,10
2023-01-05 00:00:00,2023-01-05 00:00:00,69,10
2023-01-05 01:00:00,2023-01-05 01:00:00,47,8
2023-01-05 02:00:00,2023-01-05 02:00:00,57,9
2023-01-05 03:00:00,2023-01-05 03:00:00,45,12
2023-01-05 04:00:00,2023-01-05 04:00:00,58,7
2023-01-05 05:00:00,2023-01-05 05:00:00,50,11
2023-01-05 06:00:00,2023-01-05 06:00:00,38,7
2023-01-05 07:00:00,2023-01-05 07:00:00,44,8
2023-01-05 08:00:00,2023-01-05 08:00:00,84,14
2023-01-05 09:00:00,2023-01-05 09:00:00,79,11
2023-01-05 10:00:00,2023-01-05 10:00:00,59,8
2023-01-05 11:00:00,2023-01-05 11:00:00,103,12
2023-01-05 12:00:00,2023-01-05 12:00:00,72,10
2023-01-05 13:00:00,2023-01-05 13:00:00,99,11
2023-01-05 14:00:00,2023-01-05 14:00:00,82,10
2023-01-05 15:00:00,2023-01-05 15:00:00,68,7
2023-01-05 16:00:00,2023-01-05 16:00:00,130,17
2023-01-05 17:00:00,2023-01-05 17:00:00,29,4
2023-01-05 18:00:00,2023-01-05 18:00:00,124,14
2023-01-05 19:00:00,2023-01-05 19:00:00,141,15
2023-01-05 20:00:00,2023-01-05 20:00:00,87,10
2023-01-05 21:00:00,2023-01-05 21:00:00,49,11
2023-01-05 22:00:00,2023-01-05 22:00:00,67,9
2023-01-05 23:00:00,2023-01-05 23:00:00,72,9
2023-01-06 00:00:00,2023-01-06 00:00:00,47,5
2023-01-06 01:00:00,2023-01-06 01:00:00,46,9
2023-01-06 02:00:00,2023-01-06 02:00:00,11,4
2023-01-06 03:00:00,2023-01-06 03:00:00,66,10
2023-01-06 04:00:00,2023-01-06 04:00:00,68,13
2023-01-06 05:00:00,2023-01-06 05:00:00,29,4
2023-01-06 06:00:00,2023-01-06 06:00:00,67,13
2023-01-06 07:00:00,2023-01-06 07:00:00,54,7
2023-01-06 08:00:00,2023-01-06 08:00:00,71,12
2023-01-06 09:00:00,2023-01-06 09:00:00,79,11
2023-01-06 10:00:00,2023-01-06 10:00:00,84,12
