start_time,datetime,fees_burnt_total,fees_burnt_total_usd
2024-07-15 02:00:00,2024-07-15 02:00:00,18.54283103687387,61780.41634330005
2024-07-15 03:00:00,2024-07-15 03:00:00,15.765575084302233,52498.1968842243
2024-07-15 04:00:00,2024-07-15 04:00:00,11.551287266759552,38543.58164004771
2024-07-15 05:00:00,2024-07-15 05:00:00,9.25955362315292,30888.429860657132
2024-07-15 06:00:00,2024-07-15 06:00:00,10.917063244016598,36566.33146135808
2024-07-15 07:00:00,2024-07-15 07:00:00,15.452754574289862,51880.616064507645
2024-07-15 08:00:00,2024-07-15 08:00:00,16.9500654460032,56848.31811902645
2024-07-15 09:00:00,2024-07-15 09:00:00,19.069287382246987,63851.76805593218
2024-07-15 10:00:00,2024-07-15 10:00:00,18.18775870951355,60671.38010063779
2024-07-15 11:00:00,2024-07-15 11:00:00,13.751190759841474,45936.133731132955
2024-07-15 12:00:00,2024-07-15 12:00:00,19.61402490165497,65591.62653324632
2024-07-15 13:00:00,2024-07-15 13:00:00,24.682689230788824,82856.80951818492
2024-07-15 14:00:00,2024-07-15 14:00:00,38.00606883059832,128182.53522699037
2024-07-15 15:00:00,2024-07-15 15:00:00,74.490338898203,250885.0650341839
2024-07-15 16:00:00,2024-07-15 16:00:00,100.52304302706052,340756.3695822389
2024-07-15 17:00:00,2024-07-15 17:00:00,105.53048371049702,357137.74235637113
2024-07-15 18:00:00,2024-07-15 18:00:00,77.07222899206118,261926.92404215568
2024-07-15 19:00:00,2024-07-15 19:00:00,114.8897238169144,391449.9597701104
2024-07-15 20:00:00,2024-07-15 20:00:00,62.79330181505198,215604.3004954039
2024-07-15 21:00:00,2024-07-15 21:00:00,43.054359912685946,147293.9504309133
2024-07-15 22:00:00,2024-07-15 22:00:00,34.42534683801693,119564.03423869947
2024-07-15 23:00:00,2024-07-15 23:00:00,30.83122329094491,107420.81289126276
2024-07-16 00:00:00,2024-07-16 00:00:00,29.21838591501867,101375.30438551884
2024-07-16 01:00:00,2024-07-16 01:00:00,25.93906292050399,90248.5275439533
2024-07-16 02:00:00,2024-07-16 02:00:00,20.24587969747811,70171.54013953505
2024-07-16 03:00:00,2024-07-16 03:00:00,17.05942609524486,59191.43863977183
2024-07-16 04:00:00,2024-07-16 04:00:00,16.647177337391593,57595.71025590706
2024-07-16 05:00:00,2024-07-16 05:00:00,17.45523640513532,59627.100857865
2024-07-16 06:00:00,2024-07-16 06:00:00,20.473761956555173,69590.51238486603
2024-07-16 07:00:00,2024-07-16 07:00:00,29.008145480684572,97951.8207086022
2024-07-16 08:00:00,2024-07-16 08:00:00,33.15206995501391,111886.8430495185
2024-07-16 09:00:00,2024-07-16 09:00:00,31.282906222238147,106196.39492518036
2024-07-16 10:00:00,2024-07-16 10:00:00,22.845706101484847,77883.89536103386
2024-07-16 11:00:00,2024-07-16 11:00:00,29.521943987608264,100957.41190189875
2024-07-16 12:00:00,2024-07-16 12:00:00,37.130221956107576,126372.96629122902
2024-07-16 13:00:00,2024-07-16 13:00:00,34.78147421869748,118129.2524495338
2024-07-16 14:00:00,2024-07-16 14:00:00,45.85251880548911,156532.80759047237
2024-07-16 15:00:00,2024-07-16 15:00:00,58.24263461884484,202481.25107111808
2024-07-16 16:00:00,2024-07-16 16:00:00,83.56111162114566,289605.3396755504
2024-07-16 17:00:00,2024-07-16 17:00:00,67.39627688746765,233147.7491087648
2024-07-16 18:00:00,2024-07-16 18:00:00,60.264494149330105,208656.8805623949
2024-07-16 19:00:00,2024-07-16 19:00:00,72.89438943608043,253308.2846867779
2024-07-16 20:00:00,2024-07-16 20:00:00,47.17643596831339,162236.01331231458
2024-07-16 21:00:00,2024-07-16 21:00:00,42.02520163165224,144447.82289092586
2024-07-16 22:00:00,2024-07-16 22:00:00,26.30629403540065,90209.0812798818
2024-07-16 23:00:00,2024-07-16 23:00:00,24.3365116732766,83863.15589494695
2024-07-17 00:00:00,2024-07-17 00:00:00,21.45504177671248,74351.45653185624
2024-07-17 01:00:00,2024-07-17 01:00:00,25.14353858136108,87569.50436526077
2024-07-17 02:00:00,2024-07-17 02:00:00,26.20950944002601,91175.3885787763
2024-07-17 03:00:00,2024-07-17 03:00:00,30.228463812965188,105208.53526539964
2024-07-17 04:00:00,2024-07-17 04:00:00,23.96644998633488,83792.99265715067
2024-07-17 05:00:00,2024-07-17 05:00:00,53.73819507935817,188012.60989411635
2024-07-17 06:00:00,2024-07-17 06:00:00,46.01416602007072,160662.88995877063
2024-07-17 07:00:00,2024-07-17 07:00:00,32.28160475595586,112553.25000393024
2024-07-17 08:00:00,2024-07-17 08:00:00,42.894947737449634,149314.73362241173
2024-07-17 09:00:00,2024-07-17 09:00:00,51.782426899802616,180824.16299784344
2024-07-17 10:00:00,2024-07-17 10:00:00,35.51510932287539,123583.23544629496
2024-07-17 11:00:00,2024-07-17 11:00:00,37.21689131804449,128369.463902345
2024-07-17 12:00:00,2024-07-17 12:00:00,35.516197656663465,122702.55467632283
2024-07-17 13:00:00,2024-07-17 13:00:00,45.44372975081609,157595.73469796078
2024-07-17 14:00:00,2024-07-17 14:00:00,92.13790964843804,318544.5928378453
2024-07-17 15:00:00,2024-07-17 15:00:00,69.81236059942684,239971.9791785748
2024-07-17 16:00:00,2024-07-17 16:00:00,101.23310864854206,344417.0497478262
2024-07-17 17:00:00,2024-07-17 17:00:00,55.75775608704621,190070.52016049105
2024-07-17 18:00:00,2024-07-17 18:00:00,39.08184140942166,133565.10154986716
2024-07-17 19:00:00,2024-07-17 19:00:00,30.82990960392451,105340.41739555082
2024-07-17 20:00:00,2024-07-17 20:00:00,40.77041915773334,139273.09682347483
2024-07-17 21:00:00,2024-07-17 21:00:00,28.38226689028561,96849.5924227282
2024-07-17 22:00:00,2024-07-17 22:00:00,36.90107558252482,125292.3715565444
2024-07-17 23:00:00,2024-07-17 23:00:00,20.39432189364275,69084.98200640426
2024-07-18 00:00:00,2024-07-18 00:00:00,21.848573062809702,74517.10278596936
2024-07-18 01:00:00,2024-07-18 01:00:00,21.341022885637457,73033.35096659545
2024-07-18 02:00:00,2024-07-18 02:00:00,27.371023547087884,93734.46870222095
2024-07-18 03:00:00,2024-07-18 03:00:00,23.42295531404605,80370.24077310512
2024-07-18 04:00:00,2024-07-18 04:00:00,23.999906287508217,82034.01075168097
2024-07-18 05:00:00,2024-07-18 05:00:00,33.73781918612343,115498.6816860318
2024-07-18 06:00:00,2024-07-18 06:00:00,30.224606931252584,104199.3490290012
2024-07-18 07:00:00,2024-07-18 07:00:00,39.18669793613018,134531.87981857377
2024-07-18 08:00:00,2024-07-18 08:00:00,39.58639673478736,136926.43909965476
2024-07-18 09:00:00,2024-07-18 09:00:00,43.764894845695245,151075.04140667114
2024-07-18 10:00:00,2024-07-18 10:00:00,43.27151927295669,149032.04691516113
2024-07-18 11:00:00,2024-07-18 11:00:00,39.172573249870965,135497.11127217152
2024-07-18 12:00:00,2024-07-18 12:00:00,40.30478667339109,139957.14439584283
2024-07-18 13:00:00,2024-07-18 13:00:00,49.88437456576252,172981.6680497336
2024-07-18 14:00:00,2024-07-18 14:00:00,69.55978409528879,238715.38893182296
2024-07-18 15:00:00,2024-07-18 15:00:00,81.67618060566262,276832.111213252
2024-07-18 16:00:00,2024-07-18 16:00:00,73.81388666663065,252476.3074069229
2024-07-18 17:00:00,2024-07-18 17:00:00,95.84815531882356,325813.6659387371
2024-07-18 18:00:00,2024-07-18 18:00:00,93.54448120542789,318572.45324813266
2024-07-18 19:00:00,2024-07-18 19:00:00,48.9504686226874,166682.8414133806
2024-07-18 20:00:00,2024-07-18 20:00:00,39.77582161802346,135825.30862191436
2024-07-18 21:00:00,2024-07-18 21:00:00,36.2296477969106,123963.97084481904
2024-07-18 22:00:00,2024-07-18 22:00:00,42.16067987983548,144760.87461801604
2024-07-18 23:00:00,2024-07-18 23:00:00,27.34518115744464,93682.16013378624
