start_time,datetime,open_interest
2022-08-16 04:00:00,2022-08-16 04:00:00,2295704073.73874
2022-08-16 05:00:00,2022-08-16 05:00:00,2288746789.91416
2022-08-16 06:00:00,2022-08-16 06:00:00,2284729694.38832
2022-08-16 07:00:00,2022-08-16 07:00:00,2296458363.4503994
2022-08-16 08:00:00,2022-08-16 08:00:00,2277162563.6528997
2022-08-16 09:00:00,2022-08-16 09:00:00,2270986064.6785603
2022-08-16 10:00:00,2022-08-16 10:00:00,2286695586.2342596
2022-08-16 11:00:00,2022-08-16 11:00:00,2310807597.08696
2022-08-16 12:00:00,2022-08-16 12:00:00,2299656133.543
2022-08-16 13:00:00,2022-08-16 13:00:00,2259581780.4902
2022-08-16 14:00:00,2022-08-16 14:00:00,2258164855.0157204
2022-08-16 15:00:00,2022-08-16 15:00:00,2261107904.4912596
2022-08-16 16:00:00,2022-08-16 16:00:00,2247270297.1150703
2022-08-16 17:00:00,2022-08-16 17:00:00,2231813258.52654
2022-08-16 18:00:00,2022-08-16 18:00:00,2214349700.73
2022-08-16 19:00:00,2022-08-16 19:00:00,2205534200.58858
2022-08-16 20:00:00,2022-08-16 20:00:00,2202954658.8344
2022-08-16 21:00:00,2022-08-16 21:00:00,2197948413.93694
2022-08-16 22:00:00,2022-08-16 22:00:00,2189711097.23671
2022-08-16 23:00:00,2022-08-16 23:00:00,2194307599.77625
2022-08-17 00:00:00,2022-08-17 00:00:00,2202778101.43229
2022-08-17 01:00:00,2022-08-17 01:00:00,2184864948.14525
2022-08-17 02:00:00,2022-08-17 02:00:00,2200158617.29596
2022-08-17 03:00:00,2022-08-17 03:00:00,2209880828.60604
2022-08-17 04:00:00,2022-08-17 04:00:00,2215910046.90479
2022-08-17 05:00:00,2022-08-17 05:00:00,2257953567.80352
2022-08-17 06:00:00,2022-08-17 06:00:00,2326253215.7280197
2022-08-17 07:00:00,2022-08-17 07:00:00,2251168655.18944
2022-08-17 08:00:00,2022-08-17 08:00:00,2239685317.087
2022-08-17 09:00:00,2022-08-17 09:00:00,2230232750.09609
2022-08-17 10:00:00,2022-08-17 10:00:00,2220952560.2262
2022-08-17 11:00:00,2022-08-17 11:00:00,2222701953.1262197
2022-08-17 12:00:00,2022-08-17 12:00:00,2176560612.01392
2022-08-17 13:00:00,2022-08-17 13:00:00,2174987963.67824
2022-08-17 14:00:00,2022-08-17 14:00:00,2161331677.4572897
2022-08-17 15:00:00,2022-08-17 15:00:00,2171817872.14456
2022-08-17 16:00:00,2022-08-17 16:00:00,2180912156.56096
2022-08-17 17:00:00,2022-08-17 17:00:00,2176088280.2212
2022-08-17 18:00:00,2022-08-17 18:00:00,2152733801.33248
2022-08-17 19:00:00,2022-08-17 19:00:00,2121792252.02
2022-08-17 20:00:00,2022-08-17 20:00:00,2120072257.53574
2022-08-17 21:00:00,2022-08-17 21:00:00,2115576332.86019
2022-08-17 22:00:00,2022-08-17 22:00:00,2111994694.1057096
2022-08-17 23:00:00,2022-08-17 23:00:00,2118819234.55704
2022-08-18 00:00:00,2022-08-18 00:00:00,2167786164.69079
2022-08-18 01:00:00,2022-08-18 01:00:00,2160224495.4455595
2022-08-18 02:00:00,2022-08-18 02:00:00,2135522541.13422
2022-08-18 03:00:00,2022-08-18 03:00:00,2136359382.11772
2022-08-18 04:00:00,2022-08-18 04:00:00,2132471679.8034
2022-08-18 05:00:00,2022-08-18 05:00:00,2135552362.8
2022-08-18 06:00:00,2022-08-18 06:00:00,2141559998.61088
2022-08-18 07:00:00,2022-08-18 07:00:00,2143627086.80594
2022-08-18 08:00:00,2022-08-18 08:00:00,2157457438.79775
2022-08-18 09:00:00,2022-08-18 09:00:00,2169627297.53568
2022-08-18 10:00:00,2022-08-18 10:00:00,2162541595.4891
2022-08-18 11:00:00,2022-08-18 11:00:00,2172708896.556
2022-08-18 12:00:00,2022-08-18 12:00:00,2208458675.6850796
2022-08-18 13:00:00,2022-08-18 13:00:00,2224487429.41376
2022-08-18 14:00:00,2022-08-18 14:00:00,2233665216.56856
2022-08-18 15:00:00,2022-08-18 15:00:00,2273044436.0712605
2022-08-18 16:00:00,2022-08-18 16:00:00,2259150087.37895
2022-08-18 17:00:00,2022-08-18 17:00:00,2246331919.27125
