l,o,t,c,h,volume,high,close,open,low
0.01,0.01,1651536000,0.01,0.01,248986.222,38674.7,37712.9,38525.5,37500.1
0.002275,0.01,1651622400,0.01,0.01,424498.818,40071.7,39684.0,37713.0,37655.2
-0.021323,0.01,1651708800,-0.013527,0.01,547209.0,39845.0,36534.7,39684.1,35388.0
-0.013527,-0.013527,1651795200,-0.00527,0.01,431979.24,36679.3,35995.3,36533.7,35200.0
-0.00767,-0.00527,1651881600,-0.002754,0.008788,200264.833,36138.0,35466.7,35995.2,34700.0
-0.002754,-0.002754,1651968000,0.01,0.01,426872.584,35504.0,34032.0,35466.7,33665.0
0.005918,0.01,1652054400,0.01,0.01,1078779.712,34243.3,30056.6,34032.1,30003.6
-0.020399,0.01,1652140800,0.00762,0.01,863178.961,32650.0,31002.1,30056.0,29701.4
-0.032746,0.00762,1652227200,-0.018713,0.01,1101875.972,32197.6,29074.7,31002.1,27651.0
-0.047416,-0.018713,1652313600,-0.0072,-0.005983,964475.589,30257.0,29020.7,29077.9,26631.0
-0.010417,-0.0072,1652400000,0.01,0.01,507620.105,31072.6,29274.3,29020.8,28730.4
0.00396,0.01,1652486400,0.008254,0.01,315756.895,30352.2,30079.8,29274.2,28602.3
0.004035,0.008254,1652572800,0.01,0.01,336773.139,31462.0,31324.4,30079.5,29448.0
-0.001597,0.01,1652659200,0.01,0.01,507243.166,31327.4,29866.7,31324.3,29052.3
-0.010342,0.01,1652745600,-0.007045,0.01,398624.519,30794.0,30437.0,29866.4,29420.0
-0.007045,-0.007045,1652832000,-0.000325,0.003158,426700.457,30700.0,28700.6,30437.0,28629.6
-0.001088,-0.000325,1652918400,0.01,0.01,448856.724,30550.0,30319.9,28700.6,28670.5
-0.00227,0.01,1653004800,-0.000251,0.01,485439.171,30784.4,29188.9,30319.9,28702.0
-0.002329,-0.000251,1653091200,0.00241,0.005941,202804.089,29650.0,29427.4,29188.9,28927.0
-0.004456,0.00241,1653177600,0.01,0.01,297116.44,30500.0,30284.0,29427.4,29223.6
-0.012422,0.01,1653264000,-0.012372,0.01,475720.75,30658.0,29097.7,30284.0,28840.7
-0.013867,-0.012372,1653350400,0.003679,0.01,382124.449,29887.3,29643.1,29097.8,28637.6
0.001035,0.003679,1653436800,0.007434,0.01,413459.484,30246.7,29536.7,29643.0,29330.0
-0.000816,0.007434,1653523200,0.01,0.01,602137.086,29877.0,29194.0,29536.7,27952.1
0.01,0.01,1653609600,0.01,0.01,506638.884,29387.0,28623.2,29194.0,28259.6
0.007429,0.01,1653696000,0.01,0.01,193644.283,29265.7,29018.8,28623.3,28520.0
0.008325,0.01,1653782400,0.01,0.01,215139.934,29595.2,29452.8,29018.8,28825.0
0.01,0.01,1653868800,0.01,0.01,502712.176,32307.6,31726.5,29452.6,29301.1
0.01,0.01,1653955200,0.01,0.01,383688.265,32427.5,31797.8,31726.5,31222.0
-0.008341,0.01,1654041600,-0.001494,0.01,556992.756,31986.1,29796.9,31797.9,29300.0
-0.003459,-0.001494,1654128000,-0.003392,0.01,370924.687,30750.0,30437.1,29796.9,29566.1
-0.003406,-0.003392,1654214400,0.00027,0.007865,357110.377,30693.2,29682.8,30437.1,29220.0
-0.001961,0.00027,1654300800,0.00434,0.006917,187520.534,29988.0,29848.4,29682.8,29456.0
0.001315,0.00434,1654387200,0.006028,0.01,205385.831,30250.0,29909.9,29848.5,29524.0
0.003198,0.006028,1654473600,0.01,0.01,436522.874,31780.0,31361.2,29910.0,29876.2
-0.011684,0.01,1654560000,0.01,0.01,691714.985,31599.0,31118.1,31361.2,29190.0
-0.008302,0.01,1654646400,0.01,0.01,455686.637,31325.0,30192.5,31118.0,29825.0
0.007528,0.01,1654732800,0.01,0.01,307312.175,30691.9,30093.3,30192.6,29914.5
0.001515,0.01,1654819200,0.001722,0.01,445928.659,30374.1,29077.7,30093.4,28805.0
-0.000159,0.001722,1654905600,0.01,0.01,391367.814,29427.9,28416.7,29077.7,28080.0
-0.000788,0.01,1654992000,0.005647,0.01,560834.131,28530.3,26564.7,28416.6,26538.7
-0.006211,0.005647,1655078400,0.004124,0.01,1622521.56,26877.0,22471.5,26564.7,21900.0
-0.021251,0.004124,1655164800,-0.002079,0.004334,1247609.796,23424.2,22122.7,22471.4,20823.0
-0.009264,-0.002079,1655251200,-0.004061,0.008239,1509301.169,22800.0,22567.5,22122.7,20100.2
-0.007217,-0.004061,1655337600,-0.002222,0.006434,882634.22,23000.0,20387.4,22567.5,20222.0
-0.01728,-0.002222,1655424000,0.0074,0.01,776153.257,21388.0,20457.3,20387.4,20228.0
-0.01492,0.0074,1655510400,0.004111,0.01,1268591.388,20768.4,18959.7,20457.3,17593.2
-0.013435,0.004111,1655596800,0.000829,0.01,1089275.674,20821.0,20564.2,18959.7,17935.9
-0.001423,0.000829,1655683200,0.01,0.01,935816.13,21099.9,20570.1,20564.3,19630.0
-0.002147,0.01,1655769600,0.0001,0.01,787173.936,21740.0,20713.1,20570.0,20337.8
-0.006681,0.0001,1655856000,-0.000917,0.004389,812184.193,20888.0,19977.4,20713.1,19745.7
-0.004045,-0.000917,1655942400,0.006043,0.006184,698753.04,21250.0,21096.6,19977.5,19874.0
0.002273,0.006043,1656028800,0.002544,0.01,645450.778,21563.5,21231.2,21096.6,20732.5
0.002544,0.002544,1656115200,0.01,0.01,434117.447,21627.6,21481.9,21231.2,20894.0
-0.001725,0.01,1656201600,0.00781,0.01,442787.736,21888.0,21029.1,21481.9,20952.0
-0.002557,0.00781,1656288000,-0.002557,0.01,539335.009,21560.0,20730.0,21029.1,20500.0
-0.008066,-0.002557,1656374400,0.004166,0.007124,582916.108,21198.0,20268.6,20730.0,20188.0
-0.000958,0.004166,1656460800,0.000324,0.01,608905.99,20430.0,20109.9,20268.7,19817.2
-0.016653,0.000324,1656547200,-0.00864,0.000324,859981.415,20165.0,19923.5,20109.9,18563.0
-0.013324,-0.00864,1656633600,-0.003003,0.005628,915399.363,20926.4,19272.0,19923.3,18948.8
-0.003003,-0.003003,1656720000,0.003606,0.005641,382851.525,19456.0,19240.9,19272.0,18959.0
0.001897,0.003606,1656806400,0.007806,0.009242,449508.331,19645.4,19305.9,19241.0,18780.1
-0.003306,0.007806,1656892800,0.005429,0.008516,633310.187,20350.0,20226.6,19306.0,19046.3
-0.010888,0.005429,1656979200,0.01,0.01,854238.867,20749.2,20170.0,20226.3,19291.6
0.001402,0.01,1657065600,0.005274,0.01,682076.458,20667.6,20554.1,20170.1,19753.0
-0.000172,0.005274,1657152000,0.000138,0.01,699841.616,21830.0,21613.4,20554.2,20244.9
-0.000008,0.000138,1657238400,0.01,0.01,848144.495,22579.9,21587.9,21614.5,21175.2
0.00597,0.01,1657324800,0.009962,0.01,393372.366,22000.0,21580.0,21587.8,21309.6
0.002878,0.009962,1657411200,0.004571,0.01,468176.539,21594.2,20853.8,21580.0,20600.0
0.00447,0.004571,1657497600,0.008003,0.01,561245.987,20853.9,19954.3,20853.8,19870.0
-0.003888,0.008003,1657584000,-0.001306,0.01,640560.723,20048.9,19322.9,19954.3,19228.3
-0.002245,-0.001306,1657670400,0.000188,0.008645,975938.165,20401.6,20220.1,19322.9,18901.0
-0.00263,0.000188,1657756800,0.009288,0.01,765989.53,20900.0,20578.6,20220.1,19600.0
0.001032,0.009288,1657843200,0.006038,0.009288,626763.692,21200.0,20823.1,20578.6,20364.3
0.00035,0.006038,1657929600,0.008038,0.01,539206.87,21580.0,21183.5,20823.1,20471.0
0.006057,0.008038,1658016000,0.01,0.01,485537.728,21674.1,20794.4,21183.6,20742.0
0.000664,0.01,1658102400,0.01,0.01,982867.734,22800.0,22423.9,20794.4,20764.4
