sell,buy,time,close,high,open,low,volume
92107.96,97136.258,1676073600,21851.3,21891.9,21618.6,21594.4,189249.667
138983.834,137800.53,1676160000,21771.1,22080.9,21851.2,21618.0,276787.093
256654.661,254933.386,1676246400,21766.2,21888.0,21771.0,21338.0,511595.693
297073.525,301709.206,1676332800,22187.4,22320.0,21766.1,21485.2,598791.509
386577.662,438091.107,1676419200,24332.6,24420.0,22187.4,22038.5,824676.471
483429.446,476003.007,1676505600,23526.6,25290.0,24332.7,23518.0,959463.159
456057.37,466646.343,1676592000,24581.5,25043.2,23526.6,23350.0,922717.148
130997.088,130552.326,1676678400,24636.9,24887.5,24581.3,24430.6,261555.556
279778.099,263714.869,1676764800,24265.9,25200.0,24636.8,24179.4,543506.628
320636.098,325741.314,1676851200,24849.9,25140.0,24265.9,23827.0,646401.072
371504.015,357775.083,1676937600,24443.4,25347.6,24849.9,24150.0,729290.575
378251.778,352143.674,1677024000,24171.3,24468.5,24443.3,23572.0,730414.101
381548.894,369785.551,1677110400,23928.8,24588.0,24171.3,23590.0,751339.414
380966.728,350595.609,1677196800,23175.6,24138.6,23928.7,22800.0,731577.942
159161.394,151631.548,1677283200,23146.2,23210.5,23175.5,22700.0,310795.648
182290.259,189099.05,1677369600,23545.3,23675.0,23146.2,23050.0,371395.056
289720.342,286287.606,1677456000,23480.0,23888.0,23545.2,23088.0,576754.966
235843.651,221065.699,1677542400,23129.6,23592.8,23480.0,23010.0,456919.838
302286.227,314951.509,1677628800,23619.8,24022.7,23129.7,23008.4,617250.311
212505.444,206747.979,1677715200,23457.1,23790.5,23619.8,23183.0,419256.601
325035.305,283459.964,1677801600,22342.8,23468.5,23457.1,21883.2,608518.137
87203.369,88098.575,1677888000,22335.7,22400.0,22342.8,22147.5,175309.211
138387.878,143872.417,1677974400,22419.4,22650.0,22335.8,22174.9,282261.745
151901.659,147055.438,1678060800,22397.1,22594.5,22419.3,22240.1,298976.397
277810.377,270674.866,1678147200,22187.1,22550.0,22397.1,21908.0,548494.099
284350.595,263509.299,1678233600,21695.4,22276.4,22187.1,21540.5,547867.967
500379.674,451512.228,1678320000,20348.3,21823.0,21695.3,20003.5,951903.36
619567.419,609463.87,1678406400,20140.3,20351.8,20348.4,19521.6,1238135.265
367873.176,385575.676,1678492800,20447.3,20674.5,20140.3,19752.5,753479.558
418707.119,462800.012,1678579200,21986.2,22184.0,20447.3,20262.2,881522.402
695230.06,745320.309,1678665600,24119.5,24517.2,21986.2,21804.0,1534982.176
785251.916,787275.927,1678752000,24682.5,26489.9,24119.5,23951.0,1572562.635
551980.857,550061.9,1678838400,24288.0,25200.0,24682.5,23888.0,1102056.429
