start_time,datetime,estimated_leverage_ratio
2021-01-08 17:00:00,2021-01-08 17:00:00,1.02553295
2021-01-08 18:00:00,2021-01-08 18:00:00,1.05550184
2021-01-08 19:00:00,2021-01-08 19:00:00,1.04332027
2021-01-08 20:00:00,2021-01-08 20:00:00,1.04612243
2021-01-08 21:00:00,2021-01-08 21:00:00,1.02861362
2021-01-08 22:00:00,2021-01-08 22:00:00,1.05179774
2021-01-08 23:00:00,2021-01-08 23:00:00,1.05648477
2021-01-09 00:00:00,2021-01-09 00:00:00,1.0820167
2021-01-09 01:00:00,2021-01-09 01:00:00,1.08178262
2021-01-09 02:00:00,2021-01-09 02:00:00,1.07692391
2021-01-09 03:00:00,2021-01-09 03:00:00,1.08785282
2021-01-09 04:00:00,2021-01-09 04:00:00,1.09336259
2021-01-09 05:00:00,2021-01-09 05:00:00,1.10894078
2021-01-09 06:00:00,2021-01-09 06:00:00,1.12846203
2021-01-09 07:00:00,2021-01-09 07:00:00,1.09590106
2021-01-09 08:00:00,2021-01-09 08:00:00,1.10144057
2021-01-09 09:00:00,2021-01-09 09:00:00,1.07331884
2021-01-09 10:00:00,2021-01-09 10:00:00,1.09799029
2021-01-09 11:00:00,2021-01-09 11:00:00,1.09111056
2021-01-09 12:00:00,2021-01-09 12:00:00,1.08439687
2021-01-09 13:00:00,2021-01-09 13:00:00,1.13095651
2021-01-09 14:00:00,2021-01-09 14:00:00,1.10457133
2021-01-09 15:00:00,2021-01-09 15:00:00,1.05937077
2021-01-09 16:00:00,2021-01-09 16:00:00,1.06214915
2021-01-09 17:00:00,2021-01-09 17:00:00,1.03996135
2021-01-09 18:00:00,2021-01-09 18:00:00,1.0469719
2021-01-09 19:00:00,2021-01-09 19:00:00,1.04527633
2021-01-09 20:00:00,2021-01-09 20:00:00,1.02551138
2021-01-09 21:00:00,2021-01-09 21:00:00,1.03429831
2021-01-09 22:00:00,2021-01-09 22:00:00,1.03111912
2021-01-09 23:00:00,2021-01-09 23:00:00,1.03742599
2021-01-10 00:00:00,2021-01-10 00:00:00,1.02479602
2021-01-10 01:00:00,2021-01-10 01:00:00,1.01139999
2021-01-10 02:00:00,2021-01-10 02:00:00,1.02415153
2021-01-10 03:00:00,2021-01-10 03:00:00,1.02224413
2021-01-10 04:00:00,2021-01-10 04:00:00,1.02075446
2021-01-10 05:00:00,2021-01-10 05:00:00,1.03191119
2021-01-10 06:00:00,2021-01-10 06:00:00,1.02312515
2021-01-10 07:00:00,2021-01-10 07:00:00,1.03065681
2021-01-10 08:00:00,2021-01-10 08:00:00,1.05656715
2021-01-10 09:00:00,2021-01-10 09:00:00,1.07318529
2021-01-10 10:00:00,2021-01-10 10:00:00,1.10889904
2021-01-10 11:00:00,2021-01-10 11:00:00,1.11509063
2021-01-10 12:00:00,2021-01-10 12:00:00,1.08391183
2021-01-10 13:00:00,2021-01-10 13:00:00,1.10699751
2021-01-10 14:00:00,2021-01-10 14:00:00,1.14870709
2021-01-10 15:00:00,2021-01-10 15:00:00,1.13011847
2021-01-10 16:00:00,2021-01-10 16:00:00,1.13969459
2021-01-10 17:00:00,2021-01-10 17:00:00,1.0922162
2021-01-10 18:00:00,2021-01-10 18:00:00,1.07850327
2021-01-10 19:00:00,2021-01-10 19:00:00,1.09756747
2021-01-10 20:00:00,2021-01-10 20:00:00,1.0266967
2021-01-10 21:00:00,2021-01-10 21:00:00,1.0108483
2021-01-10 22:00:00,2021-01-10 22:00:00,1.03253542
2021-01-10 23:00:00,2021-01-10 23:00:00,1.0078573
2021-01-11 00:00:00,2021-01-11 00:00:00,1.00377359
2021-01-11 01:00:00,2021-01-11 01:00:00,1.01653644
2021-01-11 02:00:00,2021-01-11 02:00:00,1.02753877
2021-01-11 03:00:00,2021-01-11 03:00:00,1.01858805
2021-01-11 04:00:00,2021-01-11 04:00:00,1.00513558
2021-01-11 05:00:00,2021-01-11 05:00:00,0.99929582
2021-01-11 06:00:00,2021-01-11 06:00:00,1.01626495
2021-01-11 07:00:00,2021-01-11 07:00:00,1.05293484
2021-01-11 08:00:00,2021-01-11 08:00:00,1.00610528
2021-01-11 09:00:00,2021-01-11 09:00:00,0.9939284
2021-01-11 10:00:00,2021-01-11 10:00:00,1.00498309
2021-01-11 11:00:00,2021-01-11 11:00:00,1.01787679
2021-01-11 12:00:00,2021-01-11 12:00:00,1.01402298
2021-01-11 13:00:00,2021-01-11 13:00:00,1.0413777
2021-01-11 14:00:00,2021-01-11 14:00:00,0.98066982
2021-01-11 15:00:00,2021-01-11 15:00:00,1.03862188
2021-01-11 16:00:00,2021-01-11 16:00:00,1.07969007
2021-01-11 17:00:00,2021-01-11 17:00:00,1.01853081
2021-01-11 18:00:00,2021-01-11 18:00:00,1.01984293
2021-01-11 19:00:00,2021-01-11 19:00:00,1.03646087
2021-01-11 20:00:00,2021-01-11 20:00:00,1.02020224
2021-01-11 21:00:00,2021-01-11 21:00:00,0.99992169
2021-01-11 22:00:00,2021-01-11 22:00:00,1.01882697
2021-01-11 23:00:00,2021-01-11 23:00:00,1.00950662
2021-01-12 00:00:00,2021-01-12 00:00:00,0.96108833
2021-01-12 01:00:00,2021-01-12 01:00:00,0.93445979
2021-01-12 02:00:00,2021-01-12 02:00:00,0.91948715
2021-01-12 03:00:00,2021-01-12 03:00:00,0.90479706
2021-01-12 04:00:00,2021-01-12 04:00:00,0.87955555
2021-01-12 05:00:00,2021-01-12 05:00:00,0.86914449
2021-01-12 06:00:00,2021-01-12 06:00:00,0.87977
2021-01-12 07:00:00,2021-01-12 07:00:00,0.9219187
2021-01-12 08:00:00,2021-01-12 08:00:00,0.93857285
2021-01-12 09:00:00,2021-01-12 09:00:00,0.95946457
2021-01-12 10:00:00,2021-01-12 10:00:00,0.92050758
2021-01-12 11:00:00,2021-01-12 11:00:00,0.91117586
2021-01-12 12:00:00,2021-01-12 12:00:00,0.9354914
2021-01-12 13:00:00,2021-01-12 13:00:00,0.97163031
2021-01-12 14:00:00,2021-01-12 14:00:00,0.99152634
2021-01-12 15:00:00,2021-01-12 15:00:00,1.01112829
2021-01-12 16:00:00,2021-01-12 16:00:00,0.99436641
2021-01-12 17:00:00,2021-01-12 17:00:00,0.98950617
2021-01-12 18:00:00,2021-01-12 18:00:00,1.01043994
2021-01-12 19:00:00,2021-01-12 19:00:00,0.98339634
2021-01-12 20:00:00,2021-01-12 20:00:00,0.98354742
2021-01-12 21:00:00,2021-01-12 21:00:00,0.96308807
2021-01-12 22:00:00,2021-01-12 22:00:00,0.97524906
2021-01-12 23:00:00,2021-01-12 23:00:00,0.99999554
2021-01-13 00:00:00,2021-01-13 00:00:00,1.01764803
2021-01-13 01:00:00,2021-01-13 01:00:00,1.00944899
2021-01-13 02:00:00,2021-01-13 02:00:00,1.00196208
2021-01-13 03:00:00,2021-01-13 03:00:00,0.97899281
2021-01-13 04:00:00,2021-01-13 04:00:00,1.00290442
2021-01-13 05:00:00,2021-01-13 05:00:00,1.0012185
2021-01-13 06:00:00,2021-01-13 06:00:00,0.96995572
2021-01-13 07:00:00,2021-01-13 07:00:00,0.94881407
2021-01-13 08:00:00,2021-01-13 08:00:00,0.95055017
2021-01-13 09:00:00,2021-01-13 09:00:00,0.94713864
2021-01-13 10:00:00,2021-01-13 10:00:00,0.92243342
2021-01-13 11:00:00,2021-01-13 11:00:00,0.9504161
2021-01-13 12:00:00,2021-01-13 12:00:00,0.93707903
2021-01-13 13:00:00,2021-01-13 13:00:00,0.94577962
2021-01-13 14:00:00,2021-01-13 14:00:00,0.94505459
2021-01-13 15:00:00,2021-01-13 15:00:00,0.92526182
2021-01-13 16:00:00,2021-01-13 16:00:00,0.93074443
2021-01-13 17:00:00,2021-01-13 17:00:00,0.95146862
2021-01-13 18:00:00,2021-01-13 18:00:00,0.97584456
2021-01-13 19:00:00,2021-01-13 19:00:00,1.01894816
2021-01-13 20:00:00,2021-01-13 20:00:00,1.00789902
2021-01-13 21:00:00,2021-01-13 21:00:00,1.04169262
2021-01-13 22:00:00,2021-01-13 22:00:00,1.02235143
2021-01-13 23:00:00,2021-01-13 23:00:00,1.033463
2021-01-14 00:00:00,2021-01-14 00:00:00,1.05608793
2021-01-14 01:00:00,2021-01-14 01:00:00,1.04803673
2021-01-14 02:00:00,2021-01-14 02:00:00,1.04334832
2021-01-14 03:00:00,2021-01-14 03:00:00,1.05661831
2021-01-14 04:00:00,2021-01-14 04:00:00,1.05865933
2021-01-14 05:00:00,2021-01-14 05:00:00,1.10695223
2021-01-14 06:00:00,2021-01-14 06:00:00,1.08976233
2021-01-14 07:00:00,2021-01-14 07:00:00,1.09908802
2021-01-14 08:00:00,2021-01-14 08:00:00,1.11179034
2021-01-14 09:00:00,2021-01-14 09:00:00,1.12210103
2021-01-14 10:00:00,2021-01-14 10:00:00,1.11890229
2021-01-14 11:00:00,2021-01-14 11:00:00,1.13667438
2021-01-14 12:00:00,2021-01-14 12:00:00,1.14374916
2021-01-14 13:00:00,2021-01-14 13:00:00,1.14672226
2021-01-14 14:00:00,2021-01-14 14:00:00,1.18752424
2021-01-14 15:00:00,2021-01-14 15:00:00,1.17285681
2021-01-14 16:00:00,2021-01-14 16:00:00,1.15239652
2021-01-14 17:00:00,2021-01-14 17:00:00,1.14868826
2021-01-14 18:00:00,2021-01-14 18:00:00,1.15097886
2021-01-14 19:00:00,2021-01-14 19:00:00,1.16651633
2021-01-14 20:00:00,2021-01-14 20:00:00,1.17309323
2021-01-14 21:00:00,2021-01-14 21:00:00,1.1202834
2021-01-14 22:00:00,2021-01-14 22:00:00,1.11324085
2021-01-14 23:00:00,2021-01-14 23:00:00,1.10501545
2021-01-15 00:00:00,2021-01-15 00:00:00,1.12734667
2021-01-15 01:00:00,2021-01-15 01:00:00,1.11918122
2021-01-15 02:00:00,2021-01-15 02:00:00,1.11433161
2021-01-15 03:00:00,2021-01-15 03:00:00,1.13060523
2021-01-15 04:00:00,2021-01-15 04:00:00,1.15093877
2021-01-15 05:00:00,2021-01-15 05:00:00,1.14401745
2021-01-15 06:00:00,2021-01-15 06:00:00,1.12972428
2021-01-15 07:00:00,2021-01-15 07:00:00,1.10613833
2021-01-15 08:00:00,2021-01-15 08:00:00,1.09237536
2021-01-15 09:00:00,2021-01-15 09:00:00,1.09384048
2021-01-15 10:00:00,2021-01-15 10:00:00,1.11557693
2021-01-15 11:00:00,2021-01-15 11:00:00,1.113122
2021-01-15 12:00:00,2021-01-15 12:00:00,1.10408794
2021-01-15 13:00:00,2021-01-15 13:00:00,1.10670878
2021-01-15 14:00:00,2021-01-15 14:00:00,1.14245401
2021-01-15 15:00:00,2021-01-15 15:00:00,1.10389299
2021-01-15 16:00:00,2021-01-15 16:00:00,1.0631693
2021-01-15 17:00:00,2021-01-15 17:00:00,1.06827929
2021-01-15 18:00:00,2021-01-15 18:00:00,1.0708506
2021-01-15 19:00:00,2021-01-15 19:00:00,1.06218135
2021-01-15 20:00:00,2021-01-15 20:00:00,1.06408838
2021-01-15 21:00:00,2021-01-15 21:00:00,1.0640364
2021-01-15 22:00:00,2021-01-15 22:00:00,1.04154606
2021-01-15 23:00:00,2021-01-15 23:00:00,1.04142194
2021-01-16 00:00:00,2021-01-16 00:00:00,1.03908401
2021-01-16 01:00:00,2021-01-16 01:00:00,1.04615089
2021-01-16 02:00:00,2021-01-16 02:00:00,1.01652999
2021-01-16 03:00:00,2021-01-16 03:00:00,0.99388023
2021-01-16 04:00:00,2021-01-16 04:00:00,0.99808747
2021-01-16 05:00:00,2021-01-16 05:00:00,1.0043857
2021-01-16 06:00:00,2021-01-16 06:00:00,0.99885871
2021-01-16 07:00:00,2021-01-16 07:00:00,0.9696878
2021-01-16 08:00:00,2021-01-16 08:00:00,0.97801228
2021-01-16 09:00:00,2021-01-16 09:00:00,0.9830964
2021-01-16 10:00:00,2021-01-16 10:00:00,0.9913144
2021-01-16 11:00:00,2021-01-16 11:00:00,0.99852339
2021-01-16 12:00:00,2021-01-16 12:00:00,0.99473699
2021-01-16 13:00:00,2021-01-16 13:00:00,0.98137024
2021-01-16 14:00:00,2021-01-16 14:00:00,0.99057895
2021-01-16 15:00:00,2021-01-16 15:00:00,1.04175702
