o,h,l,t,c,open,close,high,volume,low
0.01,0.01,0.000187,1601683200,0.000187,10565.44,10537.96,10596.0,76315.911,10491.11
-0.002113,0.006048,-0.002605,1601769600,-0.001714,10537.96,10660.16,10694.0,90912.105,10514.0
-0.003387,-0.00011,-0.009957,1601856000,-0.000735,10660.16,10785.0,10792.0,130589.137,10608.9
-0.0001,0.01,-0.010645,1601942400,-0.0007,10784.99,10593.65,10792.0,184895.25,10510.66
0.00051,0.006914,-0.000817,1602028800,0.002789,10593.65,10658.75,10675.0,106700.522,10540.29
0.002741,0.01,0.001626,1602115200,0.006179,10658.75,10919.45,10958.0,207938.861,10523.0
0.006139,0.01,0.005995,1602201600,0.01,10919.45,11050.47,11110.0,154336.818,10818.44
0.01,0.01,0.01,1602288000,0.01,11050.46,11294.79,11494.0,199398.012,11050.46
0.01,0.01,0.01,1602374400,0.01,11294.78,11369.59,11450.73,146323.076,11273.77
0.01,0.01,0.01,1602460800,0.01,11369.59,11530.36,11732.0,254217.203,11157.0
0.01,0.01,0.01,1602547200,0.01,11530.37,11419.36,11562.0,199115.115,11308.0
0.01,0.01,0.01,1602633600,0.01,11419.36,11417.13,11550.0,192936.97,11280.5
0.01,0.01,0.01,1602720000,0.01,11417.12,11502.0,11649.48,215260.399,11250.0
0.01,0.01,0.01,1602806400,0.01,11502.0,11318.92,11538.92,212339.085,11175.0
0.01,0.01,0.01,1602892800,0.01,11319.51,11356.25,11424.09,95892.966,11250.0
0.01,0.01,0.01,1602979200,0.01,11356.25,11501.1,11529.93,92472.191,11342.54
0.01,0.01,0.01,1603065600,0.01,11501.5,11745.0,11830.0,230161.648,11404.01
0.01,0.01,0.003597,1603152000,0.005701,11744.99,11900.03,12045.78,312811.802,11673.0
0.002389,0.01,-0.007534,1603238400,0.01,11900.03,12796.07,13240.0,591963.069,11876.0
0.01,0.01,0.01,1603324800,0.01,12796.06,12968.87,13188.27,343851.666,12675.5
0.01,0.01,0.01,1603411200,0.01,12970.39,12925.82,13043.0,237042.526,12725.04
0.01,0.01,0.01,1603497600,0.01,12925.82,13110.88,13177.59,176146.631,12871.07
0.01,0.01,0.01,1603584000,0.01,13110.88,13023.81,13369.0,206012.652,12715.0
0.01,0.01,0.009771,1603670400,0.01,13024.21,13047.24,13240.0,316503.296,12729.0
0.009363,0.01,0.003825,1603756800,0.003973,13047.24,13629.38,13787.83,411509.506,13041.3
0.003738,0.01,-0.023567,1603843200,-0.023567,13629.89,13256.17,13863.0,476993.789,12876.0
-0.026049,-0.026049,-0.031366,1603929600,-0.031366,13255.79,13446.65,13637.22,355352.336,12965.0
-0.002751,-0.002751,-0.023909,1604016000,-0.023909,13446.65,13549.12,13665.65,349890.573,13100.0
