start_time,long_liquidation_usd,short_liquidation_usd,time
2021-11-02,4575380.3803,8001587.81646,1635811200000
2021-11-03,5380343.38172,5902203.44466,1635897600000
2021-11-04,9157375.14588,3098573.23627,1635984000000
2021-11-05,6060825.66096,5261465.0941,1636070400000
2021-11-06,8857921.45355,3603945.44981,1636156800000
2021-11-07,1816527.57684,4479397.16744,1636243200000
2021-11-08,3729678.29211,17415551.01809,1636329600000
2021-11-09,8297132.19511,7570181.61862,1636416000000
2021-11-10,22176179.41016,14090361.56824,1636502400000
2021-11-11,4611285.1141,4788636.51145,1636588800000
2021-11-12,10384968.7639,5899178.19478,1636675200000
2021-11-13,2088490.0693,3352177.04127,1636761600000
2021-11-14,3724291.78309,6598624.96431,1636848000000
2021-11-15,13786672.29784,3398179.2942,1636934400000
2021-11-16,30003724.70266,12046921.40749,1637020800000
2021-11-17,11784684.70438,8973892.7153,1637107200000
2021-11-18,21979971.15852,9101065.85564,1637193600000
2021-11-19,5930280.52376,7643953.02598,1637280000000
2021-11-20,3278671.70062,6067333.98351,1637366400000
2021-11-21,6459624.13964,2971433.03904,1637452800000
2021-11-22,16055179.81191,6905329.7303,1637539200000
2021-11-23,7960639.41613,6758391.14551,1637625600000
2021-11-24,10482317.92242,5845990.74378,1637712000000
2021-11-25,3589737.65698,9800869.7033,1637798400000
2021-11-26,48085595.0713,8013990.27859,1637884800000
2021-11-27,4464180.19257,3370593.55948,1637971200000
2021-11-28,12073082.67046,11609514.21641,1638057600000
2021-11-29,4500362.15979,7327627.5353,1638144000000
2021-11-30,22604083.53947,14616682.96124,1638230400000
2021-12-01,10491101.97527,6452940.37503,1638316800000
2021-12-02,10841929.68682,6763550.65932,1638403200000
2021-12-03,26620528.53249,6821802.52771,1638489600000
2021-12-04,61109568.01047,20896348.6142,1638576000000
2021-12-05,12251646.93346,9008964.39262,1638662400000
2021-12-06,9326585.14378,15178866.79982,1638748800000
2021-12-07,6122094.34428,5075044.30947,1638835200000
2021-12-08,6364214.31231,6799323.05065,1638921600000
2021-12-09,13184140.01769,5076140.61214,1639008000000
2021-12-10,8373296.36564,7754870.58949,1639094400000
