start_time,datetime,velocity_supply_total
2021-01-05 21:00:00,2021-01-05 21:00:00,29.15184344
2021-01-05 22:00:00,2021-01-05 22:00:00,29.15506662
2021-01-05 23:00:00,2021-01-05 23:00:00,29.15688283
2021-01-06 00:00:00,2021-01-06 00:00:00,29.15937169
2021-01-06 01:00:00,2021-01-06 01:00:00,29.16070452
2021-01-06 02:00:00,2021-01-06 02:00:00,29.16452089
2021-01-06 03:00:00,2021-01-06 03:00:00,29.16495413
2021-01-06 04:00:00,2021-01-06 04:00:00,29.16710846
2021-01-06 05:00:00,2021-01-06 05:00:00,29.17233089
2021-01-06 06:00:00,2021-01-06 06:00:00,29.17696995
2021-01-06 07:00:00,2021-01-06 07:00:00,29.17854836
2021-01-06 08:00:00,2021-01-06 08:00:00,29.18035783
2021-01-06 09:00:00,2021-01-06 09:00:00,29.18341847
2021-01-06 10:00:00,2021-01-06 10:00:00,29.18502819
2021-01-06 11:00:00,2021-01-06 11:00:00,29.1859869
2021-01-06 12:00:00,2021-01-06 12:00:00,29.18636781
2021-01-06 13:00:00,2021-01-06 13:00:00,29.18997789
2021-01-06 14:00:00,2021-01-06 14:00:00,29.1923585
2021-01-06 15:00:00,2021-01-06 15:00:00,29.1990195
2021-01-06 16:00:00,2021-01-06 16:00:00,29.20432735
2021-01-06 17:00:00,2021-01-06 17:00:00,29.20611805
2021-01-06 18:00:00,2021-01-06 18:00:00,29.20826473
2021-01-06 19:00:00,2021-01-06 19:00:00,29.21340129
2021-01-06 20:00:00,2021-01-06 20:00:00,29.2162041
2021-01-06 21:00:00,2021-01-06 21:00:00,29.21780983
2021-01-06 22:00:00,2021-01-06 22:00:00,29.22386211
2021-01-06 23:00:00,2021-01-06 23:00:00,29.22814392
2021-01-07 00:00:00,2021-01-07 00:00:00,29.22931531
2021-01-07 01:00:00,2021-01-07 01:00:00,29.23594766
2021-01-07 02:00:00,2021-01-07 02:00:00,29.24057565
2021-01-07 03:00:00,2021-01-07 03:00:00,29.24077142
2021-01-07 04:00:00,2021-01-07 04:00:00,29.24582456
2021-01-07 05:00:00,2021-01-07 05:00:00,29.24992127
2021-01-07 06:00:00,2021-01-07 06:00:00,29.25550993
2021-01-07 07:00:00,2021-01-07 07:00:00,29.25810729
2021-01-07 08:00:00,2021-01-07 08:00:00,29.26071384
2021-01-07 09:00:00,2021-01-07 09:00:00,29.26315089
2021-01-07 10:00:00,2021-01-07 10:00:00,29.26822377
2021-01-07 11:00:00,2021-01-07 11:00:00,29.27010451
2021-01-07 12:00:00,2021-01-07 12:00:00,29.2742486
2021-01-07 13:00:00,2021-01-07 13:00:00,29.28176434
2021-01-07 14:00:00,2021-01-07 14:00:00,29.28418483
2021-01-07 15:00:00,2021-01-07 15:00:00,29.28725377
2021-01-07 16:00:00,2021-01-07 16:00:00,29.28885997
2021-01-07 17:00:00,2021-01-07 17:00:00,29.29080471
2021-01-07 18:00:00,2021-01-07 18:00:00,29.29534261
