h,l,t,c,o,open,low,high,close,volume
0.01188637,0.00462341,1619568000,0.00860017,0.00462341,55006.25,53852.0,56574.13,54861.77,263170.559
0.01148607,0.00763699,1619654400,0.01148607,0.00848551,54861.76,52350.0,55222.02,53558.8,257045.19
0.01747546,0.00787343,1619740800,0.00787343,0.01166728,53558.57,53043.62,57935.0,57684.16,294683.751
0.02030483,0.00783664,1619827200,0.01537621,0.00783664,57688.29,57051.23,58488.17,57836.34,207854.398
0.03655323,0.01546346,1619913600,0.03112155,0.01546346,57836.35,56100.0,57959.97,56630.33,203712.515
0.04649851,0.02531182,1620000000,0.04060871,0.03116492,56630.34,56500.65,59056.59,57214.83,271733.972
0.04348834,0.00996149,1620086400,0.01867663,0.04138623,57214.84,53094.59,57253.76,53263.32,388988.754
0.02726992,0.01175897,1620172800,0.01796214,0.01675841,53263.32,52880.38,57940.0,57497.77,317811.705
0.04230884,0.00646636,1620259200,0.04230884,0.0107519,57497.76,55297.91,58450.0,56435.35,275471.204
0.05407364,0.01380175,1620345600,0.01380175,0.04375402,56435.35,55300.0,58800.0,57350.88,256159.504
0.03631687,0.01274558,1620432000,0.03256472,0.01274558,57350.89,56961.25,59590.96,58924.98,264906.729
0.04633864,0.02473521,1620518400,0.03684302,0.02718771,58926.36,56316.0,59335.19,58292.53,245954.014
0.04792702,0.01489345,1620604800,0.04401131,0.03776504,58292.53,53250.0,59654.0,55869.67,396237.133
0.04827967,0.01505976,1620691200,0.01505976,0.04827967,55869.41,54541.33,56908.66,56710.43,267226.104
0.02802712,0.00921282,1620777600,0.01426528,0.01251558,56712.7,48503.74,58049.99,49595.76,472329.152
0.01882073,-0.01969407,1620864000,-0.01749429,0.01581323,49596.75,45596.32,51358.0,49707.9,652476.689
0.02335791,-0.01395401,1620950400,0.01378823,-0.01395401,49706.27,48870.41,51533.0,49873.27,319069.002
0.01452691,0.00586399,1621036800,0.0131168,0.01244302,49873.26,46584.32,50709.43,46793.41,442023.496
0.02102296,0.00955052,1621123200,0.01331056,0.0103817,46794.62,43866.0,49829.39,46429.28,604537.63
0.02638032,-0.00855422,1621209600,0.02575818,0.01909128,46429.28,42151.0,46655.0,43566.18,809129.365
0.02579949,0.0065274,1621296000,0.01053265,0.02579949,43565.11,42268.0,45846.61,42882.53,590358.592
0.02365216,-0.06315244,1621382400,-0.05600954,0.01037984,42882.54,28688.0,43615.93,36689.14,1373851.849
0.00117996,-0.14941233,1621468800,-0.01547557,-0.038291,36689.14,34882.0,42460.0,40500.3,775185.113
-0.00066707,-0.0323094,1621555200,-0.00793073,-0.01357375,40500.0,33400.0,42270.42,37211.02,930671.747
0.00749349,-0.02132229,1621641600,0.00749349,-0.00444542,37210.01,35201.11,38851.34,37432.58,588166.784
0.00772596,-0.01164144,1621728000,0.00021056,0.00653278,37436.0,31096.7,38261.71,34651.6,996815.017
0.00131678,-0.01544724,1621814400,-0.00159993,0.00131678,34656.53,34366.0,39917.09,38779.66,707903.071
0.00826956,-0.00075618,1621900800,0.00613269,-0.00075618,38783.58,36439.32,39790.05,38326.84,598836.411
0.01215295,-0.00108638,1621987200,0.00021451,0.0064487,38326.84,37804.76,40900.0,39224.2,577032.81
0.00974456,-0.01001016,1622073600,0.00613908,0.00041223,39224.21,37133.22,40438.82,38527.38,543338.566
0.00838474,-0.0075595,1622160000,-0.0075595,0.00652175,38527.38,34689.57,38888.35,35670.99,832363.425
0.01266688,-0.00474708,1622246400,0.0064603,-0.00474708,35670.99,33650.0,37375.0,34611.94,733902.825
0.00952224,-0.00008921,1622332800,0.00823639,0.00718745,34611.95,33356.0,36501.0,35651.81,511834.746
0.00867911,0.00331171,1622419200,0.00513952,0.00807674,35651.8,34150.0,37500.0,37243.38,635082.121
0.01167115,-0.00096488,1622505600,0.00465736,0.00603807,37244.36,35500.0,37893.76,36693.41,590822.54
0.00971393,0.00317254,1622592000,0.00839638,0.00502443,36694.37,35905.0,38232.99,37569.99,441719.806
0.00748175,-0.00114217,1622678400,0.00268002,0.00748175,37570.0,37150.15,39470.0,39247.4,507429.005
0.01199449,-0.00268917,1622764800,-0.00194025,0.00256184,39247.4,35552.51,39297.35,36828.03,700625.866
0.0049921,-0.00499609,1622851200,0.00005272,-0.00102422,36828.03,34800.0,37900.49,35498.62,631028.448
0.009711,0.00046107,1622937600,0.00743641,0.00046107,35497.93,35201.86,36521.16,35801.71,443601.064
0.00982971,0.00086713,1623024000,0.00086713,0.00776109,35801.71,33200.0,36820.0,33550.96,636735.873
0.00293492,-0.02917289,1623110400,0.00123672,0.00045177,33550.97,30969.0,34061.57,33372.58,976693.026
0.00376975,-0.02475877,1623196800,-0.0233782,0.00376975,33372.58,32390.0,37511.31,37368.45,1031014.087
0.00809866,-0.02428207,1623283200,0.00615526,-0.02428207,37369.99,35750.0,38489.0,36669.66,803185.699
