start_time,block_bytes,datetime
2022-04-01 21:00:00,1413559.5,2022-04-01 21:00:00
2022-04-01 22:00:00,1676070.6,2022-04-01 22:00:00
2022-04-01 23:00:00,1433768.75,2022-04-01 23:00:00
2022-04-02 00:00:00,1467339.25,2022-04-02 00:00:00
2022-04-02 01:00:00,1582083.0,2022-04-02 01:00:00
2022-04-02 02:00:00,1521307.0,2022-04-02 02:00:00
2022-04-02 03:00:00,1357390.0,2022-04-02 03:00:00
2022-04-02 04:00:00,1204478.85714286,2022-04-02 04:00:00
2022-04-02 05:00:00,542333.875,2022-04-02 05:00:00
2022-04-02 06:00:00,1241660.8,2022-04-02 06:00:00
2022-04-02 07:00:00,778112.25,2022-04-02 07:00:00
2022-04-02 08:00:00,1491655.5,2022-04-02 08:00:00
2022-04-02 09:00:00,1468887.0,2022-04-02 09:00:00
2022-04-02 10:00:00,1448386.25,2022-04-02 10:00:00
2022-04-02 11:00:00,1507112.0,2022-04-02 11:00:00
2022-04-02 12:00:00,1532233.0,2022-04-02 12:00:00
2022-04-02 13:00:00,1362801.6,2022-04-02 13:00:00
2022-04-02 14:00:00,1461952.0,2022-04-02 14:00:00
2022-04-02 15:00:00,1536327.625,2022-04-02 15:00:00
2022-04-02 16:00:00,1432188.66666667,2022-04-02 16:00:00
2022-04-02 17:00:00,1642336.0,2022-04-02 17:00:00
2022-04-02 18:00:00,1529621.16666667,2022-04-02 18:00:00
2022-04-02 19:00:00,1532559.57142857,2022-04-02 19:00:00
2022-04-02 20:00:00,1323882.0,2022-04-02 20:00:00
2022-04-02 21:00:00,758464.0,2022-04-02 21:00:00
2022-04-02 22:00:00,1033898.28571429,2022-04-02 22:00:00
2022-04-02 23:00:00,1380723.33333333,2022-04-02 23:00:00
2022-04-03 00:00:00,1107448.375,2022-04-03 00:00:00
2022-04-03 01:00:00,612403.88888889,2022-04-03 01:00:00
2022-04-03 02:00:00,1035610.5,2022-04-03 02:00:00
2022-04-03 03:00:00,516870.8,2022-04-03 03:00:00
2022-04-03 04:00:00,1344102.6,2022-04-03 04:00:00
2022-04-03 05:00:00,1181077.66666667,2022-04-03 05:00:00
2022-04-03 06:00:00,1350615.0,2022-04-03 06:00:00
2022-04-03 07:00:00,1121689.5,2022-04-03 07:00:00
2022-04-03 08:00:00,920276.25,2022-04-03 08:00:00
2022-04-03 09:00:00,1067176.4,2022-04-03 09:00:00
2022-04-03 10:00:00,1518463.33333333,2022-04-03 10:00:00
2022-04-03 11:00:00,707909.75,2022-04-03 11:00:00
2022-04-03 12:00:00,1014063.5,2022-04-03 12:00:00
2022-04-03 13:00:00,839204.375,2022-04-03 13:00:00
2022-04-03 14:00:00,1285267.75,2022-04-03 14:00:00
2022-04-03 15:00:00,1432713.2,2022-04-03 15:00:00
2022-04-03 16:00:00,1424631.0,2022-04-03 16:00:00
2022-04-03 17:00:00,1280648.33333333,2022-04-03 17:00:00
2022-04-03 18:00:00,1472486.33333333,2022-04-03 18:00:00
2022-04-03 19:00:00,1438731.0,2022-04-03 19:00:00
2022-04-03 20:00:00,1341698.5,2022-04-03 20:00:00
2022-04-03 21:00:00,842407.625,2022-04-03 21:00:00
2022-04-03 22:00:00,983183.0,2022-04-03 22:00:00
2022-04-03 23:00:00,823581.125,2022-04-03 23:00:00
2022-04-04 00:00:00,953603.57142857,2022-04-04 00:00:00
2022-04-04 01:00:00,422497.1,2022-04-04 01:00:00
2022-04-04 02:00:00,1019718.0,2022-04-04 02:00:00
2022-04-04 03:00:00,1078246.0,2022-04-04 03:00:00
2022-04-04 04:00:00,1307830.5,2022-04-04 04:00:00
2022-04-04 05:00:00,1397806.2,2022-04-04 05:00:00
2022-04-04 06:00:00,893694.0,2022-04-04 06:00:00
2022-04-04 07:00:00,1164952.33333333,2022-04-04 07:00:00
2022-04-04 08:00:00,612886.125,2022-04-04 08:00:00
2022-04-04 09:00:00,818754.55555556,2022-04-04 09:00:00
2022-04-04 10:00:00,1473320.2,2022-04-04 10:00:00
2022-04-04 11:00:00,1148106.0,2022-04-04 11:00:00
2022-04-04 12:00:00,1506510.0,2022-04-04 12:00:00
2022-04-04 13:00:00,1405387.0,2022-04-04 13:00:00
2022-04-04 14:00:00,1499596.8,2022-04-04 14:00:00
2022-04-04 15:00:00,1208051.18181818,2022-04-04 15:00:00
2022-04-04 16:00:00,1228679.1,2022-04-04 16:00:00
2022-04-04 17:00:00,1346866.66666667,2022-04-04 17:00:00
2022-04-04 18:00:00,1552500.0,2022-04-04 18:00:00
2022-04-04 19:00:00,1547178.71428571,2022-04-04 19:00:00
2022-04-04 20:00:00,1398053.0,2022-04-04 20:00:00
2022-04-04 21:00:00,1484835.4,2022-04-04 21:00:00
2022-04-04 22:00:00,1448696.2,2022-04-04 22:00:00
2022-04-04 23:00:00,1161439.4,2022-04-04 23:00:00
2022-04-05 00:00:00,996119.33333333,2022-04-05 00:00:00
2022-04-05 01:00:00,653731.875,2022-04-05 01:00:00
2022-04-05 02:00:00,1163411.75,2022-04-05 02:00:00
2022-04-05 03:00:00,574482.5,2022-04-05 03:00:00
2022-04-05 04:00:00,819938.33333333,2022-04-05 04:00:00
2022-04-05 05:00:00,810947.375,2022-04-05 05:00:00
2022-04-05 06:00:00,1172099.83333333,2022-04-05 06:00:00
2022-04-05 07:00:00,1617558.75,2022-04-05 07:00:00
2022-04-05 08:00:00,1173378.25,2022-04-05 08:00:00
2022-04-05 09:00:00,521612.18181818,2022-04-05 09:00:00
2022-04-05 10:00:00,1462519.0,2022-04-05 10:00:00
2022-04-05 11:00:00,1503249.5,2022-04-05 11:00:00
2022-04-05 12:00:00,1489407.4,2022-04-05 12:00:00
2022-04-05 13:00:00,1455022.75,2022-04-05 13:00:00
2022-04-05 14:00:00,1452506.25,2022-04-05 14:00:00
2022-04-05 15:00:00,1438267.0,2022-04-05 15:00:00
2022-04-05 16:00:00,1491342.75,2022-04-05 16:00:00
2022-04-05 17:00:00,1397552.5,2022-04-05 17:00:00
2022-04-05 18:00:00,1547899.71428571,2022-04-05 18:00:00
2022-04-05 19:00:00,1609973.6,2022-04-05 19:00:00
2022-04-05 20:00:00,1349900.14285714,2022-04-05 20:00:00
2022-04-05 21:00:00,1488000.5,2022-04-05 21:00:00
2022-04-05 22:00:00,1489683.66666667,2022-04-05 22:00:00
2022-04-05 23:00:00,1547156.09090909,2022-04-05 23:00:00
2022-04-06 00:00:00,1449663.75,2022-04-06 00:00:00
2022-04-06 01:00:00,1628085.42857143,2022-04-06 01:00:00
2022-04-06 02:00:00,726751.85714286,2022-04-06 02:00:00
2022-04-06 03:00:00,657402.28571429,2022-04-06 03:00:00
2022-04-06 04:00:00,1055738.6,2022-04-06 04:00:00
2022-04-06 05:00:00,680204.875,2022-04-06 05:00:00
2022-04-06 06:00:00,940086.85714286,2022-04-06 06:00:00
2022-04-06 07:00:00,745157.0,2022-04-06 07:00:00
2022-04-06 08:00:00,1049474.125,2022-04-06 08:00:00
2022-04-06 09:00:00,860954.5,2022-04-06 09:00:00
2022-04-06 10:00:00,1253275.14285714,2022-04-06 10:00:00
2022-04-06 11:00:00,742743.5,2022-04-06 11:00:00
2022-04-06 12:00:00,1208275.11111111,2022-04-06 12:00:00
2022-04-06 13:00:00,1179168.83333333,2022-04-06 13:00:00
2022-04-06 14:00:00,1565533.5,2022-04-06 14:00:00
2022-04-06 15:00:00,1517559.5,2022-04-06 15:00:00
2022-04-06 16:00:00,1466005.75,2022-04-06 16:00:00
2022-04-06 17:00:00,1480423.5,2022-04-06 17:00:00
2022-04-06 18:00:00,1503978.55555556,2022-04-06 18:00:00
2022-04-06 19:00:00,1620627.16666667,2022-04-06 19:00:00
2022-04-06 20:00:00,1345411.125,2022-04-06 20:00:00
2022-04-06 21:00:00,1143013.2,2022-04-06 21:00:00
2022-04-06 22:00:00,1442588.6,2022-04-06 22:00:00
2022-04-06 23:00:00,780439.0,2022-04-06 23:00:00
2022-04-07 00:00:00,1452198.4,2022-04-07 00:00:00
2022-04-07 01:00:00,907768.0,2022-04-07 01:00:00
2022-04-07 02:00:00,649350.5,2022-04-07 02:00:00
2022-04-07 03:00:00,1034884.5,2022-04-07 03:00:00
2022-04-07 04:00:00,669453.375,2022-04-07 04:00:00
2022-04-07 05:00:00,793451.2,2022-04-07 05:00:00
2022-04-07 06:00:00,1426692.5,2022-04-07 06:00:00
2022-04-07 07:00:00,1562248.0,2022-04-07 07:00:00
2022-04-07 08:00:00,1455289.4,2022-04-07 08:00:00
2022-04-07 09:00:00,1236534.0,2022-04-07 09:00:00
2022-04-07 10:00:00,1140824.375,2022-04-07 10:00:00
2022-04-07 11:00:00,1510279.14285714,2022-04-07 11:00:00
2022-04-07 12:00:00,1371945.8,2022-04-07 12:00:00
2022-04-07 13:00:00,1475066.71428571,2022-04-07 13:00:00
2022-04-07 14:00:00,1458297.25,2022-04-07 14:00:00
2022-04-07 15:00:00,1366862.0,2022-04-07 15:00:00
2022-04-07 16:00:00,1513433.83333333,2022-04-07 16:00:00
2022-04-07 17:00:00,1530431.16666667,2022-04-07 17:00:00
2022-04-07 18:00:00,1411506.8,2022-04-07 18:00:00
2022-04-07 19:00:00,1522287.71428571,2022-04-07 19:00:00
2022-04-07 20:00:00,1495334.0,2022-04-07 20:00:00
2022-04-07 21:00:00,1547145.66666667,2022-04-07 21:00:00
2022-04-07 22:00:00,1459373.9,2022-04-07 22:00:00
2022-04-07 23:00:00,1559847.0,2022-04-07 23:00:00
2022-04-08 00:00:00,913361.0,2022-04-08 00:00:00
2022-04-08 01:00:00,466913.81818182,2022-04-08 01:00:00
2022-04-08 02:00:00,567391.625,2022-04-08 02:00:00
2022-04-08 03:00:00,1029777.5,2022-04-08 03:00:00
2022-04-08 04:00:00,1474952.66666667,2022-04-08 04:00:00
2022-04-08 05:00:00,1331291.33333333,2022-04-08 05:00:00
2022-04-08 06:00:00,1180653.14285714,2022-04-08 06:00:00
2022-04-08 07:00:00,1464780.5,2022-04-08 07:00:00
