longAccount,longShortRatio,shortAccount,time,low,close,high,open,volume
55.81,1.26,44.19,1676851200.0,23827.0,24849.9,25140.0,24265.9,646401.072
55.49,1.25,44.51,1676937600.0,24150.0,24443.4,25347.6,24849.9,729290.575
55.64,1.25,44.36,1677024000.0,23572.0,24171.3,24468.5,24443.3,730414.101
54.84,1.21,45.16,1677110400.0,23590.0,23928.8,24588.0,24171.3,751339.414
54.32,1.19,45.68,1677196800.0,22800.0,23175.6,24138.6,23928.7,731577.942
53.87,1.17,46.13,1677283200.0,22700.0,23146.2,23210.5,23175.5,310795.648
53.71,1.16,46.29,1677369600.0,23050.0,23545.3,23675.0,23146.2,371395.056
53.76,1.16,46.24,1677456000.0,23088.0,23480.0,23888.0,23545.2,576754.966
54.17,1.18,45.83,1677542400.0,23010.0,23129.6,23592.8,23480.0,456919.838
53.55,1.15,46.45,1677628800.0,23008.4,23619.8,24022.7,23129.7,617250.311
54.27,1.19,45.73,1677715200.0,23183.0,23457.1,23790.5,23619.8,419256.601
54.0,1.17,46.0,1677801600.0,21883.2,22342.8,23468.5,23457.1,608518.137
53.06,1.13,46.94,1677888000.0,22147.5,22335.7,22400.0,22342.8,175309.211
52.82,1.12,47.18,1677974400.0,22174.9,22419.4,22650.0,22335.8,282261.745
53.21,1.14,46.79,1678060800.0,22240.1,22397.1,22594.5,22419.3,298976.397
52.97,1.13,47.03,1678147200.0,21908.0,22187.1,22550.0,22397.1,548494.099
52.9,1.12,47.1,1678233600.0,21540.5,21695.4,22276.4,22187.1,547867.967
51.83,1.08,48.17,1678320000.0,20003.5,20348.3,21823.0,21695.3,951903.36
52.63,1.11,47.37,1678406400.0,19521.6,20140.3,20351.8,20348.4,1238135.265
51.88,1.08,48.12,1678492800.0,19752.5,20447.3,20674.5,20140.3,753479.558
51.15,1.05,48.85,1678579200.0,20262.2,21986.2,22184.0,20447.3,881522.402
52.45,1.1,47.55,1678665600.0,21804.0,24119.5,24517.2,21986.2,1534982.176
53.54,1.15,46.46,1678752000.0,23951.0,24682.5,26489.9,24119.5,1572562.635
54.92,1.22,45.08,1678838400.0,23888.0,24288.0,25200.0,24682.5,1102056.429
56.4,1.29,43.6,1678924800.0,24120.5,24990.4,25167.9,24287.9,735446.946
56.54,1.3,43.46,1679011200.0,24875.3,27384.0,27763.4,24990.5,1341159.064
57.65,1.36,42.35,1679097600.0,26555.5,26907.0,27726.4,27383.9,740232.316
56.88,1.32,43.12,1679184000.0,26815.9,27955.7,28397.0,26907.0,759367.078
55.63,1.25,44.37,1679270400.0,27120.6,27704.1,28483.2,27955.8,937223.448
56.1,1.28,43.9,1679356800.0,27288.0,28091.1,28460.0,27704.1,685487.714
55.01,1.22,44.99,1679443200.0,26590.0,27233.8,28881.0,28091.1,1080393.27
53.69,1.16,46.31,1679529600.0,27101.0,28284.1,28777.0,27233.8,808174.047
53.61,1.16,46.39,1679616000.0,26960.0,27438.9,28369.1,28284.0,696075.37
54.24,1.19,45.76,1679702400.0,27131.8,27447.3,27788.0,27439.0,335674.055
53.53,1.15,46.47,1679788800.0,27400.0,27954.3,28186.9,27447.2,399756.985
53.1,1.13,46.9,1679875200.0,26480.0,27112.0,28019.4,27954.3,642434.822
52.99,1.13,47.01,1679961600.0,26610.0,27249.7,27500.0,27112.0,585080.772
53.12,1.13,46.88,1680048000.0,27223.6,28338.5,28649.9,27249.7,655852.971
53.92,1.17,46.08,1680134400.0,27654.1,28015.0,29184.8,28338.6,770966.1
53.45,1.15,46.55,1680220800.0,27500.0,28454.9,28675.3,28015.0,611557.29
52.77,1.12,47.23,1680307200.0,28180.0,28443.8,28845.3,28454.8,256487.222
53.87,1.17,46.13,1680393600.0,27820.0,28161.2,28516.5,28443.7,316658.67
53.48,1.15,46.52,1680480000.0,27166.0,27786.1,28540.0,28161.3,741665.563
53.11,1.13,46.89,1680566400.0,27650.2,28155.2,28450.0,27786.1,432370.612
52.31,1.1,47.69,1680652800.0,27775.0,28154.0,28800.0,28155.1,543712.838
52.52,1.11,47.48,1680739200.0,27684.2,28022.8,28175.0,28154.0,355916.782
53.0,1.13,47.0,1680825600.0,27755.0,27890.7,28096.0,28022.9,219250.178
52.23,1.09,47.77,1680912000.0,27850.1,27924.9,28153.6,27890.7,159129.56
52.05,1.09,47.95,1680998400.0,27762.8,28309.4,28539.1,27924.9,305861.88
52.73,1.12,47.27,1681084800.0,28153.6,29623.1,29840.0,28309.4,580061.925
53.14,1.13,46.86,1681171200.0,29573.9,30185.1,30564.0,29623.1,628978.491
53.77,1.16,46.23,1681257600.0,29620.0,29875.0,30480.0,30185.1,563668.43
53.64,1.16,46.36,1681344000.0,29836.7,30362.7,30648.9,29874.9,436182.494
52.91,1.12,47.09,1681430400.0,29925.0,30453.1,31059.0,30362.7,615391.615
52.91,1.12,47.09,1681516800.0,30186.0,30280.4,30599.9,30453.0,180234.082
52.58,1.11,47.42,1681603200.0,30102.0,30286.6,30560.0,30280.4,210226.019
52.23,1.09,47.77,1681689600.0,29219.9,29420.0,30307.4,30286.6,455518.548
52.27,1.1,47.73,1681776000.0,29078.1,30365.8,30480.0,29420.1,533189.27
51.75,1.07,48.25,1681862400.0,28557.3,28795.1,30410.0,30365.8,643866.11
51.67,1.07,48.33,1681948800.0,27983.0,28229.9,29078.0,28795.0,639179.286
51.82,1.08,48.18,1682035200.0,27100.0,27252.5,28368.9,28229.9,687832.833
53.86,1.17,46.14,1682121600.0,27126.0,27807.2,27888.0,27252.6,345549.021
