o,h,c,l,t,close,low,open,high,volume
0.008861,0.011483,0.00694,0.006315,1688515200,30488.4,30175.8,30756.1,30875.2,294896.578
0.00694,0.011596,0.001129,-0.003217,1688601600,29874.4,29818.0,30488.4,31568.0,721267.219
0.001129,0.007403,0.000008,-0.00377,1688688000,30327.9,29680.0,29874.3,30443.6,337801.654
0.000008,0.006485,0.002604,0.000008,1688774400,30269.3,30026.8,30328.0,30380.0,138734.493
0.002604,0.009944,0.000464,-0.000503,1688860800,30147.8,30042.0,30269.2,30443.4,162296.263
0.000464,0.008763,0.006355,-0.000623,1688947200,30396.9,29928.8,30147.8,31040.0,429115.537
0.006355,0.009184,0.006722,0.000547,1689033600,30608.4,30261.4,30396.9,30804.9,298904.747
0.006722,0.00967,0.001653,0.000867,1689120000,30368.9,30186.0,30608.3,30980.5,425058.257
0.001653,0.012592,0.011915,-0.002958,1689206400,31441.7,30233.0,30368.9,31850.0,696023.51
0.011915,0.014892,-0.007305,-0.007325,1689292800,30293.3,29876.6,31441.6,31640.0,538692.246
-0.007305,0.004303,0.002773,-0.009317,1689379200,30276.4,30220.2,30293.3,30380.0,111622.474
0.002773,0.009289,0.002766,0.001008,1689465600,30216.8,30050.0,30276.5,30441.6,173805.94
0.002766,0.007752,0.003446,-0.001339,1689552000,30126.1,29630.0,30216.9,30329.7,344113.427
0.003446,0.009757,0.00776,0.002963,1689638400,29845.6,29400.0,30126.0,30227.5,337396.417
0.00776,0.00937,0.002245,0.002077,1689724800,29895.5,29745.0,29845.7,30178.5,298418.854
0.002245,0.009106,0.004264,-0.004821,1689811200,29791.0,29468.8,29895.5,30420.0,410263.764
0.004264,0.005895,0.000873,0.000642,1689897600,29891.4,29705.9,29791.0,30056.2,221145.074
0.000873,0.005032,0.003305,-0.0008,1689984000,29783.5,29602.2,29891.5,29986.0,143375.956
0.003305,0.01097,0.007127,0.000135,1690070400,30070.8,29718.9,29783.5,30368.2,224713.846
0.007127,0.014399,0.006783,0.002004,1690156800,29163.8,28830.0,30070.9,30091.7,434182.417
0.006783,0.008387,0.005552,0.003334,1690243200,29216.3,29033.0,29163.8,29379.5,196438.618
0.005552,0.010234,0.001646,0.001596,1690329600,29336.0,29083.0,29216.2,29670.5,318527.582
0.001646,0.007526,0.004201,0.000014,1690416000,29209.7,29065.5,29336.0,29558.4,223376.534
0.004201,0.011406,0.007867,0.003296,1690502400,29299.9,29112.8,29209.8,29535.7,221299.867
0.007867,0.010628,0.006525,0.001977,1690588800,29339.1,29237.5,29300.0,29397.9,87100.719
0.006525,0.009871,0.000916,-0.000003,1690675200,29271.1,29006.0,29339.1,29442.5,169901.253
0.000916,0.010631,0.006174,0.000916,1690761600,29220.8,29100.0,29271.2,29525.8,230381.722
0.006174,0.012793,0.008983,0.002264,1690848000,29701.2,28550.0,29220.8,29735.0,442328.643
0.008983,0.012242,0.009717,0.006849,1690934400,29170.1,28906.3,29701.2,30059.9,491725.492
0.009717,0.01476,0.00911,0.004814,1691020800,29180.2,28955.4,29170.2,29440.0,251967.942
0.00911,0.01106,0.005417,0.002355,1691107200,29101.1,28780.0,29180.1,29323.8,229395.673
0.005417,0.01326,0.009964,0.005417,1691193600,29057.7,28960.0,29101.1,29145.0,82508.624
0.009964,0.011426,0.01048,0.006362,1691280000,29075.9,28978.5,29057.7,29199.0,103094.44
0.01048,0.012067,0.009981,0.006756,1691366400,29202.7,28682.3,29075.9,29274.5,297752.439
0.009981,0.009981,0.005201,-0.000317,1691452800,29759.0,29132.4,29202.7,30250.0,459269.801
0.005201,0.010858,0.010211,0.003401,1691539200,29572.8,29362.0,29758.9,30149.7,362009.701
0.010211,0.012575,0.008485,0.005027,1691625600,29443.7,29303.7,29572.9,29729.8,234546.038
0.008485,0.011707,0.010452,0.005364,1691712000,29415.5,29220.0,29443.7,29565.1,179044.008
0.010452,0.011773,0.009435,0.008194,1691798400,29420.7,29360.0,29415.5,29470.0,56238.035
0.009435,0.012227,0.011415,0.005883,1691884800,29293.3,29256.6,29420.8,29463.0,84190.505
0.011415,0.0149,0.009488,0.007649,1691971200,29419.5,29070.0,29293.3,29686.7,295035.383
0.009488,0.012234,0.011166,0.008034,1692057600,29188.8,29050.0,29419.5,29492.1,191289.959
0.011166,0.01242,0.011675,0.008046,1692144000,28714.4,28705.1,29188.9,29257.4,272023.138
0.011675,0.013206,-0.015251,-0.017912,1692230400,26609.7,24581.0,28714.4,28775.9,868508.22
-0.015251,0.005694,-0.000479,-0.015251,1692316800,26042.1,25600.0,26609.7,26818.0,522375.316
-0.000479,0.004796,-0.002317,-0.008126,1692403200,26088.3,25783.4,26042.0,26269.4,202219.153
-0.002317,0.001476,-0.003135,-0.00911,1692489600,26175.9,25948.5,26088.4,26285.0,141089.85
-0.003135,0.00471,-0.000819,-0.003215,1692576000,26115.4,25800.0,26175.9,26280.0,232505.265
-0.000819,0.008373,0.004638,-0.002918,1692662400,26044.4,25280.0,26115.4,26128.2,313113.576
0.004638,0.006053,-0.002909,-0.004891,1692748800,26419.2,25800.0,26044.5,26806.0,412969.028
-0.002909,0.008512,0.002726,-0.004617,1692835200,26164.6,25835.0,26419.2,26568.3,286753.337
0.002726,0.007251,0.003078,-0.002393,1692921600,26051.7,25754.4,26164.6,26300.0,274830.494
0.003078,0.007058,0.002672,-0.00103,1693008000,26004.3,25969.0,26051.7,26129.4,63925.862
0.002672,0.005795,0.000547,-0.001943,1693094400,26087.7,25955.6,26004.3,26173.6,86505.398
0.000547,0.006466,0.003138,-0.001406,1693180800,26106.5,25850.4,26087.6,26244.6,219992.051
