t,l,h,o,c,high,low,open,close,volume
1615507200,33082.4,34409.52,33948.63,33082.4,58186.33,55074.3,57842.64,57291.03,335495.042
1615593600,31965.93,37698.49,33490.27,37698.49,61950.0,56136.0,57291.04,61267.41,320322.173
1615680000,35561.92,37486.02,37486.02,37183.2,61798.0,59005.0,61267.41,59037.12,231991.901
1615766400,32690.24,37336.82,37336.82,32690.24,60740.0,54517.28,59037.11,55646.61,448820.83
1615852800,32590.64,35647.76,32590.64,33780.8,56988.0,53335.0,55646.61,56954.19,339718.202
1615939200,33033.42,35168.14,34200.93,35168.14,59078.79,54154.93,56953.23,58959.0,339397.712
1616025600,31345.76,34960.82,34960.82,33320.64,60510.0,57072.0,58959.01,57700.01,305100.026
1616112000,31586.61,33389.67,32967.73,32768.55,59550.0,56301.27,57700.01,58089.11,259039.479
1616198400,31659.47,33556.26,32755.13,32706.95,59948.0,57881.0,58089.11,58145.61,203680.149
1616284800,31323.12,33868.83,33159.3,33714.77,58638.7,55403.55,58144.44,57415.18,237518.696
1616371200,32078.31,33969.04,33248.82,33885.14,58500.0,53635.81,57415.19,54129.56,293062.947
1616457600,32524.27,34844.16,34036.17,34218.41,55890.68,52981.4,54129.56,54400.0,276199.041
1616544000,32531.31,35179.24,34357.58,33528.57,57234.79,51666.0,54400.0,52311.54,394172.526
1616630400,32620.17,35224.09,34347.78,34648.25,53255.2,50452.08,52307.89,51325.21,416848.091
1616716800,33009.25,35306.33,35276.79,34295.65,55123.0,51260.0,51325.21,55030.0,271957.842
1616803200,32412.79,34247.15,34247.15,33062.47,56658.76,54001.0,55030.0,55828.0,234435.346
1616889600,31594.87,32800.14,32574.69,32231.13,56588.31,54694.91,55828.0,55805.08,200603.768
1616976000,31211.14,35624.57,32126.43,35624.57,58490.11,54931.15,55804.16,57677.64,277215.268
1617062400,32000.27,35389.53,35389.53,33902.9,59560.0,57110.0,57676.14,58794.16,232824.065
1617148800,33752.55,35379.93,34141.11,34540.26,59920.0,56812.0,58794.17,58807.24,337038.349
1617235200,33645.67,34918.4,34323.12,34198.68,59592.22,58002.0,58810.99,58794.01,196332.114
1617321600,33212.34,35289.26,33899.38,35159.64,60397.85,58490.03,58797.56,59031.36,189391.958
1617408000,34050.7,35762.59,34908.96,35762.59,59925.0,56900.0,59028.99,57134.65,198636.171
1617494400,34135.94,35607.26,35443.27,34135.94,58553.0,56517.23,57134.65,58234.61,152454.122
1617580800,33478.09,34495.89,33641.95,34407.4,59385.0,56808.94,58234.61,59243.39,174338.646
1617667200,32961,34769.35,34129.15,34769.35,59626.18,57500.0,59243.4,58059.99,165562.029
1617753600,32453.02,35703.78,34606.26,35377.33,58720.0,55536.07,58060.0,56018.18,265271.707
1617840000,34182.8,35699.85,35445.74,34182.8,58200.0,55759.13,56018.17,58122.26,161389.858
1617926400,32122.69,33991.07,33991.07,32259.49,58950.0,57700.0,58122.93,58176.03,141690.144
1618012800,31939.64,35724.41,32318.81,35724.41,61800.0,57943.95,58176.04,59832.43,240907.592
1618099200,33074.21,35565.96,35565.96,34610.7,60816.88,59304.02,59832.43,60090.2,148499.824
1618185600,34150.74,36529.87,34665.12,35745.78,61449.91,59500.0,60093.26,59911.18,196147.561
1618272000,35455.92,40218.13,35845.35,38356.52,63850.0,59873.01,59911.19,63649.71,279389.492
