o,c,t,h,l,volume,close,open,high,low
11467094292,10545370706,1624579200.0,11539477765,10524089195,1093051.375,31568.07,34644.65,35500.0,31250.0
10552820208,10586792589,1624665600.0,10741063593,10475936270,1091384.749,32255.56,31569.18,32720.52,30120.0
10744209765,11335482364,1624752000.0,11335482364,10744209765,897147.453,34687.71,32250.15,34762.0,31960.0
11402615953,11159963653,1624838400.0,11700451544,11159963653,706158.545,34487.22,34687.71,35279.38,33855.0
11200572923,12036890181,1624924800.0,12337768518,11200572923,806140.329,35911.26,34486.58,36623.0,34206.0
12039980854,11314076730,1625011200.0,12039980854,11230519077,719742.983,35031.39,35910.64,36089.96,34042.74
11381844459,11235774905,1625097600.0,11415832554,11156665457,758966.493,33489.96,35031.39,35044.98,32672.04
11215863459,11426060317,1625184000.0,11538045579,11107873338,664923.202,33760.94,33489.96,33960.0,32684.0
11408014073,11602653043,1625270400.0,11778867183,11350932552,510614.258,34652.94,33760.94,34948.16,33296.98
11599412131,11807964046,1625356800.0,12005101418,11557465412,451001.556,35280.16,34653.32,35955.55,34340.75
11795306099,11528673467,1625443200.0,11796191064,11520318730,736706.409,33672.72,35280.17,35281.55,33032.0
11432853732,11494698154,1625529600.0,11802794977,11432853732,644229.007,34206.01,33672.72,35120.0,33500.0
11537629600,11455691133,1625616000.0,11862364703,11455691133,456218.909,33845.64,34206.0,35089.56,33756.48
11526115614,11534133777,1625702400.0,11801030760,11526115614,650317.664,32852.04,33845.63,33910.0,32066.0
11610098974,11670629131,1625788800.0,11851408363,11473588915,485662.879,33805.01,32855.0,34100.0,32250.0
11619752077,11626969104,1625875200.0,11869133917,11585301430,410271.979,33497.98,33805.01,34248.58,33010.0
11568282436,11918262991,1625961600.0,11957285922,11563201542,343905.35,34253.81,33497.98,34629.62,33306.03
11842790544,11732712650,1626048000.0,11988394350,11647219962,502747.758,33070.87,34253.88,34662.73,32650.0
11698857692,11598480488,1626134400.0,11795107618,11598480488,466567.713,32709.09,33070.86,33336.0,32186.99
11595519415,11601620223,1626220800.0,11770903980,11533966162,521140.41,32803.01,32708.66,33176.47,31556.02
11542267167,11914126923,1626307200.0,11925762672,11491116342,539111.667,31866.43,32803.0,33170.0,31140.0
11874412316,11615510183,1626393600.0,11987819397,11615510183,516577.743,31382.95,31865.53,32245.0,31018.59
11610774630,11780625740,1626480000.0,11901391191,11610774630,422650.418,31496.65,31382.96,31945.0,31150.02
11774459726,11746238055,1626566400.0,11999143633,11746238055,412189.401,31767.0,31496.65,32435.93,31075.1
11829018101,12239166763,1626652800.0,12326445139,11753737562,486305.627,30823.62,31765.23,31890.0,30358.77
12241446560,11904479989,1626739200.0,12241446560,11891181609,602688.19,29775.9,30823.62,31050.0,29242.24
11936323234,12187097730,1626825600.0,12609165514,11874322578,787077.39,32120.0,29775.89,32883.9,29472.41
12180458307,12132341302,1626912000.0,12360562184,12043842197,397258.936,32268.11,32120.0,32583.48,31700.0
12182894117,12755936301,1626998400.0,12755936301,12182894117,404650.016,33634.46,32268.12,33650.0,31970.82
12874273618,13247735835,1627084800.0,13426770217,11506031036,376046.028,34230.0,33631.74,34471.0,33379.81
13303819588,13750043691,1627171200.0,13750043691,13274643858,404114.844,35370.66,34230.0,35400.0,33812.0
13922624218,13058101082,1627257600.0,14283441853,13058101082,1162332.857,37218.09,35370.67,48168.6,35185.49
12949127416,13344596079,1627344000.0,13579794814,12804517319,675104.157,39442.33,37218.09,39546.34,36384.31
13462144107,13678747792,1627430400.0,14229397166,12578658771,736196.234,40003.08,39448.06,40894.0,38753.0
13735457415,13777042443,1627516800.0,14036705394,13570472437,463917.872,40012.9,40003.08,40665.0,39203.83
13731417157,13967535491,1627603200.0,13967535491,13422227970,561474.309,42203.25,40012.89,42316.6,38320.0
14282115035,14180238777,1627689600.0,14309265001,14062963514,381521.899,41448.11,42202.6,42494.0,41030.19
14098945351,13499751249,1627776000.0,14363325506,13499751249,487529.044,39846.78,41448.1,42614.98,39350.4
13200426082,13072179733,1627862400.0,13257752869,12968796218,451872.128,39147.48,39846.78,40450.0,38658.0
13083828916,13150890028,1627948800.0,13181456545,12960795755,517219.517,38203.26,39147.47,39774.93,37600.0
13109113390,13290900018,1628035200.0,13465326271,13101499947,479560.473,39731.31,38201.33,39975.32,37500.0
13329474631,13189605572,1628121600.0,13334282632,12852421493,746249.712,40882.4,39731.31,41350.0,37291.0
13236254911,14275143430,1628208000.0,14368398784,13212486786,653451.154,42825.43,40882.39,43400.0,39849.82
14321280854,14818242401,1628294400.0,14947634990,14321280854,583750.891,44601.11,42825.43,44753.01,42395.2
15024443893,14791700103,1628380800.0,15454471851,14748865301,553684.698,43787.71,44601.11,45350.0,43265.0
14601252185,15592178491,1628467200.0,15917708901,14495944832,626220.503,46259.7,43787.71,46483.0,42785.0
15630945875,15602312189,1628553600.0,15735917527,15482200813,460478.861,45589.99,46259.7,46800.0,44670.05
15644837398,15740144795,1628640000.0,16070693171,15564179710,390660.571,45522.12,45589.99,46754.27,45354.0
15706424115,15351699162,1628726400.0,15971670696,14918495931,468276.056,44385.09,45522.13,46226.67,43800.0
15410142127,16489316130,1628812800.0,16652165007,15358841106,438025.46,47792.52,44385.09,47980.69,44208.88
16612379202,16331280899,1628899200.0,16666082554,16301722051,374368.796,47083.74,47792.52,48300.0,46000.0
16390912600,16275163533,1628985600.0,16414036562,15620670566,370950.807,47006.02,47083.75,47388.75,45480.0
16169195868,16353435016,1629072000.0,16443520893,16148165945,412537.605,45926.23,47006.02,48074.23,45682.03
16375979209,16069469599,1629158400.0,16574692861,15975314100,474316.4,44704.84,45926.23,47194.0,44412.01
16069954075,15706785557,1629244800.0,16223099412,15678400540,395836.158,44714.09,44704.85,46050.0,44227.32
15676660654,16104237457,1629331200.0,16157382959,15676660654,439402.162,46772.0,44714.09,47100.0,43938.38
16110304427,17208714078,1629417600.0,17208714078,16110304427,401499.081,49332.74,46772.0,49500.0,46650.0
17244485560,17224902606,1629504000.0,17400897341,16978666759,347594.451,48848.29,49332.99,49833.0,48250.0
17108572357,17095832700,1629590400.0,17404048995,17031867384,294672.223,49273.28,48846.11,49556.2,48075.81
17160685962,17642461679,1629676800.0,18288610067,17160685962,355733.496,49523.91,49273.28,50600.0,49075.01
17596856444,17691629154,1629763200.0,17821319163,17546188630,398682.002,47719.36,49523.23,49888.88,47600.0
17601302948,17553540571,1629849600.0,17714779357,17492233784,389100.384,48992.65,47719.37,49297.8,47130.57
17562766318,17148832003,1629936000.0,17610479873,17148832003,475183.123,46853.06,48992.65,49380.0,46280.0
17018085171,17060293721,1630022400.0,17085384472,16793472813,403667.012,49083.98,46854.22,49220.0,46359.97
17054015398,17110119901,1630108800.0,17396119515,17054015398,222793.024,48931.99,49082.13,49333.0,48395.65
17159242813,17113036776,1630195200.0,17346821911,16924923413,315105.499,48795.41,48931.99,49769.2,47741.31
17058237215,16916504470,1630281600.0,17465790099,16894015696,351830.754,47024.7,48795.42,48916.25,46876.49
16921114110,17105368125,1630368000.0,17325834532,16898965423,365548.209,47150.32,47024.69,48298.0,46731.03
17079646103,16966890609,1630454400.0,17288897048,16902356184,350108.374,48842.94,47150.32,49160.79,46550.99
17517937009,18178675642,1630540800.0,18322319243,17517937009,361863.055,49299.14,48842.93,50420.0,48631.2
18065401625,18130745910,1630627200.0,18506144934,17689813862,430326.386,50027.08,49299.14,51111.0,48333.0
18144680923,17836199940,1630713600.0,18231173608,17836199940,274956.842,49940.74,50027.09,50582.08,49360.0
17797450305,19196882346,1630800000.0,19196882346,17797450305,288984.124,51799.57,49942.2,51950.0,49462.59
19266095215,19694463868,1630886400.0,19710662574,19266095215,297734.284,52683.97,51799.56,52830.0,51040.0
19790555667,15378075184,1630972800.0,19994511155,15245450470,764140.139,46864.39,52683.98,52950.0,42088.0
15379445019,15189839307,1631059200.0,15496928868,15052909135,435803.011,46062.29,46864.38,47347.0,44431.0
15080549939,15055599093,1631145600.0,15343468646,14953580649,309015.75,46413.88,46060.02,47400.0,45500.0
15085080206,14959852898,1631232000.0,15484079814,13666135086,343533.069,44860.83,46413.88,47037.5,44120.0
15019559556,14851392737,1631318400.0,15099341841,14851392737,194144.115,45193.78,44860.83,45999.0,44737.4
14891033121,15056893282,1631404800.0,15191326995,14891033121,223534.63,46046.73,45194.19,46512.2,44746.51
15040441024,14836403058,1631491200.0,15376185217,14789748655,448942.068,44975.96,46048.02,46933.89,43323.93
14803796349,15167665986,1631577600.0,15226053962,14734425868,277925.721,47087.18,44975.96,47272.98,44692.9
15171451307,16012029346,1631664000.0,16128343034,15171451307,244226.37,48106.12,47087.18,48440.93,46675.0
16022446132,15571033505,1631750400.0,16206105600,15490347648,260044.727,47745.55,48106.13,48488.0,47038.21
15556805785,15576264865,1631836800.0,15814857750,15024877608,226193.34,47303.11,47745.55,48150.0,46750.0
15679963881,16103131943,1631923200.0,16592284120,15679963881,207900.413,48285.15,47303.11,48850.0,47044.32
16117760424,15857634140,1632009600.0,16226173987,15857634140,212631.933,47256.91,48284.61,48364.64,46840.0
15928623171,14701633631,1632096000.0,15928901530,14701633631,600764.629,43026.6,47256.92,47345.0,42467.86
14678393296,13533731687,1632182400.0,14678393296,13533731687,683242.002,40726.1,43026.61,43629.6,39503.58
13588374203,14162072755,1632268800.0,14315627736,13582787573,400849.752,43520.0,40727.83,43989.98,40551.49
14160374824,14213849825,1632355200.0,14371791345,13490508765,330253.525,44828.29,43520.0,44976.48,43056.0
14252298019,13471696889,1632441600.0,14252298019,13126093531,608595.52,42798.49,44828.29,45134.33,40650.0
13386194941,13464086163,1632528000.0,13614435784,13253974822,277084.795,42651.58,42798.49,42950.0,41630.26
13446226264,13394301065,1632614400.0,13598928294,13210178983,354393.916,43150.0,42646.84,43940.0,40725.01
