start_time,datetime,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
2021-02-20 06:00:00,2021-02-20 06:00:00,3.0798127024477164,4.8763489761901,6802.109965583,12808.941029480053
2021-02-20 07:00:00,2021-02-20 07:00:00,1.6139484442383354,4.31026609292766,2946.694714241,6718.867373364191
2021-02-20 08:00:00,2021-02-20 08:00:00,2.78741073794213,2.835434388427772,7398.529243781,14784.426554045056
2021-02-20 09:00:00,2021-02-20 09:00:00,6.66121335490613,3.3408838530950455,26974.43776432,34065.44509698995
2021-02-20 10:00:00,2021-02-20 10:00:00,2.1548361843492625,3.1864300010504283,6716.061222886,10957.341997416
2021-02-20 11:00:00,2021-02-20 11:00:00,1.6899376231978211,2.9598549700079784,4685.606931967,8867.102708918967
2021-02-20 12:00:00,2021-02-20 12:00:00,8.769701516085343,3.822408651880963,46780.909970502,52355.1180510295
2021-02-20 13:00:00,2021-02-20 13:00:00,3.530948415611158,3.886856610904311,12481.6586072,20949.116949821
2021-02-20 14:00:00,2021-02-20 14:00:00,24.07373582943136,7.095397665931886,138169.86566276,149257.16214247444
2021-02-20 15:00:00,2021-02-20 15:00:00,2.1519768570794127,7.004621397237213,4709.57696535,13639.229320169316
2021-02-20 16:00:00,2021-02-20 16:00:00,10.039477772902842,7.487230599808171,54683.834957962,64634.1579019485
2021-02-20 17:00:00,2021-02-20 17:00:00,2.498167781991415,7.536277970899907,6916.601708374,13177.835050004716
2021-02-20 18:00:00,2021-02-20 18:00:00,1.6809930905143646,7.535000180516556,4122.74,8736.121091403153
2021-02-20 19:00:00,2021-02-20 19:00:00,8.022028467374112,7.428189744986379,33644.085164535,39315.96151860052
2021-02-20 20:00:00,2021-02-20 20:00:00,5.967196980820629,7.77622525430202,23804.335738242,29889.689676930528
2021-02-20 21:00:00,2021-02-20 21:00:00,7.942610859464128,5.471778830020986,33276.413542662,41516.026962419
2021-02-20 22:00:00,2021-02-20 22:00:00,2.8053650918563333,5.565120006417688,3875.600012432,12492.290754036252
2021-02-20 23:00:00,2021-02-20 23:00:00,3.8883225933941064,4.686383552202156,5765.363384004,18333.441027853212
2021-02-21 00:00:00,2021-02-21 00:00:00,2.5363242311799494,4.691834473514803,4302.980668934,9709.049156956846
