start_time,datetime,range_0_1_percent,range_0_1_usd,range_100_1k_percent,range_100_1k_usd,range_100k_1M_percent,range_100k_1M_usd,range_10_100_percent,range_10_100_usd,range_10k_100k_percent,range_10k_100k_usd,range_1M_inf_percent,range_1M_inf_usd,range_1_10_percent,range_1_10_usd,range_1k_10k_percent,range_1k_10k_usd
2021-12-19 10:00:00,2021-12-19 10:00:00,0.00125212,5774046.56669271,0.7143268,3294058615.9888306,12.54098281,57831698797.94128,0.14500425,668675049.6613948,7.28713626,33604022552.967422,76.66667719,353542003214.0049,0.01096536,50565827.22454503,2.63365522,12144881906.317816
2021-12-19 11:00:00,2021-12-19 11:00:00,0.0012521,5773993.16462277,0.71428827,3293907914.0921044,12.54290641,57841043186.72765,0.14494792,668420739.5937272,7.287874,33607699919.61138,76.66407429,353532896328.8465,0.01096495,50564348.93015573,2.63369206,12145151324.706297
2021-12-19 12:00:00,2021-12-19 12:00:00,0.00125205,5774024.95550036,0.71436654,3294410668.0311036,12.54284115,57843232212.848274,0.14494481,668435161.4720043,7.28800477,33609749734.355045,76.66371815,353546472981.0331,0.01096413,50562785.64210552,2.6339084,12146671809.25975
2021-12-19 13:00:00,2021-12-19 13:00:00,0.00125206,5774093.39220488,0.71453617,3295220150.658642,12.5449656,57853507232.440605,0.14505228,668936316.0307646,7.28794436,33609748715.936344,76.66130389,353538259095.57855,0.01097002,50590330.14264256,2.63397564,12147082208.323996
2021-12-19 14:00:00,2021-12-19 14:00:00,0.00125203,5774200.3583366,0.71462777,3295783749.1437387,12.54543905,57858169091.63991,0.14506296,669014251.6771262,7.28845523,33613544609.42428,76.66005464,353547642890.28394,0.01096932,50589260.51094083,2.63413901,12148356064.183556
2021-12-19 15:00:00,2021-12-19 15:00:00,0.00125202,5774200.52443414,0.71472135,3296216952.2905235,12.5475062,57867730463.19959,0.1450633,669016122.6417459,7.28792124,33611098100.93935,76.65843025,353540321763.1559,0.01096926,50589042.55049627,2.63413638,12148349757.061132
2021-12-19 16:00:00,2021-12-19 16:00:00,0.00125202,5774310.7765662,0.71503578,3297736012.5334363,12.54670271,57865234929.93043,0.14512826,669329703.9614652,7.28863194,33615078750.92102,76.65749961,353543423117.6408,0.01097012,50594056.0326193,2.63477955,12151570133.014126
2021-12-19 17:00:00,2021-12-19 17:00:00,0.00125205,5774392.60980388,0.7153022,3298934352.108853,12.54925375,57876467015.237755,0.14519044,669610289.7494459,7.28887929,33615909787.049774,76.65404686,353524241523.4908,0.01097097,50597498.90682051,2.63510443,12152956490.258732
2021-12-19 18:00:00,2021-12-19 18:00:00,0.00125209,5774501.73793756,0.71545621,3299597882.679192,12.55064993,57882086464.333336,0.14522617,669765629.2189206,7.2898658,33619983431.632133,76.65148468,353507419073.0531,0.01097177,50600488.75346069,2.63509334,12152733254.300558
2021-12-19 19:00:00,2021-12-19 19:00:00,0.00125218,5774625.45138225,0.71578732,3300957819.013702,12.55062936,57879061540.78675,0.14529701,670058415.1357005,7.29123311,33624587065.034863,76.64902903,353478199444.8667,0.01097411,50608731.89377026,2.63579787,12155367099.054438
2021-12-19 20:00:00,2021-12-19 20:00:00,0.00125217,5774640.00054687,0.71585252,3301299431.143475,12.55303037,57890852005.89669,0.14530032,670081964.1949333,7.29164795,33626917185.22484,76.6460895,353469026552.3144,0.01097419,50609698.94406645,2.63585298,12155771980.089409
2021-12-19 21:00:00,2021-12-19 21:00:00,0.00125219,5774698.51326783,0.71618471,3302820555.51168,12.55333133,57892049588.87945,0.14536697,670387150.4898732,7.29179505,33627484995.132103,76.64482701,353462042100.00073,0.01097547,50615433.87339305,2.63626727,12157642577.317238
2021-12-19 22:00:00,2021-12-19 22:00:00,0.00125223,5775006.17783632,0.71631158,3303464505.829475,12.55306741,57891864134.369225,0.14539321,670520091.818126,7.29260799,33631833349.052963,76.64374841,353463366773.2924,0.01097603,50618929.74976842,2.63664314,12159592653.453815
2021-12-19 23:00:00,2021-12-19 23:00:00,0.00125226,5775094.30784539,0.71635901,3303667503.5694213,12.55411846,57896435552.00696,0.14541924,670636960.291652,7.29345422,33635575724.099693,76.64151942,353451403448.15454,0.010977,50623174.86546921,2.63690038,12160721067.09038
2021-12-20 00:00:00,2021-12-20 00:00:00,0.00125226,5775094.30784539,0.71635901,3303667503.5694213,12.55411846,57896435552.00696,0.14541924,670636960.291652,7.29345422,33635575724.099693,76.64151942,353451403448.15454,0.010977,50623174.86546921,2.63690038,12160721067.09038
2021-12-20 01:00:00,2021-12-20 01:00:00,0.00125229,5775090.86063351,0.71682636,3305738356.6503525,12.56238759,57933090847.415695,0.14552633,671113684.0938044,7.2949433,33641583654.58787,76.63032763,353390762709.3038,0.01097981,50634838.50546925,2.63775668,12164359406.320875
2021-12-20 02:00:00,2021-12-20 02:00:00,0.00125144,5770701.37131106,0.71721877,3307283551.716367,12.55801047,57908274892.022995,0.14554775,671158795.2402656,7.29627831,33645049989.03258,76.63234124,353371793312.98096,0.01098098,50636158.60145482,2.63837105,12166219813.390604
2021-12-20 03:00:00,2021-12-20 03:00:00,0.00125148,5770725.13076868,0.71749173,3308449377.5510125,12.55349382,57885821997.44945,0.1455738,671260074.3789963,7.29600079,33642825562.76948,76.63644238,353380781876.7621,0.0109824,50641317.71869963,2.63876359,12167688267.697609
2021-12-20 04:00:00,2021-12-20 04:00:00,0.00125162,5771475.19087779,0.71759981,3308992261.8087025,12.55318562,57885179745.051254,0.14568558,671784551.8027649,7.29664441,33646246146.95573,76.63552164,353381291350.0743,0.01098304,50644923.29980816,2.63912827,12169533620.125969
2021-12-20 05:00:00,2021-12-20 05:00:00,0.0012518,5772088.64560914,0.71719211,3307005975.788443,12.5686166,57954471954.65369,0.14568116,671742542.9556996,7.2955653,33640188746.30875,76.62147441,353305159290.46655,0.01097902,50624786.94259873,2.6392396,12169655755.945091
2021-12-20 06:00:00,2021-12-20 06:00:00,0.00125162,5771279.64847783,0.71616791,3302282214.1504593,12.56041446,57916631886.2114,0.14517272,669397914.7739344,7.29708145,33647168375.2457,76.62994039,353344076612.74664,0.01097622,50611825.44338376,2.63899523,12168524842.299128
2021-12-20 07:00:00,2021-12-20 07:00:00,0.00125162,5771184.36978487,0.71643497,3303448828.8570566,12.55945147,57911055745.01334,0.14518224,669428658.0843163,7.29646684,33643674570.549908,76.63081402,353341175260.3,0.01097659,50612535.7187527,2.63942225,12170255182.342066
2021-12-20 08:00:00,2021-12-20 08:00:00,0.00125168,5771421.63924762,0.71633242,3302959532.2013583,12.56438457,57933513132.87445,0.14508977,668998929.676891,7.29745078,33648043685.232124,76.6255345,353315069745.6817,0.01097372,50599056.68459637,2.63898257,12168167130.870546
2021-12-20 09:00:00,2021-12-20 09:00:00,0.00125205,5772650.04630683,0.7163909,3302957819.203733,12.55888425,57903394896.30876,0.14498253,668449558.8484546,7.29949243,33654692922.48744,76.63113036,353311847916.45935,0.01097255,50589495.69662266,2.63689493,12157542438.571142
2021-12-20 10:00:00,2021-12-20 10:00:00,0.00125205,5772728.08737433,0.71636031,3302866910.9514003,12.55656465,57893578280.55826,0.14496512,668379420.6996377,7.30023441,33658624309.76613,76.63280957,353324948534.8753,0.01097228,50589024.01383679,2.63684161,12157481010.849348
2021-12-20 11:00:00,2021-12-20 11:00:00,0.00125202,5772774.38707384,0.71639414,3303134306.4043174,12.55676771,57896467767.767235,0.14497599,668452082.6339371,7.2988995,33653604955.80302,76.63398422,353342285320.4235,0.0109723,50590841.83966482,2.63675413,12157487813.973215
2021-12-20 12:00:00,2021-12-20 12:00:00,0.00125224,5772797.69619874,0.71671764,3304040048.4697657,12.56232017,57911800663.442665,0.14502901,668578018.0347295,7.30159533,33660066595.969727,76.62445076,353235696776.8465,0.01097515,50595012.55059523,2.6376597,12159507196.116917
2021-12-20 13:00:00,2021-12-20 13:00:00,0.00125232,5772848.49493153,0.71692345,3304816152.59695,12.56015174,57898778903.291664,0.14508795,668814796.6109754,7.30185789,33659518126.034832,76.62535659,353221415612.2107,0.01097678,50599868.91580047,2.63839328,12162253451.977768
2021-12-20 14:00:00,2021-12-20 14:00:00,0.0012523,5772897.0356659,0.71706818,3305566080.4408636,12.56510704,57923072043.75533,0.14511024,668934275.918699,7.30228351,33662323195.382385,76.61931539,353202413000.812,0.01097739,50603980.58923949,2.63888595,12164829190.938375
