start_time,date,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-04-10,2021-04-10,0.49482123,0.97949728,7117856652.02603,0.50517877,7266846772.86997
2021-04-11,2021-04-11,0.48942927,0.95859249,4319831619.76216,0.51057073,4506431742.96975
2021-04-12,2021-04-12,0.48465176,0.94043546,5706331710.80208,0.51534824,6067754709.43547
2021-04-13,2021-04-13,0.50472196,1.01906792,8725132575.6034,0.49527804,8561875428.44372
2021-04-14,2021-04-14,0.48432796,0.93921703,9873715985.57574,0.51567204,10512709676.5286
2021-04-15,2021-04-15,0.48744514,0.95101068,5444193524.74605,0.51255486,5724639750.87281
2021-04-16,2021-04-16,0.47248571,0.89568326,7349477957.71911,0.52751429,8205443063.47135
2021-04-17,2021-04-17,0.48075431,0.92587058,5649652593.29301,0.51924569,6101989564.21587
2021-04-18,2021-04-18,0.48308606,0.934558,13937152704.19969,0.51691394,14913095548.45658
2021-04-19,2021-04-19,0.50394275,1.01589636,8003667978.91866,0.49605725,7878429622.12983
2021-04-20,2021-04-20,0.50070526,1.00282504,8902474013.44534,0.49929474,8877394999.84104
2021-04-21,2021-04-21,0.49076304,0.96372236,6812930402.96041,0.50923696,7069391261.61261
2021-04-22,2021-04-22,0.48831009,0.95430861,11699011569.40239,0.51168991,12259149117.21888
2021-04-23,2021-04-23,0.495158,0.98081776,13535946132.61749,0.504842,13800673980.97846
2021-04-24,2021-04-24,0.50253869,1.01020657,7030343023.21636,0.49746131,6959312325.60838
2021-04-25,2021-04-25,0.49493526,0.97994418,7471990136.40195,0.50506474,7624914052.60791
2021-04-26,2021-04-26,0.50634132,1.0256911,10373317604.54418,0.49365868,10113490920.11947
2021-04-27,2021-04-27,0.50045831,1.00183494,6125755093.45043,0.49954169,6114535313.90809
2021-04-28,2021-04-28,0.49777318,0.99113221,7109827741.4824,0.50222682,7173440293.83652
2021-04-29,2021-04-29,0.49417842,0.97698168,6793932171.71194,0.50582158,6954001593.14208
2021-04-30,2021-04-30,0.50778913,1.03164958,8231953851.77944,0.49221087,7979408907.03874
2021-05-01,2021-05-01,0.48859517,0.95539804,5839823582.35437,0.51140483,6112450858.42392
2021-05-02,2021-05-02,0.49080867,0.96389831,5622298642.02957,0.50919133,5832875301.06055
2021-05-03,2021-05-03,0.48741628,0.95090084,7583378528.43647,0.51258372,7974941467.40721
2021-05-04,2021-05-04,0.48004619,0.92324775,10207464260.44238,0.51995381,11056040220.08531
2021-05-05,2021-05-05,0.49723412,0.98899736,8763258342.84866,0.50276588,8860749963.49268
2021-05-06,2021-05-06,0.48231456,0.93167494,7511462724.35871,0.51768544,8062321307.91305
2021-05-07,2021-05-07,0.49358186,0.97465282,7148735930.87992,0.50641814,7334648613.15513
2021-05-08,2021-05-08,0.49398103,0.97621048,7601457805.47962,0.50601897,7786699612.99171
2021-05-09,2021-05-09,0.48633293,0.94678627,6900550998.65049,0.51366707,7288393623.69959
2021-05-10,2021-05-10,0.47916616,0.91999814,10722148216.81484,0.52083384,11654532538.7332
2021-05-11,2021-05-11,0.49537068,0.9816526,7311930689.90986,0.50462932,7448593019.43166
2021-05-12,2021-05-12,0.47965762,0.92181157,12315075802.19058,0.52034238,13359645458.18949
2021-05-13,2021-05-13,0.49403872,0.97643584,15808988309.9052,0.50596128,16190503961.87158
2021-05-14,2021-05-14,0.49494825,0.97999512,7877941992.3058,0.50505175,8038756356.57161
2021-05-15,2021-05-15,0.494628,0.97874042,10407509326.37156,0.505372,10633574650.36006
2021-05-16,2021-05-16,0.49573664,0.98309074,13995486098.01897,0.50426336,14236209911.17494
2021-05-17,2021-05-17,0.49576541,0.9832039,17591086282.62815,0.50423459,17891595312.66972
2021-05-18,2021-05-18,0.49628982,0.98526857,12818853995.5659,0.50371018,13010517482.1817
2021-05-19,2021-05-19,0.48834086,0.95442616,25590982029.79121,0.51165914,26812951249.90316
2021-05-20,2021-05-20,0.50833969,1.0339246,15501302727.97434,0.49166031,14992681929.82275
2021-05-21,2021-05-21,0.50479203,1.0193536,17810546990.14802,0.49520797,17472393286.76579
2021-05-22,2021-05-22,0.50601166,1.02433928,11049896946.46807,0.49398834,10787340802.21341
2021-05-23,2021-05-23,0.50863129,1.03513163,17178163037.83952,0.49136871,16595148393.28512
2021-05-24,2021-05-24,0.50932702,1.03801727,13230417098.17598,0.49067298,12745854544.40351
2021-05-25,2021-05-25,0.49946628,0.99786738,11277713392.3395,0.50053372,11301815873.33086
2021-05-26,2021-05-26,0.48941782,0.95854858,11010774766.18741,0.51058218,11486924049.359167
2021-05-27,2021-05-27,0.50000867,1.00003468,10425970151.25797,0.49999133,10425608586.41368
2021-05-28,2021-05-28,0.4955903,0.9825154,14912236659.15064,0.5044097,15177611165.19029
2021-05-29,2021-05-29,0.50010056,1.00040233,12765465786.95354,0.49989944,12760331968.01411
2021-05-30,2021-05-30,0.50376362,1.01516865,9022810526.91695,0.49623638,8887991692.27696
2021-05-31,2021-05-31,0.50637258,1.02581941,11541643300.35691,0.49362742,11251145403.9474
2021-06-01,2021-06-01,0.4941297,0.97679129,10574169568.14013,0.5058703,10825413500.93611
2021-06-02,2021-06-02,0.50674124,1.02733348,8261747407.43144,0.49325876,8041933372.37793
2021-06-03,2021-06-03,0.50240274,1.00965736,9792178320.38661,0.49759726,9698516290.75088
2021-06-04,2021-06-04,0.49259232,0.97080185,12667916462.21227,0.50740768,13048920781.2352
2021-06-05,2021-06-05,0.49877881,0.99512715,11338862886.30574,0.50122119,11394385975.65818
2021-06-06,2021-06-06,0.50359163,1.01447045,7987141805.64967,0.49640837,7873212900.58098
2021-06-07,2021-06-07,0.48915865,0.95755493,10987158073.02359,0.51084135,11474180495.29287
2021-06-08,2021-06-08,0.5100143,1.04087588,16121220239.37205,0.4899857,15488129262.50167
2021-06-09,2021-06-09,0.5213728,1.08930874,18694893967.12444,0.4786272,17162162797.82006
2021-06-10,2021-06-10,0.5038476,1.01550974,14922490425.3207,0.4961524,14694581250.8062
2021-06-11,2021-06-11,0.50546655,1.02210791,10901762150.01092,0.49453345,10665960015.07157
2021-06-12,2021-06-12,0.4964962,0.98608233,10967118345.22898,0.5035038,11121909384.81212
2021-06-13,2021-06-13,0.52165113,1.09052444,12293245647.79932,0.47834887,11272783244.0281
2021-06-14,2021-06-14,0.50393521,1.0158657,14086473720.7857,0.49606479,13866472447.94401
2021-06-15,2021-06-15,0.49776178,0.99108701,12591584492.48754,0.50223822,12704822421.86564
2021-06-16,2021-06-16,0.49294123,0.972158,12959374284.80093,0.50705877,13330522756.88868
2021-06-17,2021-06-17,0.4900643,0.96103158,11310745373.87829,0.5099357,11769379541.76154
2021-06-18,2021-06-18,0.48697537,0.94922416,14033969042.91447,0.51302463,14784673205.80929
2021-06-19,2021-06-19,0.50657043,1.02663169,11481802441.13799,0.49342957,11183954859.06536
2021-06-20,2021-06-20,0.49986214,0.99944872,14282816789.79028,0.50013786,14290694943.26451
2021-06-21,2021-06-21,0.49809541,0.99241054,22739192281.20904,0.50190459,22913090246.58043
2021-06-22,2021-06-22,0.50815077,1.03314336,24246447215.69699,0.49184923,23468618407.1927
2021-06-23,2021-06-23,0.5055378,1.0223993,16229776817.86815,0.4944622,15874205652.11647
2021-06-24,2021-06-24,0.50930145,1.03791107,13192393241.74906,0.49069855,12710523684.74885
2021-06-25,2021-06-25,0.49515335,0.98079953,17819709192.7427,0.50484665,18168554008.46108
2021-06-26,2021-06-26,0.51115926,1.04565603,17317854967.38264,0.48884074,16561712941.60647
2021-06-27,2021-06-27,0.5070554,1.02862555,14955947178.68304,0.4929446,14539739218.16168
2021-06-28,2021-06-28,0.50266374,1.01071205,12107293035.59553,0.49733626,11978973720.80723
2021-06-29,2021-06-29,0.50717521,1.02911872,14404350334.85748,0.49282479,13996781979.26067
2021-06-30,2021-06-30,0.49579839,0.98333361,12358161867.91525,0.50420161,12567618713.44491
2021-07-01,2021-07-01,0.49380026,0.97550475,12441066611.76917,0.50619974,12753465910.60954
2021-07-02,2021-07-02,0.5127084,1.0521593,11265524247.69448,0.4872916,10707051879.56049
2021-07-03,2021-07-03,0.51081203,1.04420397,8903492398.15683,0.48918797,8526583546.962
2021-07-04,2021-07-04,0.50348588,1.01404141,7951208364.25738,0.49651412,7841108113.46609
2021-07-05,2021-07-05,0.48892469,0.95665878,12158746328.727,0.51107531,12709595737.60138
2021-07-06,2021-07-06,0.5006008,1.00240609,10962670873.07496,0.4993992,10936357033.19696
2021-07-07,2021-07-07,0.49903722,0.99615627,7801125591.50758,0.50096278,7831226713.021
2021-07-08,2021-07-08,0.49689773,0.98766744,10515333615.29852,0.50310227,10646633826.5164
2021-07-09,2021-07-09,0.51663428,1.06882689,8253006420.27649,0.48336572,7721555720.55045
2021-07-10,2021-07-10,0.49958683,0.99834869,6853401665.51479,0.50041317,6864737470.98929
2021-07-11,2021-07-11,0.51522667,1.06281975,5938577208.567,0.48477333,5587567606.92007
2021-07-12,2021-07-12,0.48890276,0.95657484,8187884262.39979,0.51109724,8559585648.1097
2021-07-13,2021-07-13,0.5015657,1.00628246,7649731632.10926,0.4984343,7601972518.62039
2021-07-14,2021-07-14,0.50303745,1.01222407,8404407543.61195,0.49696255,8302912192.58645
2021-07-15,2021-07-15,0.48773265,0.95210567,8376033032.49637,0.51226735,8797377562.75825
2021-07-16,2021-07-16,0.50762941,1.03099053,8272059362.64456,0.49237059,8023409654.25496
2021-07-17,2021-07-17,0.50879976,1.03582962,6732360641.87502,0.49120024,6499486521.39107
2021-07-18,2021-07-18,0.501577,1.00632795,6517441813.84062,0.498423,6476459107.01462
2021-07-19,2021-07-19,0.4938341,0.97563684,7391219786.80262,0.5061659,7575789978.54585
2021-07-20,2021-07-20,0.49881526,0.99527225,8911756572.29963,0.50118474,8954089295.59676
2021-07-21,2021-07-21,0.51877256,1.07801951,12742922241.36837,0.48122744,11820678687.0435
2021-07-22,2021-07-22,0.50594336,1.02405944,6407924777.80799,0.49405664,6257375832.14593
2021-07-23,2021-07-23,0.51760989,1.073011,6741081645.43711,0.48239011,6282397506.25728
2021-07-24,2021-07-24,0.50870284,1.03542799,6423973942.67852,0.49129716,6204172581.31142
