start_time,datetime,stock_to_flow,stock_to_flow_reversion
2021-01-06 15:00:00,2021-01-06 15:00:00,424971.34691838,0.08152636
2021-01-06 16:00:00,2021-01-06 16:00:00,330534.2698254,0.10490872
2021-01-06 17:00:00,2021-01-06 17:00:00,371852.05355358,0.0941313
2021-01-06 18:00:00,2021-01-06 18:00:00,424974.77548981,0.08308198
2021-01-06 19:00:00,2021-01-06 19:00:00,424975.77548981,0.08213212
2021-01-06 20:00:00,2021-01-06 20:00:00,424976.77548981,0.08495733
2021-01-06 21:00:00,2021-01-06 21:00:00,594968.48568573,0.06041533
2021-01-06 22:00:00,2021-01-06 22:00:00,371856.30355358,0.09699515
2021-01-06 23:00:00,2021-01-06 23:00:00,330539.93649207,0.11146184
2021-01-07 00:00:00,2021-01-07 00:00:00,424980.91834695,0.08759337
2021-01-07 01:00:00,2021-01-07 01:00:00,247906.53570239,0.14913708
2021-01-07 02:00:00,2021-01-07 02:00:00,743720.60710716,0.04979177
2021-01-07 03:00:00,2021-01-07 03:00:00,594977.48568573,0.0630848
2021-01-07 04:00:00,2021-01-07 04:00:00,424984.91834695,0.08829129
2021-01-07 05:00:00,2021-01-07 05:00:00,594979.88568573,0.06296612
2021-01-07 06:00:00,2021-01-07 06:00:00,594980.88568573,0.06253383
2021-01-07 07:00:00,2021-01-07 07:00:00,330545.93649207,0.11155717
2021-01-07 08:00:00,2021-01-07 08:00:00,594983.68568573,0.06256452
2021-01-07 09:00:00,2021-01-07 09:00:00,594984.68568573,0.0630034
2021-01-07 10:00:00,2021-01-07 10:00:00,270448.5844026,0.13698865
2021-01-07 11:00:00,2021-01-07 11:00:00,495823.40473811,0.07632967
2021-01-07 12:00:00,2021-01-07 12:00:00,371868.55355358,0.10220085
2021-01-07 13:00:00,2021-01-07 13:00:00,297495.84284286,0.12850159
2021-01-07 14:00:00,2021-01-07 14:00:00,594992.68568573,0.06471473
2021-01-07 15:00:00,2021-01-07 15:00:00,330552.49204763,0.11807083
2021-01-07 16:00:00,2021-01-07 16:00:00,594995.48568573,0.06578856
2021-01-07 17:00:00,2021-01-07 17:00:00,743745.35710716,0.05347035
2021-01-07 18:00:00,2021-01-07 18:00:00,424998.34691838,0.09153047
2021-01-07 19:00:00,2021-01-07 19:00:00,424999.34691838,0.09191719
