start_time,date,nrpl
2021-11-18,2021-11-18,-504085877.9834649
2021-11-19,2021-11-19,-3856548.06006087
2021-11-20,2021-11-20,308654258.5562144
2021-11-21,2021-11-21,127576386.83831324
2021-11-22,2021-11-22,-346211868.9692743
2021-11-23,2021-11-23,79613547.37514652
2021-11-24,2021-11-24,218616853.77936697
2021-11-25,2021-11-25,3331770385.5962024
2021-11-26,2021-11-26,-859525725.9856654
2021-11-27,2021-11-27,-99514675.4082688
2021-11-28,2021-11-28,210234281.86325803
2021-11-29,2021-11-29,900415185.5912445
2021-11-30,2021-11-30,370650889.9034444
2021-12-01,2021-12-01,794242025.3869904
2021-12-02,2021-12-02,-39886122.01200509
2021-12-03,2021-12-03,-317147799.6747586
2021-12-04,2021-12-04,-2166319251.6703815
2021-12-05,2021-12-05,-237542255.61507308
2021-12-06,2021-12-06,-588909761.2519982
2021-12-07,2021-12-07,1315888639.5060515
2021-12-08,2021-12-08,-231135694.33794975
2021-12-09,2021-12-09,-589274879.2069806
2021-12-10,2021-12-10,-245953724.7665116
2021-12-11,2021-12-11,168377123.39089093
2021-12-12,2021-12-12,72298644.32627444
2021-12-13,2021-12-13,-365182346.9879474
2021-12-14,2021-12-14,183550121.4605179
2021-12-15,2021-12-15,3185159.94232067
2021-12-16,2021-12-16,80903420.37738498
2021-12-17,2021-12-17,-454838735.79329085
2021-12-18,2021-12-18,-51006215.03626427
2021-12-19,2021-12-19,20176633.24529606
2021-12-20,2021-12-20,-387911323.13399816
2021-12-21,2021-12-21,399465051.5416988
2021-12-22,2021-12-22,183637727.61318097
2021-12-23,2021-12-23,368118171.983026
2021-12-24,2021-12-24,418771083.8074143
2021-12-25,2021-12-25,-45969689.9350964
2021-12-26,2021-12-26,32145278.55033934
2021-12-27,2021-12-27,389562312.2190806
2021-12-28,2021-12-28,-428983708.83725154
2021-12-29,2021-12-29,-342750317.04245555
2021-12-30,2021-12-30,30606502.75411579
2021-12-31,2021-12-31,43092427.15415857
2022-01-01,2022-01-01,77479255.98178458
2022-01-02,2022-01-02,-30515687.49804415
2022-01-03,2022-01-03,-229831647.35334376
2022-01-04,2022-01-04,-276583623.6132809
2022-01-05,2022-01-05,-180456035.28812104
2022-01-06,2022-01-06,-882842561.4613357
2022-01-07,2022-01-07,-896656352.3884741
2022-01-08,2022-01-08,-221588065.23949105
2022-01-09,2022-01-09,-98244190.5821588
2022-01-10,2022-01-10,-297170877.893392
2022-01-11,2022-01-11,-178497709.82523125
2022-01-12,2022-01-12,303239876.3930481
2022-01-13,2022-01-13,-213385320.375606
2022-01-14,2022-01-14,-104616272.3331527
2022-01-15,2022-01-15,63820917.26488112
2022-01-16,2022-01-16,7154792.7095606
2022-01-17,2022-01-17,-462007917.3084288
2022-01-18,2022-01-18,-258235732.33635357
2022-01-19,2022-01-19,-597328676.908336
2022-01-20,2022-01-20,-220984316.2715872
2022-01-21,2022-01-21,-2508083445.178344
2022-01-22,2022-01-22,-977075795.2066787
2022-01-23,2022-01-23,-174794511.13710558
2022-01-24,2022-01-24,-920840214.282328
2022-01-25,2022-01-25,-49896419.52066439
2022-01-26,2022-01-26,-165215108.42766175
2022-01-27,2022-01-27,-500282986.85030407
2022-01-28,2022-01-28,-566593585.8972031
2022-01-29,2022-01-29,-788138950.5082332
2022-01-30,2022-01-30,-396662447.6116723
2022-01-31,2022-01-31,-190617769.1262205
2022-02-01,2022-02-01,2457628387.9140854
2022-02-02,2022-02-02,-300977116.92313445
2022-02-03,2022-02-03,-345886866.2328202
2022-02-04,2022-02-04,623020402.6456559
2022-02-05,2022-02-05,344779042.0073938
2022-02-06,2022-02-06,35796803.90804997
2022-02-07,2022-02-07,773270506.788776
2022-02-08,2022-02-08,368350181.0197398
2022-02-09,2022-02-09,260269101.5042041
2022-02-10,2022-02-10,448664241.0862208
2022-02-11,2022-02-11,122798613.1157656
