start_time,date,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-03-19,2021-03-19,525.66269559,3.46034789,1132.22775789,7.45326227,111.49324148,0.733941,6096.29568249,40.13087495,4053.59250765,26.68410827,0.31412013,0.0020678,2592.89105134,17.06855966,678.55899756,4.46683817
2021-03-20,2021-03-20,496.79869058,5.38676316,948.84173538,10.28824312,133.85811368,1.45141678,3627.44765528,39.3322321,2199.41850442,23.84818399,36.9115851,0.40023046,1779.30647069,19.29293039,0.0,0.0
2021-03-21,2021-03-21,290.81593895,4.20114558,764.2927168,11.04102128,81.68651252,1.18004856,1203.17441426,17.38113424,3004.64054408,43.40522872,0.0,0.0,1567.66671777,22.64661328,10.02406948,0.14480835
2021-03-22,2021-03-22,478.97911116,2.8694042,1156.53038727,6.92838805,110.5587401,0.66232056,5887.29052848,35.2687952,4231.96263457,25.35227754,0.0,0.0,3042.92461249,18.22914708,1784.38693735,10.68966737
2021-03-23,2021-03-23,486.30493179,3.28550866,1208.40766388,8.16408305,111.74072275,0.7549278,3586.98911106,24.23393848,5701.15853161,38.51740857,35.09488626,0.2371034,2807.18375947,18.96552134,864.6315624,5.8415087
2021-03-24,2021-03-24,535.45206378,2.60179384,1234.16965879,5.99690472,128.53938443,0.62458061,7497.30936082,36.42987785,6980.92058197,33.92071367,33.3803111,0.16219694,3864.2280097,18.7765167,306.11179924,1.48741567
2021-03-25,2021-03-25,729.33722856,5.08859831,1477.3907706,10.30778065,133.94046797,0.93450493,3760.86416329,26.23961354,4550.59423623,31.74957375,32.63137242,0.22766964,3525.33147035,24.59629792,122.68298044,0.85596125
2021-03-26,2021-03-26,476.19125749,2.06640867,1176.23875668,5.10423054,95.63416561,0.41499978,7498.35045756,32.53872499,4539.21953963,19.69772113,1.98004073,0.00859229,4156.54066768,18.03710489,5100.23440735,22.13221771
2021-03-27,2021-03-27,486.80129724,5.90877689,888.18368487,10.78074208,108.38225735,1.31554,1581.08126083,19.1911083,2956.80814844,35.88963249,34.03696981,0.41313953,2183.31999573,26.50106071,0.0,0.0
2021-03-28,2021-03-28,348.2269442,4.79833223,774.53496831,10.67256903,87.05979647,1.19962523,1532.2543726,21.11343095,2263.82162291,31.19393383,0.0,0.0,1951.35184594,26.88831123,300.0,4.13379749
2021-03-29,2021-03-29,584.24532047,3.1162547,1192.39753132,6.36002426,115.08141098,0.61382261,4689.04862016,25.01050381,5713.5556941,30.47503194,2031.2912815,10.83452582,3021.62820824,16.1167968,1401.06926369,7.47304005
2021-03-30,2021-03-30,585.59992746,4.47981291,1317.16401277,10.07624502,124.29735048,0.9508691,2648.38206996,20.26000284,5506.57882423,42.12507852,0.22411725,0.00171449,2887.59884191,22.09000031,2.1277,0.01627681
2021-03-31,2021-03-31,632.69060548,3.90689721,1391.80986662,8.5944979,119.17879032,0.73593519,4272.68166153,26.3840302,5379.71314999,33.22000688,0.0,0.0,2888.46370935,17.83641277,1509.65858996,9.32221986
2021-04-01,2021-04-01,558.4129085,3.78458678,1260.56706191,8.54336525,124.02079804,0.84053836,3685.73295823,24.97968082,4325.84753745,29.31799238,18.82750029,0.12760147,3230.22413453,21.89251603,1551.29124952,10.5137189
2021-04-02,2021-04-02,586.8886216,4.43252345,1249.24479858,9.43502168,140.44170648,1.06069727,3431.61590086,25.91755471,4929.83799303,37.23299739,0.0,0.0,2621.90070339,19.80211564,280.57826307,2.11908987
2021-04-03,2021-04-03,491.64881185,5.37089954,1105.88686542,12.08099586,122.29864717,1.33602224,983.07720138,10.73939114,3711.97765194,40.55060969,26.67848654,0.29144273,2712.37029183,29.6306388,0.0,0.0
2021-04-04,2021-04-04,385.53755371,4.81888303,887.82203391,11.09700079,110.26830676,1.37825762,1655.48046716,20.69206141,2703.49270902,33.79130003,36.28918049,0.45358309,2221.6681965,27.76891402,0.0,0.0
2021-04-05,2021-04-05,512.41538455,3.70415423,1395.62279775,10.08869415,119.33824805,0.8626737,1716.88139781,12.41101202,6218.82893832,44.95474223,21.40901558,0.15476174,3842.37204401,27.77578327,6.66481084,0.04817866
2021-04-06,2021-04-06,538.45939799,3.73342004,1468.40539836,10.18122101,123.75307403,0.85804465,3580.99527495,24.82890922,4936.29463726,34.22590705,0.45903875,0.00318276,3773.35120568,26.16261328,0.96660742,0.00670199
2021-04-07,2021-04-07,752.3876426,5.58263945,1602.82263428,11.89278022,129.73109652,0.96259148,1675.86028782,12.43471215,5397.72768432,40.05058806,56.26686469,0.41749439,3861.94031167,28.65520263,0.53796062,0.00399161
2021-04-08,2021-04-08,500.2901743,3.4972593,1147.6495729,8.02260039,110.43697975,0.77200548,3943.13736816,27.56435076,3909.19596486,27.32708468,36.51707585,0.25527122,4457.91618584,31.16289237,200.06343617,1.39853579
2021-04-09,2021-04-09,575.72803893,3.41519966,1441.98612613,8.55381395,133.92970238,0.79446656,4119.81731964,24.43861992,5418.11450981,32.14007586,38.27098212,0.2270222,4329.9557363,25.68515405,800.01252159,4.74564779
2021-04-10,2021-04-10,629.6948772,3.74762627,1332.2171524,7.92868448,174.82424333,1.04046571,4614.69116565,27.46431404,6339.97921709,37.73235823,19.99434376,0.11899625,3491.01325248,20.77674991,200.08501838,1.1908051
2021-04-11,2021-04-11,384.4235924,4.52787209,1129.019191,13.29797282,115.32537971,1.35834163,1301.96144068,15.33494557,2831.98227711,33.35605244,18.81330854,0.22158956,2698.63597698,31.78545427,9.99899989,0.11777163
