start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-01-04 20:00:00,2021-01-04 20:00:00,0.53433799,1.1474803,130298466.35012002,0.46566201,113551811.5151
2021-01-04 21:00:00,2021-01-04 21:00:00,0.53449215,1.14819149,164419231.98106998,0.46550785,143198441.32347
2021-01-04 22:00:00,2021-01-04 22:00:00,0.55008675,1.22265071,56105924.12512001,0.44991325,45888759.14526
2021-01-04 23:00:00,2021-01-04 23:00:00,0.50663234,1.02688601,137943297.71341,0.49336766,134331655.24787
2021-01-05 00:00:00,2021-01-05 00:00:00,0.51117706,1.04573049,397629584.7207599,0.48882294,380240977.5441699
2021-01-05 01:00:00,2021-01-05 01:00:00,0.50326944,1.01316385,247901858.98929992,0.49673056,244680914.99979
2021-01-05 02:00:00,2021-01-05 02:00:00,0.54401437,1.19305157,153672920.18402004,0.45598563,128806603.58270998
2021-01-05 03:00:00,2021-01-05 03:00:00,0.55092378,1.22679349,307294353.94608,0.44907622,250485804.29062995
2021-01-05 04:00:00,2021-01-05 04:00:00,0.50260097,1.01045827,243544141.9951,0.49739903,241023454.14177
2021-01-05 05:00:00,2021-01-05 05:00:00,0.53147693,1.13436662,214310677.33103,0.46852307,188925408.66622
2021-01-05 06:00:00,2021-01-05 06:00:00,0.48555927,0.94385854,147110060.07953003,0.51444073,155860284.29660997
2021-01-05 07:00:00,2021-01-05 07:00:00,0.54059916,1.17674833,80053461.63856,0.45940084,68029382.09444
2021-01-05 08:00:00,2021-01-05 08:00:00,0.48188916,0.93008893,140034898.90425003,0.51811084,150560762.69483
2021-01-05 09:00:00,2021-01-05 09:00:00,0.5126033,1.05171679,115498038.40697,0.4873967,109818573.95886
2021-01-05 10:00:00,2021-01-05 10:00:00,0.53065595,1.13063318,113376377.41601,0.46934405,100276888.63199002
2021-01-05 11:00:00,2021-01-05 11:00:00,0.50972573,1.03967465,75665165.56012,0.49027427,72777734.45108
2021-01-05 12:00:00,2021-01-05 12:00:00,0.51376521,1.05661961,130967465.95750996,0.48623479,123949493.70118004
2021-01-05 13:00:00,2021-01-05 13:00:00,0.51405531,1.05784736,77493587.61535,0.48594469,73255925.45846999
2021-01-05 14:00:00,2021-01-05 14:00:00,0.51452174,1.05982445,182473720.2435901,0.48547826,172173532.84286
2021-01-05 15:00:00,2021-01-05 15:00:00,0.50851525,1.03465114,142648873.30157995,0.49148475,137871470.32129002
2021-01-05 16:00:00,2021-01-05 16:00:00,0.49814657,0.99261365,184082697.90383,0.50185343,185452516.00515
2021-01-05 17:00:00,2021-01-05 17:00:00,0.47640736,0.90988171,84179311.62633,0.52359264,92516764.55178002
2021-01-05 18:00:00,2021-01-05 18:00:00,0.53532771,1.15205429,172886758.78386998,0.46467229,150068239.14741
2021-01-05 19:00:00,2021-01-05 19:00:00,0.53309585,1.14176721,343918963.2386599,0.46690415,301216361.48073995
2021-01-05 20:00:00,2021-01-05 20:00:00,0.5048964,1.01977929,140505562.87756002,0.4951036,137780364.90158
2021-01-05 21:00:00,2021-01-05 21:00:00,0.54579552,1.20165154,117608386.58555,0.45420448,97872289.17378
2021-01-05 22:00:00,2021-01-05 22:00:00,0.52259666,1.09466486,139584088.32573,0.47740334,127513080.72099
2021-01-05 23:00:00,2021-01-05 23:00:00,0.53251044,1.13908519,169866320.85943997,0.46748956,149125212.19531003
2021-01-06 00:00:00,2021-01-06 00:00:00,0.55266065,1.23543939,217825650.12562993,0.44733935,176314315.88744
2021-01-06 01:00:00,2021-01-06 01:00:00,0.53864159,1.16751224,103212859.13641998,0.46135841,88404091.83149001
2021-01-06 02:00:00,2021-01-06 02:00:00,0.511002,1.04499815,68627624.69663,0.488998,65672484.22273
2021-01-06 03:00:00,2021-01-06 03:00:00,0.53213939,1.13738875,74738334.60077,0.46786061,65710457.22311
2021-01-06 04:00:00,2021-01-06 04:00:00,0.48884908,0.95636935,274757254.55420995,0.51115092,287291991.35761994
2021-01-06 05:00:00,2021-01-06 05:00:00,0.54018706,1.17479745,171036143.04752004,0.45981294,145587772.23239002
2021-01-06 06:00:00,2021-01-06 06:00:00,0.50112357,1.00450438,92478108.35927,0.49887643,92063419.41866998
2021-01-06 07:00:00,2021-01-06 07:00:00,0.5456504,1.20094834,134803036.28456,0.4543496,112247156.90723996
2021-01-06 08:00:00,2021-01-06 08:00:00,0.52092524,1.08735691,165439030.52887005,0.47907476,152147864.02369997
2021-01-06 09:00:00,2021-01-06 09:00:00,0.55508398,1.24761515,132786539.71140002,0.44491602,106432291.43454
2021-01-06 10:00:00,2021-01-06 10:00:00,0.48986169,0.9602527,80656038.02795,0.51013831,83994596.56066
2021-01-06 11:00:00,2021-01-06 11:00:00,0.504594,1.01854639,345011839.56259,0.495406,338729626.99313
2021-01-06 12:00:00,2021-01-06 12:00:00,0.54707815,1.2078864,156379709.31458998,0.45292185,129465577.10274
2021-01-06 13:00:00,2021-01-06 13:00:00,0.53195945,1.13656703,135830936.6056,0.46804055,119509833.19073996
2021-01-06 14:00:00,2021-01-06 14:00:00,0.52308182,1.09679574,126299996.46988998,0.47691818,115153616.57981002
2021-01-06 15:00:00,2021-01-06 15:00:00,0.51240756,1.05089316,111113304.41548,0.48759244,105732255.40102
2021-01-06 16:00:00,2021-01-06 16:00:00,0.5100513,1.04103001,373324928.1526,0.4899487,358611111.7599799
2021-01-06 17:00:00,2021-01-06 17:00:00,0.50063709,1.00255161,219048550.94601,0.49936291,218491045.93205997
2021-01-06 18:00:00,2021-01-06 18:00:00,0.53446867,1.14808316,150726825.27618998,0.46553133,131285633.95672
2021-01-06 19:00:00,2021-01-06 19:00:00,0.56179826,1.28205395,203140773.9451799,0.43820174,158449474.16368002
2021-01-06 20:00:00,2021-01-06 20:00:00,0.51644815,1.06803056,421027053.3899301,0.48355185,394208809.02554005
2021-01-06 21:00:00,2021-01-06 21:00:00,0.55103376,1.22733898,190226262.58601007,0.44896624,154990810.19228995
2021-01-06 22:00:00,2021-01-06 22:00:00,0.53010896,1.12815297,84976926.06567,0.46989104,75323939.7953
2021-01-06 23:00:00,2021-01-06 23:00:00,0.48697391,0.9492186,118434832.38186996,0.51302609,124770871.51625
2021-01-07 00:00:00,2021-01-07 00:00:00,0.52996785,1.12751406,194280415.79574,0.47003215,172308641.11880997
2021-01-07 01:00:00,2021-01-07 01:00:00,0.51989846,1.08289271,81543995.87281,0.48010154,75302008.4695
2021-01-07 02:00:00,2021-01-07 02:00:00,0.5706666,1.32919219,107791439.48821998,0.4293334,81095450.27791
2021-01-07 03:00:00,2021-01-07 03:00:00,0.48106788,0.92703431,117933117.51462,0.51893212,127215482.75456998
2021-01-07 04:00:00,2021-01-07 04:00:00,0.47766988,0.91449807,79501194.34157999,0.52233012,86934239.16392
2021-01-07 05:00:00,2021-01-07 05:00:00,0.50192493,1.00772948,69157165.66753,0.49807507,68626716.54545
