start_time,date,price_usd_adj_close,price_usd_close,price_usd_high,price_usd_low,price_usd_open
2024-08-22,2024-08-22,2.450000048,2.450000048,2.480000019,2.440000057,2.480000019
2024-08-23,2024-08-23,2.589999914,2.589999914,2.599999905,2.480000019,2.50999999
2024-08-26,2024-08-26,2.529999971,2.529999971,2.589999914,2.519999981,2.589999914
2024-08-27,2024-08-27,2.440000057,2.440000057,2.480000019,2.410000086,2.480000019
2024-08-28,2024-08-28,2.359999895,2.359999895,2.400000095,2.313999891,2.380000114
2024-08-29,2024-08-29,2.380000114,2.380000114,2.450000048,2.36500001,2.430000067
2024-08-30,2024-08-30,2.359999895,2.359999895,2.400000095,2.289999962,2.369999886
2024-09-03,2024-09-03,2.299999952,2.299999952,2.36500001,2.289999962,2.359999895
2024-09-04,2024-09-04,2.319999933,2.319999933,2.349900007,2.25,2.25
2024-09-05,2024-09-05,2.220000029,2.220000029,2.279900074,2.210000038,2.25
2024-09-06,2024-09-06,2.089999914,2.089999914,2.25999999,2.079999924,2.25
2024-09-09,2024-09-09,2.220000029,2.220000029,2.220000029,2.140000105,2.180000067
2024-09-10,2024-09-10,2.24000001,2.24000001,2.25999999,2.190000057,2.210000038
2024-09-11,2024-09-11,2.200000048,2.200000048,2.230000019,2.140300035,2.200000048
2024-09-12,2024-09-12,2.230000019,2.230000019,2.230000019,2.180000067,2.210000038
2024-09-13,2024-09-13,2.279999971,2.279999971,2.289999962,2.210000038,2.220000029
2024-09-16,2024-09-16,2.140000105,2.140000105,2.180000067,2.13499999,2.180000067
2024-09-17,2024-09-17,2.220000029,2.220000029,2.259900093,2.170000076,2.190000057
2024-09-18,2024-09-18,2.180000067,2.180000067,2.224999905,2.150000095,2.180000067
2024-09-19,2024-09-19,2.329999924,2.329999924,2.349999905,2.279999971,2.299999952
2024-09-20,2024-09-20,2.400000095,2.400000095,2.429899931,2.369999886,2.390000105
2024-09-23,2024-09-23,2.519999981,2.519999981,2.549999952,2.480000019,2.5
2024-09-24,2024-09-24,2.5,2.5,2.50999999,2.440000057,2.49000001
2024-09-25,2024-09-25,2.420000076,2.420000076,2.480000019,2.420000076,2.460000038
2024-09-26,2024-09-26,2.5,2.5,2.519999981,2.460000038,2.470000029
2024-09-27,2024-09-27,2.549999952,2.549999952,2.579999924,2.49000001,2.50999999
2024-09-30,2024-09-30,2.440000057,2.440000057,2.49000001,2.420000076,2.49000001
2024-10-01,2024-10-01,2.349999905,2.349999905,2.46600008,2.289999962,2.460000038
2024-10-02,2024-10-02,2.24000001,2.24000001,2.339799881,2.230000019,2.289999962
2024-10-03,2024-10-03,2.220000029,2.220000029,2.230000019,2.180000067,2.210000038
2024-10-04,2024-10-04,2.289999962,2.289999962,2.299999952,2.210099936,2.24000001
2024-10-07,2024-10-07,2.309999943,2.309999943,2.380000114,2.279999971,2.329999924
2024-10-08,2024-10-08,2.299999952,2.299999952,2.319999933,2.260099888,2.289999962
2024-10-09,2024-10-09,2.269999981,2.269999981,2.329999924,2.269999981,2.289999962
2024-10-10,2024-10-10,2.230000019,2.230000019,2.279900074,2.190000057,2.25999999
2024-10-11,2024-10-11,2.319999933,2.319999933,2.329999924,2.279999971,2.279999971
2024-10-14,2024-10-14,2.470000029,2.470000029,2.499200106,2.400000095,2.400000095
2024-10-15,2024-10-15,2.450000048,2.450000048,2.535000086,2.390000105,2.460000038
2024-10-16,2024-10-16,2.470000029,2.470000029,2.494999886,2.440099955,2.470000029
2024-10-17,2024-10-17,2.440000057,2.440000057,2.480000019,2.424000025,2.450000048
2024-10-18,2024-10-18,2.5,2.5,2.529999971,2.460000038,2.470000029
2024-10-21,2024-10-21,2.519999981,2.519999981,2.539999962,2.5,2.539999962
2024-10-22,2024-10-22,2.480000019,2.480000019,2.49000001,2.450000048,2.480000019
2024-10-23,2024-10-23,2.359999895,2.359999895,2.439899921,2.309999943,2.420000076
2024-10-24,2024-10-24,2.400000095,2.400000095,2.400000095,2.359999895,2.390000105
2024-10-25,2024-10-25,2.319999933,2.319999933,2.420000076,2.309999943,2.400000095
2024-10-28,2024-10-28,2.359999895,2.359999895,2.390000105,2.339999914,2.390000105
2024-10-29,2024-10-29,2.470000029,2.470000029,2.529999971,2.460000038,2.470000029
2024-10-30,2024-10-30,2.5,2.5,2.569999933,2.5,2.539999962
2024-10-31,2024-10-31,2.359999895,2.359999895,2.480000019,2.359999895,2.480000019
2024-11-01,2024-11-01,2.369999886,2.369999886,2.440000057,2.339999914,2.380000114
2024-11-04,2024-11-04,2.279999971,2.279999971,2.319999933,2.25999999,2.319999933
2024-11-05,2024-11-05,2.279999971,2.279999971,2.339799881,2.25999999,2.309999943
2024-11-06,2024-11-06,2.549999952,2.549999952,2.549999952,2.460000038,2.480000019
2024-11-07,2024-11-07,2.74000001,2.74000001,2.75,2.619999886,2.650000095
2024-11-08,2024-11-08,2.769999981,2.769999981,2.819999933,2.730000019,2.789999962
2024-11-11,2024-11-11,3.170000076,3.170000076,3.190000057,2.970000029,2.99000001
2024-11-12,2024-11-12,3.109999895,3.109999895,3.119999886,3.029999971,3.069999933
2024-11-13,2024-11-13,2.99000001,2.99000001,3.150000095,2.950000048,3.059999943
2024-11-14,2024-11-14,2.920000076,2.920000076,3.019999981,2.880300045,3.00999999
2024-11-15,2024-11-15,2.910000086,2.910000086,2.920000076,2.839999914,2.890000105
2024-11-18,2024-11-18,2.980000019,2.980000019,3.019999981,2.890000105,2.930000067
2024-11-19,2024-11-19,2.920000076,2.920000076,2.970000029,2.910000086,2.930000067
2024-11-20,2024-11-20,28.930000305,28.930000305,29.589899063,28.589899063,29.510000229
2024-11-21,2024-11-21,31.63999939,31.63999939,31.992900848,30.620000839,31.659999847
2024-11-22,2024-11-22,31.049999237,31.049999237,31.419900894,30.804300308,31.059999466
2024-11-25,2024-11-25,33.069999695,33.069999695,33.458999634,31.560100555,32.959999084
2024-11-26,2024-11-26,31.290000916,31.290000916,31.714700699,30.700000763,31.309999466
2024-11-27,2024-11-27,34.279998779,34.279998779,34.319900513,32.869998932,32.909999847
2024-11-29,2024-11-29,33.840000153,33.840000153,34.459999084,33.799999237,34.0
2024-12-02,2024-12-02,34.119998932,34.119998932,34.759998322,33.529998779,34.270000458
2024-12-03,2024-12-03,34.060001373,34.060001373,34.069999695,33.010101318,33.5
2024-12-04,2024-12-04,36.700000763,36.700000763,36.779998779,35.020000458,35.080001831
2024-12-05,2024-12-05,36.099998474,36.099998474,37.404998779,35.689998627,37.020000458
2024-12-06,2024-12-06,38.259998322,38.259998322,38.669998169,36.849998474,37.009998322
2024-12-09,2024-12-09,35.299999237,35.299999237,37.232498169,35.11000061,36.63999939
2024-12-10,2024-12-10,34.430000305,34.430000305,35.189998627,33.209999084,35.099998474
2024-12-11,2024-12-11,36.189998627,36.189998627,36.269298553,35.115001678,35.159999847
2024-12-12,2024-12-12,36.669998169,36.669998169,37.639900208,36.36000061,37.5
2024-12-13,2024-12-13,36.979999542,36.979999542,37.459999084,36.593700409,37.069999695
2024-12-16,2024-12-16,38.169998169,38.169998169,38.775001526,36.888999939,36.88999939
2024-12-17,2024-12-17,37.090000153,37.090000153,37.979999542,36.919998169,37.849998474
2024-12-18,2024-12-18,34.790000916,34.790000916,36.840000153,34.229999542,36.450000763
2024-12-19,2024-12-19,31.829999924,31.829999924,34.869998932,31.370000839,34.740001678
2024-12-20,2024-12-20,32.419998169,32.419998169,32.950000763,31.129999161,31.329999924
2024-12-23,2024-12-23,32.049999237,32.049999237,32.150001526,30.770000458,31.579999924
2024-12-24,2024-12-24,33.040000916,33.040000916,33.159999847,32.38999939,32.479999542
2024-12-26,2024-12-26,31.370000839,31.370000839,31.700000763,31.165000916,31.680000305
2024-12-27,2024-12-27,31.420000076,31.420000076,31.930000305,31.11000061,31.930000305
