start_time,datetime,total_value_staked
2021-01-09 02:00:00,2021-01-09 02:00:00,2336840.621315218
2021-01-09 03:00:00,2021-01-09 03:00:00,2336864.128655355
2021-01-09 04:00:00,2021-01-09 04:00:00,2336889.820712517
2021-01-09 05:00:00,2021-01-09 05:00:00,2336913.058327388
2021-01-09 06:00:00,2021-01-09 06:00:00,2336936.609261126
2021-01-09 07:00:00,2021-01-09 07:00:00,2348898.822330372
2021-01-09 08:00:00,2021-01-09 08:00:00,2348922.108508587
2021-01-09 09:00:00,2021-01-09 09:00:00,2348948.231517639
2021-01-09 10:00:00,2021-01-09 10:00:00,2348971.493199507
2021-01-09 11:00:00,2021-01-09 11:00:00,2348994.823757324
2021-01-09 12:00:00,2021-01-09 12:00:00,2349020.915886157
2021-01-09 13:00:00,2021-01-09 13:00:00,2349044.481746621
2021-01-09 14:00:00,2021-01-09 14:00:00,2355758.431439316
2021-01-09 15:00:00,2021-01-09 15:00:00,2355781.937112105
2021-01-09 16:00:00,2021-01-09 16:00:00,2355805.262334854
2021-01-09 17:00:00,2021-01-09 17:00:00,2355831.333067118
2021-01-09 18:00:00,2021-01-09 18:00:00,2355854.776939731
2021-01-09 19:00:00,2021-01-09 19:00:00,2355878.375123253
2021-01-09 20:00:00,2021-01-09 20:00:00,2355904.720582087
2021-01-09 21:00:00,2021-01-09 21:00:00,2359640.019717075
2021-01-09 22:00:00,2021-01-09 22:00:00,2359666.621246844
2021-01-09 23:00:00,2021-01-09 23:00:00,2359689.915843205
2021-01-10 00:00:00,2021-01-10 00:00:00,2359713.562670246
2021-01-10 01:00:00,2021-01-10 01:00:00,2359739.916581039
2021-01-10 02:00:00,2021-01-10 02:00:00,2359763.493170874
2021-01-10 03:00:00,2021-01-10 03:00:00,2359786.776710555
2021-01-10 04:00:00,2021-01-10 04:00:00,2365316.968623421
2021-01-10 05:00:00,2021-01-10 05:00:00,2365340.611030057
2021-01-10 06:00:00,2021-01-10 06:00:00,2365367.13360841
2021-01-10 07:00:00,2021-01-10 07:00:00,2365390.850669804
2021-01-10 08:00:00,2021-01-10 08:00:00,2365414.558836358
2021-01-10 09:00:00,2021-01-10 09:00:00,2365440.802912696
2021-01-10 10:00:00,2021-01-10 10:00:00,2365464.396142271
2021-01-10 11:00:00,2021-01-10 11:00:00,2367856.089656379
2021-01-10 12:00:00,2021-01-10 12:00:00,2367881.827615052
2021-01-10 13:00:00,2021-01-10 13:00:00,2367905.264636777
2021-01-10 14:00:00,2021-01-10 14:00:00,2367931.749581155
2021-01-10 15:00:00,2021-01-10 15:00:00,2367955.587832549
2021-01-10 16:00:00,2021-01-10 16:00:00,2367979.40981533
2021-01-10 17:00:00,2021-01-10 17:00:00,2369541.903310126
2021-01-10 18:00:00,2021-01-10 18:00:00,2370013.976669301
2021-01-10 19:00:00,2021-01-10 19:00:00,2370037.861266542
2021-01-10 20:00:00,2021-01-10 20:00:00,2370064.292048341
2021-01-10 21:00:00,2021-01-10 21:00:00,2370088.369754932
2021-01-10 22:00:00,2021-01-10 22:00:00,2370114.711837071
2021-01-10 23:00:00,2021-01-10 23:00:00,2370138.605974173
2021-01-11 00:00:00,2021-01-11 00:00:00,2371410.613119647
2021-01-11 01:00:00,2021-01-11 01:00:00,2371437.141771627
2021-01-11 02:00:00,2021-01-11 02:00:00,2371460.89428943
2021-01-11 03:00:00,2021-01-11 03:00:00,2371484.599469555
2021-01-11 04:00:00,2021-01-11 04:00:00,2371511.048623441
2021-01-11 05:00:00,2021-01-11 05:00:00,2371534.616112881
2021-01-11 06:00:00,2021-01-11 06:00:00,2371561.045062282
2021-01-11 07:00:00,2021-01-11 07:00:00,2371584.632710947
2021-01-11 08:00:00,2021-01-11 08:00:00,2371608.600360768
2021-01-11 09:00:00,2021-01-11 09:00:00,2371634.900191829
2021-01-11 10:00:00,2021-01-11 10:00:00,2371658.642360849
2021-01-11 11:00:00,2021-01-11 11:00:00,2371682.367053808
2021-01-11 12:00:00,2021-01-11 12:00:00,2371708.767035024
2021-01-11 13:00:00,2021-01-11 13:00:00,2371732.577579865
2021-01-11 14:00:00,2021-01-11 14:00:00,2382351.082296334
2021-01-11 15:00:00,2021-01-11 15:00:00,2382374.638374109
2021-01-11 16:00:00,2021-01-11 16:00:00,2382398.25484788
2021-01-11 17:00:00,2021-01-11 17:00:00,2382424.2722867
2021-01-11 18:00:00,2021-01-11 18:00:00,2382448.073508681
2021-01-11 19:00:00,2021-01-11 19:00:00,2382472.167026209
2021-01-11 20:00:00,2021-01-11 20:00:00,2382498.637863263
2021-01-11 21:00:00,2021-01-11 21:00:00,2387898.468033984
2021-01-11 22:00:00,2021-01-11 22:00:00,2387925.174569344
2021-01-11 23:00:00,2021-01-11 23:00:00,2387949.150829491
2021-01-12 00:00:00,2021-01-12 00:00:00,2387972.809197465
2021-01-12 01:00:00,2021-01-12 01:00:00,2387999.406833595
2021-01-12 02:00:00,2021-01-12 02:00:00,2388023.364499894
2021-01-12 03:00:00,2021-01-12 03:00:00,2388047.406585041
2021-01-12 04:00:00,2021-01-12 04:00:00,2422345.981159165
2021-01-12 05:00:00,2021-01-12 05:00:00,2422369.926083457
2021-01-12 06:00:00,2021-01-12 06:00:00,2422396.191761607
2021-01-12 07:00:00,2021-01-12 07:00:00,2422420.017889257
2021-01-12 08:00:00,2021-01-12 08:00:00,2422444.169761758
2021-01-12 09:00:00,2021-01-12 09:00:00,2422470.826459862
2021-01-12 10:00:00,2021-01-12 10:00:00,2422494.945565251
2021-01-12 11:00:00,2021-01-12 11:00:00,2426230.69318219
2021-01-12 12:00:00,2021-01-12 12:00:00,2426257.191957523
2021-01-12 13:00:00,2021-01-12 13:00:00,2426280.904705559
2021-01-12 14:00:00,2021-01-12 14:00:00,2426307.155966955
2021-01-12 15:00:00,2021-01-12 15:00:00,2426331.22191405
2021-01-12 16:00:00,2021-01-12 16:00:00,2426354.860847907
2021-01-12 17:00:00,2021-01-12 17:00:00,2428653.473075465
2021-01-12 18:00:00,2021-01-12 18:00:00,2428677.752613
2021-01-12 19:00:00,2021-01-12 19:00:00,2428701.682183139
2021-01-12 20:00:00,2021-01-12 20:00:00,2428728.232211173
2021-01-12 21:00:00,2021-01-12 21:00:00,2428752.246104893
2021-01-12 22:00:00,2021-01-12 22:00:00,2428779.316681678
2021-01-12 23:00:00,2021-01-12 23:00:00,2428803.222634053
2021-01-13 00:00:00,2021-01-13 00:00:00,2441594.966283748
2021-01-13 01:00:00,2021-01-13 01:00:00,2441621.266906498
2021-01-13 02:00:00,2021-01-13 02:00:00,2441645.124059565
2021-01-13 03:00:00,2021-01-13 03:00:00,2441668.974701286
2021-01-13 04:00:00,2021-01-13 04:00:00,2441695.725548434
2021-01-13 05:00:00,2021-01-13 05:00:00,2441719.692178802
2021-01-13 06:00:00,2021-01-13 06:00:00,2441746.40236869
2021-01-13 07:00:00,2021-01-13 07:00:00,2445994.244919971
2021-01-13 08:00:00,2021-01-13 08:00:00,2446018.116028478
2021-01-13 09:00:00,2021-01-13 09:00:00,2446044.698307365
2021-01-13 10:00:00,2021-01-13 10:00:00,2446068.923466697
2021-01-13 11:00:00,2021-01-13 11:00:00,2446092.905376904
2021-01-13 12:00:00,2021-01-13 12:00:00,2446119.810502063
2021-01-13 13:00:00,2021-01-13 13:00:00,2446143.522723177
2021-01-13 14:00:00,2021-01-13 14:00:00,2454553.865883947
2021-01-13 15:00:00,2021-01-13 15:00:00,2454577.818681398
2021-01-13 16:00:00,2021-01-13 16:00:00,2454601.882860062
2021-01-13 17:00:00,2021-01-13 17:00:00,2454628.088910896
2021-01-13 18:00:00,2021-01-13 18:00:00,2454651.791665666
2021-01-13 19:00:00,2021-01-13 19:00:00,2454675.810740802
2021-01-13 20:00:00,2021-01-13 20:00:00,2454702.396547462
2021-01-13 21:00:00,2021-01-13 21:00:00,2457286.612769519
2021-01-13 22:00:00,2021-01-13 22:00:00,2457313.540476064
2021-01-13 23:00:00,2021-01-13 23:00:00,2457337.539914107
2021-01-14 00:00:00,2021-01-14 00:00:00,2457361.622264342
2021-01-14 01:00:00,2021-01-14 01:00:00,2457388.530188356
2021-01-14 02:00:00,2021-01-14 02:00:00,2457412.676812745
2021-01-14 03:00:00,2021-01-14 03:00:00,2457436.879733213
2021-01-14 04:00:00,2021-01-14 04:00:00,2467063.573926806
2021-01-14 05:00:00,2021-01-14 05:00:00,2467087.282490694
2021-01-14 06:00:00,2021-01-14 06:00:00,2467113.069275999
2021-01-14 07:00:00,2021-01-14 07:00:00,2467135.109457018
2021-01-14 08:00:00,2021-01-14 08:00:00,2467157.782095297
2021-01-14 09:00:00,2021-01-14 09:00:00,2467184.240754564
2021-01-14 10:00:00,2021-01-14 10:00:00,2467208.190437219
2021-01-14 11:00:00,2021-01-14 11:00:00,2467232.598750369
2021-01-14 12:00:00,2021-01-14 12:00:00,2467259.407707846
2021-01-14 13:00:00,2021-01-14 13:00:00,2467283.739495184
2021-01-14 14:00:00,2021-01-14 14:00:00,2467307.900099903
2021-01-14 15:00:00,2021-01-14 15:00:00,2467334.90401609
2021-01-14 16:00:00,2021-01-14 16:00:00,2467358.931433752
2021-01-14 17:00:00,2021-01-14 17:00:00,2489721.876443132
2021-01-14 18:00:00,2021-01-14 18:00:00,2489746.436935618
2021-01-14 19:00:00,2021-01-14 19:00:00,2489770.652670567
2021-01-14 20:00:00,2021-01-14 20:00:00,2489797.638574314
2021-01-14 21:00:00,2021-01-14 21:00:00,2489821.837274886
2021-01-14 22:00:00,2021-01-14 22:00:00,2489849.036862861
2021-01-14 23:00:00,2021-01-14 23:00:00,2489873.0189338
2021-01-15 00:00:00,2021-01-15 00:00:00,2489897.41926544
