t,shortLiquidationUsd,longLiquidationUsd,high,close,volume,open,low
1622764800.0,7986375.82533,6562531.03127,39297.35,36828.03,700625.866,39247.4,35552.51
1622851200.0,7227769.5283,5491962.83345,37900.49,35498.62,631028.448,36828.03,34800.0
1622937600.0,3074065.07982,4140759.33874,36521.16,35801.71,443601.064,35497.93,35201.86
1623024000.0,2089496.78309,1737135.60032,36820.0,33550.96,636735.873,35801.71,33200.0
1623110400.0,7315479.42254,7261650.9154,34061.57,33372.58,976693.026,33550.97,30969.0
1623196800.0,14020875.55774,17991743.2944,37511.31,37368.45,1031014.087,33372.58,32390.0
1623283200.0,14531691.20801,14087320.36486,38489.0,36669.66,803185.699,37369.99,35750.0
1623369600.0,9062724.94044,8362563.14457,37679.54,37300.42,586122.898,36669.65,35900.0
1623456000.0,12372812.47779,8254460.8347,37432.95,35537.05,623532.476,37300.41,34585.9
1623542400.0,7672032.76957,10918442.16869,39374.18,38993.65,647035.314,35535.95,34739.06
1623628800.0,10089394.55572,9524984.65908,41000.0,40489.1,704979.881,38993.66,38720.0
1623715200.0,9001361.48803,10229821.66989,41413.0,40132.86,632066.994,40489.1,39500.0
1623801600.0,11683625.1052,7524833.14871,40495.0,38344.97,673235.496,40132.86,38105.0
1623888000.0,8667750.49774,7566548.77207,39565.0,38060.71,603849.861,38344.97,37334.76
1623974400.0,15665678.34884,11870340.65134,38198.0,35811.41,790379.249,38060.71,35100.0
1624060800.0,12777519.88036,12701899.09631,36471.8,35483.0,642185.382,35811.41,34704.08
1624147200.0,12553195.95142,13874319.57339,36155.0,35588.64,829896.441,35483.01,33312.0
1624233600.0,31631962.60039,19399046.11211,35746.28,31606.0,1397330.662,35588.63,31250.51
1624320000.0,29801826.68156,23167919.3218,33274.0,32496.0,1531824.85,31606.0,28780.01
1624406400.0,15336519.69442,18478990.71677,34867.77,33649.0,960700.369,32496.0,31711.5
1624492800.0,10834828.39715,11241652.39492,35406.74,34644.64,774899.165,33650.0,32300.0
1624579200.0,25841262.47011,17356151.87606,35500.0,31568.07,1093051.375,34644.65,31250.0
1624665600.0,20302353.01631,15991241.91422,32720.52,32255.56,1091384.749,31569.18,30120.0
1624752000.0,12579476.27266,14463640.86828,34762.0,34687.71,897147.453,32250.15,31960.0
1624838400.0,9775593.15439,7035277.66754,35279.38,34487.22,706158.545,34687.71,33855.0
1624924800.0,9114184.98791,11421803.63982,36623.0,35911.26,806140.329,34486.58,34206.0
1625011200.0,9880999.92323,8770076.95688,36089.96,35031.39,719742.983,35910.64,34042.74
1625097600.0,9340239.07427,8558491.10594,35044.98,33489.96,758966.493,35031.39,32672.04
1625184000.0,9719236.73189,10145188.05243,33960.0,33760.94,664923.202,33489.96,32684.0
1625270400.0,5695130.4489,6566852.99211,34948.16,34652.94,510614.258,33760.94,33296.98
1625356800.0,3541402.74773,5535403.67647,35955.55,35280.16,451001.556,34653.32,34340.75
1625443200.0,10851358.19741,6250307.03129,35281.55,33672.72,736706.409,35280.17,33032.0
1625529600.0,7502969.05369,10273773.27223,35120.0,34206.01,644229.007,33672.72,33500.0
1625616000.0,4424365.97324,5465884.02322,35089.56,33845.64,456218.909,34206.0,33756.48
1625702400.0,9950439.15431,7057047.51513,33910.0,32852.04,650317.664,33845.63,32066.0
1625788800.0,4926056.98184,7644223.15974,34100.0,33805.01,485662.879,32855.0,32250.0
1625875200.0,6900464.75847,4636305.03025,34248.58,33497.98,410271.979,33805.01,33010.0
1625961600.0,3383781.10231,4672345.03892,34629.62,34253.81,343905.35,33497.98,33306.03
1626048000.0,9005420.77798,4708836.43773,34662.73,33070.87,502747.758,34253.88,32650.0
1626134400.0,10216908.00829,4897021.34264,33336.0,32709.09,466567.713,33070.86,32186.99
1626220800.0,6435850.23612,7390551.50886,33176.47,32803.01,521140.41,32708.66,31556.02
1626307200.0,9286304.04231,4321237.16181,33170.0,31866.43,539111.667,32803.0,31140.0
1626393600.0,13238679.80115,6933666.41423,32245.0,31382.95,516577.743,31865.53,31018.59
1626480000.0,6254059.5826,5392153.29474,31945.0,31496.65,422650.418,31382.96,31150.02
1626566400.0,4726402.65477,6288317.85334,32435.93,31767.0,412189.401,31496.65,31075.1
1626652800.0,8045725.23145,3318149.57287,31890.0,30823.62,486305.627,31765.23,30358.77
1626739200.0,8898687.34206,6945043.30621,31050.0,29775.9,602688.19,30823.62,29242.24
1626825600.0,5089690.02713,14498227.02772,32883.9,32120.0,787077.39,29775.89,29472.41
1626912000.0,5804463.97462,6591800.94436,32583.48,32268.11,397258.936,32120.0,31700.0
1626998400.0,4313387.5161,13215807.54911,33650.0,33634.46,404650.016,32268.12,31970.82
1627084800.0,3988057.7531,7093135.4212,34471.0,34230.0,376046.028,33631.74,33379.81
1627171200.0,4478880.03141,10592506.02811,35400.0,35370.66,404114.844,34230.0,33812.0
1627257600.0,18530360.96882,31361151.70308,48168.6,37218.09,1162332.857,35370.67,35185.49
1627344000.0,10773705.17361,17764685.39108,39546.34,39442.33,675104.157,37218.09,36384.31
1627430400.0,12514576.43977,17828263.31021,40894.0,40003.08,736196.234,39448.06,38753.0
1627516800.0,6903304.1437,6467161.51725,40665.0,40012.9,463917.872,40003.08,39203.83
1627603200.0,6277288.51634,10321611.50827,42316.6,42203.25,561474.309,40012.89,38320.0
1627689600.0,7094237.92073,6013195.64564,42494.0,41448.11,381521.899,42202.6,41030.19
1627776000.0,11414848.28685,7897440.8993,42614.98,39846.78,487529.044,41448.1,39350.4
1627862400.0,9399689.22731,8898103.87721,40450.0,39147.48,451872.128,39846.78,38658.0
1627948800.0,13808628.96754,9047825.21472,39774.93,38203.26,517219.517,39147.47,37600.0
1628035200.0,6891665.52197,11918323.38031,39975.32,39731.31,479560.473,38201.33,37500.0
1628121600.0,15510979.72802,16155313.03632,41350.0,40882.4,746249.712,39731.31,37291.0
1628208000.0,10224564.37458,14833873.01875,43400.0,42825.43,653451.154,40882.39,39849.82
1628294400.0,10571312.6476,19485720.23819,44753.01,44601.11,583750.891,42825.43,42395.2
1628380800.0,14989379.41543,13134157.16386,45350.0,43787.71,553684.698,44601.11,43265.0
1628467200.0,10695659.05977,19426682.50616,46483.0,46259.7,626220.503,43787.71,42785.0
1628553600.0,9545391.95952,9564226.70118,46800.0,45589.99,460478.861,46259.7,44670.05
1628640000.0,6760912.16104,9623448.64145,46754.27,45522.12,390660.571,45589.99,45354.0
1628726400.0,15356396.19472,7534254.44589,46226.67,44385.09,468276.056,45522.13,43800.0
1628812800.0,3065354.94886,16415748.93847,47980.69,47792.52,438025.46,44385.09,44208.88
1628899200.0,8060992.47207,7126048.74448,48300.0,47083.74,374368.796,47792.52,46000.0
1628985600.0,8975583.22436,8230070.01416,47388.75,47006.02,370950.807,47083.75,45480.0
1629072000.0,11812258.98969,6474875.96784,48074.23,45926.23,412537.605,47006.02,45682.03
1629158400.0,18362758.6035,10340272.44833,47194.0,44704.84,474316.4,45926.23,44412.01
1629244800.0,10351238.44427,8919409.90962,46050.0,44714.09,395836.158,44704.85,44227.32
1629331200.0,9121070.98574,18570520.35645,47100.0,46772.0,439402.162,44714.09,43938.38
1629417600.0,3321483.5834,13851496.83984,49500.0,49332.74,401499.081,46772.0,46650.0
1629504000.0,5831535.57011,7006761.27113,49833.0,48848.29,347594.451,49332.99,48250.0
1629590400.0,6567422.17645,6052770.79582,49556.2,49273.28,294672.223,48846.11,48075.81
1629676800.0,6546929.89376,9851306.00401,50600.0,49523.91,355733.496,49273.28,49075.01
1629763200.0,17972437.72045,6393723.51906,49888.88,47719.36,398682.002,49523.23,47600.0
1629849600.0,5604165.87797,11967211.38796,49297.8,48992.65,389100.384,47719.37,47130.57
1629936000.0,13281493.32561,7573125.98567,49380.0,46853.06,475183.123,48992.65,46280.0
