start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-05-26 21:00:00,2021-05-26 21:00:00,0.53241645,1.13865522,63235254.0,0.46758355,55535032.0
2021-05-26 22:00:00,2021-05-26 22:00:00,0.51817746,1.07545294,35683138.0,0.48182254,33179637.0
2021-05-26 23:00:00,2021-05-26 23:00:00,0.52233812,1.09353112,61276576.0,0.47766188,56035512.0
2021-05-27 00:00:00,2021-05-27 00:00:00,0.51753103,1.07267214,86243710.0,0.48246897,80400811.0
2021-05-27 01:00:00,2021-05-27 01:00:00,0.34827208,0.53438262,84786155.0,0.65172792,158661887.0
2021-05-27 02:00:00,2021-05-27 02:00:00,0.59926037,1.49538586,104901445.0,0.40073963,70150085.0
2021-05-27 03:00:00,2021-05-27 03:00:00,0.44275683,0.79454868,82201818.0,0.55724317,103457246.0
2021-05-27 04:00:00,2021-05-27 04:00:00,0.51578049,1.06517906,64753996.0,0.48421951,60791653.0
2021-05-27 05:00:00,2021-05-27 05:00:00,0.60495047,1.53132817,111414403.0,0.39504953,72756712.0
2021-05-27 06:00:00,2021-05-27 06:00:00,0.33531462,0.50447118,38197552.0,0.66468538,75718007.0
2021-05-27 07:00:00,2021-05-27 07:00:00,0.51727565,1.07157562,38870227.0,0.48272435,36273900.0
2021-05-27 08:00:00,2021-05-27 08:00:00,0.49813532,0.99256899,109377792.0,0.50186468,110196664.0
2021-05-27 09:00:00,2021-05-27 09:00:00,0.54260954,1.18631583,78556731.0,0.45739046,66219070.0
2021-05-27 10:00:00,2021-05-27 10:00:00,0.55634582,1.25400783,111985188.0,0.44365418,89301825.0
2021-05-27 11:00:00,2021-05-27 11:00:00,0.52831972,1.12008015,85482845.0,0.47168028,76318507.0
2021-05-27 12:00:00,2021-05-27 12:00:00,0.45514774,0.83535991,105112921.0,0.54485226,125829501.0
2021-05-27 13:00:00,2021-05-27 13:00:00,0.51769389,1.07337204,133785902.0,0.48230611,124640756.0
2021-05-27 14:00:00,2021-05-27 14:00:00,0.4864689,0.94730174,97778673.0,0.5135311,103218087.0
2021-05-27 15:00:00,2021-05-27 15:00:00,0.45100353,0.82150533,96964963.0,0.54899647,118033273.0
2021-05-27 16:00:00,2021-05-27 16:00:00,0.42245719,0.73147337,83898213.0,0.57754281,114697563.0
2021-05-27 17:00:00,2021-05-27 17:00:00,0.57929859,1.37698279,74151567.0,0.42070141,53850758.0
2021-05-27 18:00:00,2021-05-27 18:00:00,0.51247663,1.05118373,40538437.0,0.48752337,38564559.0
2021-05-27 19:00:00,2021-05-27 19:00:00,0.41265588,0.70257941,49706707.0,0.58734412,70748881.0
2021-05-27 20:00:00,2021-05-27 20:00:00,0.54702162,1.20761086,54025417.0,0.45297838,44737439.0
2021-05-27 21:00:00,2021-05-27 21:00:00,0.60960442,1.56150441,130909898.0,0.39039558,83835753.0
2021-05-27 22:00:00,2021-05-27 22:00:00,0.53166289,1.1352141,67697118.0,0.46833711,59633789.0
2021-05-27 23:00:00,2021-05-27 23:00:00,0.44862376,0.81364364,49736658.0,0.55137624,61128307.0
