start_time,datetime,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_0_1_usd,range_100_1k,range_100_1k_percent,range_100_1k_usd,range_100k_1M_usd,range_10_100,range_10_100_percent,range_10_100_usd,range_10k_100k_usd,range_10k_inf,range_10k_inf_percent,range_1M_inf_usd,range_1_10,range_1_10_percent,range_1_10_usd,range_1k_10k,range_1k_10k_percent,range_1k_10k_usd
2024-10-13 23:00:00,2024-10-13 23:00:00,191.4053616,2.47775312,303.15203413,3.92432005,60.24896292,0.7799262,39.57223362,2921.94873814,37.82479001,3512056.02224716,78352963.70531784,3273.81188179,42.37967811,438593.6424139,23057834.56366882,0.0,0.0,364946088.9878149,974.38995384,12.61353251,7022.27176921,0.0,0.0,11442501.70143754
2024-10-14 00:00:00,2024-10-14 00:00:00,125.42980373,0.39365365,394.94274004,1.23950328,40.79359673,0.12802817,65.61375617,7253.97993633,22.76616581,3326186.26378044,155406965.6875445,4049.34198419,12.70860849,386537.98812349,30957606.7452508,18029.27528186,56.58376147,1787766442.3185818,1969.22139612,6.18027913,8280.31975637,0.0,0.0,8261428.63403301
2024-10-14 01:00:00,2024-10-14 01:00:00,158.61202634,1.82615693,396.84253147,4.56898986,37.00154696,0.42601203,233.38624,4385.6255092,50.49327354,2539484.75540272,115172344.46524718,2032.39141272,23.39964854,333684.84575438,28467473.84267045,0.0,0.0,378145278.34298027,1675.09081596,19.2859191,10380.77619271,0.0,0.0,10459761.79291603
2024-10-14 02:00:00,2024-10-14 02:00:00,154.70400876,1.27556894,539.0604489,4.44467321,49.74569699,0.41016433,67.15479424,5263.44543665,43.39827744,3454806.53630132,149319055.98753303,4234.75540219,34.91649947,374417.83079958,37762737.84828012,0.0,0.0,545624247.5416453,1886.52484351,15.55481662,6656.35493464,0.0,0.0,9655540.19016903
2024-10-14 03:00:00,2024-10-14 03:00:00,153.74926914,1.08133577,487.54189517,3.42893656,65.60663452,0.46141878,97.90798681,7435.79014094,52.29674193,4087623.05287657,134030885.95353656,4359.03088998,30.65755074,576425.86508539,38378988.95757248,0.0,0.0,691931978.8564802,1716.73889104,12.07401622,9005.43551742,0.0,0.0,10493661.10327574
2024-10-14 04:00:00,2024-10-14 04:00:00,174.06669126,0.45379137,561.84368556,1.4647249,60.85779928,0.15865611,138.65390449,3636.12547105,9.47936886,3696931.34940964,216033260.0230664,7902.59734646,20.60204901,459022.25450015,45419497.10713719,18026.87827736,46.99602087,2139680146.0887816,2086.79388025,5.44026576,10388.20176569,5909.14452086,15.40512311,12186113.07873316
2024-10-14 05:00:00,2024-10-14 05:00:00,148.71478363,0.9669758,331.02393017,2.15238943,34.37769404,0.22353123,88.16232682,2042.91904769,13.283503,2202294.69064232,122182534.58922744,5011.68309078,32.58705109,316697.85533725,28573425.30610588,0.0,0.0,808944589.4969102,1220.21056731,7.93407392,11423.11976527,6590.44067689,42.85247553,10002032.92161413
2024-10-14 06:00:00,2024-10-14 06:00:00,185.58420987,0.57964981,532.60797237,1.66353651,65.12901434,0.20342259,215.8782776,5184.68406654,16.19373286,4207941.61262352,126999223.07176223,6219.28282127,19.42517679,484841.59609309,43274702.25767223,18027.07144375,56.30537474,1777800265.31063,1802.24905765,5.6291067,11818.80215445,0.0,0.0,13080733.10537314
2024-10-14 07:00:00,2024-10-14 07:00:00,249.69134375,1.28349221,772.56522984,3.97122879,81.13987415,0.41708453,392.13950747,5699.1841307,29.29560276,5170205.20824576,193817663.94516233,6686.55144861,34.37098198,743054.05015304,58694181.55545032,0.0,0.0,866533978.9277942,2464.27999127,12.66717587,18827.49480008,3500.64795476,17.99443386,16659485.56134449
2024-10-14 08:00:00,2024-10-14 08:00:00,163.95620308,0.44872063,537.84551515,1.47199297,31.30732121,0.08568289,61.40349039,5808.16972856,15.89598646,2524199.6621036,179291478.3721224,4266.37200598,11.67634467,298248.02233406,44004572.55924677,18017.67425415,49.31135269,2102738601.5731816,2288.35469473,6.26284302,7211.99439951,5424.91285419,14.84707667,11738879.60039345
