start_time,average_cap,date,delta_cap,market_cap,realized_cap,thermo_cap
2022-11-29,140259044560.03314,2022-11-29,247554169322.37372,316070384349.83795,387813213882.40686,46887415283.69875
2022-11-30,140296351080.31055,2022-11-30,247322334041.27567,329776167569.2352,387618685121.5862,46902452141.195984
2022-12-01,140332961887.8106,2022-12-01,247144703397.7829,326315863988.1388,387477665285.5935,46919273222.79797
2022-12-02,140370001796.4217,2022-12-02,246861482927.30917,328569777449.47095,387231484723.7309,46933010809.167435
2022-12-03,140406214593.27756,2022-12-03,246744330288.5482,324439648214.7616,387150544881.82574,46947297931.839035
2022-12-04,140443278871.19336,2022-12-04,246518779121.9726,328841003517.1315,386962057993.1659,46962478565.537315
2022-12-05,140479808389.5159,2022-12-05,245439939460.33212,326195879541.3122,385919747849.848,46978492944.084206
2022-12-06,140516783984.99817,2022-12-06,245068655812.9568,328537687012.41644,385585439797.95496,46993219276.29692
2022-12-07,140552793302.4948,2022-12-07,244968708008.56067,323696182090.3827,385521501311.0555,47011677574.29694
2022-12-08,140590245670.8196,2022-12-08,244759976957.46616,331110443339.10394,385350222628.28577,47029608552.13872
2022-12-09,140627336153.39636,2022-12-09,244415692677.60712,329343711503.82416,385043028831.0035,47046174619.39653
2022-12-10,140664412418.72726,2022-12-10,244388055637.41708,329345526687.6579,385052468056.14435,47062901239.27767
2022-12-11,140701320559.7629,2022-12-11,244243885260.40244,328563758431.3116,384945205820.16534,47078799715.82833
2022-12-12,140738662058.37845,2022-12-12,244119232628.96808,330844231510.11633,384857894687.34656,47094210087.32299
2022-12-13,140778151102.42038,2022-12-13,243888952656.8166,341856363363.9392,384667103759.237,47112503996.82581
2022-12-14,140817723982.03375,2022-12-14,243574259759.20023,342362399852.8421,384391983741.23395,47129292070.06325
2022-12-15,140855612242.77167,2022-12-15,243432179359.8992,333858412441.7853,384287791602.6709,47144904379.25841
2022-12-16,140890738428.4333,2022-12-16,243225092879.57288,319858654374.3585,384115831308.00616,47159110061.92015
2022-12-17,140926427001.06348,2022-12-17,243044284908.77164,322795393124.4458,383970711909.83514,47173805342.36949
2022-12-18,140961942623.34244,2022-12-18,242953486439.4643,321985069379.17706,383915429062.8067,47189166641.29268
2022-12-19,140996322630.31445,2022-12-19,242400823034.98535,316265598173.7333,383397145665.2998,47203644848.52263
2022-12-20,141032424291.94598,2022-12-20,242277844722.80704,325114796951.03033,383310269014.753,47218637479.86724
2022-12-21,141068231250.02982,2022-12-21,241976753715.06137,323683717477.5791,383044984965.0912,47233954190.49938
2022-12-22,141104024864.9074,2022-12-22,241813064392.76013,323687254355.5883,382917089257.66754,47248387060.82659
2022-12-23,141139639129.86172,2022-12-23,241632255100.34775,322843618926.80194,382771894230.2095,47262561208.66429
2022-12-24,141175455205.9905,2022-12-24,241525547010.84583,323944891691.13727,382701002216.8363,47272219029.30249
2022-12-25,141211254849.44507,2022-12-25,241296924288.63657,323932635041.5206,382508179138.0816,47287273882.18156
2022-12-26,141247366393.27423,2022-12-26,241223816319.53983,325596797641.1606,382471182712.8141,47301154492.132416
2022-12-27,141282675010.17432,2022-12-27,241008331119.8879,321568472901.9817,382291006130.06226,47313629375.05781
2022-12-28,141317378920.1022,2022-12-28,240463348552.8909,318550246921.84155,381780727472.9931,47331445279.82074
2022-12-29,141352389005.57132,2022-12-29,240057942266.38165,320183905581.778,381410331271.95294,47346411087.57409
2022-12-30,141387302763.0159,2022-12-30,239890374565.92712,319761689547.4128,381277677328.943,47363115816.37369
2022-12-31,141421907840.23935,2022-12-31,239071648974.77313,318253852452.0641,380493556815.0125,47379473003.590294
2023-01-01,141456823996.8992,2023-01-01,238988773973.20715,319913300685.4225,380445597970.1064,47395629067.61475
2023-01-02,141491966808.08997,2023-01-02,238939175061.26147,321142017615.3251,380431141869.35144,47412055577.728935
2023-01-03,141527088929.8552,2023-01-03,238749639698.37396,321106497515.4519,380276728628.2292,47428338095.95853
2023-01-04,141562852379.0793,2023-01-04,238510937170.0631,324457131711.23505,380073789549.14246,47443628232.68263
2023-01-05,141598553328.5557,2023-01-05,238356273824.35507,324208909900.2473,379954827152.9108,47460384122.75473
2023-01-06,141634683857.47595,2023-01-06,238115292506.5262,326478469813.5096,379749976364.0022,47479540715.20034
2023-01-07,141670753824.5864,2023-01-07,238006718281.5529,326240775528.73895,379677472106.1393,47495984981.936195
2023-01-08,141707527423.34677,2023-01-08,237945616041.0937,329914805878.88043,379653143464.4404,47512305864.98864
2023-01-09,141744491918.23904,2023-01-09,237904387341.90805,330965741271.80145,379648879260.1471,47528867305.75262
2023-01-10,141782417365.52536,2023-01-10,237678609799.3876,335960707471.39624,379461027164.91296,47547326275.2539
2023-01-11,141822228586.95013,2023-01-11,237338615453.21655,345695493503.2378,379160844040.1667,47563579906.07605
2023-01-12,141865412748.25372,2023-01-12,237473460924.3951,363054686945.2018,379338873672.64886,47581221678.9487
2023-01-13,141912658972.42606,2023-01-13,237644141612.91245,383955065407.31665,379556800585.3385,47600541637.08808
2023-01-14,141963738207.40317,2023-01-14,237883463481.93405,403693738230.16473,379847201689.3372,47623085093.97809
2023-01-15,142014496748.29233,2023-01-15,237916182607.6021,402152018805.17035,379930679355.8944,47644438738.73511
2023-01-16,142066414497.04266,2023-01-16,238057901081.6766,408196794591.2591,380124315578.7192,47663988210.486916
2023-01-17,142118148277.96722,2023-01-17,238272059551.33185,407357243078.295,380390207829.2991,47684929685.77001
2023-01-18,142168155906.52066,2023-01-18,238245939872.799,398607275128.5472,380414095779.3197,47703773259.40272
2023-01-19,142219618448.67377,2023-01-19,238094424776.06335,406170997151.8589,380314043224.7371,47723006873.67093
2023-01-20,142277069583.60352,2023-01-20,238229591271.35916,437001391773.2696,380506660854.9627,47741015961.669556
2023-01-21,142334876494.95145,2023-01-21,238446034671.35745,438942138621.1798,380780911166.3089,47761155539.627075
2023-01-22,142392405920.1134,2023-01-22,238545124556.04263,437633415851.34344,380937530476.15607,47782995214.83426
2023-01-23,142450682390.33963,2023-01-23,238603908685.7004,441583804061.4512,381054591076.04,47805886345.24675
2023-01-24,142507866030.3616,2023-01-24,238682080830.8543,436088673903.152,381189946861.2159,47824782448.38118
2023-01-25,142566662129.2066,2023-01-25,238754780425.3074,444484629698.35504,381321442554.5141,47849903898.28996
2023-01-26,142625222145.1054,2023-01-26,238546352339.36984,443389463801.398,381171574484.4753,47872532145.32692
