start_time,datetime,failed_transactions_count_total
2021-01-12 23:00:00,2021-01-12 23:00:00,6799
2021-01-13 00:00:00,2021-01-13 00:00:00,6892
2021-01-13 01:00:00,2021-01-13 01:00:00,5754
2021-01-13 02:00:00,2021-01-13 02:00:00,5635
2021-01-13 03:00:00,2021-01-13 03:00:00,3875
2021-01-13 04:00:00,2021-01-13 04:00:00,4213
2021-01-13 05:00:00,2021-01-13 05:00:00,4141
2021-01-13 06:00:00,2021-01-13 06:00:00,3892
2021-01-13 07:00:00,2021-01-13 07:00:00,4163
2021-01-13 08:00:00,2021-01-13 08:00:00,4803
2021-01-13 09:00:00,2021-01-13 09:00:00,4606
2021-01-13 10:00:00,2021-01-13 10:00:00,3943
2021-01-13 11:00:00,2021-01-13 11:00:00,3945
2021-01-13 12:00:00,2021-01-13 12:00:00,4388
2021-01-13 13:00:00,2021-01-13 13:00:00,5276
2021-01-13 14:00:00,2021-01-13 14:00:00,8454
2021-01-13 15:00:00,2021-01-13 15:00:00,9585
2021-01-13 16:00:00,2021-01-13 16:00:00,8929
2021-01-13 17:00:00,2021-01-13 17:00:00,8326
2021-01-13 18:00:00,2021-01-13 18:00:00,6844
2021-01-13 19:00:00,2021-01-13 19:00:00,6103
2021-01-13 20:00:00,2021-01-13 20:00:00,5851
2021-01-13 21:00:00,2021-01-13 21:00:00,4104
2021-01-13 22:00:00,2021-01-13 22:00:00,6203
2021-01-13 23:00:00,2021-01-13 23:00:00,6657
2021-01-14 00:00:00,2021-01-14 00:00:00,5821
2021-01-14 01:00:00,2021-01-14 01:00:00,5812
2021-01-14 02:00:00,2021-01-14 02:00:00,4535
2021-01-14 03:00:00,2021-01-14 03:00:00,4261
2021-01-14 04:00:00,2021-01-14 04:00:00,9579
2021-01-14 05:00:00,2021-01-14 05:00:00,7276
2021-01-14 06:00:00,2021-01-14 06:00:00,6175
2021-01-14 07:00:00,2021-01-14 07:00:00,5490
2021-01-14 08:00:00,2021-01-14 08:00:00,6254
2021-01-14 09:00:00,2021-01-14 09:00:00,5361
2021-01-14 10:00:00,2021-01-14 10:00:00,6857
2021-01-14 11:00:00,2021-01-14 11:00:00,4677
2021-01-14 12:00:00,2021-01-14 12:00:00,4359
2021-01-14 13:00:00,2021-01-14 13:00:00,6298
2021-01-14 14:00:00,2021-01-14 14:00:00,7475
2021-01-14 15:00:00,2021-01-14 15:00:00,10034
2021-01-14 16:00:00,2021-01-14 16:00:00,7753
2021-01-14 17:00:00,2021-01-14 17:00:00,6225
2021-01-14 18:00:00,2021-01-14 18:00:00,6089
2021-01-14 19:00:00,2021-01-14 19:00:00,5614
2021-01-14 20:00:00,2021-01-14 20:00:00,4732
2021-01-14 21:00:00,2021-01-14 21:00:00,6965
2021-01-14 22:00:00,2021-01-14 22:00:00,5720
2021-01-14 23:00:00,2021-01-14 23:00:00,5437
2021-01-15 00:00:00,2021-01-15 00:00:00,6773
2021-01-15 01:00:00,2021-01-15 01:00:00,6843
2021-01-15 02:00:00,2021-01-15 02:00:00,4072
2021-01-15 03:00:00,2021-01-15 03:00:00,5862
2021-01-15 04:00:00,2021-01-15 04:00:00,4310
2021-01-15 05:00:00,2021-01-15 05:00:00,4167
2021-01-15 06:00:00,2021-01-15 06:00:00,3776
2021-01-15 07:00:00,2021-01-15 07:00:00,4566
2021-01-15 08:00:00,2021-01-15 08:00:00,3689
2021-01-15 09:00:00,2021-01-15 09:00:00,3662
2021-01-15 10:00:00,2021-01-15 10:00:00,4316
2021-01-15 11:00:00,2021-01-15 11:00:00,5837
2021-01-15 12:00:00,2021-01-15 12:00:00,4359
2021-01-15 13:00:00,2021-01-15 13:00:00,6084
2021-01-15 14:00:00,2021-01-15 14:00:00,5904
2021-01-15 15:00:00,2021-01-15 15:00:00,9720
2021-01-15 16:00:00,2021-01-15 16:00:00,12475
2021-01-15 17:00:00,2021-01-15 17:00:00,7072
2021-01-15 18:00:00,2021-01-15 18:00:00,6623
2021-01-15 19:00:00,2021-01-15 19:00:00,5685
2021-01-15 20:00:00,2021-01-15 20:00:00,6262
2021-01-15 21:00:00,2021-01-15 21:00:00,5957
2021-01-15 22:00:00,2021-01-15 22:00:00,6469
2021-01-15 23:00:00,2021-01-15 23:00:00,6234
2021-01-16 00:00:00,2021-01-16 00:00:00,5977
2021-01-16 01:00:00,2021-01-16 01:00:00,5781
2021-01-16 02:00:00,2021-01-16 02:00:00,5035
2021-01-16 03:00:00,2021-01-16 03:00:00,4803
2021-01-16 04:00:00,2021-01-16 04:00:00,4467
2021-01-16 05:00:00,2021-01-16 05:00:00,5534
2021-01-16 06:00:00,2021-01-16 06:00:00,4217
2021-01-16 07:00:00,2021-01-16 07:00:00,4121
2021-01-16 08:00:00,2021-01-16 08:00:00,4715
2021-01-16 09:00:00,2021-01-16 09:00:00,4303
2021-01-16 10:00:00,2021-01-16 10:00:00,4615
2021-01-16 11:00:00,2021-01-16 11:00:00,3795
2021-01-16 12:00:00,2021-01-16 12:00:00,4733
2021-01-16 13:00:00,2021-01-16 13:00:00,3868
2021-01-16 14:00:00,2021-01-16 14:00:00,4985
2021-01-16 15:00:00,2021-01-16 15:00:00,5212
2021-01-16 16:00:00,2021-01-16 16:00:00,7133
2021-01-16 17:00:00,2021-01-16 17:00:00,5942
2021-01-16 18:00:00,2021-01-16 18:00:00,7482
2021-01-16 19:00:00,2021-01-16 19:00:00,7487
2021-01-16 20:00:00,2021-01-16 20:00:00,7720
2021-01-16 21:00:00,2021-01-16 21:00:00,7761
2021-01-16 22:00:00,2021-01-16 22:00:00,6835
2021-01-16 23:00:00,2021-01-16 23:00:00,6352
2021-01-17 00:00:00,2021-01-17 00:00:00,4931
2021-01-17 01:00:00,2021-01-17 01:00:00,6860
2021-01-17 02:00:00,2021-01-17 02:00:00,6113
2021-01-17 03:00:00,2021-01-17 03:00:00,4931
2021-01-17 04:00:00,2021-01-17 04:00:00,4876
2021-01-17 05:00:00,2021-01-17 05:00:00,4851
2021-01-17 06:00:00,2021-01-17 06:00:00,4132
2021-01-17 07:00:00,2021-01-17 07:00:00,4429
2021-01-17 08:00:00,2021-01-17 08:00:00,4701
2021-01-17 09:00:00,2021-01-17 09:00:00,4904
2021-01-17 10:00:00,2021-01-17 10:00:00,4892
2021-01-17 11:00:00,2021-01-17 11:00:00,3340
2021-01-17 12:00:00,2021-01-17 12:00:00,4253
2021-01-17 13:00:00,2021-01-17 13:00:00,3900
2021-01-17 14:00:00,2021-01-17 14:00:00,4446
2021-01-17 15:00:00,2021-01-17 15:00:00,4887
2021-01-17 16:00:00,2021-01-17 16:00:00,6783
2021-01-17 17:00:00,2021-01-17 17:00:00,6901
2021-01-17 18:00:00,2021-01-17 18:00:00,6135
2021-01-17 19:00:00,2021-01-17 19:00:00,6372
2021-01-17 20:00:00,2021-01-17 20:00:00,7195
2021-01-17 21:00:00,2021-01-17 21:00:00,7961
2021-01-17 22:00:00,2021-01-17 22:00:00,7176
2021-01-17 23:00:00,2021-01-17 23:00:00,5263
2021-01-18 00:00:00,2021-01-18 00:00:00,6697
2021-01-18 01:00:00,2021-01-18 01:00:00,6358
2021-01-18 02:00:00,2021-01-18 02:00:00,6406
2021-01-18 03:00:00,2021-01-18 03:00:00,5748
2021-01-18 04:00:00,2021-01-18 04:00:00,4413
2021-01-18 05:00:00,2021-01-18 05:00:00,8031
2021-01-18 06:00:00,2021-01-18 06:00:00,5611
2021-01-18 07:00:00,2021-01-18 07:00:00,4364
2021-01-18 08:00:00,2021-01-18 08:00:00,4558
2021-01-18 09:00:00,2021-01-18 09:00:00,5012
2021-01-18 10:00:00,2021-01-18 10:00:00,4944
2021-01-18 11:00:00,2021-01-18 11:00:00,4248
2021-01-18 12:00:00,2021-01-18 12:00:00,5232
2021-01-18 13:00:00,2021-01-18 13:00:00,4666
2021-01-18 14:00:00,2021-01-18 14:00:00,5312
2021-01-18 15:00:00,2021-01-18 15:00:00,5459
2021-01-18 16:00:00,2021-01-18 16:00:00,5636
2021-01-18 17:00:00,2021-01-18 17:00:00,4915
2021-01-18 18:00:00,2021-01-18 18:00:00,6479
2021-01-18 19:00:00,2021-01-18 19:00:00,6049
2021-01-18 20:00:00,2021-01-18 20:00:00,6003
2021-01-18 21:00:00,2021-01-18 21:00:00,6460
2021-01-18 22:00:00,2021-01-18 22:00:00,6182
2021-01-18 23:00:00,2021-01-18 23:00:00,7338
2021-01-19 00:00:00,2021-01-19 00:00:00,5316
2021-01-19 01:00:00,2021-01-19 01:00:00,5814
2021-01-19 02:00:00,2021-01-19 02:00:00,5050
2021-01-19 03:00:00,2021-01-19 03:00:00,7229
2021-01-19 04:00:00,2021-01-19 04:00:00,9044
2021-01-19 05:00:00,2021-01-19 05:00:00,4985
2021-01-19 06:00:00,2021-01-19 06:00:00,5006
2021-01-19 07:00:00,2021-01-19 07:00:00,5550
2021-01-19 08:00:00,2021-01-19 08:00:00,4271
2021-01-19 09:00:00,2021-01-19 09:00:00,3787
2021-01-19 10:00:00,2021-01-19 10:00:00,5338
2021-01-19 11:00:00,2021-01-19 11:00:00,5611
2021-01-19 12:00:00,2021-01-19 12:00:00,5198
2021-01-19 13:00:00,2021-01-19 13:00:00,4821
2021-01-19 14:00:00,2021-01-19 14:00:00,4812
2021-01-19 15:00:00,2021-01-19 15:00:00,5349
2021-01-19 16:00:00,2021-01-19 16:00:00,6031
2021-01-19 17:00:00,2021-01-19 17:00:00,5907
2021-01-19 18:00:00,2021-01-19 18:00:00,5383
