start_time,datetime,staking_validator_total
2021-01-16 21:00:00,2021-01-16 21:00:00,79165
2021-01-16 22:00:00,2021-01-16 22:00:00,79212
2021-01-16 23:00:00,2021-01-16 23:00:00,79216
2021-01-17 00:00:00,2021-01-17 00:00:00,79260
2021-01-17 01:00:00,2021-01-17 01:00:00,79262
2021-01-17 02:00:00,2021-01-17 02:00:00,79265
2021-01-17 03:00:00,2021-01-17 03:00:00,79269
2021-01-17 04:00:00,2021-01-17 04:00:00,79272
2021-01-17 05:00:00,2021-01-17 05:00:00,79274
2021-01-17 06:00:00,2021-01-17 06:00:00,79277
2021-01-17 07:00:00,2021-01-17 07:00:00,79278
2021-01-17 08:00:00,2021-01-17 08:00:00,79285
2021-01-17 09:00:00,2021-01-17 09:00:00,79320
2021-01-17 10:00:00,2021-01-17 10:00:00,79324
2021-01-17 11:00:00,2021-01-17 11:00:00,79326
2021-01-17 12:00:00,2021-01-17 12:00:00,79330
2021-01-17 13:00:00,2021-01-17 13:00:00,79335
2021-01-17 14:00:00,2021-01-17 14:00:00,79339
2021-01-17 15:00:00,2021-01-17 15:00:00,79348
2021-01-17 16:00:00,2021-01-17 16:00:00,79362
2021-01-17 17:00:00,2021-01-17 17:00:00,79369
2021-01-17 18:00:00,2021-01-17 18:00:00,79381
2021-01-17 19:00:00,2021-01-17 19:00:00,79398
2021-01-17 20:00:00,2021-01-17 20:00:00,79401
2021-01-17 21:00:00,2021-01-17 21:00:00,79409
2021-01-17 22:00:00,2021-01-17 22:00:00,79415
2021-01-17 23:00:00,2021-01-17 23:00:00,79421
2021-01-18 00:00:00,2021-01-18 00:00:00,79424
2021-01-18 01:00:00,2021-01-18 01:00:00,79429
2021-01-18 02:00:00,2021-01-18 02:00:00,79435
2021-01-18 03:00:00,2021-01-18 03:00:00,79762
2021-01-18 04:00:00,2021-01-18 04:00:00,79904
2021-01-18 05:00:00,2021-01-18 05:00:00,80141
2021-01-18 06:00:00,2021-01-18 06:00:00,80404
2021-01-18 07:00:00,2021-01-18 07:00:00,80406
2021-01-18 08:00:00,2021-01-18 08:00:00,80408
2021-01-18 09:00:00,2021-01-18 09:00:00,80413
2021-01-18 10:00:00,2021-01-18 10:00:00,80418
2021-01-18 11:00:00,2021-01-18 11:00:00,80429
2021-01-18 12:00:00,2021-01-18 12:00:00,80489
2021-01-18 13:00:00,2021-01-18 13:00:00,80655
2021-01-18 14:00:00,2021-01-18 14:00:00,80818
2021-01-18 15:00:00,2021-01-18 15:00:00,80834
2021-01-18 16:00:00,2021-01-18 16:00:00,80956
2021-01-18 17:00:00,2021-01-18 17:00:00,81022
2021-01-18 18:00:00,2021-01-18 18:00:00,81026
2021-01-18 19:00:00,2021-01-18 19:00:00,81032
2021-01-18 20:00:00,2021-01-18 20:00:00,81037
2021-01-18 21:00:00,2021-01-18 21:00:00,81056
2021-01-18 22:00:00,2021-01-18 22:00:00,81058
2021-01-18 23:00:00,2021-01-18 23:00:00,81075
2021-01-19 00:00:00,2021-01-19 00:00:00,81082
2021-01-19 01:00:00,2021-01-19 01:00:00,81101
2021-01-19 02:00:00,2021-01-19 02:00:00,81103
2021-01-19 03:00:00,2021-01-19 03:00:00,81106
2021-01-19 04:00:00,2021-01-19 04:00:00,81125
2021-01-19 05:00:00,2021-01-19 05:00:00,81303
2021-01-19 06:00:00,2021-01-19 06:00:00,81485
2021-01-19 07:00:00,2021-01-19 07:00:00,81673
2021-01-19 08:00:00,2021-01-19 08:00:00,81885
2021-01-19 09:00:00,2021-01-19 09:00:00,82165
2021-01-19 10:00:00,2021-01-19 10:00:00,82580
2021-01-19 11:00:00,2021-01-19 11:00:00,82758
2021-01-19 12:00:00,2021-01-19 12:00:00,83201
2021-01-19 13:00:00,2021-01-19 13:00:00,83363
2021-01-19 14:00:00,2021-01-19 14:00:00,83740
2021-01-19 15:00:00,2021-01-19 15:00:00,84311
2021-01-19 16:00:00,2021-01-19 16:00:00,84359
2021-01-19 17:00:00,2021-01-19 17:00:00,84364
