start_time,datetime,tokens_transferred_mean,tokens_transferred_median,tokens_transferred_total
2021-01-05 15:00:00,2021-01-05 15:00:00,7.19009921,0.04,51517.06084863
2021-01-05 16:00:00,2021-01-05 16:00:00,5.40339358,0.02982644,97579.88470566
2021-01-05 17:00:00,2021-01-05 17:00:00,4.94275945,0.02509157,132223.75807904
2021-01-05 18:00:00,2021-01-05 18:00:00,6.67268871,0.03666353,79751.97540588
2021-01-05 19:00:00,2021-01-05 19:00:00,6.28630781,0.03379423,67351.50187906
2021-01-05 20:00:00,2021-01-05 20:00:00,4.55408553,0.03270889,61361.74842106
2021-01-05 21:00:00,2021-01-05 21:00:00,5.06164142,0.02537055,114347.54133859
2021-01-05 22:00:00,2021-01-05 22:00:00,9.25521912,0.02977163,142974.62502419
2021-01-05 23:00:00,2021-01-05 23:00:00,6.86597807,0.02507064,104486.45426204
2021-01-06 00:00:00,2021-01-06 00:00:00,3.41751332,0.02011402,73022.00716713
2021-01-06 01:00:00,2021-01-06 01:00:00,3.95447017,0.02034909,52325.54924018
2021-01-06 02:00:00,2021-01-06 02:00:00,17.94468509,0.02756131,83335.11755071
2021-01-06 03:00:00,2021-01-06 03:00:00,3.17300563,0.02260883,62397.15569288
2021-01-06 04:00:00,2021-01-06 04:00:00,7.33435464,0.04694738,62899.42535652
2021-01-06 05:00:00,2021-01-06 05:00:00,7.55591487,0.02107386,128140.7602198
2021-01-06 06:00:00,2021-01-06 06:00:00,4.92806556,0.01427013,107008.01565842
2021-01-06 07:00:00,2021-01-06 07:00:00,3.93716446,0.04222766,47974.34900588
2021-01-06 08:00:00,2021-01-06 08:00:00,4.32373701,0.0214992,77520.28086285
2021-01-06 09:00:00,2021-01-06 09:00:00,5.73251081,0.02223675,97819.56449277
2021-01-06 10:00:00,2021-01-06 10:00:00,3.2104457,0.01793493,58455.79533429
2021-01-06 11:00:00,2021-01-06 11:00:00,2.28041252,0.02007807,45674.38246076
2021-01-06 12:00:00,2021-01-06 12:00:00,4.72715636,0.04351871,35411.12830537
2021-01-06 13:00:00,2021-01-06 13:00:00,4.11544085,0.02986409,92724.99777715
2021-01-06 14:00:00,2021-01-06 14:00:00,8.05978914,0.0357228,99627.05359327
2021-01-06 15:00:00,2021-01-06 15:00:00,8.75268175,0.03217301,163351.29942223
2021-01-06 16:00:00,2021-01-06 16:00:00,7.46510587,0.024629,150653.30160594
2021-01-06 17:00:00,2021-01-06 17:00:00,3.01970812,0.02228938,62725.37712579
2021-01-06 18:00:00,2021-01-06 18:00:00,5.21308412,0.0230863,88445.18522082
2021-01-06 19:00:00,2021-01-06 19:00:00,6.69773547,0.02431154,122655.62961147
2021-01-06 20:00:00,2021-01-06 20:00:00,6.52987382,0.02719447,97706.50194289
2021-01-06 21:00:00,2021-01-06 21:00:00,6.68887043,0.02826298,83249.68143218
2021-01-06 22:00:00,2021-01-06 22:00:00,6.77923821,0.02231713,144472.34555051
2021-01-06 23:00:00,2021-01-06 23:00:00,4.72279803,0.01427267,92741.5849195
2021-01-07 00:00:00,2021-01-07 00:00:00,3.36293402,0.02438696,55400.97508379
2021-01-07 01:00:00,2021-01-07 01:00:00,6.87440033,0.01554496,163143.26864986
2021-01-07 02:00:00,2021-01-07 02:00:00,16.50345243,0.04045722,127868.74942471
2021-01-07 03:00:00,2021-01-07 03:00:00,6.17374329,0.02375083,76535.8955517
