longShortRatio,shortAccount,time,longAccount,low,high,open,volume,close
3.94,20.26,1637712000,79.74,55900.0,57775.27,57574.24,194683.757,57165.08
4.12,19.54,1637798400,80.46,57029.0,59449.62,57165.09,191912.653,58988.21
3.34,23.04,1637884800,76.96,53500.0,59186.41,58988.36,378650.919,53755.65
5.69,14.94,1637971200,85.06,53640.69,55300.0,53755.66,155119.117,54738.77
5.09,16.42,1638057600,83.58,53245.0,57474.76,54738.77,213600.615,57315.73
4.33,18.77,1638144000,81.23,56715.0,58924.21,57315.72,215111.466,57827.98
3.1,24.38,1638230400,75.62,55900.0,59224.99,57827.97,337624.148,56975.0
4.02,19.91,1638316800,80.09,56500.0,59100.0,56978.06,273959.104,57209.29
4.31,18.82,1638403200,81.18,55800.0,57428.49,57209.28,249985.255,56513.57
4.63,17.75,1638489600,82.25,50604.0,57670.0,56513.56,374132.016,53612.0
5.78,14.74,1638576000,85.26,40888.89,53889.69,53611.86,598774.989,49135.66
2.81,26.25,1638662400,73.75,47755.0,49699.49,49135.66,286434.382,49376.6
2.03,33.06,1638748800,66.94,47000.0,50888.0,49373.83,357711.029,50424.72
1.81,35.62,1638835200,64.38,50012.0,51929.0,50424.72,224670.618,50577.2
1.63,37.99,1638921600,62.01,48533.33,51210.6,50577.2,238229.884,50455.61
1.91,34.36,1639008000,65.64,47312.89,50773.03,50459.61,273086.086,47539.76
2.36,29.74,1639094400,70.26,46828.23,50188.42,47539.34,302974.429,47136.35
2.28,30.46,1639180800,69.54,46724.35,49499.05,47132.31,210959.992,49381.15
1.74,36.52,1639267200,63.48,48616.16,50768.0,49379.51,183434.285,50057.01
1.42,41.28,1639353600,58.72,45600.0,50180.0,50057.02,348551.322,46679.93
2.46,28.89,1639440000,71.11,46255.6,48657.92,46679.93,266213.627,48324.04
2.0,33.36,1639526400,66.64,46518.73,49479.75,48324.0,345239.891,48870.48
1.86,34.94,1639612800,65.06,47500.0,49439.79,48870.48,215874.187,47624.5
2.23,30.98,1639699200,69.02,45373.11,47988.27,47629.1,326458.135,46125.33
3.23,23.63,1639785600,76.37,45438.43,47336.99,46125.33,191006.415,46815.99
2.87,25.85,1639872000,74.15,46399.37,48461.17,46815.99,241698.541,46668.63
2.82,26.17,1639958400,73.83,45530.67,47533.42,46668.65,273804.259,46898.14
2.49,28.66,1640044800,71.34,46650.0,49298.78,46896.82,260008.358,48875.15
1.33,42.97,1640131200,57.03,48420.02,49599.0,48875.88,208463.689,48569.69
1.66,37.57,1640217600,62.43,48020.0,51377.74,48569.69,255885.48,50817.92
1.66,37.57,1640304000,62.43,50379.25,51805.0,50817.94,220208.725,50808.55
1.7,37.04,1640390400,62.96,50105.0,51190.0,50809.37,147662.438,50403.64
2.01,33.2,1640476800,66.8,49350.0,51300.0,50403.64,184800.616,50765.73
2.17,31.54,1640563200,68.46,50450.0,52134.0,50765.73,216225.263,50707.72
1.94,33.97,1640649600,66.03,47290.0,50713.56,50707.72,336083.34,47522.03
3.1,24.4,1640736000,75.6,46000.0,48125.97,47522.02,274795.378,46436.54
3.21,23.77,1640822400,76.23,45880.0,47911.68,46436.53,229931.288,47095.02
2.88,25.78,1640908800,74.22,45650.0,48575.0,47095.02,287186.003,46210.56
3.72,21.19,1640995200,78.81,46210.55,47943.77,46210.57,179433.584,47704.35
2.84,26.02,1641081600,73.98,46605.68,48000.0,47704.35,184795.093,47280.0
2.89,25.7,1641168000,74.3,45665.4,47575.22,47280.01,244781.793,46445.81
4.37,18.63,1641254400,81.37,45445.57,47524.36,46445.8,292149.75,45833.42
4.17,19.35,1641340800,80.65,42270.0,47075.29,45833.41,485477.569,43421.69
3.78,20.91,1641427200,79.09,42385.83,43766.0,43421.7,299509.851,43080.01
3.74,21.12,1641513600,78.88,40456.56,43135.0,43080.01,473214.849,41553.86
