start_time,bank_supply_ratio,date
2021-08-14,0.00391785,2021-08-14
2021-08-15,0.00391761,2021-08-15
2021-08-16,0.0039174,2021-08-16
2021-08-17,0.00391718,2021-08-17
2021-08-18,0.003917,2021-08-18
2021-08-19,0.0039168,2021-08-19
2021-08-20,0.00391659,2021-08-20
2021-08-21,0.00391637,2021-08-21
2021-08-22,0.00391616,2021-08-22
2021-08-23,0.0039159,2021-08-23
2021-08-24,0.0039157,2021-08-24
2021-08-25,0.00391549,2021-08-25
2021-08-26,0.0039153,2021-08-26
2021-08-27,0.00391511,2021-08-27
2021-08-28,0.00391491,2021-08-28
2021-08-29,0.00391471,2021-08-29
2021-08-30,0.00391453,2021-08-30
2021-08-31,0.00391435,2021-08-31
2021-09-01,0.00391417,2021-09-01
2021-09-02,0.00391397,2021-09-02
2021-09-03,0.00391378,2021-09-03
2021-09-04,0.00391358,2021-09-04
2021-09-05,0.00391337,2021-09-05
2021-09-06,0.00391314,2021-09-06
2021-09-07,0.00391294,2021-09-07
2021-09-08,0.00391276,2021-09-08
2021-09-09,0.00391258,2021-09-09
2021-09-10,0.0039124,2021-09-10
2021-09-11,0.00391221,2021-09-11
2021-09-12,0.00391202,2021-09-12
2021-09-13,0.00391182,2021-09-13
2021-09-14,0.0039116,2021-09-14
2021-09-15,0.00391141,2021-09-15
2021-09-16,0.00391124,2021-09-16
2021-09-17,0.00391105,2021-09-17
2021-09-18,0.00391084,2021-09-18
2021-09-19,0.00391063,2021-09-19
2021-09-20,0.00391042,2021-09-20
2021-09-21,0.00391026,2021-09-21
2021-09-22,0.00391009,2021-09-22
2021-09-23,0.00390987,2021-09-23
2021-09-24,0.00390968,2021-09-24
2021-09-25,0.00390949,2021-09-25
2021-09-26,0.00390931,2021-09-26
2021-09-27,0.00390911,2021-09-27
2021-09-28,0.00390892,2021-09-28
2021-09-29,0.00390875,2021-09-29
2021-09-30,0.00390853,2021-09-30
2021-10-01,0.00390834,2021-10-01
2021-10-02,0.0039081,2021-10-02
2021-10-03,0.00390791,2021-10-03
2021-10-04,0.0039077,2021-10-04
2021-10-05,0.00390749,2021-10-05
2021-10-06,0.00390732,2021-10-06
2021-10-07,0.00390714,2021-10-07
2021-10-08,0.00390698,2021-10-08
2021-10-09,0.00390679,2021-10-09
2021-10-10,0.00390658,2021-10-10
2021-10-11,0.00390639,2021-10-11
2021-10-12,0.00390622,2021-10-12
2021-10-13,0.003906,2021-10-13
2021-10-14,0.00390582,2021-10-14
2021-10-15,0.00390564,2021-10-15
2021-10-16,0.00390547,2021-10-16
2021-10-17,0.00390526,2021-10-17
2021-10-18,0.00390507,2021-10-18
2021-10-19,0.00390487,2021-10-19
2021-10-20,0.00390468,2021-10-20
2021-10-21,0.00390448,2021-10-21
2021-10-22,0.00390428,2021-10-22
2021-10-23,0.00390409,2021-10-23
2021-10-24,0.00390389,2021-10-24
2021-10-25,0.00390366,2021-10-25
2021-10-26,0.00390347,2021-10-26
2021-10-27,0.00390326,2021-10-27
2021-10-28,0.00390306,2021-10-28
2021-10-29,0.00390284,2021-10-29
2021-10-30,0.00390264,2021-10-30
2021-10-31,0.00390246,2021-10-31
2021-11-01,0.00390227,2021-11-01
2021-11-02,0.00390207,2021-11-02
2021-11-03,0.00390186,2021-11-03
2021-11-04,0.00390167,2021-11-04
2021-11-05,0.00390147,2021-11-05
2021-11-06,0.00390127,2021-11-06
2021-11-07,0.00390108,2021-11-07
2021-11-08,0.0039009,2021-11-08
2021-11-09,0.0039007,2021-11-09
2021-11-10,0.00390051,2021-11-10
2021-11-11,0.00390031,2021-11-11
2021-11-12,0.00390012,2021-11-12
2021-11-13,0.00389993,2021-11-13
2021-11-14,0.00389973,2021-11-14
2021-11-15,0.00389953,2021-11-15
2021-11-16,0.00389934,2021-11-16
2021-11-17,0.00389914,2021-11-17
2021-11-18,0.00389896,2021-11-18
2021-11-19,0.00389878,2021-11-19
2021-11-20,0.00389859,2021-11-20
2021-11-21,0.00389843,2021-11-21
2021-11-22,0.00389824,2021-11-22
2021-11-23,0.00389807,2021-11-23
2021-11-24,0.00389787,2021-11-24
2021-11-25,0.0038977,2021-11-25
2021-11-26,0.00389753,2021-11-26
2021-11-27,0.00389735,2021-11-27
2021-11-28,0.00389717,2021-11-28
2021-11-29,0.00389698,2021-11-29
2021-11-30,0.00389681,2021-11-30
2021-12-01,0.00389663,2021-12-01
2021-12-02,0.00389643,2021-12-02
2021-12-03,0.00389622,2021-12-03
2021-12-04,0.00389602,2021-12-04
2021-12-05,0.0038958,2021-12-05
2021-12-06,0.00389558,2021-12-06
2021-12-07,0.00389538,2021-12-07
2021-12-08,0.00389517,2021-12-08
2021-12-09,0.00389496,2021-12-09
2021-12-10,0.00389475,2021-12-10
2021-12-11,0.00389456,2021-12-11
2021-12-12,0.00389438,2021-12-12
2021-12-13,0.0038942,2021-12-13
2021-12-14,0.00389401,2021-12-14
2021-12-15,0.00389383,2021-12-15
2021-12-16,0.00389368,2021-12-16
2021-12-17,0.00389349,2021-12-17
2021-12-18,0.00389332,2021-12-18
2021-12-19,0.00389313,2021-12-19
2021-12-20,0.00389294,2021-12-20
2021-12-21,0.00389274,2021-12-21
2021-12-22,0.0038926,2021-12-22
2021-12-23,0.00389235,2021-12-23
2021-12-24,0.00389216,2021-12-24
2021-12-25,0.00389197,2021-12-25
2021-12-26,0.0038918,2021-12-26
2021-12-27,0.00389161,2021-12-27
2021-12-28,0.00389143,2021-12-28
2021-12-29,0.00389125,2021-12-29
2021-12-30,0.00389109,2021-12-30
2021-12-31,0.0038909,2021-12-31
2022-01-01,0.00389068,2022-01-01
2022-01-02,0.00389048,2022-01-02
2022-01-03,0.0038903,2022-01-03
2022-01-04,0.00616283,2022-01-04
2022-01-05,0.00616252,2022-01-05
2022-01-06,0.00616223,2022-01-06
2022-01-07,0.00616194,2022-01-07
2022-01-08,0.00616165,2022-01-08
2022-01-09,0.00616136,2022-01-09
2022-01-10,0.00616107,2022-01-10
2022-01-11,0.00616075,2022-01-11
2022-01-12,0.00616047,2022-01-12
2022-01-13,0.0061601,2022-01-13
2022-01-14,0.00615978,2022-01-14
2022-01-15,0.00615944,2022-01-15
2022-01-16,0.00615909,2022-01-16
2022-01-17,0.00615876,2022-01-17
2022-01-18,0.00615848,2022-01-18
2022-01-19,0.00615813,2022-01-19
2022-01-20,0.00615779,2022-01-20
2022-01-21,0.00615751,2022-01-21
2022-01-22,0.00615724,2022-01-22
2022-01-23,0.00615696,2022-01-23
2022-01-24,0.00615665,2022-01-24
2022-01-25,0.00615634,2022-01-25
2022-01-26,0.00615608,2022-01-26
2022-01-27,0.00615581,2022-01-27
2022-01-28,0.0061555,2022-01-28
2022-01-29,0.0061552,2022-01-29
2022-01-30,0.0061549,2022-01-30
2022-01-31,0.00615461,2022-01-31
2022-02-01,0.0061543,2022-02-01
2022-02-02,0.00615399,2022-02-02
2022-02-03,0.00615369,2022-02-03
2022-02-04,0.00615342,2022-02-04
2022-02-05,0.00615318,2022-02-05
2022-02-06,0.00615287,2022-02-06
2022-02-07,0.00615259,2022-02-07
2022-02-08,0.00615228,2022-02-08
2022-02-09,0.00615199,2022-02-09
2022-02-10,0.0061517,2022-02-10
2022-02-11,0.00615141,2022-02-11
2022-02-12,0.00615103,2022-02-12
2022-02-13,0.00615071,2022-02-13
2022-02-14,0.0061504,2022-02-14
2022-02-15,0.00615004,2022-02-15
2022-02-16,0.00614973,2022-02-16
2022-02-17,0.00614941,2022-02-17
2022-02-18,0.00614914,2022-02-18
2022-02-19,0.00614883,2022-02-19
2022-02-20,0.00614854,2022-02-20
2022-02-21,0.00614829,2022-02-21
2022-02-22,0.00614799,2022-02-22
2022-02-23,0.00614768,2022-02-23
2022-02-24,0.00614741,2022-02-24
2022-02-25,0.00614714,2022-02-25
2022-02-26,0.00614689,2022-02-26
2022-02-27,0.00614661,2022-02-27
2022-02-28,0.0061463,2022-02-28
2022-03-01,0.00614597,2022-03-01
2022-03-02,0.0061457,2022-03-02
2022-03-03,0.0061454,2022-03-03
2022-03-04,0.00614512,2022-03-04
2022-03-05,0.00614487,2022-03-05
2022-03-06,0.0061446,2022-03-06
2022-03-07,0.0061443,2022-03-07
2022-03-08,0.00614401,2022-03-08
2022-03-09,0.00614373,2022-03-09
2022-03-10,0.00614343,2022-03-10
2022-03-11,0.00614315,2022-03-11
2022-03-12,0.00614284,2022-03-12
2022-03-13,0.00614253,2022-03-13
2022-03-14,0.00614222,2022-03-14
2022-03-15,0.00614194,2022-03-15
2022-03-16,0.00614163,2022-03-16
2022-03-17,0.00614131,2022-03-17
2022-03-18,0.00614102,2022-03-18
2022-03-19,0.0061407,2022-03-19
2022-03-20,0.00614039,2022-03-20
2022-03-21,0.00614008,2022-03-21
2022-03-22,0.00613978,2022-03-22
2022-03-23,0.00613949,2022-03-23
2022-03-24,0.0061392,2022-03-24
2022-03-25,0.00613889,2022-03-25
