start_time,datetime,phase0_success_rate
2021-01-06 08:00:00,2021-01-06 08:00:00,434.45
2021-01-06 09:00:00,2021-01-06 09:00:00,434.52
2021-01-06 10:00:00,2021-01-06 10:00:00,434.85
2021-01-06 11:00:00,2021-01-06 11:00:00,434.94
2021-01-06 12:00:00,2021-01-06 12:00:00,434.99
2021-01-06 13:00:00,2021-01-06 13:00:00,435.04
2021-01-06 14:00:00,2021-01-06 14:00:00,435.08
2021-01-06 15:00:00,2021-01-06 15:00:00,435.32
2021-01-06 16:00:00,2021-01-06 16:00:00,435.45
2021-01-06 17:00:00,2021-01-06 17:00:00,435.6
2021-01-06 18:00:00,2021-01-06 18:00:00,435.72
2021-01-06 19:00:00,2021-01-06 19:00:00,435.87
2021-01-06 20:00:00,2021-01-06 20:00:00,436.06
2021-01-06 21:00:00,2021-01-06 21:00:00,436.11
2021-01-06 22:00:00,2021-01-06 22:00:00,436.15
2021-01-06 23:00:00,2021-01-06 23:00:00,436.17
2021-01-07 00:00:00,2021-01-07 00:00:00,437.07
2021-01-07 01:00:00,2021-01-07 01:00:00,438.32
2021-01-07 02:00:00,2021-01-07 02:00:00,438.39
2021-01-07 03:00:00,2021-01-07 03:00:00,438.43
2021-01-07 04:00:00,2021-01-07 04:00:00,438.48
2021-01-07 05:00:00,2021-01-07 05:00:00,438.55
2021-01-07 06:00:00,2021-01-07 06:00:00,438.65
2021-01-07 07:00:00,2021-01-07 07:00:00,438.66
2021-01-07 08:00:00,2021-01-07 08:00:00,438.72
2021-01-07 09:00:00,2021-01-07 09:00:00,438.78
2021-01-07 10:00:00,2021-01-07 10:00:00,438.82
2021-01-07 11:00:00,2021-01-07 11:00:00,438.91
2021-01-07 12:00:00,2021-01-07 12:00:00,438.98
2021-01-07 13:00:00,2021-01-07 13:00:00,439.08
2021-01-07 14:00:00,2021-01-07 14:00:00,439.11
2021-01-07 15:00:00,2021-01-07 15:00:00,439.19
2021-01-07 16:00:00,2021-01-07 16:00:00,439.28
2021-01-07 17:00:00,2021-01-07 17:00:00,439.33
2021-01-07 18:00:00,2021-01-07 18:00:00,439.34
2021-01-07 19:00:00,2021-01-07 19:00:00,439.43
2021-01-07 20:00:00,2021-01-07 20:00:00,439.52
2021-01-07 21:00:00,2021-01-07 21:00:00,439.69
2021-01-07 22:00:00,2021-01-07 22:00:00,439.78
2021-01-07 23:00:00,2021-01-07 23:00:00,439.83
2021-01-08 00:00:00,2021-01-08 00:00:00,439.86
2021-01-08 01:00:00,2021-01-08 01:00:00,439.88
2021-01-08 02:00:00,2021-01-08 02:00:00,440.02
2021-01-08 03:00:00,2021-01-08 03:00:00,440.58
2021-01-08 04:00:00,2021-01-08 04:00:00,441.34
2021-01-08 05:00:00,2021-01-08 05:00:00,441.41
2021-01-08 06:00:00,2021-01-08 06:00:00,441.42
2021-01-08 07:00:00,2021-01-08 07:00:00,441.44
2021-01-08 08:00:00,2021-01-08 08:00:00,441.46
2021-01-08 09:00:00,2021-01-08 09:00:00,441.94
2021-01-08 10:00:00,2021-01-08 10:00:00,442.0
2021-01-08 11:00:00,2021-01-08 11:00:00,442.05
2021-01-08 12:00:00,2021-01-08 12:00:00,442.11
2021-01-08 13:00:00,2021-01-08 13:00:00,442.22
2021-01-08 14:00:00,2021-01-08 14:00:00,442.57
2021-01-08 15:00:00,2021-01-08 15:00:00,443.52
2021-01-08 16:00:00,2021-01-08 16:00:00,443.71
2021-01-08 17:00:00,2021-01-08 17:00:00,443.78
2021-01-08 18:00:00,2021-01-08 18:00:00,443.97
2021-01-08 19:00:00,2021-01-08 19:00:00,444.41
2021-01-08 20:00:00,2021-01-08 20:00:00,444.52
2021-01-08 21:00:00,2021-01-08 21:00:00,444.7
2021-01-08 22:00:00,2021-01-08 22:00:00,444.92
2021-01-08 23:00:00,2021-01-08 23:00:00,444.98
2021-01-09 00:00:00,2021-01-09 00:00:00,445.0
2021-01-09 01:00:00,2021-01-09 01:00:00,445.71
2021-01-09 02:00:00,2021-01-09 02:00:00,445.75
2021-01-09 03:00:00,2021-01-09 03:00:00,445.77
2021-01-09 04:00:00,2021-01-09 04:00:00,445.89
2021-01-09 05:00:00,2021-01-09 05:00:00,445.94
2021-01-09 06:00:00,2021-01-09 06:00:00,446.04
2021-01-09 07:00:00,2021-01-09 07:00:00,446.24
2021-01-09 08:00:00,2021-01-09 08:00:00,446.32
2021-01-09 09:00:00,2021-01-09 09:00:00,446.47
2021-01-09 10:00:00,2021-01-09 10:00:00,446.68
2021-01-09 11:00:00,2021-01-09 11:00:00,446.73
2021-01-09 12:00:00,2021-01-09 12:00:00,446.79
2021-01-09 13:00:00,2021-01-09 13:00:00,446.83
2021-01-09 14:00:00,2021-01-09 14:00:00,446.95
2021-01-09 15:00:00,2021-01-09 15:00:00,447.03
2021-01-09 16:00:00,2021-01-09 16:00:00,447.53
2021-01-09 17:00:00,2021-01-09 17:00:00,447.58
2021-01-09 18:00:00,2021-01-09 18:00:00,447.61
2021-01-09 19:00:00,2021-01-09 19:00:00,447.71
2021-01-09 20:00:00,2021-01-09 20:00:00,447.79
2021-01-09 21:00:00,2021-01-09 21:00:00,447.83
2021-01-09 22:00:00,2021-01-09 22:00:00,447.94
2021-01-09 23:00:00,2021-01-09 23:00:00,447.97
2021-01-10 00:00:00,2021-01-10 00:00:00,448.05
2021-01-10 01:00:00,2021-01-10 01:00:00,448.11
2021-01-10 02:00:00,2021-01-10 02:00:00,448.14
2021-01-10 03:00:00,2021-01-10 03:00:00,448.16
2021-01-10 04:00:00,2021-01-10 04:00:00,448.29
2021-01-10 05:00:00,2021-01-10 05:00:00,448.34
2021-01-10 06:00:00,2021-01-10 06:00:00,448.35
2021-01-10 07:00:00,2021-01-10 07:00:00,448.38
2021-01-10 08:00:00,2021-01-10 08:00:00,448.38
2021-01-10 09:00:00,2021-01-10 09:00:00,448.43
2021-01-10 10:00:00,2021-01-10 10:00:00,448.49
2021-01-10 11:00:00,2021-01-10 11:00:00,448.53
2021-01-10 12:00:00,2021-01-10 12:00:00,448.57
