start_time,datetime,fees_block_mean,fees_block_mean_usd,fees_reward_percent,fees_total,fees_total_usd
2021-01-04 09:00:00,2021-01-04 09:00:00,0.4414433,13864.86624526,0.06597131,4.41443295,138648.66245258
2021-01-04 10:00:00,2021-01-04 10:00:00,0.72482576,21322.42916368,0.10392027,4.34895457,127934.57498206
2021-01-04 11:00:00,2021-01-04 11:00:00,0.61572621,18540.95253403,0.08968115,4.31008349,129786.66773824
2021-01-04 12:00:00,2021-01-04 12:00:00,0.81751912,25359.0212117,0.11567271,6.54015293,202872.1696936
2021-01-04 13:00:00,2021-01-04 13:00:00,0.96048349,29886.07062452,0.13320653,4.80241746,149430.35312258
2021-01-04 14:00:00,2021-01-04 14:00:00,0.90592384,28851.9865937,0.12659775,5.43554303,173111.91956221
2021-01-04 15:00:00,2021-01-04 15:00:00,0.81591863,26047.16688416,0.11547241,6.52734907,208377.33507331
2021-01-04 16:00:00,2021-01-04 16:00:00,0.89513967,27996.33996714,0.12527952,4.47569833,139981.69983572
2021-01-04 17:00:00,2021-01-04 17:00:00,0.94438358,29393.54970364,0.13126678,3.77753434,117574.19881455
2021-01-04 18:00:00,2021-01-04 18:00:00,0.82956233,25837.06473109,0.11717706,8.29562326,258370.64731089
2021-01-04 19:00:00,2021-01-04 19:00:00,0.73328507,23067.63712948,0.10500575,6.59956566,207608.73416528
2021-01-04 20:00:00,2021-01-04 20:00:00,0.80987868,25490.99213544,0.11471567,5.66915079,178436.94494805
2021-01-04 21:00:00,2021-01-04 21:00:00,0.76754684,23883.69017446,0.10937538,6.1403747,191069.52139566
2021-01-04 22:00:00,2021-01-04 22:00:00,0.65546312,20421.58172142,0.0949195,3.93277875,122529.49032852
2021-01-04 23:00:00,2021-01-04 23:00:00,0.77027661,24302.64562109,0.10972169,5.3919363,170118.51934766
2021-01-05 00:00:00,2021-01-05 00:00:00,0.57213973,18589.70275171,0.08386514,5.14925753,167307.32476542
2021-01-05 01:00:00,2021-01-05 01:00:00,0.58234836,18969.43830089,0.085234,3.49409019,113816.62980533
2021-01-05 02:00:00,2021-01-05 02:00:00,0.56477289,18372.50792654,0.08287479,3.38863733,110235.04755921
2021-01-05 03:00:00,2021-01-05 03:00:00,0.56886271,18164.99498221,0.08342487,3.41317628,108989.96989326
2021-01-05 04:00:00,2021-01-05 04:00:00,0.453269,14158.33874523,0.0676191,3.17288303,99108.37121662
2021-01-05 05:00:00,2021-01-05 05:00:00,0.34158613,10505.16909305,0.05182154,2.73268906,84041.35274436
2021-01-05 06:00:00,2021-01-05 06:00:00,0.41018945,12617.07209781,0.06158826,3.28151559,100936.57678245
2021-01-05 07:00:00,2021-01-05 07:00:00,0.93083414,28901.78952149,0.12962758,1.86166829,57803.57904298
2021-01-05 08:00:00,2021-01-05 08:00:00,0.86538772,27067.07988853,0.121622,3.46155087,108268.31955412
2021-01-05 09:00:00,2021-01-05 09:00:00,0.69606276,21886.72931835,0.10020968,4.87243929,153207.10522844
2021-01-05 10:00:00,2021-01-05 10:00:00,0.69750514,21942.26209295,0.10039649,4.18503085,131653.57255773
2021-01-05 11:00:00,2021-01-05 11:00:00,0.56916222,17912.81820936,0.08346512,3.41497329,107476.90925619
2021-01-05 12:00:00,2021-01-05 12:00:00,0.92909537,29585.17635612,0.12941677,3.71638148,118340.70542448
2021-01-05 13:00:00,2021-01-05 13:00:00,0.80940021,25674.45458436,0.11465566,6.47520165,205395.63667486
2021-01-05 14:00:00,2021-01-05 14:00:00,0.65956959,20828.21281956,0.09545741,5.93612629,187453.91537601
2021-01-05 15:00:00,2021-01-05 15:00:00,0.9804822,31465.51857623,0.13560398,3.92192879,125862.07430491
2021-01-05 16:00:00,2021-01-05 16:00:00,0.9027064,29253.54637613,0.12620487,6.31894481,204774.82463292
2021-01-05 17:00:00,2021-01-05 17:00:00,0.70939097,23083.25226385,0.10193291,7.80330065,253915.7749023
2021-01-05 18:00:00,2021-01-05 18:00:00,0.90847849,30089.11467358,0.12690944,5.45087094,180534.68804147
2021-01-05 19:00:00,2021-01-05 19:00:00,1.02877346,34908.47803236,0.14133885,4.11509385,139633.91212942
2021-01-05 20:00:00,2021-01-05 20:00:00,0.9995826,33761.88974077,0.1378814,4.99791298,168809.44870384
2021-01-05 21:00:00,2021-01-05 21:00:00,0.92174939,31248.49326651,0.12852504,8.29574447,281236.43939855
2021-01-05 22:00:00,2021-01-05 22:00:00,0.96635995,33046.68065389,0.13391238,6.76451967,231326.7645772
2021-01-05 23:00:00,2021-01-05 23:00:00,0.89205906,30382.09384663,0.12490222,7.13647249,243056.75077306
2021-01-06 00:00:00,2021-01-06 00:00:00,0.75009336,25344.51126185,0.10715477,8.25102697,278789.62388039
2021-01-06 01:00:00,2021-01-06 01:00:00,0.66167992,22371.10917616,0.09573359,4.63175945,156597.76423311
2021-01-06 02:00:00,2021-01-06 02:00:00,0.71208548,24187.05299955,0.10228048,2.13625643,72561.15899865
2021-01-06 03:00:00,2021-01-06 03:00:00,0.62883902,21334.90183367,0.09141645,5.65955122,192014.11650306
2021-01-06 04:00:00,2021-01-06 04:00:00,0.8358758,29224.77220607,0.11796365,3.34350318,116899.0888243
2021-01-06 05:00:00,2021-01-06 05:00:00,0.58431182,20544.49360246,0.0854968,4.67449455,164355.94881971
2021-01-06 06:00:00,2021-01-06 06:00:00,0.41768225,14639.85523207,0.06264279,4.59450473,161038.4075528
2021-01-06 07:00:00,2021-01-06 07:00:00,0.85840447,29860.9143435,0.12075909,4.29202237,149304.57171752
2021-01-06 08:00:00,2021-01-06 08:00:00,0.60072694,20758.81540423,0.08768806,4.80581549,166070.52323388
2021-01-06 09:00:00,2021-01-06 09:00:00,0.63725888,21742.40761424,0.09252721,4.46081216,152196.85329967
2021-01-06 10:00:00,2021-01-06 10:00:00,0.44498338,15265.3946508,0.0664652,4.00485045,137388.55185717
2021-01-06 11:00:00,2021-01-06 11:00:00,0.46469576,16191.68549986,0.06920578,4.64695764,161916.85499857
2021-01-06 12:00:00,2021-01-06 12:00:00,1.01809596,35385.68777035,0.1400774,4.07238383,141542.7510814
2021-01-06 13:00:00,2021-01-06 13:00:00,0.91798861,31837.545996,0.12806781,8.26189749,286537.91396398
2021-01-06 14:00:00,2021-01-06 14:00:00,1.02354183,35286.16446002,0.14072124,5.11770916,176430.82230011
2021-01-06 15:00:00,2021-01-06 15:00:00,1.007486,34867.17786932,0.13882025,7.05240203,244070.24508527
2021-01-06 16:00:00,2021-01-06 16:00:00,0.87040978,30324.09392803,0.12224153,7.833688,272916.84535225
2021-01-06 17:00:00,2021-01-06 17:00:00,0.84895661,29660.81349189,0.11958893,6.79165287,237286.50793508
