start_time,datetime,range_001_01,range_001_01_percent,range_01_1,range_01_1_percent,range_0_001,range_0_001_percent,range_100_1k,range_100_1k_percent,range_10_100,range_10_100_percent,range_10k_inf,range_10k_inf_percent,range_1_10,range_1_10_percent,range_1k_10k,range_1k_10k_percent
2021-04-16 18:00:00,2021-04-16 18:00:00,266013.28454035,1.42371941,927986.44144761,4.96664034,66903.50276398,0.35807165,5458005.35921428,29.21157939,4699399.53254683,25.15147449,1385506.60084929,7.41531629,1974939.08999064,10.56999512,3905635.98361798,20.9032033
2021-04-16 19:00:00,2021-04-16 19:00:00,266106.95797959,1.42421742,928098.37584488,4.96722779,66940.22164424,0.35826733,5457995.21043622,29.21145668,4700476.22758202,25.15717812,1385497.45924528,7.41525,1975152.10663577,10.57111045,3904166.98560296,20.8952922
2021-04-16 20:00:00,2021-04-16 20:00:00,266158.60294467,1.4244924,928142.98284096,4.96746155,66965.495216,0.35840224,5457709.94058285,29.20990059,4700789.93867908,25.15883187,1385497.45312663,7.41524253,1975263.17066319,10.57169426,3903924.71091758,20.89397457
2021-04-16 21:00:00,2021-04-16 21:00:00,266223.97177973,1.42484083,928289.62531262,4.9682414,67008.69249059,0.35863307,5453807.19632492,29.18898364,4700585.28736124,25.15771132,1385505.07190266,7.41527587,1975437.94553974,10.57261905,3907613.25425946,20.91369483
2021-04-16 22:00:00,2021-04-16 22:00:00,266195.64595853,1.4246878,928205.37557027,4.9677855,67008.29298596,0.35863057,5454110.54976066,29.19057791,4700443.30033296,25.15692616,1385506.89987185,7.41527821,1975541.92686024,10.57316495,3907477.80363049,20.9129489
2021-04-16 23:00:00,2021-04-16 23:00:00,266273.46219497,1.42510284,928317.85084437,4.96838249,67046.44357202,0.3588344,5452287.42559919,29.1807912,4700674.49524926,25.15813827,1385504.34166911,7.41525707,1975936.56014371,10.57526643,3908467.96569833,20.91822729
2021-04-17 00:00:00,2021-04-17 00:00:00,266280.25231973,1.42513871,928350.32299958,4.96855462,67050.02768105,0.35885346,5452084.98693921,29.17969798,4700750.05456029,25.15853425,1385504.34166911,7.41525459,1976026.84310366,10.57574609,3908467.96569833,20.91822029
2021-04-17 01:00:00,2021-04-17 01:00:00,266340.79591782,1.42545988,928652.44052883,4.97016159,67063.09647519,0.35892268,5452114.28069348,29.1797962,4701442.19543195,25.16218811,1385501.10267187,7.41522238,1976491.37502637,10.57821105,3906947.00822545,20.91003812
2021-04-17 02:00:00,2021-04-17 02:00:00,266320.47420648,1.42534635,928569.78613826,4.96970259,67071.77908137,0.35896795,5454589.788246,29.1929475,4701388.53391392,25.16181674,1385447.4134206,7.41491023,1974621.8154188,10.56816979,3906605.20454553,20.90813885
2021-04-17 03:00:00,2021-04-17 03:00:00,266324.40161251,1.42536641,928581.30139339,4.9697609,67077.56967269,0.3589987,5453260.87423058,29.18581563,4701624.28588248,25.16306165,1385447.4134206,7.41490527,1974630.24389269,10.56820783,3907681.20486602,20.91388361
2021-04-17 04:00:00,2021-04-17 04:00:00,266397.59855047,1.42575578,928777.18206545,4.97080094,67123.52067567,0.35924403,5452609.70342378,29.18228177,4702004.23589897,25.16505305,1385437.4274206,7.41483942,1974627.92676469,10.56817775,3907680.95017133,20.91384727
2021-04-17 05:00:00,2021-04-17 05:00:00,266437.23239721,1.4259636,928929.57612898,4.97160158,67126.10927394,0.3592568,5451986.44460208,29.17885825,4701797.89074436,25.16387294,1385435.76390944,7.4148082,1975332.10075683,10.57191465,3907669.67715812,20.91372397
