start_time,date,price_usd_adj_close,price_usd_close,price_usd_high,price_usd_low,price_usd_open
2023-05-05,2023-05-05,16.81,16.81,16.95,16.55,16.58
2023-05-08,2023-05-08,15.51,15.51,16.24,15.44,16.12
2023-05-09,2023-05-09,15.66,15.66,15.94,15.54,15.59
2023-05-10,2023-05-10,15.39,15.39,16.2,15.03,15.84
2023-05-11,2023-05-11,14.66,14.66,15.32,14.46,15.31
2023-05-12,2023-05-12,14.26,14.26,14.79,13.89,14.38
2023-05-15,2023-05-15,15.0,15.0,15.09,14.42,14.64
2023-05-16,2023-05-16,14.63,14.63,14.9,14.57,14.84
2023-05-17,2023-05-17,15.02,15.02,15.06,14.38,14.51
2023-05-18,2023-05-18,14.42,14.42,14.94,14.235,14.88
2023-05-19,2023-05-19,14.39,14.39,14.55,14.26,14.48
2023-05-22,2023-05-22,14.19,14.19,14.57,14.16,14.32
2023-05-23,2023-05-23,14.33,14.33,14.65,14.28,14.33
2023-05-24,2023-05-24,13.695,13.695,14.14,13.59,14.1
2023-05-25,2023-05-25,13.76,13.76,13.89,13.62,13.82
2023-05-26,2023-05-26,13.83,13.83,14.18,13.71,13.805
2023-05-30,2023-05-30,14.35,14.35,14.5,14.06,14.31
2023-05-31,2023-05-31,13.89,13.89,14.03,13.75,13.95
2023-06-01,2023-06-01,13.89,13.89,14.08,13.71,13.74
2023-06-02,2023-06-02,14.38,14.38,14.41,14.11,14.15
2023-06-05,2023-06-05,13.6805,13.6805,14.26,13.39,14.22
2023-06-06,2023-06-06,14.47,14.47,14.54,13.39,13.5
2023-06-07,2023-06-07,13.83,13.83,14.4,13.75,14.24
2023-06-08,2023-06-08,13.85,13.85,14.05,13.72,13.77
2023-06-09,2023-06-09,13.54,13.54,13.95,13.52,13.85
2023-06-12,2023-06-12,13.12,13.12,13.5,13.02,13.5
2023-06-13,2023-06-13,13.11,13.11,13.33,13.03,13.15
2023-06-14,2023-06-14,13.26,13.26,13.45,13.03,13.05
2023-06-15,2023-06-15,13.4,13.4,13.45,12.86,13.04
2023-06-16,2023-06-16,15.12,15.12,16.1,13.45,13.69
2023-06-20,2023-06-20,16.85,16.85,17.73,15.27,15.3
2023-06-21,2023-06-21,17.72,17.72,18.64,17.52,17.55
2023-06-22,2023-06-22,18.0,18.0,18.59,17.51,18.01
2023-06-23,2023-06-23,19.19,19.19,19.54,17.7,18.05
2023-06-26,2023-06-26,18.18,18.18,19.58,17.829,18.99
2023-06-27,2023-06-27,19.47,19.47,19.55,18.38,18.47
2023-06-28,2023-06-28,18.61,18.61,19.48,18.5,19.15
2023-06-29,2023-06-29,19.55,19.55,19.6,19.0,19.0
2023-06-30,2023-06-30,19.19,19.19,19.96,17.8,19.86
2023-07-03,2023-07-03,20.45,20.45,20.85,19.23,19.3
2023-07-05,2023-07-05,20.14,20.14,20.47,19.9,20.2
2023-07-06,2023-07-06,20.08,20.08,20.33,19.26,20.25
2023-07-07,2023-07-07,19.81,19.81,20.42,19.78,19.92
2023-07-10,2023-07-10,19.99,19.99,20.03,19.67,19.8
2023-07-11,2023-07-11,19.93,19.93,20.275,19.81,19.89
2023-07-12,2023-07-12,19.7,19.7,20.36,19.62,20.0
2023-07-13,2023-07-13,21.38,21.38,21.88,19.84,19.84
2023-07-14,2023-07-14,19.75,19.75,21.46,19.41,21.13
2023-07-17,2023-07-17,19.92,19.92,20.54,19.7,19.86
2023-07-18,2023-07-18,19.71,19.71,20.3,10.875,19.87
2023-07-19,2023-07-19,20.08,20.08,20.25,19.82,19.83
2023-07-20,2023-07-20,19.59,19.59,20.35,19.48,20.25
2023-07-21,2023-07-21,19.875,19.875,19.98,19.6,19.64
2023-07-24,2023-07-24,19.2,19.2,19.55,18.75,19.41
2023-07-25,2023-07-25,19.17,19.17,19.42,19.1,19.15
2023-07-26,2023-07-26,19.26,19.26,19.4,19.12,19.2
2023-07-27,2023-07-27,18.39,18.39,19.42,18.35,19.33
2023-07-28,2023-07-28,18.725,18.725,18.96,18.45,18.55
2023-07-31,2023-07-31,19.13,19.13,19.17,18.78,18.86
2023-08-01,2023-08-01,19.04,19.04,19.12,18.3175,18.79
2023-08-02,2023-08-02,19.16,19.16,19.25,18.62,19.07
2023-08-03,2023-08-03,19.3,19.3,19.68,18.95,19.12
2023-08-04,2023-08-04,19.22,19.22,19.58,19.12,19.19
2023-08-07,2023-08-07,19.16,19.16,19.26,18.8,19.2
2023-08-08,2023-08-08,20.09,20.09,20.2401,19.2,19.44
2023-08-09,2023-08-09,19.67,19.67,20.49,19.6,20.13
