start_time,datetime,transactions_count_mean,transactions_count_total
2021-01-08 20:00:00,2021-01-08 20:00:00,173.00369004,46884
2021-01-08 21:00:00,2021-01-08 21:00:00,178.52158273,49629
2021-01-08 22:00:00,2021-01-08 22:00:00,170.28174603,42911
2021-01-08 23:00:00,2021-01-08 23:00:00,159.87588652,45085
2021-01-09 00:00:00,2021-01-09 00:00:00,171.51492537,45966
2021-01-09 01:00:00,2021-01-09 01:00:00,183.19871795,57158
2021-01-09 02:00:00,2021-01-09 02:00:00,197.58712121,52163
2021-01-09 03:00:00,2021-01-09 03:00:00,194.98523985,52841
2021-01-09 04:00:00,2021-01-09 04:00:00,196.11153846,50989
2021-01-09 05:00:00,2021-01-09 05:00:00,188.8,51920
2021-01-09 06:00:00,2021-01-09 06:00:00,190.70220588,51871
2021-01-09 07:00:00,2021-01-09 07:00:00,205.04615385,53312
2021-01-09 08:00:00,2021-01-09 08:00:00,213.58302583,57881
2021-01-09 09:00:00,2021-01-09 09:00:00,202.6730038,53303
2021-01-09 10:00:00,2021-01-09 10:00:00,190.176,47544
2021-01-09 11:00:00,2021-01-09 11:00:00,202.79527559,51510
2021-01-09 12:00:00,2021-01-09 12:00:00,186.65567766,50957
2021-01-09 13:00:00,2021-01-09 13:00:00,192.37956204,52712
2021-01-09 14:00:00,2021-01-09 14:00:00,194.38732394,55206
2021-01-09 15:00:00,2021-01-09 15:00:00,207.60165975,50032
2021-01-09 16:00:00,2021-01-09 16:00:00,196.8415493,55903
2021-01-09 17:00:00,2021-01-09 17:00:00,188.3465704,52172
2021-01-09 18:00:00,2021-01-09 18:00:00,177.32867133,50716
2021-01-09 19:00:00,2021-01-09 19:00:00,178.2745098,45460
2021-01-09 20:00:00,2021-01-09 20:00:00,167.17275748,50319
2021-01-09 21:00:00,2021-01-09 21:00:00,183.51711027,48265
2021-01-09 22:00:00,2021-01-09 22:00:00,177.70149254,47624
2021-01-09 23:00:00,2021-01-09 23:00:00,183.74,45935
2021-01-10 00:00:00,2021-01-10 00:00:00,168.56428571,47198
2021-01-10 01:00:00,2021-01-10 01:00:00,179.04347826,49416
2021-01-10 02:00:00,2021-01-10 02:00:00,199.95967742,49590
2021-01-10 03:00:00,2021-01-10 03:00:00,178.77385159,50593
2021-01-10 04:00:00,2021-01-10 04:00:00,181.96057348,50767
2021-01-10 05:00:00,2021-01-10 05:00:00,177.17374517,45888
2021-01-10 06:00:00,2021-01-10 06:00:00,180.82432432,53524
2021-01-10 07:00:00,2021-01-10 07:00:00,205.47148289,54039
2021-01-10 08:00:00,2021-01-10 08:00:00,211.34586466,56218
2021-01-10 09:00:00,2021-01-10 09:00:00,190.94117647,55182
2021-01-10 10:00:00,2021-01-10 10:00:00,203.90740741,55055
2021-01-10 11:00:00,2021-01-10 11:00:00,200.75958188,57618
2021-01-10 12:00:00,2021-01-10 12:00:00,196.71111111,53112
2021-01-10 13:00:00,2021-01-10 13:00:00,185.93478261,51318
2021-01-10 14:00:00,2021-01-10 14:00:00,177.69520548,51887
2021-01-10 15:00:00,2021-01-10 15:00:00,187.41605839,51352
2021-01-10 16:00:00,2021-01-10 16:00:00,196.28278689,47893
2021-01-10 17:00:00,2021-01-10 17:00:00,183.0,53436
2021-01-10 18:00:00,2021-01-10 18:00:00,186.13257576,49139
2021-01-10 19:00:00,2021-01-10 19:00:00,165.10035842,46063
2021-01-10 20:00:00,2021-01-10 20:00:00,155.89513109,41624
2021-01-10 21:00:00,2021-01-10 21:00:00,186.7896679,50620
2021-01-10 22:00:00,2021-01-10 22:00:00,174.90038314,45649
2021-01-10 23:00:00,2021-01-10 23:00:00,162.02238806,43422
2021-01-11 00:00:00,2021-01-11 00:00:00,168.80075188,44901
2021-01-11 01:00:00,2021-01-11 01:00:00,185.48028674,51749
