start_time,date,range_0d_1d,range_10y_inf,range_12m_18m,range_18m_2y,range_1d_1w,range_1m_3m,range_1w_1m,range_2y_3y,range_3m_6m,range_3y_5y,range_5y_7y,range_6m_12m,range_7y_10y
2021-09-28,2021-09-28,41632.42622394,1.2267079,9908.64202408,7722.72651645,42963.88665319,39717.39883184,47297.87448538,6201.73815348,46561.42739427,7078.20863999,427.42907888,35832.00120337,323.68348063
2021-09-29,2021-09-29,41657.29867039,1.22786682,9937.7439331,7718.57615762,42843.78933504,39950.33386519,46932.04234695,6201.65048184,46330.18842022,7079.06343541,427.60375146,36061.8188781,323.9063221
2021-09-30,2021-09-30,43530.7213394,1.22901587,9952.55470873,7712.15033466,42410.07728484,40344.60684126,46772.6517016,6204.87096742,45836.23467449,7079.71223069,427.86486355,36148.15058295,324.12209689
2021-10-01,2021-10-01,47119.26579311,1.22987828,9963.57323609,7706.35260785,42732.31363755,40552.35449731,46520.91148118,6208.55339551,45773.20135582,7079.89566211,427.97433685,36232.4070356,324.3483685
2021-10-02,2021-10-02,47890.40610817,1.23024704,9974.71672342,7703.90748111,43884.95961269,40831.86349344,46256.63025347,6209.34273146,45701.86979616,7078.80639339,428.20632507,36359.18729273,324.41762164
2021-10-03,2021-10-03,48304.16429522,1.23078084,9983.16327956,7700.6517961,44634.87989509,41080.81306297,45775.50017471,6211.3110014,45109.25470971,7093.12500216,429.72490704,36932.13910399,324.49436848
2021-10-04,2021-10-04,48504.76381698,1.23288616,9995.45939262,7698.36815206,44737.12037417,41278.13240591,45500.77398057,6210.9071043,44967.69991603,7094.50391807,429.98106869,36982.55193303,324.90277224
2021-10-05,2021-10-05,50513.86129815,1.23319063,10006.66699069,7685.70517285,46016.23161858,41305.00859917,45165.25690765,6212.10330341,44806.24160266,7096.79667246,430.40109371,37112.79511195,324.97183931
2021-10-06,2021-10-06,54335.35145545,1.23368922,10016.46165871,7683.63712122,47367.41383629,41772.1326162,44813.03476058,6214.24791059,44678.35779091,7100.32144672,430.91005904,37197.52446665,325.08904821
2021-10-07,2021-10-07,54299.45479034,1.23421951,10031.91535798,7678.04132999,50559.61542002,41952.66634846,44445.50956895,6215.3213437,44415.75673573,7098.95468657,431.09912919,37427.56904544,325.220238
2021-10-08,2021-10-08,54425.48068442,1.23448889,10038.34948769,7672.65676629,52121.1464987,42080.48024538,44528.2777119,6218.01522964,44276.74637423,7099.57038288,431.35292134,37533.55255286,325.27155632
2021-10-09,2021-10-09,54818.64011018,1.23489402,10054.46765762,7669.52494929,52925.55605102,42254.379004,44627.05682168,6218.46203176,44073.65366715,7100.29431464,431.45945166,37726.23770682,325.35590102
2021-10-10,2021-10-10,55092.06988641,1.23545046,10075.00333456,7660.99188673,53175.57326368,42366.70331549,44705.51549238,6220.1641259,43872.51889535,7102.48515988,432.28070214,37860.40124773,325.55354758
2021-10-11,2021-10-11,57119.17117601,1.23546533,10098.72833136,7653.0870632,53821.29818528,42458.18311335,45120.65818633,6221.49690781,43403.70647252,7106.08830657,432.77828699,38173.97347189,325.70347056
2021-10-12,2021-10-12,56252.05874109,1.23718023,10118.73993067,7650.31033498,54894.48760002,42525.16092606,45643.49863208,6222.44803901,43123.08443229,7118.36247095,433.32113666,38335.01346746,326.09306754
2021-10-13,2021-10-13,56479.38049956,1.23766633,10136.54981349,7645.16126585,55430.61496286,42720.69224473,46765.29501946,6224.01236502,42767.01379819,7119.35588772,433.50423669,38508.87310282,326.32719533
2021-10-14,2021-10-14,57545.30883515,1.23864913,10151.29621532,7641.54328056,55949.17720746,42992.37400697,47772.13972074,6224.7740105,42580.55987492,7119.59880683,433.80145012,38594.98672737,326.76483077
2021-10-15,2021-10-15,60536.08789936,1.23965037,10162.1395624,7639.5167433,56565.3361972,43358.87643768,48134.63784073,6225.75458389,41923.58599991,7119.06995332,433.95969103,38916.91308711,327.42138842
2021-10-16,2021-10-16,61225.74596682,1.24037423,10175.24272043,7635.74102424,58148.52588999,43512.28977545,48364.18054885,6228.20022777,41740.64384867,7118.32461582,434.26014345,39024.66458956,327.82848228
2021-10-17,2021-10-17,60650.90664255,1.24063212,10189.15205229,7632.69315947,58670.9144425,43681.4861843,48609.93372241,6229.60285544,41599.4578697,7120.35665633,434.60714917,39100.50413826,328.01639442
2021-10-18,2021-10-18,61794.10780994,1.24078517,10204.46170341,7627.84638244,58999.81485173,43854.99144838,49080.05029658,6229.00326832,41434.04631958,7120.22792869,434.8044669,39164.56554847,328.23288427
2021-10-19,2021-10-19,62995.20419956,1.24104846,10220.02296951,7622.46475732,59884.41710627,44036.10286836,49594.57824642,6219.88640861,41058.1463004,7117.44040094,434.97823514,39378.75576155,328.38448759
2021-10-20,2021-10-20,65727.44280205,1.24112255,10251.89206713,7619.43628803,60880.0066697,44195.41613554,50157.53233475,6220.32125749,40821.00644286,7123.41319296,435.518406,39487.63588977,328.58352751
2021-10-21,2021-10-21,63856.78639745,1.2414104,10310.09101134,7613.17427882,62821.2778267,44403.25320722,50906.47279659,6225.9351883,40647.77207955,7122.60466594,435.78171464,39641.39289171,328.71175973
2021-10-22,2021-10-22,61365.10532359,1.24139156,10354.05405515,7612.16824399,63666.43593228,44430.51647394,51885.96804534,6226.72783512,40461.75949269,7122.56233987,436.10024055,39639.24109,328.83110004
2021-10-23,2021-10-23,61136.9486621,1.24168235,10393.77037913,7613.27414924,63020.98593226,44545.54530377,52464.4088026,6229.22841542,40300.02618981,7125.26652338,436.64395386,39783.85386029,328.95519103
2021-10-24,2021-10-24,60427.27090945,1.24221257,10426.43997671,7612.95461402,63022.26192271,44755.95482641,52917.62992308,6229.96064557,40071.53283984,7129.43338666,437.27119732,39662.97138087,329.11999653
2021-10-25,2021-10-25,62878.76351951,1.24535658,10452.45154968,7609.48427557,62910.99380389,45125.8017409,53756.31598661,6233.11830981,39935.45148542,7133.94956294,438.06566843,39680.62670238,330.0503658
2021-10-26,2021-10-26,61996.56720897,1.24546831,10487.2575942,7610.98943382,62951.98565943,45443.06806061,54537.91853878,6238.30309062,39500.59184476,7135.04256755,438.38510449,39937.46429251,330.1592762
