t,h,l,c,o,close,high,low,open,volume
1596844800.0,35455.89,32477.91,34266.51,32477.91,11765.72,11819.0,11513.69,11596.26,154707.303
1596931200.0,35747.21,33800.83,34716.79,33800.83,11685.99,11811.0,11526.9,11765.72,125463.463
1597017600.0,38566,34190.65,34502.51,34695.24,11896.89,12100.0,11384.9,11685.99,290418.014
1597104000.0,38811.33,34197.59,36170.63,34491.89,11392.64,11944.0,11127.0,11896.86,336861.638
1597190400.0,37171.15,35617.32,35728.61,36210.31,11568.36,11630.0,11140.0,11392.64,213799.491
1597276800.0,36141.69,34400.23,34400.23,35689.28,11790.0,11798.0,11272.0,11568.37,248214.725
1597363200.0,35155.31,34012.9,34012.9,34683.55,11767.89,11868.42,11644.6,11790.0,159019.959
1597449600.0,37004.21,33884.78,35781.76,33884.78,11859.04,11993.58,11682.0,11767.89,222262.987
1597536000.0,36009.55,34727.64,35036.05,35010.72,11921.23,11945.0,11688.0,11858.91,165733.721
1597622400.0,37360.92,34793.24,37360.92,35484.83,12298.06,12499.42,11780.0,11921.32,331435.112
1597708800.0,39306.22,36217.92,38362.51,36217.92,11960.79,12403.0,11810.0,12298.06,291349.888
1597795200.0,38727.41,36243.74,36243.74,37921.17,11763.87,12037.05,11574.78,11962.03,313267.066
1597881600.0,36479.54,35558.85,35719.18,36212.37,11857.92,11888.0,11676.03,11763.88,130981.044
1597968000.0,35515.87,34166.49,34166.49,35450.63,11538.53,11882.68,11491.0,11858.53,195106.536
1598054400.0,34630.42,33626.75,33626.75,34271.43,11670.47,11689.08,11385.06,11538.53,126696.73
1598140800.0,34362.81,33228.7,33537.2,33378.86,11654.0,11724.0,11522.15,11670.48,95608.033
1598227200.0,35575.13,33003.68,35154.17,33576.17,11753.3,11831.96,11595.0,11654.0,108781.125
1598313600.0,39564.4,34770.99,37961.58,35214.35,11327.17,11770.0,11130.0,11753.29,267234.771
1598400000.0,38082.63,35142.02,35382.74,37551.26,11466.22,11548.68,11255.95,11327.18,170305.024
1598486400.0,37247.37,34445.8,36259.07,35286.85,11335.53,11593.0,11130.82,11466.22,253778.342
1598572800.0,37193.68,35399.57,36721.8,36031.34,11526.85,11544.88,11283.19,11335.83,129477.627
1598659200.0,37177.33,36515.35,36736.88,36549.16,11466.66,11582.0,11419.34,11526.85,83715.229
1598745600.0,38070.98,36196.2,37689.21,36650.73,11714.14,11724.12,11457.88,11466.27,113266.672
1598832000.0,39334.87,37162.86,39285.49,37365.84,11658.11,11784.21,11575.78,11714.13,127272.378
1598918400.0,40982.19,38338.82,40055.94,39158.46,11930.18,12061.07,11531.34,11658.11,211680.828
1599004800.0,39835.64,35107.63,37300.22,39835.64,11396.96,11961.0,11156.0,11930.17,280411.964
1599091200.0,37970.6,34683.9,34697.99,37104.3,10141.08,11475.0,9901.16,11396.44,487812.737
1599177600.0,33939.62,30172.48,31606.71,30172.48,10448.0,10635.77,9878.65,10141.4,432563.841
1599264000.0,34186.82,31629.02,33074.53,31703.31,10168.71,10567.87,9808.58,10448.0,399307.282
1599350400.0,33814.32,32149.73,33695.23,32325.95,10258.13,10348.97,10003.0,10168.23,190207.654
1599436800.0,36345.28,33538.13,34143.39,33538.13,10378.76,10420.55,9879.68,10258.13,258476.949
1599523200.0,38171.24,34252.73,35713.83,34372.17,10129.02,10443.79,9842.01,10379.3,317802.322
1599609600.0,36035.84,34796.33,35028.06,35008.51,10219.29,10346.0,9981.13,10130.0,151222.689
1599696000.0,35560.19,34503.36,34507.95,34955.24,10335.91,10484.6,10211.67,10219.29,187667.873
1599782400.0,35853.52,34263.71,34469.12,34543.45,10387.81,10397.85,10200.8,10335.91,135929.303
1599868800.0,34485.91,33398.4,34485.91,34324.42,10438.28,10477.7,10271.0,10387.81,97429.037
1599955200.0,35475.39,32764.95,34975,34067.32,10327.72,10580.0,10209.01,10438.29,159021.843
1600041600.0,35172.05,33135.01,34234.51,34374.44,10664.1,10746.06,10241.57,10327.72,205260.236
1600128000.0,35197.68,33313.22,34834.99,33921.95,10776.78,10923.42,10592.0,10664.1,247657.23
1600214400.0,38017.43,33989.77,36526.13,34463.71,10948.17,11089.08,10661.9,10776.88,252881.019
1600300800.0,36573.28,34374.37,34510.74,36372.06,10935.33,11040.0,10740.0,10948.16,186484.361
1600387200.0,35091.74,34046.2,34046.2,34486.53,10926.29,11035.0,10810.1,10935.97,136028.351
1600473600.0,36608.02,34127.95,35995.73,34155,11073.74,11177.0,10880.0,10926.3,126239.232
1600560000.0,36725.6,34955.51,36725.6,36146.91,10914.28,11073.9,10751.0,11073.2,150450.562
1600646400.0,37951.45,35403.88,37184.12,36519.18,10414.73,10980.69,10281.0,10915.52,333047.145
1600732800.0,39524.57,37418.81,37739.45,37486.36,10523.32,10574.08,10353.1,10414.73,179900.686
1600819200.0,40688.65,37938.65,40525.71,37938.65,10237.91,10531.94,10132.21,10523.32,203027.542
1600905600.0,41072.34,36701.4,36701.4,40803.23,10724.92,10837.27,10191.0,10237.91,241646.573
1600992000.0,37403.66,36023.63,36597.95,37032.48,10683.51,10754.29,10551.56,10724.91,170930.773
1601078400.0,38290.84,36603.46,37805.89,36712.75,10726.5,10827.8,10642.23,10683.5,109340.491
1601164800.0,37862.91,36285.75,37571.32,37750.53,10768.0,10793.5,10584.0,10726.5,123440.716
1601251200.0,37509.78,35420.89,36019.37,37509.78,10691.45,11024.0,10627.19,10768.0,187105.377
1601337600.0,35833.98,33016.88,35687.6,33016.88,10836.98,10863.94,10631.49,10691.94,146888.319
1601424000.0,36315.43,34812.07,36221.07,35266.33,10773.0,10845.99,10660.05,10836.99,132834.116
1601510400.0,36959.19,35185.45,35446.52,35854.24,10612.63,10935.14,10442.0,10773.0,253619.622
1601596800.0,38307.39,35576.28,37493.87,35576.28,10565.15,10660.0,10371.03,10612.62,224747.037
1601683200.0,37858.4,37169.6,37329.15,37185.67,10537.96,10596.0,10491.11,10565.44,76315.911
1601769600.0,37603.86,36790.33,37259.86,37433.75,10660.16,10694.0,10514.0,10537.96,90912.105
1601856000.0,39528.31,36762.79,39528.31,37259.06,10785.0,10792.0,10608.9,10660.16,130589.137
1601942400.0,40962.8,37691.89,37708.44,39654.86,10593.65,10792.0,10510.66,10784.99,184895.25
1602028800.0,38525.23,37246.27,37892.39,37246.27,10658.75,10675.0,10540.29,10593.65,106700.522
1602115200.0,40372.93,37552.68,38867.86,37993.67,10919.45,10958.0,10523.0,10658.75,207938.861
1602201600.0,39545.32,37387.28,39052.99,38759.73,11050.47,11110.0,10818.44,10919.45,154336.818
1602288000.0,39640.77,37375.29,38838.19,39058.25,11294.79,11494.0,11050.46,11050.46,199398.012
1602374400.0,40004.23,37975.8,39282.71,38435.83,11369.59,11450.73,11273.77,11294.78,146323.076
1602460800.0,39928.69,38190.26,38769.21,39380.03,11530.36,11732.0,11157.0,11369.59,254217.203
1602547200.0,37705.36,36512.74,37046.88,37402.95,11419.36,11562.0,11308.0,11530.37,199115.115
1602633600.0,37818.15,36677.37,36728.28,37223.59,11417.13,11550.0,11280.5,11419.36,192936.97
1602720000.0,38246.26,36026.41,36594.54,36208.07,11502.0,11649.48,11250.0,11417.12,215260.399
1602806400.0,39069.07,36700.28,37752.92,36728.01,11318.92,11538.92,11175.0,11502.0,212339.085
1602892800.0,38346.2,36664.02,36799.15,37684.26,11356.25,11424.09,11250.0,11319.51,95892.966
1602979200.0,38173.04,36323.01,37998.92,36754.96,11501.1,11529.93,11342.54,11356.25,92472.191
1603065600.0,41601.16,37709.38,41500.67,38385.09,11745.0,11830.0,11404.01,11501.5,230161.648
1603152000.0,45893.57,41178.98,45519.75,41284.71,11900.03,12045.78,11673.0,11744.99,312811.802
1603238400.0,48431.45,45215.07,46461.72,45215.07,12796.07,13240.0,11876.0,11900.03,591963.069
1603324800.0,46823.94,44382.8,46489.12,44898.07,12968.87,13188.27,12675.5,12796.06,343851.666
1603411200.0,49317.13,45918.72,46964.13,46358.28,12925.82,13043.0,12725.04,12970.39,237042.526
1603497600.0,49818.92,46475.29,48780.29,46616.76,13110.88,13177.59,12871.07,12925.82,176146.631
1603584000.0,48952.19,43841.17,44282.25,48778.35,13023.81,13369.0,12715.0,13110.88,206012.652
1603670400.0,48135.14,44139.56,44384.67,44294.24,13047.24,13240.0,12729.0,13024.21,316503.296
1603756800.0,50952.74,44438.81,48509.09,44475.27,13629.38,13787.83,13041.3,13047.24,411509.506
1603843200.0,47655.4,41877.7,41889.9,47655.4,13256.17,13863.0,12876.0,13629.89,476993.789
1603929600.0,47705.53,41783,45410.48,42131.87,13446.65,13637.22,12965.0,13255.79,355352.336
1604016000.0,47385.36,44158.03,47385.36,45630.37,13549.12,13665.65,13100.0,13446.65,349890.573
1604102400.0,49508.77,46465.3,49508.77,47564.66,13783.73,14140.0,13403.36,13549.12,357853.23
1604188800.0,50127.32,48729.28,49386.79,49600.18,13752.86,13891.52,13605.9,13783.73,198395.231
1604275200.0,49655.4,47852.95,48053.53,49397.09,13540.54,13823.75,13195.0,13752.87,327991.768
1604361600.0,48306.07,46249.46,48290.32,47958.44,14016.55,14070.0,13276.33,13541.55,348730.51
1604448000.0,50374.04,48185.18,48849.53,48938.9,14134.31,14280.0,13512.0,14016.55,451433.42
1604534400.0,54064.21,46330.64,46330.64,49217.39,15598.75,15777.0,14088.01,14134.32,717489.697
1604620800.0,45951.39,43018.43,43395.34,45951.39,15590.96,15984.2,15177.0,15598.74,559380.06
1604707200.0,44187.13,39464.56,39464.56,44003.64,14824.34,15774.0,14350.0,15590.95,457582.681
1604793600.0,41777.98,39147.51,41153.76,39282.83,15473.2,15678.0,14710.0,14824.33,290616.393
1604880000.0,41995.99,39084.41,39084.41,41409.22,15328.72,15869.0,14822.0,15473.2,474181.983
1604966400.0,40422.91,39007.77,39608.28,39295.66,15294.68,15474.17,15071.0,15328.72,244073.495
1605052800.0,43764.5,39098.14,41825.17,39098.14,15690.24,16000.0,15274.89,15294.68,330772.852
1605139200.0,43967.67,41318.84,42697.09,41529.76,16289.02,16345.0,15437.7,15690.24,471759.126
1605225600.0,44674.57,42199.87,42199.87,43080.68,16320.54,16479.99,15955.6,16289.01,306656.359
1605312000.0,43481.97,41769.07,42385.18,42321.21,16064.51,16326.82,15700.0,16320.54,266206.937
1605398400.0,43222.37,41397.26,42861.12,41775.43,15952.27,16161.23,15768.0,16064.51,210318.453
1605484800.0,44935.29,42022.72,43475.49,42086.68,16707.07,16882.0,15862.0,15951.93,342459.329
1605571200.0,43794.07,41638.77,42381.07,43353.17,17670.01,17890.1,16550.0,16707.0,524094.697
1605657600.0,43124.68,39006.7,39006.7,42378.81,17788.32,18520.0,17215.03,17670.01,732937.097
1605744000.0,42150.85,39038.69,40313.34,39038.69,17811.68,18200.0,17347.27,17788.32,406500.977
1605830400.0,41700.4,39454.82,39730.04,40233.62,18664.31,18831.6,17748.92,17811.68,407926.802
1605916800.0,42782.69,38706.81,42782.69,39510.43,18721.99,18986.0,18302.08,18662.85,342412.49
1606003200.0,44790.64,42043.34,42408.16,42507.76,18435.2,18780.0,17645.98,18721.99,373779.417
1606089600.0,43736.74,39939.47,39939.47,42024.62,18382.07,18812.65,18013.97,18434.17,364221.378
1606176000.0,45428.59,39558.08,45195.52,39655.51,19179.64,19440.0,18000.0,18382.07,477968.289
1606262400.0,44545.97,42514.9,42534.15,44545.97,18741.67,19554.19,18509.12,19178.53,426276.99
1606348800.0,46197.33,34601.7,34961.22,44737.35,17155.34,18940.69,16181.0,18741.66,850692.856
1606435200.0,36350.34,34426.45,35061.51,35149.73,17144.1,17465.0,16444.83,17155.37,398072.933
1606521600.0,36241.8,34513.89,35407.63,35332.66,17717.74,17880.0,16865.78,17144.11,268833.749
1606608000.0,36531.15,34875.86,35805.88,35535.57,18181.09,18343.0,17523.0,17717.74,256024.006
1606694400.0,38879.62,34918.92,38821.89,35723.51,19720.0,19944.0,18178.82,18180.43,500482.574
1606780800.0,41538.92,36614.15,37971.73,38050.77,18772.7,19956.0,18050.0,19722.09,553885.333
1606867200.0,36831.31,34317.9,36130.77,36831.31,19207.01,19365.0,18329.58,18770.33,335717.482
1606953600.0,38542.96,35264.09,38542.96,35672.05,19434.3,19640.0,18865.0,19207.01,245020.576
1607040000.0,39172.77,37934.01,38205.44,38897.33,18664.2,19537.16,18570.0,19432.66,276271.939
1607126400.0,39278.18,37948.66,38320.75,38521.94,19147.62,19203.46,18510.0,18662.72,165912.647
1607212800.0,39621.82,38176.34,38659.38,38640.78,19375.02,19449.1,18855.35,19147.63,176004.606
1607299200.0,40363.42,38889.2,39581.57,39140.33,19172.88,19446.36,18908.66,19375.0,169402.371
1607385600.0,41992.66,39243.32,41804.79,39702,18319.32,19319.38,18133.33,19172.87,280714.132
1607472000.0,41626.64,37922.16,40225.36,41437.27,18537.98,18639.7,17650.0,18319.33,353123.689
1607558400.0,39754.07,38337.91,39618.97,39445.08,18253.51,18550.0,17916.0,18537.97,233960.241
1607644800.0,40944.31,38273.66,40677.93,40015.65,18031.47,18290.44,17555.0,18254.0,317866.07
1607731200.0,40731.99,37749.17,39835.48,40731.99,18800.0,18950.0,18012.21,18031.71,196962.282
1607817600.0,40819.36,38980.79,40620.28,39921.23,19175.07,19432.0,18705.46,18800.0,239760.089
1607904000.0,41035.78,39153.09,40026.76,40452.03,19270.7,19355.35,19004.72,19175.06,181555.823
1607990400.0,41971.32,39783,41971.32,40749.93,19424.91,19598.0,19039.64,19270.71,248744.054
1608076800.0,44749.04,41028.92,41028.92,42219.18,21346.8,21600.0,19274.55,19424.9,459302.012
1608163200.0,43382.37,36951.1,36951.1,41604.47,22816.99,23888.04,21231.5,21346.81,823435.821
1608249600.0,38642.57,35274.43,38642.57,37591.19,23124.35,23330.0,22363.94,22816.99,305997.222
1608336000.0,39862.81,36406.98,39722.03,39128.36,23847.28,24281.61,22735.81,23124.35,337535.438
1608422400.0,40839.41,38973.74,39514.66,40644.11,23472.96,24376.0,23076.25,23847.28,322289.774
1608508800.0,39878.76,36496.67,37134.08,39799.35,22730.1,24145.0,21920.0,23472.96,476456.589
1608595200.0,39180.97,35636.79,38920.46,36848.64,23826.99,23850.0,22387.0,22736.05,326124.313
1608681600.0,39342.71,34418.22,35022.11,39049.72,23238.27,24235.42,22572.52,23826.74,394754.939
1608768000.0,34577.6,30441.52,32820.13,34542.1,23737.44,23819.81,22700.0,23237.73,237754.257
1608854400.0,38234.43,32861.98,36936.54,32861.98,24730.0,24827.64,23450.0,23738.75,284523.431
1608940800.0,37257.65,35791.49,37257.65,37074.61,26508.83,26926.0,24507.24,24729.99,367265.555
1609027200.0,37502.08,33048.72,33048.72,37502.08,26305.64,28459.84,25850.0,26508.84,540264.148
1609113600.0,33848.15,31178.97,32678.42,33189.72,27102.66,27538.82,26117.1,26301.76,267563.468
1609200000.0,35108.38,32411.49,34605.11,33924.64,27402.83,27441.73,25913.01,27101.45,260759.449
1609286400.0,36696.74,34177.51,36696.74,34353.9,28906.99,29063.72,27401.0,27402.83,374737.655
1609372800.0,36405.01,34626.48,36328.01,36213.65,28951.68,29376.7,27848.0,28906.99,313648.835
1609459200.0,38746.95,34311.78,38691.06,35606.51,29337.16,29668.86,28627.12,28948.19,210716.398
1609545600.0,40217.92,35487.19,40217.92,37824.1,32199.91,33480.0,28958.24,29337.15,545541.08
1609632000.0,40210.84,33275.42,34119.17,40210.84,33054.53,34832.25,32000.02,32198.41,487486.989
1609718400.0,35857.57,29706.53,30430.3,34870.23,32031.07,33653.56,27800.0,33053.93,506128.023
1609804800.0,30422.22,27550.15,28393.09,29679.19,33999.52,34500.0,29900.0,32029.55,433720.833
1609891200.0,30425.05,29031.2,29149.15,29218.79,36823.68,37037.51,33356.46,33999.51,444019.83
1609977600.0,29217.93,27279.8,29071.13,28573.4,39498.92,40565.62,36337.36,36825.77,520147.908
1610064000.0,30198,28264.37,29154.52,28665.96,40637.23,42125.51,36539.77,39498.32,518080.826
1610150400.0,31726.3,26736.25,31726.3,28565.12,40136.04,41539.88,38733.28,40638.91,260882.805
1610236800.0,31497.79,29822.25,31251.82,31467.35,38221.67,41412.12,35268.0,40136.05,436759.048
1610323200.0,31697.19,26625.3,26625.3,30799.24,35408.46,38322.18,30448.0,38200.01,906275.651
1610409600.0,28691.67,25329.28,28000.86,27751.31,34056.9,36693.44,32600.0,35406.92,449065.693
1610496000.0,27498.37,23819.26,27498.37,27101.26,37421.07,37880.0,32420.0,34065.53,398188.088
1610582400.0,29595.29,26713.19,29595.29,26713.19,39163.31,40189.39,36764.33,37416.34,353142.386
1610668800.0,30142.07,26919.64,30142.07,27446.64,36755.24,39790.0,34478.0,39163.31,437610.113
1610755200.0,32125.35,26852.85,28253.1,32125.35,36025.66,38000.0,35366.0,36755.25,301102.477
1610841600.0,28728.13,27212.95,27318.74,27835.92,35869.83,36898.0,33863.5,36025.65,287686.129
1610928000.0,29467.31,26660.33,28896.55,26936.85,36686.86,37547.94,34808.47,35875.72,253386.703
1611014400.0,30266.08,27457.88,29152.98,29129.69,35891.03,37961.0,35850.0,36690.0,257889.419
1611100800.0,31109.74,28118.29,29877.45,28509.85,35500.0,36461.44,33403.0,35891.74,329192.419
1611187200.0,34271.91,29405.94,29729.32,29567.75,30879.97,35636.17,30069.9,35499.23,550562.277
1611273600.0,29726.27,26768.23,26768.23,29726.27,32986.34,33831.52,28880.0,30875.77,453568.538
1611360000.0,27300.12,25860.01,26227.33,26728.61,32086.48,33495.0,31405.0,32990.08,256776.411
1611446400.0,28059.13,25741.78,26598.75,26379.12,32275.63,33125.75,30914.2,32086.48,212107.044
1611532800.0,32040.71,26527.23,28655.75,27125.35,32253.68,34880.0,31921.47,32274.88,316687.524
1611619200.0,28732.43,27152.48,28268.62,27583.2,32474.14,32950.0,30810.0,32253.68,346861.707
1611705600.0,31586.2,27749.78,29535.41,27749.78,30381.04,32562.2,29240.0,32474.81,431022.839
1611792000.0,31125.85,28949.15,30996.52,28949.15,33399.75,33778.95,29843.33,30382.96,311528.373
1611878400.0,33419.36,30105.34,30295.11,30105.34,34269.35,38641.1,31960.0,33399.99,713579.785
1611964800.0,30374.19,28994.68,30374.19,29180.06,34289.85,34988.88,32849.06,34267.04,267861.872
1612051200.0,32900.13,29631.35,31830.41,30147.24,33126.21,34393.22,32193.04,34284.76,211293.891
1612137600.0,32089.09,29492.81,29492.81,31372.58,33546.09,34720.0,32322.47,33125.11,240632.325
1612224000.0,32205.67,28990.38,30140.5,29437.02,35504.06,36041.0,33450.0,33546.08,239856.23
1612310400.0,30589.54,28994.33,28994.33,29964.52,37652.51,37700.0,35410.0,35504.07,240308.078
1612396800.0,30719.14,28906.63,29046.42,29195.32,36976.93,38833.0,36233.0,37651.92,306715.022
1612483200.0,31880.33,28800.05,30009.58,28800.05,38362.65,38411.82,36586.68,36975.19,196277.444
1612569600.0,35083.61,30172.91,34751.09,30172.91,39249.54,40992.4,38269.0,38357.17,310826.315
1612656000.0,34132.3,31512.74,31569.96,34132.3,38849.25,39757.87,37403.27,39249.53,296721.925
1612742400.0,36516.82,30696.68,36516.82,31546.68,46451.32,47146.0,38037.0,38849.24,440167.093
1612828800.0,35564.08,34150.1,34150.1,35418.78,46492.54,48266.36,45057.65,46451.32,381477.426
1612915200.0,35845.68,32607.57,32992.22,34005.79,44850.0,47475.0,43770.0,46492.53,334979.017
1613001600.0,37482.07,32188.01,36203.02,32798.37,48060.21,48810.0,44038.97,44850.0,330540.045
1613088000.0,37270.34,34914.48,35123.46,35819.28,47361.03,49278.98,46121.0,48060.21,259186.288
1613174400.0,36076.53,33482.12,33498.99,35265.14,47221.62,48290.0,46252.1,47364.0,199965.397
1613260800.0,38909.04,33591.61,37385.56,33591.61,48655.21,49875.16,47093.16,47221.63,241935.666
1613347200.0,37220.39,33988.47,34462.93,37220.39,47981.58,49100.0,45349.21,48655.21,248960.404
1613433600.0,37267.78,33318.31,34417.2,34474.94,49197.94,50953.44,47101.02,47981.6,343592.011
1613520000.0,39592.39,34671.71,37547.55,34671.71,52194.62,52800.0,49029.62,49197.93,312007.458
1613606400.0,38090.53,35220.83,35220.83,37623.3,51619.7,52640.0,50948.0,52194.62,185489.89
1613692800.0,35920.27,34836.27,35453.55,35242.29,56004.1,56582.0,50800.0,51612.46,257911.872
1613779200.0,35325.81,32591.84,32591.84,35325.81,55917.41,57699.0,53905.0,56005.85,240296.308
1613865600.0,34611.22,32700.71,33917.27,33038.28,57487.43,58472.14,55564.5,55908.45,196820.573
1613952000.0,35368.18,29132.57,29132.57,33058.71,54121.1,57591.87,47751.42,57475.5,480660.187
1614038400.0,30729.71,26207.7,26207.7,28999.23,48930.0,54260.12,44893.82,54125.55,748737.462
1614124800.0,28565.99,25173.63,27341.36,25992.33,49702.03,51435.58,47000.0,48930.01,333415.219
1614211200.0,29417.54,27157.58,28558.82,27420.52,47089.37,52134.96,46685.43,49702.05,349943.016
1614297600.0,28861.55,27052.55,27816.2,28861.55,46313.13,48438.01,44100.0,47087.97,440670.32
1614384000.0,29128.67,26356.95,27023.72,27167.51,46102.63,48476.05,44926.77,46313.12,256027.074
1614470400.0,30933.32,27078.55,29816.59,27546.11,45163.36,46678.0,43002.05,46097.09,370358.825
1614556800.0,29951.23,27978.91,28645.89,29544.46,49592.7,49800.0,44972.49,45162.64,315659.931
1614643200.0,30023.29,28298,29559.1,28834.18,48450.57,50221.77,47058.06,49594.99,273100.435
1614729600.0,33250.26,28141.03,29184.35,28749.8,50373.75,52681.51,48110.66,48454.21,350311.234
1614816000.0,30901.98,28285.12,29782.34,28901.89,48385.77,51800.0,47500.0,50373.75,387428.957
1614902400.0,30789.28,29468.89,30192.31,29468.89,48770.57,49470.0,46320.0,48385.77,354602.756
1614988800.0,31120.86,28360.24,30383.97,29993.51,48908.21,49253.63,47090.0,48772.68,215092.91
1615075200.0,30763.26,28224.99,30763.26,30699.24,50995.27,51480.0,48908.21,48908.21,248398.116
1615161600.0,31250.7,29084.24,30851.79,30684.68,52429.43,52450.0,49310.0,50991.35,308339.866
1615248000.0,33935.67,30496.36,33827.31,31154.74,54917.78,54950.0,51880.0,52429.43,285604.798
1615334400.0,33415.83,31672.08,33175.06,33415.83,55947.98,57500.92,53061.0,54917.78,401159.493
