start_time,datetime,supply_new,supply_total
2021-01-08 13:00:00,2021-01-08 13:00:00,562.361176657,114185811.61456595
2021-01-08 14:00:00,2021-01-08 14:00:00,614.660217559,114186426.25953364
2021-01-08 15:00:00,2021-01-08 15:00:00,578.854162596,114187005.13254264
2021-01-08 16:00:00,2021-01-08 16:00:00,583.538422498,114187588.6692733
2021-01-08 17:00:00,2021-01-08 17:00:00,550.237619481,114188138.9144492
2021-01-08 18:00:00,2021-01-08 18:00:00,636.277512195,114188775.17423324
2021-01-08 19:00:00,2021-01-08 19:00:00,553.382703848,114189325.93166022
2021-01-08 20:00:00,2021-01-08 20:00:00,570.674504612,114189899.11651866
2021-01-08 21:00:00,2021-01-08 21:00:00,597.055491644,114190496.27952224
2021-01-08 22:00:00,2021-01-08 22:00:00,540.565335111,114191036.84752144
2021-01-08 23:00:00,2021-01-08 23:00:00,614.616186896,114191651.36392508
2021-01-09 00:00:00,2021-01-09 00:00:00,574.787578551,114192226.2038764
2021-01-09 01:00:00,2021-01-09 01:00:00,662.353947398,114192888.55214716
2021-01-09 02:00:00,2021-01-09 02:00:00,572.025385396,114193460.65204522
2021-01-09 03:00:00,2021-01-09 03:00:00,578.267540711,114194038.90938535
2021-01-09 04:00:00,2021-01-09 04:00:00,556.565076531,114194595.47644252
2021-01-09 05:00:00,2021-01-09 05:00:00,596.055396356,114195191.5265574
2021-01-09 06:00:00,2021-01-09 06:00:00,596.616887703,114195785.51499112
2021-01-09 07:00:00,2021-01-09 07:00:00,1070.390905917,114200602.54056036
2021-01-09 08:00:00,2021-01-09 08:00:00,76.917084152,114196935.45173858
2021-01-09 09:00:00,2021-01-09 09:00:00,570.306397509,114197505.76224764
2021-01-09 10:00:00,2021-01-09 10:00:00,544.627631639,114198050.2739295
2021-01-09 11:00:00,2021-01-09 11:00:00,561.758583905,114198612.16698731
2021-01-09 12:00:00,2021-01-09 12:00:00,592.344866834,114199204.50911616
2021-01-09 13:00:00,2021-01-09 13:00:00,594.454606737,114199798.94997662
2021-01-09 14:00:00,2021-01-09 14:00:00,617.057428912,114200416.02466932
2021-01-09 15:00:00,2021-01-09 15:00:00,518.553475381,114200934.5303421
2021-01-09 16:00:00,2021-01-09 16:00:00,613.585249022,114201548.16806483
2021-01-09 17:00:00,2021-01-09 17:00:00,602.203321951,114202150.30129711
2021-01-09 18:00:00,2021-01-09 18:00:00,614.557453219,114202764.93266971
2021-01-09 19:00:00,2021-01-09 19:00:00,552.532577626,114203317.46835326
2021-01-09 20:00:00,2021-01-09 20:00:00,656.429532833,114203973.87631208
2021-01-09 21:00:00,2021-01-09 21:00:00,570.529967159,114204544.42544708
2021-01-09 22:00:00,2021-01-09 22:00:00,587.224312626,114205131.65197684
2021-01-09 23:00:00,2021-01-09 23:00:00,542.104349607,114205673.6340732
2021-01-10 00:00:00,2021-01-10 00:00:00,602.973757673,114206276.71840024
2021-01-10 01:00:00,2021-01-10 01:00:00,596.776080369,114206873.50981104
2021-01-10 02:00:00,2021-01-10 02:00:00,543.400166576,114207416.71140088
2021-01-10 03:00:00,2021-01-10 03:00:00,602.475518059,114208019.24494056
2021-01-10 04:00:00,2021-01-10 04:00:00,604.349583372,114208623.68685342
2021-01-10 05:00:00,2021-01-10 05:00:00,557.680898758,114209181.39176004
2021-01-10 06:00:00,2021-01-10 06:00:00,637.948403781,114209819.3518384
2021-01-10 07:00:00,2021-01-10 07:00:00,572.028553081,114210391.3813998
2021-01-10 08:00:00,2021-01-10 08:00:00,572.136946939,114210963.40206636
2021-01-10 09:00:00,2021-01-10 09:00:00,621.755684643,114211585.27114268
2021-01-10 10:00:00,2021-01-10 10:00:00,586.604791677,114212171.67687228
2021-01-10 11:00:00,2021-01-10 11:00:00,628.147265296,114212797.37038638
2021-01-10 12:00:00,2021-01-10 12:00:00,583.652873197,114213383.60834505
2021-01-10 13:00:00,2021-01-10 13:00:00,589.918162742,114213973.60786678
2021-01-10 14:00:00,2021-01-10 14:00:00,633.34124699,114214606.90531117
2021-01-10 15:00:00,2021-01-10 15:00:00,584.237328822,114215191.18106256
2021-01-10 16:00:00,2021-01-10 16:00:00,533.056569554,114215724.25304534
2021-01-10 17:00:00,2021-01-10 17:00:00,625.564331219,114217885.80904011
2021-01-10 18:00:00,2021-01-10 18:00:00,561.928665806,114216911.7573993
2021-01-10 19:00:00,2021-01-10 19:00:00,595.883832748,114217507.64199656
2021-01-10 20:00:00,2021-01-10 20:00:00,579.616868321,114218087.26027834
2021-01-10 21:00:00,2021-01-10 21:00:00,588.653856011,114218675.90048492
2021-01-10 22:00:00,2021-01-10 22:00:00,561.152386404,114219236.99256708
2021-01-10 23:00:00,2021-01-10 23:00:00,577.273460499,114219814.26170418
2021-01-11 00:00:00,2021-01-11 00:00:00,573.318713886,114220387.64384964
2021-01-11 01:00:00,2021-01-11 01:00:00,606.339873568,114220993.98500162
2021-01-11 02:00:00,2021-01-11 02:00:00,541.829330703,114221535.80001944
2021-01-11 03:00:00,2021-01-11 03:00:00,642.2673267,114222178.00519957
2021-01-11 04:00:00,2021-01-11 04:00:00,561.011527409,114222739.07935344
2021-01-11 05:00:00,2021-01-11 05:00:00,520.054497333,114223259.02184288
2021-01-11 06:00:00,2021-01-11 06:00:00,606.130324925,114223865.20079228
2021-01-11 07:00:00,2021-01-11 07:00:00,620.982001309,114224486.22594094
2021-01-11 08:00:00,2021-01-11 08:00:00,606.622129001,114225092.88109078
2021-01-11 09:00:00,2021-01-11 09:00:00,562.924149098,114225655.80592182
2021-01-11 10:00:00,2021-01-11 10:00:00,607.45570737,114226263.17309085
2021-01-11 11:00:00,2021-01-11 11:00:00,630.812233814,114226891.3977838
2021-01-11 12:00:00,2021-01-11 12:00:00,571.908185254,114227465.98526502
2021-01-11 13:00:00,2021-01-11 13:00:00,574.131953726,114228040.10830986
2021-01-11 14:00:00,2021-01-11 14:00:00,657.405551366,114228697.48802634
2021-01-11 15:00:00,2021-01-11 15:00:00,550.964353853,114229248.48160411
2021-01-11 16:00:00,2021-01-11 16:00:00,584.909176688,114229833.34807788
2021-01-11 17:00:00,2021-01-11 17:00:00,606.346752106,114230439.7405167
2021-01-11 18:00:00,2021-01-11 18:00:00,567.055725634,114231006.72923867
2021-01-11 19:00:00,2021-01-11 19:00:00,621.485808193,114231628.19775622
2021-01-11 20:00:00,2021-01-11 20:00:00,603.627261681,114232231.91859326
2021-01-11 21:00:00,2021-01-11 21:00:00,607.134725036,114232838.99876398
2021-01-11 22:00:00,2021-01-11 22:00:00,565.638500903,114233404.70529936
2021-01-11 23:00:00,2021-01-11 23:00:00,576.334354043,114233980.99405947
2021-01-12 00:00:00,2021-01-12 00:00:00,544.500028679,114234525.40242746
2021-01-12 01:00:00,2021-01-12 01:00:00,616.531231426,114235142.0625636
2021-01-12 02:00:00,2021-01-12 02:00:00,613.066385511,114235755.14522988
2021-01-12 03:00:00,2021-01-12 03:00:00,574.046031308,114236329.18731505
2021-01-12 04:00:00,2021-01-12 04:00:00,550.220444169,114236879.26188916
2021-01-12 05:00:00,2021-01-12 05:00:00,585.50573574,114237464.89431344
2021-01-12 06:00:00,2021-01-12 06:00:00,660.445921193,114238125.1599916
2021-01-12 07:00:00,2021-01-12 07:00:00,586.064579112,114238711.42361926
2021-01-12 08:00:00,2021-01-12 08:00:00,528.899874611,114239240.32549176
2021-01-12 09:00:00,2021-01-12 09:00:00,611.225432462,114239851.54468986
2021-01-12 10:00:00,2021-01-12 10:00:00,521.684101758,114240373.22629523
2021-01-12 11:00:00,2021-01-12 11:00:00,572.823576918,114240945.9114122
2021-01-12 12:00:00,2021-01-12 12:00:00,610.48898278,114241556.53518751
2021-01-12 13:00:00,2021-01-12 13:00:00,531.229360818,114242087.68543556
2021-01-12 14:00:00,2021-01-12 14:00:00,637.847043137,114242725.56169696
2021-01-12 15:00:00,2021-01-12 15:00:00,583.32701271,114243308.94014405
2021-01-12 16:00:00,2021-01-12 16:00:00,634.435697998,114243943.39157791
2021-01-12 17:00:00,2021-01-12 17:00:00,689.170470947,114244632.56630546
2021-01-12 18:00:00,2021-01-12 18:00:00,578.651988562,114245211.220843
2021-01-12 19:00:00,2021-01-12 19:00:00,576.252627367,114245787.40041314
2021-01-12 20:00:00,2021-01-12 20:00:00,598.660765935,114246385.88794117
2021-01-12 21:00:00,2021-01-12 21:00:00,589.018529859,114246975.15183488
2021-01-12 22:00:00,2021-01-12 22:00:00,619.13967644,114247594.28491168
2021-01-12 23:00:00,2021-01-12 23:00:00,585.40259288,114248179.62836406
2021-01-13 00:00:00,2021-01-13 00:00:00,533.056193452,114248712.68451376
2021-01-13 01:00:00,2021-01-13 01:00:00,619.782674604,114249332.4851365
2021-01-13 02:00:00,2021-01-13 02:00:00,545.829092355,114249878.15478957
2021-01-13 03:00:00,2021-01-13 03:00:00,562.64991694,114250440.94293128
2021-01-13 04:00:00,2021-01-13 04:00:00,561.637823355,114251002.56877844
2021-01-13 05:00:00,2021-01-13 05:00:00,595.028051867,114251597.6604088
2021-01-13 06:00:00,2021-01-13 06:00:00,632.566051463,114252230.24559867
2021-01-13 07:00:00,2021-01-13 07:00:00,579.951239964,114252810.15064996
2021-01-13 08:00:00,2021-01-13 08:00:00,549.640703022,114253359.83425848
2021-01-13 09:00:00,2021-01-13 09:00:00,576.789475722,114253936.54153736
2021-01-13 10:00:00,2021-01-13 10:00:00,537.722347706,114254474.32919668
2021-01-13 11:00:00,2021-01-13 11:00:00,544.408092097,114255018.7486069
2021-01-13 12:00:00,2021-01-13 12:00:00,598.457360903,114255617.15373206
2021-01-13 13:00:00,2021-01-13 13:00:00,606.216711981,114256223.24095318
2021-01-13 14:00:00,2021-01-13 14:00:00,627.539886238,114256850.89661394
2021-01-13 15:00:00,2021-01-13 15:00:00,665.931150374,114257516.8494114
2021-01-13 16:00:00,2021-01-13 16:00:00,561.38519638,114258078.28859006
2021-01-13 17:00:00,2021-01-13 17:00:00,646.426161007,114258724.6821409
2021-01-13 18:00:00,2021-01-13 18:00:00,608.206878263,114259332.75989568
2021-01-13 19:00:00,2021-01-13 19:00:00,561.868412023,114259894.7789708
2021-01-13 20:00:00,2021-01-13 20:00:00,699.430190307,114260594.11477746
2021-01-13 21:00:00,2021-01-13 21:00:00,631.477293583,114261225.70599952
2021-01-13 22:00:00,2021-01-13 22:00:00,587.803918524,114261813.50870606
2021-01-13 23:00:00,2021-01-13 23:00:00,591.752771003,114262405.07064413
2021-01-14 00:00:00,2021-01-14 00:00:00,596.390640239,114263001.65299432
2021-01-14 01:00:00,2021-01-14 01:00:00,618.536870667,114263620.12341836
2021-01-14 02:00:00,2021-01-14 02:00:00,599.488614222,114264219.64504276
2021-01-14 03:00:00,2021-01-14 03:00:00,534.68466308,114264754.3479632
2021-01-14 04:00:00,2021-01-14 04:00:00,623.380808431,114265377.7296568
2021-01-14 05:00:00,2021-01-14 05:00:00,520.23351007,114265897.8132207
2021-01-14 06:00:00,2021-01-14 06:00:00,586.996251227,114266484.787506
2021-01-14 07:00:00,2021-01-14 07:00:00,582.11022342,114267066.89018704
2021-01-14 08:00:00,2021-01-14 08:00:00,551.086812775,114267618.06282528
2021-01-14 09:00:00,2021-01-14 09:00:00,611.231607504,114268229.33398455
2021-01-14 10:00:00,2021-01-14 10:00:00,591.889678384,114268821.28366722
2021-01-14 11:00:00,2021-01-14 11:00:00,563.576848313,114269384.75448036
2021-01-14 12:00:00,2021-01-14 12:00:00,610.429935361,114269995.18843783
2021-01-14 13:00:00,2021-01-14 13:00:00,550.079308866,114270545.39522518
2021-01-14 14:00:00,2021-01-14 14:00:00,566.3417396,114271108.9933299
2021-01-14 15:00:00,2021-01-14 15:00:00,574.017401219,114271685.68474609
2021-01-14 16:00:00,2021-01-14 16:00:00,606.420933397,114272292.08716376
2021-01-14 17:00:00,2021-01-14 17:00:00,604.8597557,114272897.03217313
2021-01-14 18:00:00,2021-01-14 18:00:00,580.929786694,114273477.9676656
2021-01-14 19:00:00,2021-01-14 19:00:00,549.279134977,114274027.24590056
2021-01-14 20:00:00,2021-01-14 20:00:00,614.05755905,114274641.29430433
2021-01-14 21:00:00,2021-01-14 21:00:00,553.38155005,114275194.68050487
2021-01-14 22:00:00,2021-01-14 22:00:00,600.076825732,114275794.75509286
2021-01-14 23:00:00,2021-01-14 23:00:00,566.892808976,114276361.6121638
2021-01-15 00:00:00,2021-01-15 00:00:00,609.47872825,114276970.88749544
2021-01-15 01:00:00,2021-01-15 01:00:00,532.311857789,114277503.44654094
2021-01-15 02:00:00,2021-01-15 02:00:00,572.494644734,114278075.91515703
2021-01-15 03:00:00,2021-01-15 03:00:00,600.230357262,114278676.1806874
2021-01-15 04:00:00,2021-01-15 04:00:00,598.48554699,114279274.65992595
2021-01-15 05:00:00,2021-01-15 05:00:00,593.372572253,114279867.95921417
2021-01-15 06:00:00,2021-01-15 06:00:00,638.600867044,114280503.88366002
2021-01-15 07:00:00,2021-01-15 07:00:00,593.610747603,114281100.22549117
2021-01-15 08:00:00,2021-01-15 08:00:00,590.487870199,114281690.71321172
2021-01-15 09:00:00,2021-01-15 09:00:00,582.401221056,114282273.13592128
2021-01-15 10:00:00,2021-01-15 10:00:00,600.531106709,114282873.67522418
2021-01-15 11:00:00,2021-01-15 11:00:00,612.703786038,114283486.33735988
