h,c,o,l,t,low,open,close,volume,high
0.006513,0.000849,0.005606,-0.005809,1687219200,26633.9,26828.6,28290.6,758176.297,28397.8
0.015145,0.014298,0.000849,-0.003999,1687305600,28236.4,28290.7,29988.5,1123474.427,30822.0
0.014298,0.008302,0.014298,0.005512,1687392000,29500.1,29988.5,29875.0,561051.742,30488.0
0.01198,0.007633,0.008302,0.007198,1687478400,29792.0,29875.0,30673.4,699073.071,31500.0
0.013142,0.009865,0.007633,0.005191,1687564800,30222.0,30673.5,30524.2,279539.288,30796.5
0.013829,0.010841,0.009865,0.008356,1687651200,30252.6,30524.2,30458.0,301533.154,31053.2
0.01264,0.007976,0.010841,0.005007,1687737600,29890.1,30458.0,30260.1,415099.356,30667.3
0.012319,0.006221,0.007976,0.000958,1687824000,30213.0,30260.1,30683.2,406073.348,30998.5
0.010334,0.006018,0.006221,0.002955,1687910400,29804.6,30683.2,30066.3,416656.434,30701.8
0.011919,0.010016,0.006018,0.002713,1687996800,30036.1,30066.3,30439.9,382072.846,30837.0
0.011284,0.010029,0.010016,0.00336,1688083200,29500.0,30439.9,30460.2,809331.305,31300.0
0.011572,0.009005,0.010029,0.008199,1688169600,30311.3,30460.2,30573.6,135520.246,30668.2
0.012471,0.009135,0.009005,0.008157,1688256000,30149.9,30573.6,30612.7,231866.188,30800.0
0.012104,0.009416,0.009135,0.006627,1688342400,30559.4,30612.7,31149.0,370293.236,31395.2
0.010833,0.008861,0.009416,0.006746,1688428800,30600.0,31149.0,30756.1,300832.26,31319.4
0.011483,0.00694,0.008861,0.006315,1688515200,30175.8,30756.1,30488.4,294896.578,30875.2
0.011596,0.001129,0.00694,-0.003217,1688601600,29818.0,30488.4,29874.4,721267.219,31568.0
0.007403,0.000008,0.001129,-0.00377,1688688000,29680.0,29874.3,30327.9,337801.654,30443.6
0.006485,0.002604,0.000008,0.000008,1688774400,30026.8,30328.0,30269.3,138734.493,30380.0
0.009944,0.000464,0.002604,-0.000503,1688860800,30042.0,30269.2,30147.8,162296.263,30443.4
0.008763,0.006355,0.000464,-0.000623,1688947200,29928.8,30147.8,30396.9,429115.537,31040.0
0.009184,0.006722,0.006355,0.000547,1689033600,30261.4,30396.9,30608.4,298904.747,30804.9
0.00967,0.001653,0.006722,0.000867,1689120000,30186.0,30608.3,30368.9,425058.257,30980.5
0.012592,0.011915,0.001653,-0.002958,1689206400,30233.0,30368.9,31441.7,696023.51,31850.0
0.014892,-0.007305,0.011915,-0.007325,1689292800,29876.6,31441.6,30293.3,538692.246,31640.0
0.004303,0.002773,-0.007305,-0.009317,1689379200,30220.2,30293.3,30276.4,111622.474,30380.0
0.009289,0.002766,0.002773,0.001008,1689465600,30050.0,30276.5,30216.8,173805.94,30441.6
0.007752,0.003446,0.002766,-0.001339,1689552000,29630.0,30216.9,30126.1,344113.427,30329.7
0.009757,0.00776,0.003446,0.002963,1689638400,29400.0,30126.0,29845.6,337396.417,30227.5
0.00937,0.002245,0.00776,0.002077,1689724800,29745.0,29845.7,29895.5,298418.854,30178.5
0.009106,0.004264,0.002245,-0.004821,1689811200,29468.8,29895.5,29791.0,410263.764,30420.0
0.005895,0.000873,0.004264,0.000642,1689897600,29705.9,29791.0,29891.4,221145.074,30056.2
